A.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	havas bonan libron	има добра книга	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	да, имам	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	те го харесват	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	тя прочете книга	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	обича да чете книги	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	само добра книга	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	много добри книги	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	чети само хубави книги	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	обича да чете хубави книги	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	искаш ли да четеш	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	младежът пи кафе	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	иска да пие вода	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	баща и майка; родители	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	досадник и сестра, братя и сестри	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	вашите родители и братя и сестри	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	е във вашия дом	is in your home	grupo	alternativoj	prononco
level	jen la kafo	ето го кафето	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	още не е пил	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	още е топъл	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	сготви го вчера	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Сега сготвих	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Благодаря ти. така каза той.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	може да пие и яде	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	пи студено кафе	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	още топло кафе	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	пие и студено кафе	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	може да пие и студено кафе	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	гледа окото й	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	най-красивото око	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	красивите очи	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	погледна красивите очи	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	красивите й очи	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	вижда и разбира	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Виждам, че ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	че той я обича	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	тя чувства, че той я обича	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	пита дали това е голямо	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	за един лесен въпрос	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	каза за нови пари	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	много красиви очи	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	погледна големия брат	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	една малка сестра го забрави	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	винителен падеж (обект)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	не забравяйте винителния падеж	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	с кого се виждаш кой виждаш?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Виждам приятел	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	има добри приятели мъже и жени	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	те работят за старата къща	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	работи, работи, ще работи	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	вижда, че ям	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	каза, че ще отиде	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	грозно и лошо	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	Какво каза тя?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	какво чакаш?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	влезе в стаята	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	съдържанието е много трудно	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	пристигна на срещата	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	добре дошли на срещата	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	един старец даде бакшиш	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	пристигна и беше добре дошъл	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	мразят, но си сътрудничат	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	отиде до хотела	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	има лесни учебници	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	как беше майка ти?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	вашия стар дом	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	кои книги прочете?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	добри ли бяха	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	какво направи вчера?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	в малката стая	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	говори много дълго	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	пред училището, преди училището	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	говори пред училището	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	по-късно говори за книгата	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	с удоволствие отиде в училището	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	през улицата	through the street	grupo	alternativoj	prononco
level	iris tra la strato	мина през улицата	went through the street	grupo	alternativoj	prononco
level	estis varma tago	беше топъл ден	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	те видяха кафене	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	видях червени бисквитки	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	видя бисквитки в него	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	видях кафене“ и в него бисквитки	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	влез и яж!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	нека влезем да ядем	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	има достатъчно пари	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	имате ли достатъчно пари?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	разбираш ли?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	разбира се!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	това не е достатъчно	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	сто долара са достатъчни	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	долар, долари, долари (цел в множествено число)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	има сто долара	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	разбира се, че имам	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	о! ти си богат!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	вода, сервитьорка	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	сервитьор носи меню	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	донесе това при нас, донесе това	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	сервитьор донесе много бисквити	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	ядоха малко (малко)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	след ядене (хранене)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	нов, пак	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	сервитьорът дойде отново	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	на някое място	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	беше търсил някъде	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	търсен на друго място	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	лицето му беше радостно	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	тя беше тъжна	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	накрая и най-накрая	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	силният ти глас	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	със слаб глас	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	няма пари	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	какво стана там	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	по-късно се случи инцидент	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	знаеш ли кога се случи	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	знае за въпроса	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	все още едно нещо остава	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	вие или тя, всеки човек	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	като певец, като подписвач	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	пееше като професионален певец	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	на мястото, където е живяла	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	откъде знаеш за колата?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	добре, вижте бързата кола	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	сок без захар	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	той има бърза кола	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	твърде силно	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	той отвори твърде силно	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	карах (пътувах) твърде бързо	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	яде с лъжица	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	силно се съмняваме	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	истинско писмо от него	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	любовно писмо с пет снимки	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	върнали се, хората, които се върнаха	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	също шест върнати писма	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	искаше да види снимката	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	се върна от училище	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	кога ще се върне сестрата?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	исках да прочета отново	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	направи (направи), стана	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	бързо стана червен	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	в стая, в стая	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	стоеше и седеше	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	там стоеше пред снимката	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	Имам това	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	какво имаш в ръката си?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	отпред или отзад?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	преди или след?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	там зад вратата	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	други, други хора	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	писма от др	letters from others	grupo	alternativoj	prononco
level	falis el la mano	падна от ръката	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	на масата, на масата	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	падна на масата	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	поиска помилване	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	търсеше пет книги	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	съжалявам, търсих книгата си.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	но ти знаеш добре	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	не е на масата ми	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	вашите книги не са на масата ми	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	отново даде, върна	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	върнете ми писмото	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	получиха добър урок	received a good lesson	grupo	alternativoj	prononco
