B.hi content.tsv
Level	Esperanto	hi	en-us	Grupo	Alternativoj	Pronoco
level	en ĉi tiu loko estas tro da bruo	इस जगह पर बहुत ज्यादा शोर है	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	हाँ आप ठीक कह रहे हैं	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	क्या हम नृत्य करेंगे?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	अच्छा विचार!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	सुखद शाम के लिए धन्यवाद	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	आप के लिए धन्यवाद)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	बहुत अच्छा था	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	एक संगीत ~ को भाता है	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	संगीत मुझे बहुत अच्छा लग रहा था	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	मेरे लिए भी	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	डांस करना बहुत मजेदार है	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	तुम्हारे साथ नाचने के लिए	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	आपके साथ नृत्य करना बहुत मज़ेदार था	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	यह मेरा नाम कार्ड है	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	तुम यह चाहते हो	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	यदि आप चाहें तो यह मेरा कार्ड है	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	उस पर ~ भी है	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	इस पर एक पता भी है	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	वहां एक वेबसाइट का पता है	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	एस्पेरनाटो कोर्स वाली साइट का पता	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	धन्यवाद	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	मैं तुम्हें एक ई-मेल भेजूंगा	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	ठीक है!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	फिर मिलेंगे, शुभ रात्रि!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	फिर मिलते हैं!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~ में प्रकट होता है	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	एक त्वरित संदेशवाहक	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ तत्काल संदेशवाहक में प्रकट होता है	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	क्या आप वह व्यक्ति हैं?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	वो शख्स, जिसने मेरे साथ डांस किया था	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	शनिवार की रात	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	क्या आप वह व्यक्ति हैं, जिसने शनिवार रात मेरे साथ नृत्य किया?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	हाँ यह मैं हूँ	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	मुझे ख़ुशी है कि ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	मुझे ख़ुशी है कि आप साइट पर आये	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	क्या यह तुम्हें अच्छा लग रहा है? (क्या आपको यह पसंद है?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	हाँ, हाँ	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	यह बहुत सुन्दर है	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	दिलचस्प लगता है	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	यह बहुत सुंदर है और दिलचस्प लगता है	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	अभी नहीं~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	पूरी तरह से तैयार नहीं है	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	यह अभी पूरी तरह से तैयार नहीं है	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	लेकिन जल्द ही यह होगा	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	मैं समझता हूं (मैं देखता हूं)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	लेकिन पहले से ही कई सहायता उपकरण मौजूद हैं	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	एक शब्दकोष	a dictionary	grupo	alternativoj	prononco
level	superrigardo	एक अवलोकन	an overview	grupo	alternativoj	prononco
level	ekzerco	एक एक्साइज	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	उदाहरण शब्द, सिंहावलोकन, दूत और अभ्यास	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	व्याकरण का एक सिंहावलोकन	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	एक त्वरित संदेशवाहक और विभिन्न अभ्यास	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	यह एक अच्छी शुरुआत है	it is a good start	grupo	alternativoj	prononco
level	pardonon	मुझे क्षमा करें मुझे खेद है	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	मुझे ~ से बात करनी चाहिए	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	किसी दूसरे व्यक्ति से बात करना	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	मुझे क्षमा करें, मुझे दूसरे व्यक्ति से बात करनी चाहिए	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	एक भाषा सहायक	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	मैं उसका भाषा सहायक हूं	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	और अब वह ~ के बारे में बात करना चाहती है	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	एक व्यायाम के बारे में बात करने के लिए	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	जल्द ही वापस आऊंगा	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	मैं जल्द ही आपके पास वापस आऊंगा	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	कई मिनटों के बाद	after several minutes	grupo	alternativoj	prononco
level	finparolis	बात ख़त्म	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	अब हमने व्यायाम के बारे में बात पूरी कर ली है	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	इस बीच, थोड़ी देर के लिए	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	इस बीच मैंने एस्पेरान्तो के बारे में पढ़ा	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	मैं सुनिश्चित नहीं हूं	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	~ के बारे में पर्याप्त जानता है	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	मैं अभी तक भाषा के बारे में पर्याप्त रूप से नहीं जानता हूं	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	एक स्मार्ट उत्तर	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	मैं साइट में देखूंगा	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	और थोड़ा सीखने की कोशिश करूंगा	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	क्या आप मेरी भाषा सहायक बनना चाहते हैं?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	अपनी मर्जी!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	आपका स्वागत है!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	धन्यवाद के लायक नहीं, बल्कि चुंबन के लायक	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	एस्पेरांतो में ऐसा कहता है	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	क्या? मैं नहीं समझता	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	आप शब्दकोश में देख सकते हैं	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	दुर्भाग्य से	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	मुझे अब इंटरनेट से दूर हो जाना चाहिए	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	मैं शाम को वापस आऊंगा	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	मुझे लगता है कि मैं उस समय तक साइट पर पहुंच जाऊंगा	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	उत्तम!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	अच्छा, फिर मिलेंगे!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	बाद में मिलते हैं!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	शाम को, तत्काल दूत पर भी	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	फिर से हैलो! (दोबारा-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	फिर से हैलो!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	मैंने साइट के लगभग सभी पृष्ठ देखे	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	काफी अच्छा! बहुत बढ़िया!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	मेरे पास कई प्रश्न हैं	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	क्या आपके पास समय है?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	हां, मैं शाम को फ्री हूं	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	तो, अपने प्रश्न लिखें	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	मैं उत्तर देने का प्रयास करूंगा	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	मैंने पढ़ा कि एस्पेरान्तो की एक संस्कृति है	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	हालाँकि मुझे समझ नहीं आता ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	जहां मुझे ऐसी संस्कृति मिल सकती है	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	आप हर जगह पाएंगे, जहां ~ है	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	कोई भी स्थान जहां एस्पेरान्तो बोलने वाले लोग हों	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	लेकिन कोई भी लोग एस्पेरान्तो का उपयोग नहीं करते	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	सही!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	लेकिन जो लोग एस्पेरान्तो बोलते हैं	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	अक्सर यात्रा करते हैं और अन्य एस्पेरेंटिस्टों से मिलते हैं	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	उन बैठकों के दौरान	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	वे अधिकांश विभिन्न स्थितियों में भाषा का उपयोग करते हैं	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	तो वहां आपको ~ मिलेगा	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	आपको संस्कृति मिलेगी	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	एस्पेरान्तो की संस्कृति मिलेगी	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ठीक है, क्या संगीत मौजूद है?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	संगीत, साहित्य, रंगमंच	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	वगैरह	etc	grupo	alternativoj	prononco
level	same kiel ~	~ के समान	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	वैसे ही जैसे अन्य भाषाओं के लिए हैं	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	मात्रा इतनी बड़ी नहीं है	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	राष्ट्रीय भाषाओं जितना बड़ा	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	लेकिन यह महत्वपूर्ण नहीं है	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	कम से कम मेरे लिए नहीं	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	अगर आप सुनना चाहते हैं~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	एस्पेरान्तो में एक गाना सुनने के लिए	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	यहाँ गाना है, &quot;लिसा चित्र बनाती है&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	गाना सुनता है	listens to the song	grupo	alternativoj	prononco
level	ne malbone	इतना खराब भी नहीं	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	और आपको एस्पेरान्तो में कई किताबें मिलेंगी	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	किताबें दिखती हैं	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	बहुत हो गए	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	क्या आप एस्पेरान्तो में ज्यादा पढ़ते हैं?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	हाँ, कभी-कभी (समय-समय पर)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	यदि आप कभी भाषा सीखते हैं	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	मैं तुम्हें कुछ अच्छी किताबें सुझाऊँगा	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	~ के बारे में है	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	मेरा दूसरा प्रश्न मेरे नाम के बारे में है	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	आपने पहले कहा था कि ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	~ से संबंध है	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	कहा कि इसका संबंध एस्पेरान्तो से है	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ओह, हाँ, उसके बारे में	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	~नाम वाला एक आदमी	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	एक बार ~ नाम का एक आदमी रहता था	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	वह एस्पेरान्तो आंदोलन में बहुत सक्रिय थे	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	जब यह बिल्कुल नया था	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	पुस्तक का अनुवाद ~ में किया	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	और कई पुस्तकों का एस्पेरान्तो में अनुवाद किया	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	और इससे वह प्रसिद्ध हो गया?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	उस समय एस्पेरान्तो के लिए सबसे महत्वपूर्ण में से एक	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	और भाषा शैली पर उनका बहुत प्रभाव था	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	नहीं, निश्चित रूप से वह महत्वपूर्ण था और उसका प्रभाव था	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	हालाँकि, उन्होंने अचानक आंदोलन छोड़ दिया	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	मैं इसकी कल्पना करता हूं ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	मुझे लगता है कि यह कई लोगों के लिए एक बड़ा झटका था	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	उसने एस्पेरान्तो क्यों छोड़ा?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	मेरा मानना है कि~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	वह एस्पेरान्तवादियों से असंतुष्ट था	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	उन्होंने ~ के समान कुछ कहा	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	एस्पेरान्तो को एस्पेरान्तवादियों को स्वयं सीखना चाहिए!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	~ से उसके कहने का तात्पर्य क्या था?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	उसके कहने का मतलब क्या था?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	यह संभावना है कि ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	लोगों ने एस्पेरांतो के बारे में बुरी तरह से बात की	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	यह संभव है कि लोगों ने बुरा-भला कहा हो	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	वर्ष 1911 में उन्होंने एस्पेरान्तो छोड़ दिया	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	लेकिन मुझे लगता है कि ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	से ज़्यादा ऊँचा	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	आज भाषा का स्तर ऊंचा है	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	एस्पेरेंटिस्टों का भाषा स्तर	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	लेकिन मुझे लगता है कि आज स्तर ऊंचा है	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	इसलिए मुझे भाषा अच्छी तरह सीखनी होगी	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	एक अच्छा इंसान होने के लिए	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	और आपको सरल शैली का उपयोग करना चाहिए	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	क्योंकि वह उसके लिए बहुत महत्वपूर्ण था	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	इससे मुझे ख़ुशी होती है (मुझे वह पसंद है)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	एस्पेरान्तो में एक शब्द ~ भी है	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	यहाँ तक कि एक शब्द है &quot;काबेई&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	आंदोलन को त्यागने के लिए	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	एक शब्द &quot;काबेई&quot;, जिसका अर्थ है आंदोलन का त्याग करना	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	यह तो दिलचस्प है!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	अब मैं एस्पेरान्तो में एक शब्द जानता हूँ	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	कभी नहीं भूल सकता	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	और मैं शायद इसे कभी नहीं भूलूंगा	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	कई हफ़्तों के बाद एक कैफ़े में	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	वह एस्पेरान्तो सीखने में कामयाब रहे	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	और वे भाषा का प्रयोग कर रहे हैं	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	निमंत्रण देना, निमंत्रण देना	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	यहाँ, देखो, IJK के लिए एक निमंत्रण!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	क्या? ई-यो-क्या?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	एक युवा व्यक्ति, युवाओं का एक समूह	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK एक अंतर्राष्ट्रीय युवा कांग्रेस है	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	मैं इसके लिए जाने की योजना बना रहा हूं	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	क्या आप भी जाना चाहते हैं?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	खैर, &quot;कांग्रेस&quot; बहुत दिलचस्प नहीं लगती	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	लेकिन यह (दिलचस्प) है	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	कुछ उबाऊ, सुस्त कांग्रेस के बारे में मत सोचो	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	यह बस ~ के बारे में है	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	यह सिर्फ युवा लोगों से मिलने के बारे में है	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	कई देशों के युवाओं से मुलाकात	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	वहां 300 से 400 लोग होंगे	300 to 400 people will be there	grupo	alternativoj	prononco
