A.lv content.tsv
Level	Esperanto	lv	en-us	Grupo	Alternativoj	Pronoco
level	jes, mi fartas bone	Jā man viss kārtībā	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Nē, nepavisam	no, not at all	grupo	alternativoj	prononco
level	tre, tro	ļoti, pārāk daudz	very, too much	grupo	alternativoj	prononco
level	granda, grande	liels, lielā mērā	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	ļoti labs, pārāk liels	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	tev iet ļoti labi	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ne pārāk labi	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	mācīties, mācīšanās	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	skatās, skatītājs	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	mācās, students (mācīgs cilvēks)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	ir -ing, persona, kas dara	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	students, cilvēks, kurš ir mācījies	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	ES esmu students.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ ir mans draugs	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	viņš viņa	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sēdēt, sēdēt	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sēž, sēdēja, sēdēs	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	viņš sēž un viņa mācās	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	istaba	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	mācās istabā	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	students un sportists	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sports un sportists	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	sportists sporto	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	viņš ir students	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	viņš ir students un sportists	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	viņš tagad sēž	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	un tagad mācās	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sēž un mācās	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	tagad istabā	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	atrodas uz galda	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	papīrs un papīri	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	galds un galdi	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	grāmata un grāmatas	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	papīri un grāmatas	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	tas atrodas uz galda.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	raksta uz rakstāmgalda	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	grāmatas ir ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	uz galda	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	mācību grāmata un mācību grāmatas	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	uz galda ir ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	tēvs un māte	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	tēvs un māte	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	mana drauga māte	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	istabā	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	nav istabā	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	viņi tagad strādā	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	viņa tēvs ir strādnieks	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	viņš strādā viesnīcā	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	māte māca	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	viņa ir skolotāja	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	vai viņa ir māte?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	nē, viņa ir viesnīcniece	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	nē, es nestrādāju	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	kāds ir viņas vārds?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	kurš tagad atbild?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	viņu mātes valoda	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	vai tavs vārds ir ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	sēžam un atbildam	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	viņas darba krēsls	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	tā nosaukums nav ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	viņas valoda ir viņu valoda	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	mūsu tēvs un māte	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	jūsu skolnieks, jūsu skolēni	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	vai tie ir tavi skolēni?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	vai tu esi students?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	vai tu esi istabā?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Es neesmu ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	esperantiste un sieviete esperantiste	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	reģistrējies viesnīcas numurā	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	valodniece un darbiniece	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	viņa draudzene ir ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studentiem un sportistiem	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	manas ģimenes vārds ir ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	kas viņa ir? kura viņa ir?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	ir tava draudzene	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	vai tavs draugs ir ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	tagad raksta istabā	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	vai tavs draugs ir tēvs ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	strādā viesnīcā	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	kas ir uz galda?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	uz galda mūsu istabā	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	vai esperanto mācību grāmata ir ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	ir uz jūsu galda	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ir draugs	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	viņas vārds ir ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	jauns un skaists	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	ir jauna un skaista	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	jauni un skaisti draugi	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	ir vīriešu un sieviešu draugi	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	viņas skolotājas mājas	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	ieradās mājās	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ mājas	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	lūdzu ienāc	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Sveiki, ko jūs darāt?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	ar ko tu nodarbojies? Ko tu dari?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	bet tagad es gribu ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Es gribu runāt	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	ar trim draugiem vīriešiem un sievietēm	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	runāja ar tevi	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	vēlas ar tevi runāt	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	vai jums ir vīrieši un sievietes?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	viņam ir grāmata	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	ir laba grāmata	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Jā, man ir	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	viņiem tas patīk	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	viņa lasīja grāmatu	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	patīk lasīt grāmatas	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	tikai laba grāmata	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	daudzas labas grāmatas	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	lasīt tikai labas grāmatas	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	patīk lasīt labas grāmatas	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	gribi lasīt?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	jaunietis dzēra kafiju	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	grib dzert ūdeni	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	tēvs un māte; vecākiem	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	apnikt un māsa, brāļi un māsas	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	tavi vecāki un brāļi un māsas	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	ir jūsu mājās	is in your home	grupo	alternativoj	prononco
level	jen la kafo	šeit ir kafija	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	vēl nedzēra	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	joprojām ir silts	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	vakar pagatavoju	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Tagad pagatavoju	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Paldies. tā viņš teica.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	var dzert un ēst	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	dzēra aukstu kafiju	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	vēl silta kafija	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	dzer arī aukstu kafiju	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	var dzert arī aukstu kafiju	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	skatās viņai acīs	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	skaistākā acs	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	skaistās acis	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	skatījās skaistās acis	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	viņas skaistās acis	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	redz un saprot	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Es redzu, ka ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	ka viņš viņu mīl	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	viņa jūt, ka viņš viņu mīl	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	jautā, vai tas bija liels	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	par vieglu jautājumu	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	teica par jaunu naudu	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	ļoti skaistas acis	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	izskatījās lielais brālis	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	mazā māsa to aizmirsa	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	akuzatīvs (objektīvs)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	neaizmirstiet akuzatīvās beigas	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	kuru tu redzi? kuru tu redzi?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Es redzu draugu	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	ir labi draugi vīrieši un sievietes	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	viņi strādā pie vecās mājas	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	strādā, strādāja, strādās	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	redz, ka es ēdu	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	teica, ka ies	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	neglīts un slikts	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	ko viņa teica?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	ko tu gaidi?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	iegāja istabā	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	saturs ir ļoti grūts	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	ieradās sanāksmē	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	laipni lūdzam sanāksmē	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	kāds vecs vīrs iedeva dzeramnaudu	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	ieradās un tika sagaidīts	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	viņi ienīst, bet sadarbojas	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	devās uz viesnīcu	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	ir vienkāršas mācību grāmatas	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	kā gāja tavai mammai?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	tavas vecās mājas	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	kuras grāmatas tu lasīji?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	vai tie bija labi?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	ko izdarīji vakar?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	mazajā istabā	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	runāja ļoti ilgi	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	skolas priekšā, pirms skolas	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	runāja pirms skolas	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	vēlāk runāja par grāmatu	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	labprāt devās uz skolu	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	pa ielu	through the street	grupo	alternativoj	prononco
level	iris tra la strato	gāja pa ielu	went through the street	grupo	alternativoj	prononco
level	estis varma tago	bija silta diena	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	viņi redzēja kafejnīcu	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	ieraudzīju sarkanos cepumus	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	ieraudzīja tajā cepumus	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	ieraudzīju kafejnīcu' un tajā cepumus	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	ej iekšā un paēd!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	iesim un paēdīsim	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	ir pietiekami daudz naudas	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	vai jums ir pietiekami daudz naudas?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	vai tu saproti?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	protams!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	ar to nepietiek	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	pietiek ar simts dolāriem	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	dolārs, dolāri, dolāri (mērķis daudzskaitlī)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	ir simts dolāru	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	protams, man ir	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	ak! tu esi bagāts!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	ūdens, viesmīle	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	viesmīlis atnes ēdienkarti	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	atnesa to mums, atnesa to	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	viesmīlis atnesa daudz cepumu	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	viņi ēda nedaudz (nedaudz)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	pēc ēšanas (ēdienreizes)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	jauns, atkal	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	atkal ieradās viesmīlis	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	kādā vietā	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	bija kaut kur meklējis	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	meklēts citā vietā	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	viņa seja bija priecīga	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	viņa bija skumja	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	beigās un beidzot	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	tava spēcīgā balss	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	vājā balsī	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	nav naudas	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	kas tur notika?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	vēlāk notika negadījums	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	zini kad tas notika?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	zina par lietu	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	viena lieta tomēr paliek	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	jūs vai viņa, jebkura persona	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	kā dziedātājs, kā parakstītājs	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	dziedāja kā profesionāla dziedātāja	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	vieta, kur viņa dzīvoja	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	kā tu zini par mašīnu?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	nu, paskaties uz ātro mašīnu	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	sula bez cukura	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	viņam ir ātrs transportlīdzeklis	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	pārāk spēcīgi	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	viņš pārāk smagi atvērās	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	brauca (ceļoja) pārāk ātri	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	ēda ar karoti	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	mēs stipri šaubāmies	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	patiesa vēstule no viņa	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	mīlestības vēstuli ar piecām fotogrāfijām	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	atgriezās, cilvēki, kas atgriezās	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	arī sešas vēstules atgriezās	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	gribēju redzēt fotogrāfiju	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	atgriezās no skolas	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	kad māsa atgriezīsies?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	gribējās lasīt vēlreiz	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	izgatavots (darījis), kļuvis	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	strauji kļuva sarkans	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	istabā, istabā	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	stāvēja un sēdēja	stood and sat	grupo	alternativoj	prononco
