C.ro content.tsv
Level	Esperanto	ro	en-us	Grupo	Alternativoj	Pronoco
level	neniu	nimeni, nimeni, nici	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	la ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(sufix) ~abil	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	a spera	to hope	grupo	alternativoj	prononco
level	unu	unu	one	grupo	alternativoj	prononco
level	du	Două	two	grupo	alternativoj	prononco
level	tri	Trei	three	grupo	alternativoj	prononco
level	kvar	patru	four	grupo	alternativoj	prononco
level	kvin	cinci	five	grupo	alternativoj	prononco
level	ses	şase	six	grupo	alternativoj	prononco
level	sep	Șapte	seven	grupo	alternativoj	prononco
level	ok	opt	eight	grupo	alternativoj	prononco
level	naŭ	nouă	nine	grupo	alternativoj	prononco
level	dek	zece	ten	grupo	alternativoj	prononco
level	cent	o suta	a hundred	grupo	alternativoj	prononco
level	mil	o mie	a thousand	grupo	alternativoj	prononco
level	-obl-	(sufix) pentru multiplicitate, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(sufix) ~-lea, fracție	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	de dragoste	of love	grupo	alternativoj	prononco
level	anstataŭ ~	în loc de ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(sufix) deveni	(suffix)  become	grupo	alternativoj	prononco
level	voli	a vrea, a vrea, a fi dispus	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(sufix) cauza a deveni	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	a urma	to follow	grupo	alternativoj	prononco
level	ĝoje	bucuros	gladly	grupo	alternativoj	prononco
level	legi	a citi	to read	grupo	alternativoj	prononco
level	silenta	tăcut	silent	grupo	alternativoj	prononco
level	la	cel	the	grupo	alternativoj	prononco
level	ha!	Ha!	ha!	grupo	alternativoj	prononco
level	-il-	(sufix) instrument, metodă	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	a bea (fara alcool)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(sufix) mic, mic	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(sufix) mare, mare	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(prepoziție) între ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	comportament legat de (sufix).	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(sufix) set, grup	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(sufix) membru al unui grup	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	să-i mulțumesc	to thank	grupo	alternativoj	prononco
level	-ind-	(sufix) demn, demn	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	chiar mai mult, mai departe, și așa mai departe, mai mult	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	cum, cum, în ce fel, cum ar fi	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	așa, așa, așa	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(prepoziție) în ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(prepoziție) lângă ~, lângă ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(prepoziție) sub, sub ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(prepoziție) pe ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(prepoziție) prep. nedefinit, la, în, prin, pe	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) încă, încă	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(prepoziție) în jurul ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	dar	but	grupo	alternativoj	prononco
level	ie	undeva	somewhere	grupo	alternativoj	prononco
level	kie	unde, în ce loc	where, at what place	grupo	alternativoj	prononco
level	silente	în tăcere	silently	grupo	alternativoj	prononco
level	ĉie	peste tot, peste tot	everywhere, all about	grupo	alternativoj	prononco
level	nenie	nicăieri, în niciun caz, nicăieri	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	acolo, acolo, acolo	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	aceasta ~	this ~	grupo	alternativoj	prononco
level	kanti	a cânta	to sing	grupo	alternativoj	prononco
level	morti	a muri, a trece	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(prepoziție) în timpul ~, în timp ce ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	o natiune	a nation	grupo	alternativoj	prononco
level	koni	a cunoaște (o persoană), a fi familiarizat cu	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	a ști (un fapt, cunoaștere), a ști cum	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	întotdeauna, întotdeauna	always, ever	grupo	alternativoj	prononco
level	iam	la un moment dat, o dată	at some time, once	grupo	alternativoj	prononco
level	tiam	apoi	then	grupo	alternativoj	prononco
level	-em-	(sufix) tendință	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	un fel de	some kind of	grupo	alternativoj	prononco
level	sukcesi	a reusi	to succeed	grupo	alternativoj	prononco
level	ĉia	de tot felul, orice fel de	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	nu, nu orice fel de, nu orice	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(sufix) urmaș	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	o cameră, o cameră	a room, a chamber	grupo	alternativoj	prononco
level	patro	un tată	a father	grupo	alternativoj	prononco
level	porko	un porc, un porc	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -socri, prin căsătorie	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	într-adevăr	indeed	grupo	alternativoj	prononco
level	-ism-	(sufix) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	ceva	something	grupo	alternativoj	prononco
level	veturi	a conduce (un vehicul)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	un cocoș, o găină, pui, păsări	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	gratuit	free	grupo	alternativoj	prononco
level	lasta	ultimul	last	grupo	alternativoj	prononco
level	ĝoji	a se bucura, a se bucura, a se bucura	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	a lua, a apuca	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	o vacă, un bou, un bovin	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	alta, alta, alta	another, other, else	grupo	alternativoj	prononco
level	varma	cald, cald	hot, warm	grupo	alternativoj	prononco
level	loĝi	a locui, a trăi, a locui, a locui	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	a crede	to believe	grupo	alternativoj	prononco
level	glacio	o gheata	an ice	grupo	alternativoj	prononco
level	loko	un loc, o locație	a place, a location	grupo	alternativoj	prononco
level	ovo	un ou	an egg	grupo	alternativoj	prononco
level	multa	multe, multe, multe	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	o posesie	a possession	grupo	alternativoj	prononco
level	ŝafo	o oaie	a sheep	grupo	alternativoj	prononco
level	sono	un sunet	a sound	grupo	alternativoj	prononco
level	fiŝo	un pește	a fish	grupo	alternativoj	prononco
level	bela	frumos, frumos, frumos	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	a raspunde, a raspunde, a raspunde	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	o ocazie, un timp	an occasion, a time	grupo	alternativoj	prononco
level	demandi	a întreba	to ask	grupo	alternativoj	prononco
level	forta	puternic	strong	grupo	alternativoj	prononco
level	preter ~	dincolo de ~, trecut ~, trecut drept	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	o tăcere	a silence	grupo	alternativoj	prononco
level	infano	un copil, un sugar	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	fericit, norocos, norocos	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	a prinde, a prinde, a prinde	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	a dori, a dori	to desire, to wish	grupo	alternativoj	prononco
level	longa	lung	long	grupo	alternativoj	prononco
level	mondo	o lume	a world	grupo	alternativoj	prononco
level	okazi	a se întâmpla, a se întâmpla, a se întâmpla	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	câmp, un câmp	field, a field	grupo	alternativoj	prononco
level	filo	un fiu	a son	grupo	alternativoj	prononco
level	montri	a arăta, a indica, a indica	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	o inima	a heart	grupo	alternativoj	prononco
level	knabo	un baiat	a boy	grupo	alternativoj	prononco
level	meti	a pune, a aşeza, a aşeza	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	un sot	a husband	grupo	alternativoj	prononco
level	pako	pachet	package	grupo	alternativoj	prononco
level	rapida	rapid, rapid, rapid	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	a parea, a parea a fi	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	un salut, salut, salut	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	a scrie	to write	grupo	alternativoj	prononco
level	peti	a cere, a cere, a cere, a cerși	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	a zbura	to fly	grupo	alternativoj	prononco
level	kapo	un cap, o pelerină	a head, a cape	grupo	alternativoj	prononco
level	krii	a striga, a plânge, a țipa, a striga	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	roșu	red	grupo	alternativoj	prononco
level	sinjoro	un domn, un domn	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	a ține, a ține	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	timp, un timp	time, a time	grupo	alternativoj	prononco
level	tuta	total, tot, întreg, complet, total	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	un barbat	a man	grupo	alternativoj	prononco
level	vojo	o cale, o cale, un traseu	a way, a path, a route	grupo	alternativoj	prononco
level	movi	a muta	to move	grupo	alternativoj	prononco
level	militi	a rupe un război, a lupta, a duce război	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	câteva, mai multe	a few, several	grupo	alternativoj	prononco
level	dekstra	dreapta, dreapta (partea, direcția), dreapta	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	a închide, a închide	to close, to shut	grupo	alternativoj	prononco
level	okupi	a ocupa, a lua	to occupy, to take	grupo	alternativoj	prononco
level	levi	a pârghi, a ridica, a ridica	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	a bate, a lovi, a lovi, a lovi, a bate	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	a avea nevoie, a dori, a cere	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	a înțelege, a realiza	to understand, to realise	grupo	alternativoj	prononco
level	iri	a merge	to go	grupo	alternativoj	prononco
level	veni	a veni	to come	grupo	alternativoj	prononco
level	porti	a purta, a purta	to carry, to wear	grupo	alternativoj	prononco
level	kovri	a acoperi	to cover	grupo	alternativoj	prononco
level	hela	strălucitor, clar și ușor	bright, clear and light	grupo	alternativoj	prononco
level	sana	sănătos	healthy	grupo	alternativoj	prononco
level	aperi	a apărea, a ieși la iveală	to appear, to emerge	grupo	alternativoj	prononco
level	libro	o carte	a book	grupo	alternativoj	prononco
level	atendi	a aștepta, a aștepta, a aștepta	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	o mana	a hand	grupo	alternativoj	prononco
level	pentri	a picta	to paint	grupo	alternativoj	prononco
level	instrui	a preda, a instrui	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	a sta	to sit	grupo	alternativoj	prononco
level	stari	a sta	to stand	grupo	alternativoj	prononco
level	afero	un lucru, un obiect, un caz, o preocupare, o mater	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	plin, complet	full, complete	grupo	alternativoj	prononco
level	klara	clar	clear	grupo	alternativoj	prononco
level	komenci	a începe, a începe	to begin, to commence	grupo	alternativoj	prononco
level	dormi	a dormi, a adormi	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	o parte, o parte	a part, a share	grupo	alternativoj	prononco
level	mono	bani	money	grupo	alternativoj	prononco
level	ricevi	a primi	to receive	grupo	alternativoj	prononco
level	ami	a iubi	to love	grupo	alternativoj	prononco
level	devi	a trebui, trebuie, ar trebui, ar trebui	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	a putea, a putea	be able to, can	grupo	alternativoj	prononco
level	labori	a munci, a munci	to work, to labor	grupo	alternativoj	prononco
level	dio	un zeu	a god	grupo	alternativoj	prononco
level	urbo	un oras, un oras	a city, a town	grupo	alternativoj	prononco
level	ofta	frecvent, des	freqent, often	grupo	alternativoj	prononco
level	soni	a suna, a face sunet	to sound, to make sound	grupo	alternativoj	prononco
level	tero	pământ, pământ, pământ	earth, land, soil	grupo	alternativoj	prononco
level	vivi	a trăi, a fi viu	to live, to be alive	grupo	alternativoj	prononco
level	resti	a rămâne, a rămâne	to stay, to remain	grupo	alternativoj	prononco
level	ridi	a rade	to laugh	grupo	alternativoj	prononco
level	homo	un om, un om	a human, a man	grupo	alternativoj	prononco
level	akvo	apă	water	grupo	alternativoj	prononco
level	vorto	un cuvant	a word	grupo	alternativoj	prononco
level	certa	sigur, sigur	certain, sure	grupo	alternativoj	prononco
level	lando	un pământ, o țară	a land, a country	grupo	alternativoj	prononco
level	sama	la fel	same	grupo	alternativoj	prononco
level	ĵeti	a arunca	to throw	grupo	alternativoj	prononco
level	stelo	o stea	a star	grupo	alternativoj	prononco
level	domo	o casă, o casă	a house, a home	grupo	alternativoj	prononco
level	nomo	un nume, o denumire	a name, an appellation	grupo	alternativoj	prononco
level	vidi	pentru a vedea	to see	grupo	alternativoj	prononco
level	mola	moale	soft	grupo	alternativoj	prononco
level	horo	o oră, ora, timp	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	o formă, o formă	a form, a shape	grupo	alternativoj	prononco
level	tago	o zi	a day	grupo	alternativoj	prononco
level	fumo	un fum	a smoke	grupo	alternativoj	prononco
level	ĉevalo	un cal	a horse	grupo	alternativoj	prononco
level	jaro	un an	a year	grupo	alternativoj	prononco
level	vojaĝi	a calatori	to travel	grupo	alternativoj	prononco
level	celo	un scop, o țintă, un scop, un obiectiv	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	a da naștere, a naște, a genera	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	a lipsi, a lipsi, a lipsi	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	o pasare	a bird	grupo	alternativoj	prononco
level	halti	a opri, a opri, a se opri	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	un frate	a brother	grupo	alternativoj	prononco
level	monto	un munte	a mountain	grupo	alternativoj	prononco
level	pensi	a gandi	to think	grupo	alternativoj	prononco
level	permesi	a permite, a permite	to permit, to allow	grupo	alternativoj	prononco
level	kosti	a costa	to cost	grupo	alternativoj	prononco
level	lito	un pat, o canapea	a bed, a couch	grupo	alternativoj	prononco
level	perdi	a pierde	to lose	grupo	alternativoj	prononco
level	miri	a surprinde, a fi adunat, a fi uimit	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	o persoana	a person	grupo	alternativoj	prononco
level	diversa	divers, variat, variat	diverse, varied, various	grupo	alternativoj	prononco
level	provi	a încerca, a încerca	to try, to attempt	grupo	alternativoj	prononco
level	pagi	a plăti	to pay	grupo	alternativoj	prononco
level	prezenti	a prezenta, a prezenta	to present, to introduce	grupo	alternativoj	prononco
level	aparta	separat, deosebit, separat	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	drept, un drept	right, a right	grupo	alternativoj	prononco
level	mateno	dimineata, o dimineata	morning, a morning	grupo	alternativoj	prononco
level	agrabla	plăcut, agreabil, drăguț	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	seara, o seara	evening, an evening	grupo	alternativoj	prononco
level	muro	un perete	a wall	grupo	alternativoj	prononco
level	suno	soare, un soare	sun, a sun	grupo	alternativoj	prononco
level	rigardi	a privi, a privi	to look, to look at	grupo	alternativoj	prononco
level	senti	a simți, a simți	to feel, to sense	grupo	alternativoj	prononco
level	blanka	alb, gol	white, blank	grupo	alternativoj	prononco
level	simpla	simplu	simple	grupo	alternativoj	prononco
level	rimarki	a observa	to notice	grupo	alternativoj	prononco
level	lingvo	o limbă, o limbă	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	a schimba, a se întoarce	to change, to turn	grupo	alternativoj	prononco
level	renkonti	a întâlni, a întâlni, a întâlni	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	a folosi	to use	grupo	alternativoj	prononco
level	timi	a se teme, a se teme de	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	adevărat, adevărat	real, true	grupo	alternativoj	prononco
level	sola	singur, singur, singur, singur	alone, only, sole, solitary	grupo	alternativoj	prononco
