B.pl content.tsv
Level	Esperanto	pl	en-us	Grupo	Alternativoj	Pronoco
level	en ĉi tiu loko estas tro da bruo	w tym miejscu jest za dużo hałasu	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	tak, masz rację	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	zatańczymy?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	dobry pomysł!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	dziękuję za miły wieczór	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	dziękuję ( tobie)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	to było bardzo dobre	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	muzyka jest przyjemna dla ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	muzyka bardzo mi się podobała	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	także do mnie	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	taniec jest bardzo zabawny	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	z tobą zatańczyć	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	bardzo zabawnie było z tobą tańczyć	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	oto moja wizytówka	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	Jeśli tego chcesz	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	oto moja wizytówka, jeśli chcesz	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	na nim jest też ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	jest na nim także adres	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	tam jest adres strony internetowej	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	adres strony z kursem języka espernato	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Dziękuję	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Wyślę Ci e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Dobra!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	do zobaczenia ponownie i dobrej nocy!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	do zobaczenia!	see you!	grupo	alternativoj	prononco
level	aperas en ~	pojawia się w ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	komunikator internetowy	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ pojawia się w komunikatorze	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	czy jesteś tą osobą?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	ta osoba, która ze mną tańczyła	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Sobotnia noc	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	czy jesteś tą osobą, która tańczyła ze mną w sobotni wieczór?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	tak to ja	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Cieszę się, że ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Cieszę się, że trafiłeś na stronę	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	czy sprawia ci to przyjemność? (czy lubisz to?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	tak, tak	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	to jest bardzo piękne	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	wygląda interesująco	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	jest bardzo piękny i wydaje się interesujący	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	jeszcze nie ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	nie jest całkowicie gotowy	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	nie jest jeszcze całkowicie gotowy	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ale niedługo tak będzie	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Rozumiem (rozumiem)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ale jest już wiele narzędzi pomocy	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	słownik	a dictionary	grupo	alternativoj	prononco
level	superrigardo	Przegląd	an overview	grupo	alternativoj	prononco
level	ekzerco	eksces	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	przykładowe słowa, przegląd, komunikator i ćwiczenia	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	przegląd gramatyki	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	komunikator internetowy i różne ćwiczenia	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	to dobry początek	it is a good start	grupo	alternativoj	prononco
level	pardonon	przepraszam, przepraszam	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Muszę porozmawiać z ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	porozmawiać z inną osobą	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Przepraszam, powinienem porozmawiać z inną osobą	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	pomocnik językowy	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Jestem jej pomocnikiem językowym	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	a teraz chce porozmawiać o ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	porozmawiać o ćwiczeniu	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	wkrótce wrócę	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Niedługo do ciebie wrócę	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	po kilku minutach	after several minutes	grupo	alternativoj	prononco
level	finparolis	skończył mówić	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	teraz skończyliśmy rozmawiać o ćwiczeniu	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	w międzyczasie, na jakiś czas	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	W międzyczasie czytałem o esperanto	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	nie jestem pewien	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	wie wystarczająco dużo o ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Nie znam jeszcze dostatecznie języka	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	mądra odpowiedź	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Poszukam w serwisie	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	i spróbuję się trochę nauczyć	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	chcesz być moim pomocnikiem językowym?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	chętnie!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	Nie ma za co!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	nie warto dziękować, ale warto pocałować	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	mówi to po esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	Co? Nie rozumiem	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	możesz zajrzeć do słownika	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	Niestety	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Muszę już odejść od Internetu	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Wrócę wieczorem	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Myślę, że do tego czasu będę już na miejscu	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	doskonały!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	cóż, do zobaczenia!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	do zobaczenia później!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	wieczorem także przez komunikator	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Witam ponownie! (Odnośnie-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Witam ponownie!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Przejrzałem prawie wszystkie strony serwisu	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	całkiem dobry! Wspaniały!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Mam kilka pytań	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Czy masz czas?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	tak, wieczorem jestem wolny	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	więc napisz swoje pytania	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Spróbuję odpowiedzieć	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Czytałem, że esperanto ma swoją kulturę	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	jednak nie rozumiem ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	gdzie mogę znaleźć taką kulturę	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	znajdziesz wszędzie, gdzie ~ jest	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	każde miejsce, gdzie są ludzie mówiący w esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ale nikt nie używa esperanta	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	Prawidłowy!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ale ludzie mówiący w esperanto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	często podróżuje i spotyka innych esperantystów	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	podczas tych spotkań	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	używają tego języka w najróżniejszych sytuacjach	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	więc tam znajdziesz ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	znajdziesz kulturę	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	odnajdziemy kulturę esperanto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	OK, czy muzyka istnieje?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	muzyka, literatura, teatr	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	itp	etc	grupo	alternativoj	prononco
level	same kiel ~	tak samo jak ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	tak samo jak w przypadku innych języków	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	ilość nie jest tak duża	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	tak duże, jak w językach narodowych	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ale to nie jest ważne	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	Przynajmniej nie dla mnie	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	jeśli chcesz posłuchać ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	posłuchać piosenki w języku esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	oto piosenka „Lisa maluje obrazy”	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	słucha piosenki	listens to the song	grupo	alternativoj	prononco
level	ne malbone	nie jest zły	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	a znajdziesz wiele książek w języku esperanto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	wygląda na książki	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	wystarczająco wielu	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	Czy dużo czytasz w esperancie?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	tak, czasami (od czasu do czasu)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	jeśli kiedykolwiek nauczysz się języka	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Polecę Ci kilka dobrych książek	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	chodzi o ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	moje drugie pytanie dotyczy mojego imienia	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	powiedziałeś wcześniej, że ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	ma związek z ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	powiedział, że ma to związek z esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	o, tak, o to	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	mężczyzna o imieniu ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	żył kiedyś człowiek o imieniu ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	był bardzo aktywny w ruchu esperanckim	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	kiedy było zupełnie nowe	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	przetłumaczył książkę na ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	i przetłumaczył wiele książek na esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	i to uczyniło go sławnym?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	jeden z najważniejszych dla esperanta tamtych czasów	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	i miał duży wpływ na styl języka	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	nie, z pewnością był ważny i miał wpływ	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	jednak nagle porzucił ten ruch	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Wyobrażam sobie to ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Myślę, że dla wielu był to duży szok	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	dlaczego porzucił esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Wierzę, że ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	był niezadowolony z esperantystów	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	powiedział coś podobnego do ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanta muszą uczyć się sami esperantyści!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	co miał na myśli mówiąc ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	co chciał przez to powiedzieć?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	prawdopodobne, że ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	ludzie źle mówili w esperanto	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	jest prawdopodobne, że ludzie mówili źle	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	w roku 1911 porzucił esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	ale myślę, że ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	jest wyższy	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	dziś poziom języka jest wyższy	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	poziom języka esperantystów	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	ale myślę, że dzisiaj poziom jest wyższy	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	więc muszę dobrze nauczyć się języka	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	za bycie dobrym człowiekiem	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	i powinieneś używać prostego stylu	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	bo to było dla niego bardzo ważne	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	to mnie cieszy (lubię to)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	w esperanto jest nawet słowo ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	jest nawet słowo „kabei”	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	porzucić ruch	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	słowo „kabei”, które oznacza porzucenie ruchu	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	to interesujące!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	teraz znam jedno słowo w esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	Nigdy nie zapomnę	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	i prawdopodobnie nigdy tego nie zapomnę	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	w kawiarni” po kilku tygodniach	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	udało mu się nauczyć esperanta	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	i używają tego języka	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	zapraszać, zaproszenie	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	tutaj, spójrz, zaproszenie dla IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	Co? Ee-yo-co?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	młody człowiek, grupa młodych ludzi	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK to Międzynarodowy Kongres Młodzieży	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Mam zamiar na to pójść	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	chcesz też iść?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	cóż, „kongres” nie brzmi zbyt interesująco	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	ale jest (ciekawe)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	nie myśl o czymś nudnym, powolnym kongresie	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	chodzi o ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	chodzi po prostu o spotkanie z młodymi ludźmi	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	spotkanie z młodzieżą z wielu krajów	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Będzie tam od 300 do 400 osób	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	będzie tam prawdopodobnie od 300 do 400 osób	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	prawie wszyscy	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	i prawie wszyscy będą mówić w esperanto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	nie mówi dobrze	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, ale nie mówię dobrze w esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	to nie ma znaczenia	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	możliwe jest wzięcie udziału w ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	aby wziąć tam udział w kursach esperanta	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	zazwyczaj	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	zwykle są dwa poziomy	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	ludzie, którzy już nauczyli się języka	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	jeden dla początkujących	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	a drugi dla tych, którzy już nauczyli się języka	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	Jezu, co?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	powiedziałeś „zwykle”	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	och, IJK odbywa się co roku	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	za każdym razem w innym kraju	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	z tego powodu każdy IJK jest inny	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	ale są też programy	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programy, które często powracają	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	ale są też programy, które często powracają	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	Na przykład	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	na przykład prawie zawsze można grać w sport i karty	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	rozmawiać z przyjaciółmi przez całą noc	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	śpiewać przy ogniu i tańczyć	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	do wzięcia udziału w koncertach i tak dalej	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	cóż, mogę to też zrobić w domu	well, I can do that at home too	grupo	alternativoj	prononco
