C.hi content.tsv
Level	Esperanto	hi	en-us	Grupo	Alternativoj	Pronoco
level	-at-	<suffix>निष्क्रिय वर्तमान कृदंत	<suffix> passive present participle	grupo	alternativoj	prononco
level	-it-	<suffix>निष्क्रिय भूत कृदंत	<suffix> passive past participle	grupo	alternativoj	prononco
level	-ot-	<suffix>निष्क्रिय भविष्य कृदंत	<suffix> passive future participle	grupo	alternativoj	prononco
level	tre	बहुत, काफी, बहुत	very, quite, very much	grupo	alternativoj	prononco
level	tro	बहुत, अत्यधिक, बहुत अधिक	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	हालाँकि, फिर भी, लेकिन, फिर भी	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	ओह! हो!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	वह~	that ~	grupo	alternativoj	prononco
level	ĉar ~	क्योंकि~	because ~	grupo	alternativoj	prononco
level	ĉu	चाहे~	whether ~	grupo	alternativoj	prononco
level	-ej-	<suffix>जगह	<suffix> place	grupo	alternativoj	prononco
level	-ec-	<suffix>गुणवत्ता का सार नाम	<suffix> abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	दोनों~	both ~	grupo	alternativoj	prononco
level	tuj	तुरंत, तुरंत, तुरंत	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	मानो~	as if ~	grupo	alternativoj	prononco
level	kiam	कब	when	grupo	alternativoj	prononco
level	silenti	चुप रहना, चुप रहना	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	कभी नहीं, किसी भी समय नहीं, कभी नहीं	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	इसलिए इतना	therefore, so	grupo	alternativoj	prononco
level	kial	क्यों, किसलिए	why, what for	grupo	alternativoj	prononco
level	kvankam	यद्यपि ~, जबकि, यद्यपि	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	<preposition>पर~	<preposition> at ~	grupo	alternativoj	prononco
level	pli	अधिक	more	grupo	alternativoj	prononco
level	plej	अधिकांश	most	grupo	alternativoj	prononco
level	diri	कहना, बताना	to say, to tell	grupo	alternativoj	prononco
level	ol ~	से ~	than ~	grupo	alternativoj	prononco
level	paroli	बोलना, बात करना	to speak, to talk	grupo	alternativoj	prononco
level	kia	किस प्रकार का, किस प्रकार का	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	ऐसा, वैसा, वैसा	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	बमुश्किल, मुश्किल से, मुश्किल से	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	भेजने के लिए	to send	grupo	alternativoj	prononco
level	ĵus	अभी (एक क्षण पहले), अभी	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	<suffix>अनिवार्य	<suffix> imperative	grupo	alternativoj	prononco
level	ekster ~	बाहर~	outside ~	grupo	alternativoj	prononco
level	ge-	<prefix>दोनों लिंग, दोनों लिंग	<prefix> both sex, both gender	grupo	alternativoj	prononco
level	-us	<suffix>होगा, चाहिए, वशीभूत	<suffix> would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	जल्द ही	soon	grupo	alternativoj	prononco
level	almenaŭ	और कुछ नहीं तो कम से कम	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	डिस	dis-	grupo	alternativoj	prononco
level	-uj-	<suffix>कंटेनर; देश	<suffix> container; country	grupo	alternativoj	prononco
level	lerni	जानने के लिए	to learn	grupo	alternativoj	prononco
level	ek-	<prefix>शुरुआत; अचानक शुरुआत	<prefix> beginning; sudden start	grupo	alternativoj	prononco
level	se	यदि, बशर्ते कि	if, provided that	grupo	alternativoj	prononco
level	eĉ	यहां तक की	even	grupo	alternativoj	prononco
level	amo	एक प्यार	a love	grupo	alternativoj	prononco
level	jam	पहले से ही, इतनी जल्दी, अभी तक	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	यहाँ! लो! देखो	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	समाप्त करना, समाप्त करना, समाप्त करना	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	इसलिए, फिर, इसलिए	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~कभी भी, (क्या)कभी भी, -कभी भी	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	आसान, सुगम	easy, facile	grupo	alternativoj	prononco
level	re-	<prefix>दोबारा-	<prefix> re-	grupo	alternativoj	prononco
level	granda	बड़ा, महान, विशाल	big, great, large	grupo	alternativoj	prononco
level	-ist-	<suffix>पेशेवर	<suffix> professional	grupo	alternativoj	prononco
level	pro ~	<preposition>~ के कारण, ~ के कारण	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	<suffix>नेता, बॉस, मुखिया, प्रमुख	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	क्या	what	grupo	alternativoj	prononco
level	manĝi	को खाने के	to eat	grupo	alternativoj	prononco
level	nenio	कुछ भी नहीं, कुछ भी नहीं, कुछ भी नहीं	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	युवा	young	grupo	alternativoj	prononco
level	ĉio	सब कुछ	everything	grupo	alternativoj	prononco
level	riĉa	अमीर, धनवान, संपन्न	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	वह चीज़, वह	that thing, that	grupo	alternativoj	prononco
level	konstrui	निर्माण करना, निर्माण करना	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	<prefix>प्रमुख, अग्रणी, मुख्य	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	<preposition>बिना~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	<preposition>~ के साथ (साथ में)	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	<preposition>~ को छोड़कर, ~ को छोड़कर	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	एक मित्र	a friend	grupo	alternativoj	prononco
level	kies	किसका, किसका, किसका	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	<preposition>~ (एक विधि) द्वारा, ~ (एक उपकरण) के साथ	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	विरुद्ध~	against ~	grupo	alternativoj	prononco
level	el ~	~ से बाहर, ~ से	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	आज	today	grupo	alternativoj	prononco
level	hieraŭ	कल	yesterday	grupo	alternativoj	prononco
level	nur	केवल, बस, विशेष रूप से	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	सहायता करना, मदद करना, मदद करना	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	<adverb>बहुत दूर	<adverb> far, away	grupo	alternativoj	prononco
level	nek	नही दोंनों में से कोई भी नहीं	nor, neither	grupo	alternativoj	prononco
level	malamo	एक नफरत	a hate	grupo	alternativoj	prononco
level	preskaŭ	लगभग पास में	almost, nearly	grupo	alternativoj	prononco
level	tra ~	के माध्यम से~	through ~	grupo	alternativoj	prononco
level	super	इससे ऊपर	over, above	grupo	alternativoj	prononco
level	trans ~	ऊपर ~, पार ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	अच्छा, अच्छा, तब, अब	well, well then, now	grupo	alternativoj	prononco
level	pri ~	~ के बारे में	about ~	grupo	alternativoj	prononco
level	por ~	~ के लिए, ~ के लिए क्रम में	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	कल	tomorrow	grupo	alternativoj	prononco
level	nun	अभी, वर्तमान में	now, at present	grupo	alternativoj	prononco
level	laŭ ~	~ के अनुसार, साथ ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	प्रत्येक, प्रत्येक, हर कोई, सभी	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	कौन, कौन सा, कौन सा	who, which, which one	grupo	alternativoj	prononco
level	tiu	वह व्यक्ति, वह ~, वह वाला, उधर	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	कोई, कोई, कोई	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	कोई भी नहीं, कोई भी नहीं, न ही	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	को~	to ~	grupo	alternativoj	prononco
level	-ebl-	<suffix>~सक्षम	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	आशा करना	to hope	grupo	alternativoj	prononco
level	unu	एक	one	grupo	alternativoj	prononco
level	du	दो	two	grupo	alternativoj	prononco
level	tri	तीन	three	grupo	alternativoj	prononco
level	kvar	चार	four	grupo	alternativoj	prononco
level	kvin	पाँच	five	grupo	alternativoj	prononco
level	ses	छह	six	grupo	alternativoj	prononco
level	sep	सात	seven	grupo	alternativoj	prononco
level	ok	आठ	eight	grupo	alternativoj	prononco
level	naŭ	नौ	nine	grupo	alternativoj	prononco
level	dek	दस	ten	grupo	alternativoj	prononco
level	cent	एक सौ	a hundred	grupo	alternativoj	prononco
level	mil	एक हजार	a thousand	grupo	alternativoj	prononco
level	-obl-	<suffix>बहुलता के लिए, -बल, -गुना	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	<suffix>~वें, अंश	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	इश्क़ वाला	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~ के बजाय	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	<suffix>बनना	<suffix> become	grupo	alternativoj	prononco
level	voli	चाहना, इच्छा करना, इच्छुक होना	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	<suffix>बनने का कारण	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	अनुकरण करना	to follow	grupo	alternativoj	prononco
level	ĝoje	ख़ुशी से	gladly	grupo	alternativoj	prononco
level	legi	पढ़ने के लिए	to read	grupo	alternativoj	prononco
level	silenta	चुपचाप	silent	grupo	alternativoj	prononco
level	la		the	grupo	alternativoj	prononco
level	ha!	हा!	ha!	grupo	alternativoj	prononco
level	-il-	<suffix>उपकरण, विधि	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	पीना (गैर-अल्कोहल)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	<suffix>छोटा छोटा	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	<suffix>बङा विशाल	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	<preposition>के बीच~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	<suffix>संबंधित व्यवहार	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	<suffix>सेट, समूह	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	<suffix>एक समूह का सदस्य	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	धन्यवाद करने	to thank	grupo	alternativoj	prononco
level	-ind-	<suffix>सार्थक, योग्य	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	और भी अधिक, और भी, और भी, और भी अधिक	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	कैसे, पसंद, किस प्रकार, जैसे	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	इस प्रकार, उस प्रकार, इस प्रकार	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	<preposition>में ~	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	<preposition>~ के बगल में, ~ के बगल में	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	<preposition>नीचे, नीचे ~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	<preposition>पर~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	<preposition>अनिश्चित तैयारी, पर, अंदर, द्वारा, चालू	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	<adverb>फिर भी	<adverb> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	<preposition>चारों ओर~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	लेकिन	but	grupo	alternativoj	prononco
level	ie	कहीं	somewhere	grupo	alternativoj	prononco
level	kie	कहाँ, किस स्थान पर	where, at what place	grupo	alternativoj	prononco
level	silente	दिल ही दिल में	silently	grupo	alternativoj	prononco
level	ĉie	हर जगह, हर जगह	everywhere, all about	grupo	alternativoj	prononco
level	nenie	कहीं नहीं, किसी भी स्थिति में नहीं, कहीं भी नहीं	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	वहाँ, वहाँ, उधर	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	यह~	this ~	grupo	alternativoj	prononco
level	kanti	गाने के लिए	to sing	grupo	alternativoj	prononco
level	morti	मरना, गुज़र जाना	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	<preposition>~ के दौरान, जबकि ~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	एक राष्ट्र	a nation	grupo	alternativoj	prononco
level	koni	(किसी व्यक्ति को) जानना, परिचित होना	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	जानना (एक तथ्य, ज्ञान), यह जानना कि कैसे	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	सदैव कभी	always, ever	grupo	alternativoj	prononco
level	iam	किसी समय, एक बार	at some time, once	grupo	alternativoj	prononco
level	tiam	तब	then	grupo	alternativoj	prononco
level	-em-	<suffix>प्रवृत्ति	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	एक तरह का	some kind of	grupo	alternativoj	prononco
level	sukcesi	सफल होने के लिए	to succeed	grupo	alternativoj	prononco
level	ĉia	हर तरह का, हर तरह का	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	नहीं, किसी भी तरह का नहीं, किसी भी तरह का नहीं	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	<suffix>वंश	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	एक कमरा, एक कक्ष	a room, a chamber	grupo	alternativoj	prononco
level	patro	पापा अ	a father	grupo	alternativoj	prononco
level	porko	एक सुअर, सूअर	a pig, swine	grupo	alternativoj	prononco
level	bo-	<prefix>-ससुराल, शादी से	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	वास्तव में	indeed	grupo	alternativoj	prononco
level	-ism-	<suffix>-इस्म	<suffix> -ism	grupo	alternativoj	prononco
level	io	कुछ	something	grupo	alternativoj	prononco
level	veturi	चलाना (एक वाहन)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	मुर्गा, मुर्गी, मुर्गी, मुर्गी	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	मुक्त	free	grupo	alternativoj	prononco
level	lasta	अंतिम	last	grupo	alternativoj	prononco
level	ĝoji	आनंदित होना, ख़ुश होना, आनंद लेना	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	लेना, पकड़ लेना	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	एक गाय, एक बैल, गोजातीय पशु	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	अन्य, अन्य, अन्य	another, other, else	grupo	alternativoj	prononco
level	varma	उष्म गर्म	hot, warm	grupo	alternativoj	prononco
level	loĝi	बसना, बसना, निवास करना, वास करना	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	विश्वास करना	to believe	grupo	alternativoj	prononco
level	glacio	अच्छा	an ice	grupo	alternativoj	prononco
level	loko	एक स्थान, एक स्थान	a place, a location	grupo	alternativoj	prononco
level	ovo	एक अंडा	an egg	grupo	alternativoj	prononco
level	multa	बहुत, बहुत, बहुत	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	एक कब्ज़ा	a possession	grupo	alternativoj	prononco
level	ŝafo	एक भेड़	a sheep	grupo	alternativoj	prononco
level	sono	एक आवाज़	a sound	grupo	alternativoj	prononco
level	fiŝo	एक मछली	a fish	grupo	alternativoj	prononco
level	bela	सुंदर, सुंदर, सुन्दर	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	उत्तर देना, प्रत्युत्तर देना, प्रत्युत्तर देना	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	एक अवसर, एक समय	an occasion, a time	grupo	alternativoj	prononco
level	demandi	पूछने के लिए	to ask	grupo	alternativoj	prononco
level	forta	मज़बूत	strong	grupo	alternativoj	prononco
level	preter ~	परे ~, अतीत ~, सीधा अतीत	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	एक खामोशी	a silence	grupo	alternativoj	prononco
level	infano	एक बच्चा, एक शिशु	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	खुश, भाग्यशाली, सौभाग्यशाली	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	पकड़ना, पकड़ना, हाथापाई करना	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	इच्छा करना, कामना करना	to desire, to wish	grupo	alternativoj	prononco
level	longa	लंबा	long	grupo	alternativoj	prononco
level	mondo	एक दुनिया	a world	grupo	alternativoj	prononco
level	okazi	घटित होना, घटित होना, घटित होना	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	मैदान, एक मैदान	field, a field	grupo	alternativoj	prononco
level	filo	एक बेटा	a son	grupo	alternativoj	prononco
level	montri	दिखाना, इंगित करना, इंगित करना	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	एक हृदय	a heart	grupo	alternativoj	prononco
level	knabo	लड़का	a boy	grupo	alternativoj	prononco
level	meti	रखना, रखना, बिछाना	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	एक पति	a husband	grupo	alternativoj	prononco
level	pako	पैकेट	package	grupo	alternativoj	prononco
level	rapida	तेज़, तेज़, शीघ्र	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	प्रतीत होना, प्रतीत होना	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	नमस्कार, सलाम, नमस्कार	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	लिखना	to write	grupo	alternativoj	prononco
level	peti	माँगना, मांगना, विनती करना, विनती करना	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	उड़ान भरने के लिए	to fly	grupo	alternativoj	prononco
level	kapo	एक सिर, एक केप	a head, a cape	grupo	alternativoj	prononco
level	krii	चिल्लाना, रोना, चिल्लाना, चिल्लाना	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	लाल	red	grupo	alternativoj	prononco
level	sinjoro	एक श्रीमान, एक सज्जन	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	पकड़ना, लटकाना	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	समय, एक समय	time, a time	grupo	alternativoj	prononco
level	tuta	कुल, सब, पूरा, संपूर्ण, समग्र	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	एक आदमी	a man	grupo	alternativoj	prononco
level	vojo	एक रास्ता, एक पथ, एक मार्ग	a way, a path, a route	grupo	alternativoj	prononco
level	movi	हिलना डुलना	to move	grupo	alternativoj	prononco
level	militi	युद्ध छेड़ना, लड़ना, युद्ध छेड़ना	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	कुछ, अनेक	a few, several	grupo	alternativoj	prononco
level	dekstra	दाहिना, दाहिना (पक्ष, दिशा), दाहिना हाथ	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	बंद करना, बंद करना	to close, to shut	grupo	alternativoj	prononco
level	okupi	कब्ज़ा करना, लेना	to occupy, to take	grupo	alternativoj	prononco
level	levi	उत्तोलन करना, उठाना, ऊपर उठाना	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	मारना, मारना, प्रहार करना, मारना, मारना	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	आवश्यकता करना, चाहना, आवश्यकता करना	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	समझना, महसूस करना	to understand, to realise	grupo	alternativoj	prononco
level	iri	चल देना	to go	grupo	alternativoj	prononco
level	veni	आने के	to come	grupo	alternativoj	prononco
level	porti	ले जाना, पहनना	to carry, to wear	grupo	alternativoj	prononco
level	kovri	आच्छादित करना	to cover	grupo	alternativoj	prononco
level	hela	उज्ज्वल, स्पष्ट और प्रकाश	bright, clear and light	grupo	alternativoj	prononco
level	sana	स्वस्थ	healthy	grupo	alternativoj	prononco
level	aperi	प्रकट होना, उभरना	to appear, to emerge	grupo	alternativoj	prononco
level	libro	एक किताब	a book	grupo	alternativoj	prononco
level	atendi	इंतज़ार करना, उम्मीद करना, इंतज़ार करना	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	एक हाथ	a hand	grupo	alternativoj	prononco
level	pentri	पेंट करने के लिए	to paint	grupo	alternativoj	prononco
level	instrui	सिखाना, निर्देश देना	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	बेठना	to sit	grupo	alternativoj	prononco
level	stari	सहन करना	to stand	grupo	alternativoj	prononco
level	afero	एक चीज़, एक वस्तु, एक मामला, एक चिंता, एक मामला	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	पूर्ण, पूर्ण	full, complete	grupo	alternativoj	prononco
level	klara	स्पष्ट	clear	grupo	alternativoj	prononco
level	komenci	शुरू करना, आरंभ करना	to begin, to commence	grupo	alternativoj	prononco
level	dormi	सोना, सोये रहना	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	एक हिस्सा, एक हिस्सा	a part, a share	grupo	alternativoj	prononco
level	mono	धन	money	grupo	alternativoj	prononco
level	ricevi	ग्रहण करना	to receive	grupo	alternativoj	prononco
level	ami	प्यार करने के लिए	to love	grupo	alternativoj	prononco
level	devi	होना चाहिए, अवश्य, चाहिए, होना चाहिए	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	सक्षम हो सकता है, कर सकता हूँ	be able to, can	grupo	alternativoj	prononco
level	labori	काम करना, परिश्रम करना	to work, to labor	grupo	alternativoj	prononco
level	dio	भगवान	a god	grupo	alternativoj	prononco
level	urbo	एक शहर, एक क़स्बा	a city, a town	grupo	alternativoj	prononco
level	ofta	अक्सर, अक्सर	freqent, often	grupo	alternativoj	prononco
level	soni	ध्वनि करना, ध्वनि उत्पन्न करना	to sound, to make sound	grupo	alternativoj	prononco
level	tero	धरती, भूमि, मिट्टी	earth, land, soil	grupo	alternativoj	prononco
level	vivi	जीवित रहना, जीवित रहना	to live, to be alive	grupo	alternativoj	prononco
level	resti	रहना, बने रहना	to stay, to remain	grupo	alternativoj	prononco
level	ridi	हँसने के लिए	to laugh	grupo	alternativoj	prononco
level	homo	एक इंसान, एक आदमी	a human, a man	grupo	alternativoj	prononco
level	akvo	पानी	water	grupo	alternativoj	prononco
level	vorto	शब्द	a word	grupo	alternativoj	prononco
level	certa	निश्चित, निश्चित	certain, sure	grupo	alternativoj	prononco
level	lando	एक भूमि, एक देश	a land, a country	grupo	alternativoj	prononco
level	sama	वही	same	grupo	alternativoj	prononco
level	ĵeti	फेंकना	to throw	grupo	alternativoj	prononco
level	stelo	एक सितारा	a star	grupo	alternativoj	prononco
level	domo	एक घर, एक घर	a house, a home	grupo	alternativoj	prononco
level	nomo	एक नाम, एक पदवी	a name, an appellation	grupo	alternativoj	prononco
level	vidi	देखने के लिए	to see	grupo	alternativoj	prononco
level	mola	कोमल	soft	grupo	alternativoj	prononco
level	horo	एक घंटा, एक बजे, समय	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	एक रूप, एक आकार	a form, a shape	grupo	alternativoj	prononco
level	tago	एक दिन	a day	grupo	alternativoj	prononco
level	fumo	एक धुआं	a smoke	grupo	alternativoj	prononco
level	ĉevalo	एक घोड़ा	a horse	grupo	alternativoj	prononco
level	jaro	एक साल	a year	grupo	alternativoj	prononco
level	vojaĝi	यात्रा करना	to travel	grupo	alternativoj	prononco
level	celo	एक लक्ष्य, एक लक्ष्य, एक उद्देश्य, एक उद्देश्य	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	जन्म देना, धारण करना, उत्पन्न करना	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	चूकना, कमी होना, चूक जाना	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	एक पक्षी	a bird	grupo	alternativoj	prononco
level	halti	रुकना, रुकना, थम जाना	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	एक भाई	a brother	grupo	alternativoj	prononco
