A.ms content.tsv
Level	Esperanto	ms	en-us	Grupo	Alternativoj	Pronoco
level	ĝis revido!	jumpa lagi!	see you again!	grupo	alternativoj	prononco
level	dankon	terima kasih	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	terima kasih dan jumpa lagi!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	kepada ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	kepada awak, kepada saya	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(sekarang) terima kasih, (dahulu) terima kasih	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Saya menghargai anda	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	Ya tidak	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ya, terima kasih	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	makan, akan makan	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	saya tak makan	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	tidak, saya tidak makan	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	cantik, cantik	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	berbaloi (berakhir)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	dihargai, patut disyukuri	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	keseluruhan, secara keseluruhan	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	semua, (objektif) semua	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	tidak sama sekali, anda dialu-alukan	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	sama sekali tidak	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	memaafkan, memaafkan	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	satu pengampunan kepada saya	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Saya minta maaf! (maafkan saya)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Saya minta maaf, tolong	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	selamat pagi	a good morning	grupo	alternativoj	prononco
level	bonan matenon	selamat Pagi	good morning	grupo	alternativoj	prononco
level	bonan nokton	selamat Malam	good night	grupo	alternativoj	prononco
level	bonan sonĝon	mimpi indah	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(selamat) perjalanan, kepada anda	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	selamat hari!	good day!	grupo	alternativoj	prononco
level	ĉu ~	adakah ia ~ ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	adakah anda sihat? (apa khabar?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	ya, saya sihat	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	tidak, tidak sama sekali	no, not at all	grupo	alternativoj	prononco
level	tre, tro	sangat, terlalu banyak	very, too much	grupo	alternativoj	prononco
level	granda, grande	besar, sebahagian besarnya	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	sangat bagus, terlalu besar	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	anda melakukannya dengan sangat baik	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	kurang sihat	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	untuk belajar, pembelajaran	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	sedang melihat, seorang penonton	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	sedang belajar, seorang pelajar (orang yang belajar)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	sedang -ing, orang yang sedang melakukan	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	seorang pelajar, seorang yang telah belajar	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Saya seorang pelajar.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ adalah kawan saya	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	dia dia	he, she	grupo	alternativoj	prononco
level	sidi, sidas	duduk, duduk	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sedang duduk, sedang duduk, akan duduk	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	dia duduk dan dia belajar	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	bilik	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	belajar dalam bilik	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	seorang pelajar dan ahli sukan	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sukan dan ahli sukan	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	seorang ahli sukan adalah bersukan	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	dia seorang pelajar	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	dia seorang pelajar dan ahli sukan	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	dia kini duduk	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	dan kini sedang belajar	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sedang duduk dan sedang belajar	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	sekarang dalam bilik	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	berada di atas meja	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	kertas dan kertas	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	sebuah meja dan meja	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	sebuah buku dan buku	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	kertas dan buku	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	ia berada di atas meja.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	sedang menulis di atas meja tulis	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	buku-buku itu ialah ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	di atas meja	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	buku teks dan buku teks	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	atas meja ada ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	seorang ayah dan seorang ibu	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	bapa dan ibu	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	ibu kepada kawan saya	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	di dalam bilik	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	tiada di dalam bilik	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	mereka kini bekerja	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	bapanya seorang pekerja	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	dia bekerja di hotel	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	ibu mengajar	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	dia adalah seorang guru	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	adakah dia seorang ibu?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	tidak, dia seorang pengusaha hotel	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	tidak, saya tidak bekerja	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	siapa nama dia?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	siapa yang menjawab sekarang?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	bahasa ibu mereka	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	adakah nama awak ~ ?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	kami duduk dan menjawab	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	kerusi kerjanya	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	namanya bukan ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	bahasa dia bahasa mereka	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	ayah dan ibu kita	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	pelajar anda, pelajar anda	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	adakah mereka pelajar anda?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	Adakah awak seorang pelajar?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	awak ada dalam bilik?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Saya bukan ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	seorang Esperantist dan seorang Esperantist perempuan	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	mendaftar masuk untuk bilik hotel	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	seorang ahli bahasa dan seorang pekerja wanita	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	kawan perempuannya ialah ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	pelajar dan ahli sukan	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	nama keluarga saya ialah ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	siapakah dia? yang mana dia?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	ialah kawan perempuan awak	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	adakah kawan awak ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	sedang menulis sekarang di dalam bilik	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	adakah kawan awak ayah ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	bekerja di hotel	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	apa yang ada di atas meja?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	atas meja bilik kami	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	adakah buku teks bahasa Esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	berada di atas meja anda	is on your table	grupo	alternativoj	prononco
level	havas amikinon	mempunyai seorang kawan	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	nama dia ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	muda dan cantik	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	masih muda dan cantik	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	kawan muda dan cantik	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	adalah kawan lelaki dan perempuan	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	rumah gurunya	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	datang ke rumah	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	rumah ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	sila masuk	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Hello apa yang anda lakukan?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	apa yang awak buat? awak tengah buat apa?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	tetapi sekarang saya mahu ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	saya hendak bercakap	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	bersama tiga rakan lelaki dan perempuan	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	bercakap dengan awak	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	mahu bercakap dengan anda	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	adakah anda mempunyai kawan lelaki dan perempuan	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	dia ada buku	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	mempunyai buku yang bagus	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ya saya ada	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	mereka sukakannya	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	dia membaca buku	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	suka membaca buku	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	hanya sebuah buku yang bagus	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	banyak buku yang bagus	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	baca buku yang bagus sahaja	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	suka membaca buku yang bagus	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	adakah anda mahu membaca?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	anak muda itu minum kopi	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	nak minum air	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	seorang ayah dan seorang ibu; ibu bapa	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	seorang yang menyusahkan dan seorang kakak, adik beradik	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	ibu bapa dan adik-beradik anda	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	berada di rumah anda	is in your home	grupo	alternativoj	prononco
level	jen la kafo	inilah kopinya	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	belum minum lagi	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	masih hangat	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	dah masak semalam	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Saya sekarang memasak	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	terima kasih. jadi katanya.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	boleh minum dan makan	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	minum kopi sejuk	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	kopi masih hangat	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	minum kopi sejuk juga	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	boleh juga minum kopi sejuk	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	memandang matanya	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	mata yang paling indah	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	mata yang cantik	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	memandang mata yang cantik	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	cantiknya mata dia	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	melihat dan memahami	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Saya nampak itu ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	bahawa dia mencintainya	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	dia rasa dia sayang dia	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	bertanya sama ada itu besar	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	tentang soalan mudah	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	berkata tentang wang baru	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	mata yang sangat cantik	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	memandang abang	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	seorang adik terlupa	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	akusatif (objektif)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	jangan lupa pengakhiran akusatif	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	siapa yang awak nampak? yang mana satu awak nampak?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Saya melihat seorang kawan	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	mempunyai kawan lelaki dan perempuan yang baik	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	mereka bekerja tentang rumah lama	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	bekerja, bekerja, akan bekerja	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	melihat, bahawa saya makan	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	berkata, bahawa dia akan pergi	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	hodoh dan buruk	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	Apakah yang dia katakan?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	apa tunggu lagi	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	masuk ke dalam bilik	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	sesuatu kandungan adalah sangat sukar	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	tiba di mesyuarat itu	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	selamat datang ke mesyuarat	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	seorang lelaki tua memberi petua	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	tiba dan disambut	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	mereka benci tetapi bekerjasama	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	pergi ke hotel	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	mempunyai buku teks yang mudah	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	bagaimana keadaan ibu anda?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	rumah lama awak	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	buku mana yang anda baca?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	adakah mereka baik?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	buat apa semalam?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	dalam bilik kecil	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	bercakap sangat lama	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	depan sekolah, sebelum sekolah	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	bercakap di hadapan sekolah	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	kemudian bercakap tentang buku itu	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	dengan senang hati pergi ke sekolah	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	melalui jalan	through the street	grupo	alternativoj	prononco
level	iris tra la strato	melalui jalan itu	went through the street	grupo	alternativoj	prononco
level	estis varma tago	adalah hari yang hangat	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	mereka melihat sebuah kafe'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	nampak biskut merah	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	nampak biskut di dalamnya	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	ternampak sebuah kafe' dan di dalamnya biskut	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	masuk dan makan!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	jom masuk dan makan	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	mempunyai wang yang mencukupi	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	adakah anda mempunyai wang yang mencukupi?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	Adakah anda faham?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	sudah tentu!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	itu tidak mencukupi	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	seratus ringgit sudah memadai	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	dolar, dolar, dolar (objektif jamak)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	mempunyai seratus ringgit	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	sudah tentu, saya ada	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	oh! awak kaya!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	air, pelayan	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	seorang pelayan membawa menu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	membawa itu kepada kami, membawa itu	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	seorang pelayan membawa banyak biskut	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	mereka makan sedikit (sedikit)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	selepas makan (makan)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	baru, lagi	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	pelayan datang lagi	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	di sesuatu tempat	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	telah mencari di suatu tempat	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	dicari di tempat lain	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	wajahnya ceria	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	dia sedih	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	akhirnya dan akhirnya	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	suara awak yang kuat	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	dengan suara yang lemah	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	tidak mempunyai wang	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	apa yang berlaku di sana?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	kemalangan berlaku kemudian	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	adakah anda tahu bila ia berlaku?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	tahu tentang perkara itu	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	masih satu perkara yang tinggal	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	anda atau dia, mana-mana orang	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	seperti penyanyi, sebagai tandatangan	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	menyanyi seperti penyanyi profesional	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	tempat, di mana dia tinggal	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	bagaimana anda tahu tentang kereta?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	baik tengok kereta laju	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	jus tanpa gula	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	dia mempunyai kenderaan yang laju	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	terlalu kuat	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	dia membuka terlalu kuat	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	memandu (mengembara) terlalu laju	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	makan dengan sudu	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	kami amat meragui	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	surat yang benar darinya	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	surat cinta dengan lima gambar	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	kembali, orang yang kembali	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	juga enam surat dikembalikan	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	ingin melihat foto itu	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	balik dari sekolah	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	bila kakak balik?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	mahu membaca lagi	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	dibuat (melakukan), menjadi	made (did), became	grupo	alternativoj	prononco
