B.sk content.tsv
Level	Esperanto	sk	en-us	Grupo	Alternativoj	Pronoco
level	lingvohelpanto	jazykový pomocník	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Som jej jazyková pomocníčka	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	a teraz chce hovoriť o ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	hovoriť o cvičení	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	čoskoro sa vráti	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Čoskoro sa k vám vrátim	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	po niekoľkých minútach	after several minutes	grupo	alternativoj	prononco
level	finparolis	skončil rozhovor	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	teraz sme dokončili rozhovor o cvičení	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	medzitým, na chvíľu	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Medzitým som čítal o esperante	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	nie som si istý	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	vie dosť o ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Ešte neviem dostatočne jazyk	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	múdra odpoveď	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Pozriem sa na stránku	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	a pokúsim sa trochu naučiť	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	chceš byť mojím jazykovým pomocníkom?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	ochotne!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	nie je začo!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	nestojí za vďaku, ale stojí za bozk	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	hovorí to v esperante	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	čo? nechapem	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	môžete sa pozrieť do slovníka	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	bohužiaľ	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Teraz musím vypnúť internet	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	vrátim sa večer	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Myslím, že dovtedy budem na stránke	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfektné!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	no, tak sa vidíme!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	vidíme sa neskôr!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	večer aj na instant messenger	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Ahoj zas! (znovu-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Ahoj zas!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Pozrel som si takmer všetky stránky z webu	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	celkom dobre! úžasné!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	mam viacero otazok	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Máš čas?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	áno, večer mám voľno	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	tak píšte otázky	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	pokúsim sa odpovedať	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Čítal som, že esperanto má kultúru	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	ale nerozumiem ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	kde nájdem takúto kultúru	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	nájdete všade, kde ~ je	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	akékoľvek miesto, kde sú ľudia, ktorí hovoria esperantom	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ale nikto nepoužíva esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	správny!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ale ľudia, ktorí hovoria esperantom	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	často cestujú a stretávajú sa s inými esperantistami	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	počas týchto stretnutí	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	používajú jazyk v najrôznejších situáciách	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	takže tam nájdeš ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	nájdeš kultúru	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	nájdu kultúru esperanta	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	dobre, existuje hudba?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	hudba, literatúra, divadlo	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	atď	etc	grupo	alternativoj	prononco
level	same kiel ~	rovnako ako ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	ako v iných jazykoch	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	množstvo nie je také veľké	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	veľký ako v národných jazykoch	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ale to nie je dôležité	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	aspoň pre mňa nie	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	ak chcete počúvať ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	počúvať pieseň v esperante	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	tu je pieseň &quot;Lisa maľuje obrázky&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	počúva pieseň	listens to the song	grupo	alternativoj	prononco
level	ne malbone	nie zlé	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	a v esperante nájdete veľa kníh	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	pozerá do kníh	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	dosť veľa	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	čítaš veľa v esperante?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	áno, niekedy (z času na čas)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	ak sa niekedy naučíš jazyk	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Odporúčam vám nejaké dobré knihy	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	ide o ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	moja ďalšia otázka sa týka môjho mena	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	predtým si povedal, že ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	má vzťah k ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	povedal, že má vzťah k esperantu	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	oh, áno, o tom	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	muž s menom ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	raz žil muž s menom ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	bol veľmi aktívny v esperantskom hnutí	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	keď bol úplne nový	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	preložil knihu do ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	a preložil mnoho kníh do esperanta	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	a to ho preslávilo?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	jeden z najdôležitejších pre esperanto v tom čase	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	a mal veľký vplyv na jazykový štýl	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	nie, určite bol dôležitý a mal vplyv	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	hnutie však náhle opustil	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Predstavujem si, že ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Myslím si, že to bol pre mnohých veľký šok	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	prečo odišiel z esperanta?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Verím, že ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	bol nespokojný s esperantistami	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	povedal niečo podobné ako ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto sa musia naučiť sami esperantisti!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	čo chcel povedať ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	čo tým chcel povedať?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	je pravdepodobné, že ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	ľudia hovorili esperantom zle	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	je pravdepodobné, že ľudia hovorili zle	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	v roku 1911 opustil esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	ale myslím si, že ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	je vyšší	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	dnes je jazyková úroveň vyššia	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	jazyková úroveň esperantistov	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	ale myslím si, že dnes je úroveň vyššia	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	tak sa musim dobre naucit jazyk	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	za to, že si dobrý človek	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	a mali by ste použiť jednoduchý štýl	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	pretože to bolo pre neho veľmi dôležité	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	to ma teší (páči sa mi to)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	v esperante je dokonca slovo ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	existuje dokonca slovo &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	opustiť hnutie	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	slovo &quot;kabei&quot;, čo znamená opustenie pohybu	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	to je zaujímavé!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	teraz viem jedno slovo v esperante	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	nikdy nezabudnem	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	a asi na to nikdy nezabudnem	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	v kaviarni' po niekoľkých týždňoch	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	sa mu podarilo naučiť esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	a používajú jazyk	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	pozvať, pozvanie	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	tu, pozri, pozvánka pre IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	čo? Ee-yo-čo?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	mladý človek, skupina mladých ľudí	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK je medzinárodný kongres mládeže	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Plánujem ísť do toho	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	chceš ísť aj ty?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	no, &quot;kongres&quot; neznie veľmi zaujímavo	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	ale je to (zaujímavé)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	nemyslite na niečo nudné pomalé kongresy	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	ide len o ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	ide len o stretávanie sa s mladými ľuďmi	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	stretnutie s mladými ľuďmi z mnohých krajín	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Bude tam 300 až 400 ľudí	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	bude tam pravdepodobne 300 až 400 ľudí	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	takmer každý	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	a takmer každý bude hovoriť esperantom	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	nehovorí dobre	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	dobre, ale esperanto nehovorím dobre	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	to je jedno	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	je možné zúčastniť sa ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	zúčastniť sa tam kurzov esperanta	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	zvyčajne	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	zvyčajne existujú dve úrovne	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	ľudí, ktorí sa už jazyk naučili	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	jeden pre začiatočníkov	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	a druhý pre tých, ktorí sa už jazyk naučili	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jes, čo?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	povedal si &quot;zvyčajne&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	oh, IJK sa koná každý rok	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	zakaždým v inej krajine	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	z tohto dôvodu je každé IJK iné	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	ale su aj programy	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programy, ktoré sa často vracajú	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	ale sú tu aj programy, ktoré sa často vracajú	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	napríklad	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	napríklad športovať a hrať karty je možné takmer vždy	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	porozprávať sa s priateľmi celú noc	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	spievať okolo ohňa a tancovať	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	zúčastniť sa koncertov a pod	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	no to zvládnem aj doma	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	správne, ale	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	ale dôležité počas IJK je ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	pochádza z mnohých rôznych krajín	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	je, že účastníci pochádzajú z rôznych krajín	is that the participants come from different countries	grupo	alternativoj	prononco
