C.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	ge-	(prefix) her iki cinsiyet, her iki cinsiyet	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffix) olurdu, gerekir, dilek kipi	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	yakında	soon	grupo	alternativoj	prononco
level	almenaŭ	en azından başka bir şey yoksa	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(suffix) konteyner; ülke	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	öğrenmek	to learn	grupo	alternativoj	prononco
level	ek-	(prefix) başlangıç; ani başlangıç	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	eğer, şu şartla	if, provided that	grupo	alternativoj	prononco
level	eĉ	eşit	even	grupo	alternativoj	prononco
level	amo	bir aşk	a love	grupo	alternativoj	prononco
level	jam	şimdiden, çok yakında, şu andan itibaren	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Burada! Lo! Seyretmek	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	bitirmek, bitirmek, sona erdirmek	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	öyleyse, öyleyse, bu yüzden	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~hiç, (ne)hiç, ne olursa olsun, -her ne olursa olsun	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	kolay, kolay	easy, facile	grupo	alternativoj	prononco
level	re-	(prefix) tekrar-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	büyük, harika, büyük	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffix) profesyonel	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) ~ nedeniyle, ~ nedeniyle	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffix) lider, patron, baş, şef	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	Ne	what	grupo	alternativoj	prononco
level	manĝi	yemek için	to eat	grupo	alternativoj	prononco
level	nenio	hiçbir şey, hiçbiri, hiçbir şey	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	genç	young	grupo	alternativoj	prononco
level	ĉio	her şey	everything	grupo	alternativoj	prononco
level	riĉa	zengin, varlıklı, hali vakti yerinde	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	o şey, o	that thing, that	grupo	alternativoj	prononco
level	konstrui	inşa etmek, inşa etmek	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) baş, lider, ana	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) ~ olmadan	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposition) ~ ile (birlikte)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) ~ dışında, ~ dışında	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	bir arkadaş	a friend	grupo	alternativoj	prononco
level	kies	kimin, hangisinin, hangisinden	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposition) ~ ile (bir yöntem), ~ ile (bir araç)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	~'e karşı	against ~	grupo	alternativoj	prononco
level	el ~	~'dan, ~'dan	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	Bugün	today	grupo	alternativoj	prononco
level	hieraŭ	Dün	yesterday	grupo	alternativoj	prononco
level	nur	yalnızca, yalnızca, yalnızca	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	yardım etmek, yardım etmek, yardımcı olmak	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) uzak	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ne de ne de	nor, neither	grupo	alternativoj	prononco
level	malamo	bir nefret	a hate	grupo	alternativoj	prononco
level	preskaŭ	neredeyse yakın	almost, nearly	grupo	alternativoj	prononco
level	tra ~	~ aracılığıyla	through ~	grupo	alternativoj	prononco
level	super	üstünde, üstünde	over, above	grupo	alternativoj	prononco
level	trans ~	~ üzerinde, ~ karşısında	over ~, accross ~	grupo	alternativoj	prononco
level	nu	peki, peki o zaman, şimdi	well, well then, now	grupo	alternativoj	prononco
level	pri ~	~ hakkında	about ~	grupo	alternativoj	prononco
level	por ~	~ için, ~ için	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	Yarın	tomorrow	grupo	alternativoj	prononco
level	nun	şimdi, şu anda	now, at present	grupo	alternativoj	prononco
level	laŭ ~	~'e göre, ~ boyunca	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	her biri, her biri, herkes, hepsi	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	kim, hangisi, hangisi	who, which, which one	grupo	alternativoj	prononco
level	tiu	o kişi, o ~, o, şuradaki	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	birisi, birisi, bazıları	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	hiç kimse, hiç kimse, ne de	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	~'e	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffix) ~mümkün	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	Umut etmek	to hope	grupo	alternativoj	prononco
level	unu	bir	one	grupo	alternativoj	prononco
level	du	iki	two	grupo	alternativoj	prononco
level	tri	üç	three	grupo	alternativoj	prononco
level	kvar	dört	four	grupo	alternativoj	prononco
level	kvin	beş	five	grupo	alternativoj	prononco
level	ses	altı	six	grupo	alternativoj	prononco
level	sep	Yedi	seven	grupo	alternativoj	prononco
level	ok	sekiz	eight	grupo	alternativoj	prononco
level	naŭ	dokuz	nine	grupo	alternativoj	prononco
level	dek	on	ten	grupo	alternativoj	prononco
level	cent	yüz	a hundred	grupo	alternativoj	prononco
level	mil	bin	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffix) çokluk için, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(suffix) ~th, kesir	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	aşk	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~ yerine	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffix) haline gelmek	(suffix)  become	grupo	alternativoj	prononco
level	voli	istemek, istekli olmak, istekli olmak	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffix) olmasına neden olmak	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	takip etmek	to follow	grupo	alternativoj	prononco
level	ĝoje	memnuniyetle	gladly	grupo	alternativoj	prononco
level	legi	okumak	to read	grupo	alternativoj	prononco
level	silenta	sessiz	silent	grupo	alternativoj	prononco
level	la	the	the	grupo	alternativoj	prononco
level	ha!	Ha!	ha!	grupo	alternativoj	prononco
level	-il-	(suffix) araç, yöntem	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	içmek (alkolsüz)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffix) küçük, küçük	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(suffix) büyük, büyük	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) ~ arası	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffix) ilgili davranış	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffix) ayarlamak, gruplamak	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffix) bir grubun üyesi	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	Teşekkür	to thank	grupo	alternativoj	prononco
level	-ind-	(suffix) değerli, layık	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	daha da fazlası, daha fazlası, vb., daha fazlası	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	nasıl, nasıl, ne şekilde, mesela	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	böyle, bu şekilde, böylece	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) ~ içinde	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) ~'ın yanında, ~'ın yanında	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) altında, altında ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) ~ üzerinde	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) belirsiz hazırlık, içinde, tarafından, tarihinde	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) hala, henüz	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) civarında ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	Ancak	but	grupo	alternativoj	prononco
level	ie	bir yerde	somewhere	grupo	alternativoj	prononco
level	kie	nerede, hangi yerde	where, at what place	grupo	alternativoj	prononco
level	silente	sessizce	silently	grupo	alternativoj	prononco
level	ĉie	her yerde, her konuda	everywhere, all about	grupo	alternativoj	prononco
level	nenie	hiçbir yerde, hiçbir durumda, hiçbir yerde	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	orada, orada, orada	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	bu ~	this ~	grupo	alternativoj	prononco
level	kanti	şarkı söylemek	to sing	grupo	alternativoj	prononco
level	morti	ölmek, vefat etmek	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) ~ sırasında, ~ sırasında	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	bir millet	a nation	grupo	alternativoj	prononco
level	koni	(bir kişiyi) tanımak, tanımak	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	bilmek (bir gerçek, bilgi), nasıl olduğunu bilmek	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	her zaman, her zaman	always, ever	grupo	alternativoj	prononco
level	iam	bir ara, bir zamanlar	at some time, once	grupo	alternativoj	prononco
level	tiam	Daha sonra	then	grupo	alternativoj	prononco
level	-em-	(suffix) eğilim	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	bir çeşit	some kind of	grupo	alternativoj	prononco
level	sukcesi	başarılı olmak	to succeed	grupo	alternativoj	prononco
level	ĉia	her türden, her türden	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	hayır, hiçbir şekilde, hiçbir şekilde	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(suffix) yavru	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	bir oda, bir oda	a room, a chamber	grupo	alternativoj	prononco
level	patro	bir baba	a father	grupo	alternativoj	prononco
level	porko	domuz, domuz	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -kayınpeder, evlilik yoluyla	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	Aslında	indeed	grupo	alternativoj	prononco
level	-ism-	(suffix) -izm	(suffix)  -ism	grupo	alternativoj	prononco
level	io	bir şey	something	grupo	alternativoj	prononco
level	veturi	(araç) sürmek	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	horoz, tavuk, tavuk, kümes hayvanı	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	özgür	free	grupo	alternativoj	prononco
level	lasta	son	last	grupo	alternativoj	prononco
level	ĝoji	sevinmek, sevinmek, keyif almak	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	almak, ele geçirmek	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	inek, öküz, büyükbaş hayvan	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	başka, başka, başka	another, other, else	grupo	alternativoj	prononco
level	varma	sıcak ılık	hot, warm	grupo	alternativoj	prononco
level	loĝi	ikamet etmek, yaşamak, ikamet etmek, ikamet etmek	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	inanmak	to believe	grupo	alternativoj	prononco
level	glacio	bir buz	an ice	grupo	alternativoj	prononco
level	loko	bir yer, bir konum	a place, a location	grupo	alternativoj	prononco
level	ovo	bir yumurta	an egg	grupo	alternativoj	prononco
level	multa	çok, çok, çok	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	bir mülkiyet	a possession	grupo	alternativoj	prononco
level	ŝafo	koyun	a sheep	grupo	alternativoj	prononco
level	sono	bir ses	a sound	grupo	alternativoj	prononco
level	fiŝo	bir balık	a fish	grupo	alternativoj	prononco
level	bela	güzel, yakışıklı, hoş	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	cevap vermek, cevap vermek, cevap vermek	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	bir fırsat, bir zaman	an occasion, a time	grupo	alternativoj	prononco
level	demandi	sormak	to ask	grupo	alternativoj	prononco
level	forta	güçlü	strong	grupo	alternativoj	prononco
level	preter ~	~'ın ötesinde, ~'in ötesinde, düz geçmiş	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	bir sessizlik	a silence	grupo	alternativoj	prononco
level	infano	bir çocuk, bir bebek	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	mutlu, şanslı, şanslı	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	yakalamak, yakalamak, boğuşmak	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	Arzu etmek, dilemek	to desire, to wish	grupo	alternativoj	prononco
level	longa	uzun	long	grupo	alternativoj	prononco
level	mondo	bir dünya	a world	grupo	alternativoj	prononco
level	okazi	meydana gelmek, meydana gelmek, meydana gelmek	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	alan, alan	field, a field	grupo	alternativoj	prononco
level	filo	oğul	a son	grupo	alternativoj	prononco
level	montri	göstermek, belirtmek, işaret etmek	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	kalp	a heart	grupo	alternativoj	prononco
level	knabo	Bir çocuk	a boy	grupo	alternativoj	prononco
level	meti	koymak, yerleştirmek, yatırmak	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	bir koca	a husband	grupo	alternativoj	prononco
level	pako	paket	package	grupo	alternativoj	prononco
level	rapida	hızlı, hızlı, hızlı	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	görünmek, gibi görünmek	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	bir selamlama, selam, selamlama	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	yazmak	to write	grupo	alternativoj	prononco
level	peti	istemek, rica etmek, rica etmek, yalvarmak	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	uçmak	to fly	grupo	alternativoj	prononco
level	kapo	bir kafa, bir pelerin	a head, a cape	grupo	alternativoj	prononco
level	krii	bağırmak, ağlamak, çığlık atmak, bağırmak	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	kırmızı	red	grupo	alternativoj	prononco
level	sinjoro	bir bay, bir beyefendi	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	tutunmak, tutunmak	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	zaman, bir zaman	time, a time	grupo	alternativoj	prononco
level	tuta	toplam, hepsi, tam, tam, genel	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	bir adam	a man	grupo	alternativoj	prononco
level	vojo	bir yol, yol, rota	a way, a path, a route	grupo	alternativoj	prononco
level	movi	taşımak	to move	grupo	alternativoj	prononco
level	militi	savaşı kırmak, savaşmak, savaş açmak	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	birkaç, birkaç	a few, several	grupo	alternativoj	prononco
level	dekstra	sağ, sağ (yan, yön), sağ el	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	kapatmak, kapatmak	to close, to shut	grupo	alternativoj	prononco
level	okupi	işgal etmek, almak	to occupy, to take	grupo	alternativoj	prononco
level	levi	kaldırmak, kaldırmak, yükseltmek	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	dövmek, vurmak, vurmak, vurmak, kırbaçlamak	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	ihtiyaç duymak, istemek, gerektirmek	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	anlamak, farkına varmak	to understand, to realise	grupo	alternativoj	prononco
level	iri	gitmek	to go	grupo	alternativoj	prononco
level	veni	gelmek	to come	grupo	alternativoj	prononco
level	porti	taşımak, giymek	to carry, to wear	grupo	alternativoj	prononco
level	kovri	örtmek	to cover	grupo	alternativoj	prononco
level	hela	parlak, net ve hafif	bright, clear and light	grupo	alternativoj	prononco
level	sana	sağlıklı	healthy	grupo	alternativoj	prononco
level	aperi	ortaya çıkmak, ortaya çıkmak	to appear, to emerge	grupo	alternativoj	prononco
level	libro	kitap	a book	grupo	alternativoj	prononco
level	atendi	beklemek, beklemek, beklemek	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	bir el	a hand	grupo	alternativoj	prononco
level	pentri	boyamak	to paint	grupo	alternativoj	prononco
level	instrui	öğretmek, talimat vermek	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	oturmak	to sit	grupo	alternativoj	prononco
level	stari	durmak	to stand	grupo	alternativoj	prononco
level	afero	bir şey, bir nesne, bir durum, bir mesele, bir mesele	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	dolu, eksiksiz	full, complete	grupo	alternativoj	prononco
level	klara	temizlemek	clear	grupo	alternativoj	prononco
level	komenci	başlamak, başlamak	to begin, to commence	grupo	alternativoj	prononco
level	dormi	uyumak, uykuda olmak	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	bir kısım, bir pay	a part, a share	grupo	alternativoj	prononco
level	mono	para	money	grupo	alternativoj	prononco
level	ricevi	almak	to receive	grupo	alternativoj	prononco
level	ami	sevmek	to love	grupo	alternativoj	prononco
level	devi	zorunda olmak, gerekir, gerekir, gerekir	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	yapabilmek, yapabilmek	be able to, can	grupo	alternativoj	prononco
level	labori	çalışmak, emek vermek	to work, to labor	grupo	alternativoj	prononco
level	dio	bir tanrı	a god	grupo	alternativoj	prononco
level	urbo	bir şehir, bir kasaba	a city, a town	grupo	alternativoj	prononco
level	ofta	sık sık, sıklıkla	freqent, often	grupo	alternativoj	prononco
level	soni	ses çıkarmak, ses çıkarmak	to sound, to make sound	grupo	alternativoj	prononco
level	tero	toprak, toprak, toprak	earth, land, soil	grupo	alternativoj	prononco
level	vivi	yaşamak, hayatta olmak	to live, to be alive	grupo	alternativoj	prononco
level	resti	kalmak, kalmak	to stay, to remain	grupo	alternativoj	prononco
level	ridi	kahkaha atmak	to laugh	grupo	alternativoj	prononco
level	homo	bir insan, bir adam	a human, a man	grupo	alternativoj	prononco
level	akvo	su	water	grupo	alternativoj	prononco
level	vorto	Bir kelime	a word	grupo	alternativoj	prononco
level	certa	kesin, elbette	certain, sure	grupo	alternativoj	prononco
level	lando	bir ülke, bir ülke	a land, a country	grupo	alternativoj	prononco
level	sama	Aynı	same	grupo	alternativoj	prononco
level	ĵeti	atmak	to throw	grupo	alternativoj	prononco
level	stelo	Bir yıldız	a star	grupo	alternativoj	prononco
level	domo	bir ev, bir ev	a house, a home	grupo	alternativoj	prononco
level	nomo	bir isim, bir unvan	a name, an appellation	grupo	alternativoj	prononco
level	vidi	görmek için	to see	grupo	alternativoj	prononco
level	mola	yumuşak	soft	grupo	alternativoj	prononco
level	horo	bir saat, saat, zaman	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	bir form, bir şekil	a form, a shape	grupo	alternativoj	prononco
level	tago	bir gün	a day	grupo	alternativoj	prononco
level	fumo	bir duman	a smoke	grupo	alternativoj	prononco
level	ĉevalo	bir at	a horse	grupo	alternativoj	prononco
level	jaro	bir yıl	a year	grupo	alternativoj	prononco
level	vojaĝi	seyahat etmek	to travel	grupo	alternativoj	prononco
level	celo	bir amaç, bir hedef, bir amaç, bir amaç	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	doğurmak, doğurmak, doğurmak	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	özlemek, eksik olmak, eksik olmak	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	Bir kuş	a bird	grupo	alternativoj	prononco
level	halti	durmak, durmak, durma noktasına gelmek	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	Bir erkek kardeş	a brother	grupo	alternativoj	prononco
level	monto	Bir dağ	a mountain	grupo	alternativoj	prononco
level	pensi	düşünmek	to think	grupo	alternativoj	prononco
level	permesi	izin vermek, izin vermek	to permit, to allow	grupo	alternativoj	prononco
level	kosti	mal olmak	to cost	grupo	alternativoj	prononco
level	lito	bir yatak, bir kanepe	a bed, a couch	grupo	alternativoj	prononco
level	perdi	kaybetmek	to lose	grupo	alternativoj	prononco
level	miri	şaşırtmak, hayrete düşürmek, hayrete düşürmek	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	Bir kişi	a person	grupo	alternativoj	prononco
level	diversa	çeşitli, çeşitli, çeşitli	diverse, varied, various	grupo	alternativoj	prononco
level	provi	denemek, denemek	to try, to attempt	grupo	alternativoj	prononco
level	pagi	ödemek	to pay	grupo	alternativoj	prononco
level	prezenti	sunmak, tanıtmak	to present, to introduce	grupo	alternativoj	prononco
level	aparta	ayrı, özel, ayrı	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	doğru, bir hak	right, a right	grupo	alternativoj	prononco
level	mateno	sabah, bir sabah	morning, a morning	grupo	alternativoj	prononco
