A.te content.tsv
Level	Esperanto	te	en-us	Grupo	Alternativoj	Pronoco
level	pardonon, mi petas	నన్ను క్షమించండి, దయచేసి	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	ఒక శుభోదయం	a good morning	grupo	alternativoj	prononco
level	bonan matenon	శుభోదయం	good morning	grupo	alternativoj	prononco
level	bonan nokton	శుభ రాత్రి	good night	grupo	alternativoj	prononco
level	bonan sonĝon	తీపి కల	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	మీకు మంచి ప్రయాణం	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	మంచి రోజు!	good day!	grupo	alternativoj	prononco
level	ĉu ~	అది ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	నువ్వు బాగానే ఉన్నావా? (మీరు ఎలా ఉన్నారు?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	అవును నేను బాగానే ఉన్నా	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	అది కానే కాదు	no, not at all	grupo	alternativoj	prononco
level	tre, tro	చాలా, చాలా ఎక్కువ	very, too much	grupo	alternativoj	prononco
level	granda, grande	పెద్ద, ఎక్కువగా	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	చాలా మంచిది, చాలా పెద్దది	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	మీరు చాలా బాగా చేస్తున్నారు	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	అంతగా బాగోలేదు	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	నేర్చుకోవడం, ఒక అభ్యాసం	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	చూస్తున్నాడు, ఒక ప్రేక్షకుడు	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	నేర్చుకుంటున్నాడు, ఒక విద్యార్థి (నేర్చుకునే వ్యక్తి)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	-ing, చేస్తున్న వ్యక్తి	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	ఒక విద్యార్థి, నేర్చుకున్న వ్యక్తి	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	నేనొక విద్యార్థిని.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ నా స్నేహితుడు	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	అతడు ఆమె	he, she	grupo	alternativoj	prononco
level	sidi, sidas	కూర్చోవడానికి, కూర్చుంటాడు	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	కూర్చున్నాడు, కూర్చున్నాడు, కూర్చున్నాడు	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	అతను కూర్చున్నాడు మరియు ఆమె నేర్చుకుంటుంది	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ఓ గది	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	ఒక గదిలో నేర్చుకుంటాడు	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	ఒక విద్యార్థి మరియు క్రీడాకారుడు	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	క్రీడ మరియు క్రీడాకారుడు	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	ఒక క్రీడాకారుడు ఆడుతున్నాడు	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	అతను ఒక విద్యార్థి	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	అతను విద్యార్థి మరియు క్రీడాకారుడు	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	అతను ఇప్పుడు కూర్చున్నాడు	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	మరియు ఇప్పుడు నేర్చుకుంటున్నాడు	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	కూర్చుని నేర్చుకుంటున్నాడు	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	ఇప్పుడు ఒక గదిలో	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	ఒక టేబుల్ మీద ఉంది	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ఒక కాగితం మరియు కాగితాలు	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	ఒక టేబుల్ మరియు పట్టికలు	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	ఒక పుస్తకం మరియు పుస్తకాలు	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	పేపర్లు మరియు పుస్తకాలు	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	అది ఒక టేబుల్ మీద ఉంది.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	రైటింగ్ టేబుల్ మీద వ్రాస్తున్నాడు	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	పుస్తకాలు ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	బల్ల మీద	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	ఒక పాఠ్యపుస్తకం మరియు పాఠ్యపుస్తకాలు	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	టేబుల్ మీద ఉంది ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	ఒక తండ్రి మరియు ఒక తల్లి	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	తండ్రి మరియు తల్లి	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	నా స్నేహితుడి తల్లి	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	గదిలో	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	గదిలో లేదు	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	వారు ఇప్పుడు పని చేస్తున్నారు	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	అతని తండ్రి ఒక కార్మికుడు	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	అతను ఒక హోటల్‌లో పనిచేస్తున్నాడు	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	తల్లి బోధిస్తుంది	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ఆమె ఒక ఉపాధ్యాయురాలు	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	ఆమె తల్లినా?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	లేదు, ఆమె ఒక హోటల్ వ్యాపారి	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	లేదు, నేను పని చేయను	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	ఆమె పేరు ఏమిటి?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	ఇప్పుడు ఎవరు సమాధానం ఇస్తున్నారు?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	వారి తల్లి భాష	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	మీ పేరు ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	మేము కూర్చుని సమాధానం ఇస్తున్నాము	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	ఆమె పని కుర్చీ	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	దాని పేరు ~ కాదు	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	ఆమె భాష వారి భాష	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	మా నాన్న మరియు తల్లి	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	మీ విద్యార్థి, మీ విద్యార్థులు	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	వారు మీ విద్యార్థులా?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	నువ్వు విద్యార్థివా?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	మీరు గదిలో ఉన్నారా?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	నేను కాదు ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	ఒక ఎస్పెరాంటిస్ట్ మరియు ఒక మహిళా ఎస్పరాంటిస్ట్	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	హోటల్ గది కోసం తనిఖీ చేసారు	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	ఒక భాషావేత్త మరియు ఒక మహిళా కార్మికురాలు	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	అతని స్నేహితురాలు ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	విద్యార్థులు మరియు క్రీడాకారులు	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	నా కుటుంబం పేరు ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	ఆమె ఎవరు? ఆమె ఎవరు?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	మీ స్నేహితురాలు	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	మీ స్నేహితుడు ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	ఇప్పుడు గదిలో వ్రాస్తున్నాడు	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	నీ తండ్రి స్నేహితుడా ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	ఒక హోటల్‌లో పని చేస్తుంది	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	టేబుల్ మీద ఏమిటి?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	మా గదిలో టేబుల్ మీద	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	ఎస్పెరాంటో పాఠ్యపుస్తకం ~?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	మీ టేబుల్ మీద ఉంది	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ఒక స్నేహితుడు ఉన్నాడు	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	ఆమె పేరు ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	యవ్వనంగా మరియు అందంగా	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	యవ్వనంగా మరియు అందంగా ఉంది	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	యువ మరియు అందమైన స్నేహితులు	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	మగ-ఆడ స్నేహితులు	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	ఆమె ఉపాధ్యాయుని ఇల్లు	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	ఇంటికి వచ్చారు	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ యొక్క ఇల్లు	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	దయచేసి లోపలికి రండి	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	హలో మీరు ఏమి చేస్తున్నారు?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	మీరు ఏమి చేస్తారు? నువ్వేమి చేస్తున్నావు?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	కానీ ఇప్పుడు నాకు కావాలి ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	నేను మాట్లాడాలనుకుంటున్నాను	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	ముగ్గురు మగ-ఆడ స్నేహితులతో	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	నీతో మాట్లాడాడు	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	మీతో మాట్లాడాలనుకుంటున్నారు	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	మీకు మగ-ఆడ స్నేహితులు ఉన్నారా?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	అతని దగ్గర ఒక పుస్తకం ఉంది	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	మంచి పుస్తకం ఉంది	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	అవును నా దగ్గర వుంది	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	వారు దానిని ఇష్టపడతారు	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ఆమె ఒక పుస్తకం చదివింది	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	పుస్తకాలు చదవడం ఇష్టం	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	మంచి పుస్తకం మాత్రమే	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	చాలా మంచి పుస్తకాలు	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	మంచి పుస్తకాలు మాత్రమే చదవండి	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	మంచి పుస్తకాలు చదవడం ఇష్టం	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	మీరు చదవాలనుకుంటున్నారా?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	యువకుడు కాఫీ తాగాడు	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	నీళ్లు తాగాలనిపిస్తుంది	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	ఒక తండ్రి మరియు ఒక తల్లి; తల్లిదండ్రులు	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	ఒక ఇబ్బంది మరియు ఒక సోదరి, తోబుట్టువులు	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	మీ తల్లిదండ్రులు మరియు తోబుట్టువులు	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	మీ ఇంట్లో ఉంది	is in your home	grupo	alternativoj	prononco
level	jen la kafo	ఇదిగో కాఫీ	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ఇంకా తాగలేదు	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	ఇంకా వెచ్చగా ఉంది	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	నిన్న వండింది	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	ఇప్పుడు వండుకున్నాను	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	ధన్యవాదాలు. కాబట్టి అతను చెప్పాడు.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	త్రాగవచ్చు మరియు తినవచ్చు	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	కోల్డ్ కాఫీ తాగాడు	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	ఇప్పటికీ వెచ్చని కాఫీ	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	కోల్డ్ కాఫీ కూడా తాగుతుంది	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	కోల్డ్ కాఫీ కూడా తాగవచ్చు	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	ఆమె కన్ను వైపు చూస్తుంది	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	అత్యంత అందమైన కన్ను	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	అందమైన కళ్ళు	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	అందమైన కళ్ళు చూశారు	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	ఆమె యొక్క అందమైన కళ్ళు	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	చూస్తాడు మరియు అర్థం చేసుకుంటాడు	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	నేను చూస్తున్నాను ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	అతను ఆమెను ప్రేమిస్తున్నాడని	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	అతను తనను ప్రేమిస్తున్నాడని ఆమె భావిస్తుంది	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	అది పెద్దదా అని అడుగుతుంది	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	సులభమైన ప్రశ్న గురించి	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	కొత్త డబ్బు గురించి చెప్పాడు	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	చాలా అందమైన కళ్ళు	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	అన్నయ్య చూశాడు	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	ఒక చెల్లెలు అది మర్చిపోయింది	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	ఒక నిందారోపణ (ఆబ్జెక్టివ్)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	నిందారోపణ ముగింపు మర్చిపోవద్దు	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	మీరు ఎవరిని చూస్తున్నారు? మీరు ఏది చూస్తారు?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	నేను ఒక స్నేహితుడిని చూస్తున్నాను	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	మంచి మగ-ఆడ స్నేహితులు ఉన్నారు	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	వారు పాత ఇంటి గురించి పని చేస్తున్నారు	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	పనిచేస్తుంది, పని చేస్తుంది, పని చేస్తుంది	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	నేను తింటాను అని చూస్తుంది	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	అన్నాడు, వెళ్తాను అని	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	అగ్లీ మరియు చెడు	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	ఆమె ఏమన్నది?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	దేనికోసం ఎదురు చూస్తున్నావు?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	గదిలోకి వెళ్ళాడు	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	కంటెంట్ చాలా కష్టం	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	సమావేశానికి వచ్చారు	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	సమావేశానికి స్వాగతం	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	ఒక వృద్ధుడు ఒక చిట్కా ఇచ్చాడు	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	వచ్చి స్వాగతం పలికారు	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	వారు ద్వేషిస్తారు కానీ సహకరిస్తారు	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	హోటల్ కి వెళ్ళాడు	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	సులభమైన పాఠ్యపుస్తకాలను కలిగి ఉంది	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	మీ అమ్మ ఎలా ఉంది?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	మీ పాత ఇల్లు	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	మీరు ఏ పుస్తకాలు చదివారు?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	వారు బాగున్నారా?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	నిన్న ఏమి చేసాడు?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	చిన్న గదిలో	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	చాలా సేపు మాట్లాడారు	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	పాఠశాల ముందు, పాఠశాల ముందు	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	పాఠశాల ముందు మాట్లాడారు	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	తర్వాత పుస్తకం గురించి మాట్లాడారు	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	ఆనందంగా పాఠశాలకు వెళ్లాడు	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	వీధి గుండా	through the street	grupo	alternativoj	prononco
level	iris tra la strato	వీధి గుండా వెళ్ళింది	went through the street	grupo	alternativoj	prononco
level	estis varma tago	ఒక వెచ్చని రోజు	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	వారు ఒక కేఫ్ చూశారు	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	ఎరుపు కుక్కీలను చూసింది	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	అందులో కుకీలను చూసింది	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	ఒక కేఫ్ చూసింది' మరియు అందులో కుకీలు	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	లోపలికి వెళ్లి తినండి!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	లోపలికి వచ్చి తిందాం	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	తగినంత డబ్బు ఉంది	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	మీ దగ్గర తగినంత డబ్బు ఉందా?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	నీకు అర్ధమైనదా?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	అయితే!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	అది సరిపోదు	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	వంద డాలర్లు సరిపోతుంది	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	ఒక డాలర్, డాలర్లు, డాలర్లు (బహువచన లక్ష్యం)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	వంద డాలర్లు ఉంది	has a hundred dollars	grupo	alternativoj	prononco
