C.sl content.tsv
Level	Esperanto	sl	en-us	Grupo	Alternativoj	Pronoco
level	ĉie	povsod, vsepovsod	everywhere, all about	grupo	alternativoj	prononco
level	nenie	nikjer, v nobenem primeru, ne nikjer	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	tam, tam, onkraj	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	to ~	this ~	grupo	alternativoj	prononco
level	kanti	peti	to sing	grupo	alternativoj	prononco
level	morti	umreti, preminiti	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(predlog) med ~, medtem ko ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	narod	a nation	grupo	alternativoj	prononco
level	koni	poznati (osebo), biti seznanjen s	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	vedeti (dejstvo, znanje), vedeti, kako	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	vedno, kdaj	always, ever	grupo	alternativoj	prononco
level	iam	nekoč, enkrat	at some time, once	grupo	alternativoj	prononco
level	tiam	potem	then	grupo	alternativoj	prononco
level	-em-	(končnica) tendenca	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	neke vrste	some kind of	grupo	alternativoj	prononco
level	sukcesi	uspeti	to succeed	grupo	alternativoj	prononco
level	ĉia	vseh vrst, vseh vrst	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	ne, ne kakršnega koli, ne kakršnega koli	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(pripona) potomstvo	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	soba, komora	a room, a chamber	grupo	alternativoj	prononco
level	patro	oče	a father	grupo	alternativoj	prononco
level	porko	prašič, prašiči	a pig, swine	grupo	alternativoj	prononco
level	bo-	(predpona) -in-law, by poroka	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	prav zares	indeed	grupo	alternativoj	prononco
level	-ism-	(pripona) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	nekaj	something	grupo	alternativoj	prononco
level	veturi	voziti (vozilo)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	petelin, kokoš, piščanec, kokoš	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	prost	free	grupo	alternativoj	prononco
level	lasta	zadnja	last	grupo	alternativoj	prononco
level	ĝoji	veseliti se, veseliti se, uživati	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	to take, to lay hold of	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	krava, vol, govedo	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	drugo, drugo, drugo	another, other, else	grupo	alternativoj	prononco
level	varma	vroče, toplo	hot, warm	grupo	alternativoj	prononco
level	loĝi	prebivati, živeti, stanovati, naseljevati	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	verjeti	to believe	grupo	alternativoj	prononco
level	glacio	lepo	an ice	grupo	alternativoj	prononco
level	loko	mesto, lokacija	a place, a location	grupo	alternativoj	prononco
level	ovo	jajce	an egg	grupo	alternativoj	prononco
level	multa	a lot of, much, many	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	posest	a possession	grupo	alternativoj	prononco
level	ŝafo	ovca	a sheep	grupo	alternativoj	prononco
level	sono	zvok	a sound	grupo	alternativoj	prononco
level	fiŝo	riba	a fish	grupo	alternativoj	prononco
level	bela	lepa, čedna, lepa	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	odgovoriti, odgovarjati, odgovoriti	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	priložnost, čas	an occasion, a time	grupo	alternativoj	prononco
level	demandi	vprašati	to ask	grupo	alternativoj	prononco
level	forta	močan	strong	grupo	alternativoj	prononco
level	preter ~	onstran ~, mimo ~, naravnost mimo	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	tišina	a silence	grupo	alternativoj	prononco
level	infano	otrok, dojenček	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	srečen, srečen, srečen	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	ujeti, ujeti, zgrabiti	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	želeti, želeti	to desire, to wish	grupo	alternativoj	prononco
level	longa	dolga	long	grupo	alternativoj	prononco
level	mondo	svet	a world	grupo	alternativoj	prononco
level	okazi	to occur, zgoditi se, nastati	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	polje, polje	field, a field	grupo	alternativoj	prononco
level	filo	sin	a son	grupo	alternativoj	prononco
level	montri	pokazati, nakazati, poudariti	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	srce	a heart	grupo	alternativoj	prononco
level	knabo	fant	a boy	grupo	alternativoj	prononco
level	meti	postaviti, postaviti, položiti	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	mož	a husband	grupo	alternativoj	prononco
level	pako	paket	package	grupo	alternativoj	prononco
level	rapida	hitro, hitro, hitro	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	videti, videti, da je	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	a greeting, salute, salutation	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	pisati	to write	grupo	alternativoj	prononco
level	peti	to ask, to ask for, zahtevati, prositi	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	leteti	to fly	grupo	alternativoj	prononco
level	kapo	glava, ogrinjalo	a head, a cape	grupo	alternativoj	prononco
level	krii	kričati, jokati, kričati, kričati	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	rdeča	red	grupo	alternativoj	prononco
level	sinjoro	gospod, gospod	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	to hold, to hang on	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	čas, čas	time, a time	grupo	alternativoj	prononco
level	tuta	total, all, whole, complete, general	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	moški	a man	grupo	alternativoj	prononco
level	vojo	a way, pot, pot	a way, a path, a route	grupo	alternativoj	prononco
level	movi	premakniti se	to move	grupo	alternativoj	prononco
level	militi	prekiniti vojno, boriti se, vojskovati	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	nekaj, nekaj	a few, several	grupo	alternativoj	prononco
level	dekstra	desno, desno (stran, smer), desno	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	zapreti, zapreti	to close, to shut	grupo	alternativoj	prononco
level	okupi	zasesti, vzeti	to occupy, to take	grupo	alternativoj	prononco
level	levi	to lever, dvigniti, dvigniti	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	to beat, to hit, to strike, to smak, to lash	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	to need, to want, to require	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	razumeti, spoznati	to understand, to realise	grupo	alternativoj	prononco
level	iri	iti	to go	grupo	alternativoj	prononco
level	veni	priti	to come	grupo	alternativoj	prononco
level	porti	nositi, nositi	to carry, to wear	grupo	alternativoj	prononco
level	kovri	pokriti	to cover	grupo	alternativoj	prononco
level	hela	svetlo, jasno in svetlo	bright, clear and light	grupo	alternativoj	prononco
level	sana	zdravo	healthy	grupo	alternativoj	prononco
level	aperi	pojaviti se, pojaviti se	to appear, to emerge	grupo	alternativoj	prononco
level	libro	knjiga	a book	grupo	alternativoj	prononco
level	atendi	čakati, pričakovati, čakati	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	roka	a hand	grupo	alternativoj	prononco
level	pentri	slikati	to paint	grupo	alternativoj	prononco
level	instrui	poučevati, poučevati	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	sedeti	to sit	grupo	alternativoj	prononco
level	stari	stati	to stand	grupo	alternativoj	prononco
level	afero	stvar, predmet, primer, skrb, mater	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	full, popolno	full, complete	grupo	alternativoj	prononco
level	klara	jasno	clear	grupo	alternativoj	prononco
level	komenci	začeti, začeti	to begin, to commence	grupo	alternativoj	prononco
level	dormi	spati, biti zaspan	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	del, delež	a part, a share	grupo	alternativoj	prononco
level	mono	denar	money	grupo	alternativoj	prononco
level	ricevi	prejeti	to receive	grupo	alternativoj	prononco
level	ami	ljubiti	to love	grupo	alternativoj	prononco
level	devi	to have to, must, should, ought to	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	biti sposoben, lahko	be able to, can	grupo	alternativoj	prononco
level	labori	delati, delati	to work, to labor	grupo	alternativoj	prononco
level	dio	bog	a god	grupo	alternativoj	prononco
level	urbo	mesto, mesto	a city, a town	grupo	alternativoj	prononco
level	ofta	freqent, pogosto	freqent, often	grupo	alternativoj	prononco
level	soni	zveneti, zveneti	to sound, to make sound	grupo	alternativoj	prononco
level	tero	zemlja, zemlja, prst	earth, land, soil	grupo	alternativoj	prononco
level	vivi	živeti, biti živ	to live, to be alive	grupo	alternativoj	prononco
level	resti	ostati, ostati	to stay, to remain	grupo	alternativoj	prononco
level	ridi	smejati se	to laugh	grupo	alternativoj	prononco
level	homo	človek, človek	a human, a man	grupo	alternativoj	prononco
level	akvo	vodo	water	grupo	alternativoj	prononco
level	vorto	Beseda	a word	grupo	alternativoj	prononco
level	certa	gotovo, gotovo	certain, sure	grupo	alternativoj	prononco
level	lando	dežela, država	a land, a country	grupo	alternativoj	prononco
level	sama	enako	same	grupo	alternativoj	prononco
level	ĵeti	vreči	to throw	grupo	alternativoj	prononco
level	stelo	zvezda	a star	grupo	alternativoj	prononco
level	domo	hiša, dom	a house, a home	grupo	alternativoj	prononco
level	nomo	ime, poimenovanje	a name, an appellation	grupo	alternativoj	prononco
level	vidi	videti	to see	grupo	alternativoj	prononco
level	mola	mehko	soft	grupo	alternativoj	prononco
level	horo	ura, ura, čas	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	oblika, oblika	a form, a shape	grupo	alternativoj	prononco
level	tago	na dan	a day	grupo	alternativoj	prononco
level	fumo	dim	a smoke	grupo	alternativoj	prononco
level	ĉevalo	konj	a horse	grupo	alternativoj	prononco
level	jaro	leto	a year	grupo	alternativoj	prononco
level	vojaĝi	potovati	to travel	grupo	alternativoj	prononco
level	celo	a goal, cilj, namen, cilj	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	roditi, roditi, roditi	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	pogrešati, manjkati, manjkati	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	ptica	a bird	grupo	alternativoj	prononco
level	halti	ustaviti se, ustaviti se, ustaviti se	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	brat	a brother	grupo	alternativoj	prononco
level	monto	gora	a mountain	grupo	alternativoj	prononco
level	pensi	misliti	to think	grupo	alternativoj	prononco
level	permesi	to permit, dovoliti	to permit, to allow	grupo	alternativoj	prononco
level	kosti	stati	to cost	grupo	alternativoj	prononco
level	lito	postelja, kavč	a bed, a couch	grupo	alternativoj	prononco
level	perdi	izgubiti	to lose	grupo	alternativoj	prononco
level	miri	to presenetiti, to be amased, to be astonied	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	oseba	a person	grupo	alternativoj	prononco
level	diversa	diverse, varied, raznolik	diverse, varied, various	grupo	alternativoj	prononco
level	provi	poskusiti, poskušati	to try, to attempt	grupo	alternativoj	prononco
level	pagi	plačati	to pay	grupo	alternativoj	prononco
level	prezenti	predstaviti, predstaviti	to present, to introduce	grupo	alternativoj	prononco
level	aparta	apart, posebno, ločeno	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	prav, prav	right, a right	grupo	alternativoj	prononco
level	mateno	jutro, jutro	morning, a morning	grupo	alternativoj	prononco
level	agrabla	prijetno, prijetno, lepo	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	večer, večer	evening, an evening	grupo	alternativoj	prononco
level	muro	stena	a wall	grupo	alternativoj	prononco
level	suno	sonce, sonce	sun, a sun	grupo	alternativoj	prononco
level	rigardi	pogledati, pogledati	to look, to look at	grupo	alternativoj	prononco
level	senti	čutiti, čutiti	to feel, to sense	grupo	alternativoj	prononco
level	blanka	bela, prazna	white, blank	grupo	alternativoj	prononco
level	simpla	preprosto	simple	grupo	alternativoj	prononco
level	rimarki	opaziti	to notice	grupo	alternativoj	prononco
level	lingvo	jezik, jezik	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	to change, to turn	to change, to turn	grupo	alternativoj	prononco
level	renkonti	srečati, naleteti, naleteti	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	uporabiti	to use	grupo	alternativoj	prononco
level	timi	bati se, bati se	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	resnično, resnično	real, true	grupo	alternativoj	prononco
level	sola	alone, only, sole, osamljen	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	mir, mir	peace, a peace	grupo	alternativoj	prononco
level	rakonti	pripovedovati, povedati, povedati	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	barva, barva	color, a color	grupo	alternativoj	prononco
level	pura	čisto, čisto	clean, pure	grupo	alternativoj	prononco
