A.sl content.tsv
Level	Esperanto	sl	en-us	Grupo	Alternativoj	Pronoco
level	pardoni ~, pardono	odpuščati, odpuščanje	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	odpuščanje zame	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Žal mi je! (Oprostite)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Oprostite, prosim	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	dobro jutro	a good morning	grupo	alternativoj	prononco
level	bonan matenon	dobro jutro	good morning	grupo	alternativoj	prononco
level	bonan nokton	lahko noč	good night	grupo	alternativoj	prononco
level	bonan sonĝon	sladke sanje	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(ime) srečno pot, tebi	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	dober dan!	good day!	grupo	alternativoj	prononco
level	ĉu ~	je ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	ti gre dobro? (kako si?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	da, v redu sem	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ne, sploh ne	no, not at all	grupo	alternativoj	prononco
level	tre, tro	zelo, preveč	very, too much	grupo	alternativoj	prononco
level	granda, grande	veliko, v veliki meri	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	zelo dobro, preveliko	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	zelo dobro ti gre	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ne preveč dobro	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	učiti se, učenje	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	išče, gledalec	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	se uči, študent (učeča se oseba)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	je -ing, oseba, ki dela	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	študent, oseba, ki se je naučila	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Jaz sem študent.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ je moj prijatelj	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	on, ona	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sedeti, sedi	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	je sedel, je sedel, bo sedel	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	on sedi, ona pa se uči	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	soba	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	uči v sobi	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	študent in športnik	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	šport in športnik	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	športnik je športen	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	on je študent	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	je študent in športnik	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	zdaj sedi	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	in se zdaj uči	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sedi in se uči	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	zdaj v sobi	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	je na mizi	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	papir in papirji	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	miza in mize	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	knjiga in knjige	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	papirji in knjige	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	je na mizi.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	piše na pisalno mizo	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	knjige so ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	na mizi	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	učbenik in učbeniki	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	na mizi je ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	oče in mati	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	oče in mati	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	mati mojega prijatelja	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	V sobi	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	ni v sobi	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	zdaj delajo	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	njegov oče je delavec	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	dela v hotelu	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	mati uči	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ona je učiteljica	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	je mama?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ne, ona je hotelirka	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ne, ne delam	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	kako ji je ime?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	kdo zdaj odgovarja?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	jezik njihove matere	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	je tvoje ime ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	sedimo in odgovarjamo	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	njen delovni stol	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	njegovo ime ni ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	njen jezik je njihov jezik	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	naš oče in mati	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	vaš študent, vaši učenci	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	so tvoji učenci?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	ali si študent?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	si v sobi?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Nisem ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	esperantist in esperantistka	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	prijavil v hotelsko sobo	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	jezikoslovec in delavka	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	njegova prijateljica je ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	študenti in športniki	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	moje družinsko ime je ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	kdo je ona? katera je ona?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	je tvoja prijateljica	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	je tvoj prijatelj ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	piše zdaj v sobi	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	je prijatelj tvojega očeta ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	dela v hotelu	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	kaj je na mizi?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	na mizi v naši sobi	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	je učbenik za esperanto ~?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	je na vaši mizi	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ima prijatelja	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	njeno ime je ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	mlad in lep	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	je mlada in lepa	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	mlade in lepe prijateljice	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	sta prijatelja moški in ženska	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	dom njenega učitelja	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	prišel na dom	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	dom ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	naprej, prosim	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Živjo, kaj počneš?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	kaj počneš? kaj delaš?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	zdaj pa hočem ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Hočem govoriti	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	s tremi prijateljicami in prijateljicami	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	govoril s teboj	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	želi govoriti s teboj	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	ali imaš prijatelje in prijateljice	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	ima knjigo	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	ima dobro knjigo	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ja, jaz imam	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	všeč jim je	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	prebrala je knjigo	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	rad bere knjige	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	samo dobra knjiga	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	veliko dobrih knjig	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	berite samo dobre knjige	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	rad bere dobre knjige	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	hočeš brati?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	mladenič je pil kavo	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	hoče piti vodo	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	oče in mati; starši	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	nadloga in sestra, bratje in sestre	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	tvoji starši in bratje in sestre	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	je v vašem domu	is in your home	grupo	alternativoj	prononco
level	jen la kafo	tukaj je kava	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	še ni pil	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	je še toplo	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	skuhala včeraj	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Zdaj sem kuhala	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Hvala vam. tako je rekel.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	lahko pije in je	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	spil hladno kavo	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	še toplo kavo	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	pije tudi hladno kavo	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	lahko pije tudi hladno kavo	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	pogleda njeno oko	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	najlepše oko	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	lepe oči	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	pogledal lepe oči	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	njene lepe oči	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	vidi in razume	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Vidim, da ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	da jo ljubi	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	čuti, da jo ljubi	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	vpraša, ali je bilo to veliko	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	o lahkem vprašanju	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	rekel o novem denarju	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	zelo lepe oči	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	je pogledal velikega brata	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	mala sestrica ga je pozabila	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	tožilnik (objekt)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	ne pozabite na tožilniško končnico	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	s kom se videvaš? katerega vidiš?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	vidim prijatelja	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	ima dobre prijatelje in prijateljice	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	delajo okoli stare hiše	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	dela, delal, bo delal	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	vidi, da jem	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	rekel, da bo šel	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	grdo in slabo	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	kaj je rekla?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	kaj čakaš?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	šel v sobo	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	vsebina je zelo težka	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	prišel na sestanek	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	dobrodošli na srečanju	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	starec je dal namig	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	prišel in bil dobrodošel	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	sovražijo, a sodelujejo	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	šel v hotel	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	ima enostavne učbenike	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	kako je bila tvoja mama?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	vaš stari dom	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	katere knjige si prebral?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	so bili dobri?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	naredil kaj včeraj?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	v majhni sobi	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	govoril zelo dolgo	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	pred šolo, pred šolo	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	spregovoril pred šolo	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	pozneje spregovoril o knjigi	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	z veseljem hodil v šolo	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	skozi ulico	through the street	grupo	alternativoj	prononco
level	iris tra la strato	šel skozi ulico	went through the street	grupo	alternativoj	prononco
level	estis varma tago	bil je topel dan	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	videli so kavarno'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	videl rdeče piškote	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	v njem videl piškote	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	videl kavarno' in v njej piškote	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	pojdi noter in jej!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	vstopimo in jejmo	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	ima dovolj denarja	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	imaš dovolj denarja?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	ali razumeš?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	seveda!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	to ni dovolj	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	sto dolarjev je dovolj	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	dolar, dolarji, dolarji (množinski cilj)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	ima sto dolarjev	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	seveda imam	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	oh! ti si bogat!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	voda, natakarica	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	natakar prinese meni	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	prinesel to k nam, prinesel to	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	natakar je prinesel veliko piškotov	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	nekaj so pojedli (malo)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	po jedi (obroku)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	novo, spet	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	spet je prišel natakar	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	na nekem mestu	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	nekje iskal	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	iskal na drugem mestu	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	njegov obraz je bil vesel	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	bila je žalostna	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	na koncu in končno končno	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	tvoj močan glas	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	s šibkim glasom	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	nima denarja	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	kaj se je tam zgodilo?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	pozneje se je zgodila nesreča	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	veš kdaj se je to zgodilo?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	ve za zadevo	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	še ena stvar ostane	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	ti ali ona, katera koli oseba	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	kot pevka, kot podpisnica	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	pela kot profesionalna pevka	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	mestu, kjer je živela	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	kako veš za avto?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	no, poglej hiter avto	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	sok brez sladkorja	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	ima hitro vozilo	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	premočno	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	premočno je odprl	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	vozil (potoval) prehitro	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	jedel z žlico	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	močno dvomimo	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	pravo pismo od njega	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	ljubezensko pismo s petimi fotografijami	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	vrnili, ljudje, ki so se vrnili	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	tudi šest vrnjenih pisem	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	želel videti fotografijo	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	vrnil iz šole	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	kdaj se vrne sestra?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	želel brati še enkrat	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	made (naredil), postal	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	hitro postala rdeča	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	v sobi, v sobo	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	stala in sedela	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	je stal pred fotografijo	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	To imam	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	kaj imaš v roki?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	spredaj ali zadaj?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	prej ali potem?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	tam za vrati	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	drugi, drugi ljudje	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	pisma drugih	letters from others	grupo	alternativoj	prononco
level	falis el la mano	padel iz roke	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	na mizo, na mizo	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	padlo je na mizo	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	prosil za pomilostitev	asked for pardon	grupo	alternativoj	prononco
