C.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	ofte	souvent fréquemment	often, frequently	grupo	alternativoj	prononco
level	iom	un peu, plutôt, un peu, un peu	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nouveau, roman	new, novel	grupo	alternativoj	prononco
level	-at-	<suffix>Participe présent passif	<suffix> passive present participle	grupo	alternativoj	prononco
level	-it-	<suffix>participe passé passif	<suffix> passive past participle	grupo	alternativoj	prononco
level	-ot-	<suffix>participe futur passif	<suffix> passive future participle	grupo	alternativoj	prononco
level	tre	très, assez, beaucoup	very, quite, very much	grupo	alternativoj	prononco
level	tro	trop, excessivement, trop	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	cependant, néanmoins, mais, néanmoins	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	ça ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	parce que ~	because ~	grupo	alternativoj	prononco
level	ĉu	si ~	whether ~	grupo	alternativoj	prononco
level	-ej-	<suffix>lieu	<suffix> place	grupo	alternativoj	prononco
level	-ec-	<suffix>nom abstrait de la qualité	<suffix> abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	les deux ~	both ~	grupo	alternativoj	prononco
level	tuj	immédiatement, instantanément, tout de suite	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	comme si ~	as if ~	grupo	alternativoj	prononco
level	kiam	quand	when	grupo	alternativoj	prononco
level	silenti	se taire, se taire	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	jamais, à aucun moment, jamais	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	donc, donc	therefore, so	grupo	alternativoj	prononco
level	kial	pourquoi, pour quoi faire	why, what for	grupo	alternativoj	prononco
level	kvankam	bien que ~, pendant que, cependant	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	<prep>à ~	<preposition> at ~	grupo	alternativoj	prononco
level	pli	plus	more	grupo	alternativoj	prononco
level	plej	la plupart	most	grupo	alternativoj	prononco
level	diri	dire, dire	to say, to tell	grupo	alternativoj	prononco
level	ol ~	que ~	than ~	grupo	alternativoj	prononco
level	paroli	parler, parler	to speak, to talk	grupo	alternativoj	prononco
level	kia	quel genre de, quel genre de	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	tel, ce genre de, tel	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	à peine, à peine, à peine	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	envoyer	to send	grupo	alternativoj	prononco
level	ĵus	juste (il y a un instant), juste maintenant	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	<suffix>impératif	<suffix> imperative	grupo	alternativoj	prononco
level	ekster ~	dehors ~	outside ~	grupo	alternativoj	prononco
level	ge-	<prefix>les deux sexes, les deux genres	<prefix> both sex, both gender	grupo	alternativoj	prononco
level	-us	<suffix>serait, devrait, subjonctif	<suffix> would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	bientôt	soon	grupo	alternativoj	prononco
level	almenaŭ	du moins, si rien d'autre	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	<suffix>récipient; pays	<suffix> container; country	grupo	alternativoj	prononco
level	lerni	apprendre	to learn	grupo	alternativoj	prononco
level	ek-	<prefix>début; début soudain	<prefix> beginning; sudden start	grupo	alternativoj	prononco
level	se	si, à condition que	if, provided that	grupo	alternativoj	prononco
level	eĉ	même	even	grupo	alternativoj	prononco
level	amo	un amour	a love	grupo	alternativoj	prononco
level	jam	déjà, si tôt, dès maintenant	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Ici! Lo! Voir	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	finir, finir, terminer	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	alors, donc, donc	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ jamais, (quoi) jamais, du tout, - peu importe	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	facile, facile	easy, facile	grupo	alternativoj	prononco
level	re-	<prefix>concernant-	<prefix> re-	grupo	alternativoj	prononco
level	granda	grand, grand, grand	big, great, large	grupo	alternativoj	prononco
level	-ist-	<suffix>professionnel	<suffix> professional	grupo	alternativoj	prononco
level	pro ~	<prep>à cause de ~, à cause de ~	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	<suffix>chef, patron, chef, chef	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	quoi	what	grupo	alternativoj	prononco
level	manĝi	manger	to eat	grupo	alternativoj	prononco
level	nenio	rien, rien, rien	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	jeune	young	grupo	alternativoj	prononco
level	ĉio	tout	everything	grupo	alternativoj	prononco
level	riĉa	riche, riche, aisé	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	cette chose, ça	that thing, that	grupo	alternativoj	prononco
level	konstrui	construire, construire	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	<prefix>chef, leader, principal	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	<prep>sans ~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	<prep>avec ~ (ensemble)	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	<prep>sauf ~, en plus ~	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	un ami	a friend	grupo	alternativoj	prononco
level	kies	à qui, lequel, dont	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	<prep>par ~ (une méthode), avec ~ (un outil)	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	contre ~	against ~	grupo	alternativoj	prononco
level	el ~	hors de ~, de ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	aujourd'hui	today	grupo	alternativoj	prononco
level	hieraŭ	hier	yesterday	grupo	alternativoj	prononco
level	nur	seulement, juste, exclusivement	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	aider, aider, assister	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	<adv>loin	<adv> far, away	grupo	alternativoj	prononco
level	nek	ni, ni l'un ni l'autre	nor, neither	grupo	alternativoj	prononco
level	malamo	une haine	a hate	grupo	alternativoj	prononco
level	preskaŭ	presque, presque	almost, nearly	grupo	alternativoj	prononco
level	tra ~	à travers ~	through ~	grupo	alternativoj	prononco
level	super	au-dessus, au-dessus	over, above	grupo	alternativoj	prononco
level	trans ~	sur ~, à travers ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	eh bien, alors, maintenant	well, well then, now	grupo	alternativoj	prononco
level	pri ~	à propos de ~	about ~	grupo	alternativoj	prononco
level	por ~	pour ~, pour ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	demain	tomorrow	grupo	alternativoj	prononco
level	nun	maintenant, à l'heure actuelle	now, at present	grupo	alternativoj	prononco
level	laŭ ~	selon ~, le long de ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	chacun, chacun, tout le monde, tout	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	qui, lequel, lequel	who, which, which one	grupo	alternativoj	prononco
level	tiu	cette personne, celle-là, celle-là, là-bas	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	quelqu'un, quelqu'un, certains	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	personne, personne, ni l'un ni l'autre	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	à ~	to ~	grupo	alternativoj	prononco
level	-ebl-	<suffix>~capable	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	espérer	to hope	grupo	alternativoj	prononco
level	unu	un	one	grupo	alternativoj	prononco
level	du	deux	two	grupo	alternativoj	prononco
level	tri	trois	three	grupo	alternativoj	prononco
level	kvar	quatre	four	grupo	alternativoj	prononco
level	kvin	cinq	five	grupo	alternativoj	prononco
level	ses	six	six	grupo	alternativoj	prononco
level	sep	Sept	seven	grupo	alternativoj	prononco
level	ok	huit	eight	grupo	alternativoj	prononco
level	naŭ	neuf	nine	grupo	alternativoj	prononco
level	dek	dix	ten	grupo	alternativoj	prononco
level	cent	cent	a hundred	grupo	alternativoj	prononco
level	mil	un millier	a thousand	grupo	alternativoj	prononco
level	-obl-	<suffix>pour la multiplicité, -oble, -fold	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	<suffix>~ème, fraction	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	d'amour	of love	grupo	alternativoj	prononco
level	anstataŭ ~	au lieu de ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	<suffix>devenir	<suffix> become	grupo	alternativoj	prononco
level	voli	vouloir, vouloir, être prêt à	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	<suffix>faire devenir	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	suivre	to follow	grupo	alternativoj	prononco
level	ĝoje	volontier	gladly	grupo	alternativoj	prononco
level	legi	lire	to read	grupo	alternativoj	prononco
level	silenta	silencieux	silent	grupo	alternativoj	prononco
level	la	le	the	grupo	alternativoj	prononco
level	ha!	Ha!	ha!	grupo	alternativoj	prononco
level	-il-	<suffix>outil, méthode	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	boire (sans alcool)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	<suffix>petit peu	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	<suffix>grand, grand	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	<prep>entre ~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	<suffix>comportement associé	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	<suffix>ensemble, groupe	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	<suffix>membre d'un groupe	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	remercier	to thank	grupo	alternativoj	prononco
level	-ind-	<suffix>utile, digne	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	encore plus, plus loin, et ainsi de suite, plus	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	comment, genre, de quelle manière, comme	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	tel, de cette façon, ainsi	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	<prep>dans ~	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	<prep>à côté de ~, à côté de ~	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	<prep>dessous, dessous ~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	<prep>sur ~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	<prep>préparation indéfinie, à, dans, par, sur	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	<adv>encore, encore	<adv> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	<prep>autour de ~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	mais	but	grupo	alternativoj	prononco
level	ie	quelque part	somewhere	grupo	alternativoj	prononco
level	kie	où, à quel endroit	where, at what place	grupo	alternativoj	prononco
level	silente	silencieusement	silently	grupo	alternativoj	prononco
level	ĉie	partout, partout	everywhere, all about	grupo	alternativoj	prononco
level	nenie	nulle part, en aucun cas, nulle part	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	là, là-bas, là-bas	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	ça ~	this ~	grupo	alternativoj	prononco
level	kanti	chanter	to sing	grupo	alternativoj	prononco
level	morti	mourir, décéder	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	<prep>pendant ~, pendant que ~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	une nation	a nation	grupo	alternativoj	prononco
level	koni	connaître (une personne), faire la connaissance de	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	savoir (un fait, une connaissance), savoir comment	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	toujours, toujours	always, ever	grupo	alternativoj	prononco
level	iam	à un moment donné, une fois	at some time, once	grupo	alternativoj	prononco
level	tiam	alors	then	grupo	alternativoj	prononco
level	-em-	<suffix>tendance	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	une sorte de	some kind of	grupo	alternativoj	prononco
level	sukcesi	réussir	to succeed	grupo	alternativoj	prononco
level	ĉia	de toutes sortes, de toutes sortes	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	non, pas n'importe quel genre, pas n'importe lequel	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	<suffix>progéniture	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	une chambre, une chambre	a room, a chamber	grupo	alternativoj	prononco
level	patro	un père	a father	grupo	alternativoj	prononco
level	porko	un cochon, un porc	a pig, swine	grupo	alternativoj	prononco
level	bo-	<prefix>-beau-frère, par alliance	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	en effet	indeed	grupo	alternativoj	prononco
level	-ism-	<suffix>-isme	<suffix> -ism	grupo	alternativoj	prononco
level	io	quelque chose	something	grupo	alternativoj	prononco
level	veturi	conduire (un véhicule)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	un coq, une poule, un poulet, une volaille	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	gratuit	free	grupo	alternativoj	prononco
level	lasta	dernier	last	grupo	alternativoj	prononco
level	ĝoji	se réjouir, être heureux, profiter	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	prendre, s'emparer de	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	une vache, un bœuf, un bovin	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	un autre, un autre, autre	another, other, else	grupo	alternativoj	prononco
level	varma	chaud, tiède	hot, warm	grupo	alternativoj	prononco
level	loĝi	résider, vivre, habiter, habiter	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	croire	to believe	grupo	alternativoj	prononco
level	glacio	une glace	an ice	grupo	alternativoj	prononco
level	loko	un lieu, un emplacement	a place, a location	grupo	alternativoj	prononco
level	ovo	un œuf	an egg	grupo	alternativoj	prononco
level	multa	beaucoup, beaucoup, beaucoup	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	une possession	a possession	grupo	alternativoj	prononco
level	ŝafo	un mouton	a sheep	grupo	alternativoj	prononco
level	sono	un son	a sound	grupo	alternativoj	prononco
level	fiŝo	un poisson	a fish	grupo	alternativoj	prononco
level	bela	beau, beau, jolie	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	répondre, répondre, répondre	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	une occasion, un moment	an occasion, a time	grupo	alternativoj	prononco
level	demandi	demander	to ask	grupo	alternativoj	prononco
level	forta	fort	strong	grupo	alternativoj	prononco
level	preter ~	au-delà de ~, passé ~, passé direct	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	un silence	a silence	grupo	alternativoj	prononco
level	infano	un enfant, un nourrisson	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	heureux, chanceux, chanceux	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	attraper, capturer, agripper	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	désirer, souhaiter	to desire, to wish	grupo	alternativoj	prononco
level	longa	long	long	grupo	alternativoj	prononco
level	mondo	un monde	a world	grupo	alternativoj	prononco
level	okazi	se produire, se produire, se produire	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	champ, un champ	field, a field	grupo	alternativoj	prononco
level	filo	un fils	a son	grupo	alternativoj	prononco
level	montri	montrer, indiquer, faire remarquer	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	un cœur	a heart	grupo	alternativoj	prononco
level	knabo	un garçon	a boy	grupo	alternativoj	prononco
level	meti	mettre, placer, déposer	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	un mari	a husband	grupo	alternativoj	prononco
level	pako	emballer	package	grupo	alternativoj	prononco
level	rapida	rapide, rapide, rapide	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	paraître, paraître être	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	une salutation, un salut, une salutation	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	pour écrire	to write	grupo	alternativoj	prononco
level	peti	demander, demander, demander, mendier	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	voler	to fly	grupo	alternativoj	prononco
level	kapo	une tête, une cape	a head, a cape	grupo	alternativoj	prononco
level	krii	crier, pleurer, crier, crier	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	rouge	red	grupo	alternativoj	prononco
level	sinjoro	un monsieur, un gentleman	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	tenir, s'accrocher	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	temps, un temps	time, a time	grupo	alternativoj	prononco
level	tuta	total, tout, entier, complet, global	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	un homme	a man	grupo	alternativoj	prononco
level	vojo	un chemin, un chemin, un itinéraire	a way, a path, a route	grupo	alternativoj	prononco
level	movi	bouger	to move	grupo	alternativoj	prononco
level	militi	briser une guerre, se battre, faire la guerre	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	quelques-uns, plusieurs	a few, several	grupo	alternativoj	prononco
level	dekstra	droite, droite (côté, direction), droite	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	fermer, fermer	to close, to shut	grupo	alternativoj	prononco
level	okupi	occuper, prendre	to occupy, to take	grupo	alternativoj	prononco
level	levi	faire levier, soulever, élever	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	battre, frapper, frapper, frapper, fouetter	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	avoir besoin, vouloir, exiger	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	comprendre, se rendre compte	to understand, to realise	grupo	alternativoj	prononco
level	iri	aller	to go	grupo	alternativoj	prononco
level	veni	venir	to come	grupo	alternativoj	prononco
level	porti	porter, porter	to carry, to wear	grupo	alternativoj	prononco
level	kovri	couvrir	to cover	grupo	alternativoj	prononco
level	hela	clair, clair et lumineux	bright, clear and light	grupo	alternativoj	prononco
level	sana	en bonne santé	healthy	grupo	alternativoj	prononco
level	aperi	apparaître, émerger	to appear, to emerge	grupo	alternativoj	prononco
level	libro	un livre	a book	grupo	alternativoj	prononco
level	atendi	attendre, s'attendre, attendre	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	une main	a hand	grupo	alternativoj	prononco
level	pentri	peinturer	to paint	grupo	alternativoj	prononco
level	instrui	enseigner, instruire	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	s'asseoir	to sit	grupo	alternativoj	prononco
level	stari	se tenir debout	to stand	grupo	alternativoj	prononco
level	afero	une chose, un objet, un cas, une préoccupation, un sujet	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	complet, complet	full, complete	grupo	alternativoj	prononco
level	klara	clair	clear	grupo	alternativoj	prononco
level	komenci	commencer, commencer	to begin, to commence	grupo	alternativoj	prononco
level	dormi	dormir, être endormi	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	une partie, une part	a part, a share	grupo	alternativoj	prononco
level	mono	argent	money	grupo	alternativoj	prononco
level	ricevi	recevoir	to receive	grupo	alternativoj	prononco
level	ami	aimer	to love	grupo	alternativoj	prononco
level	devi	devoir, devoir, devoir, devoir	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	pouvoir, peut	be able to, can	grupo	alternativoj	prononco
level	labori	travailler, travailler	to work, to labor	grupo	alternativoj	prononco
level	dio	un dieu	a god	grupo	alternativoj	prononco
level	urbo	une ville, une ville	a city, a town	grupo	alternativoj	prononco
level	ofta	fréquent, souvent	freqent, often	grupo	alternativoj	prononco
level	soni	sonner, faire du son	to sound, to make sound	grupo	alternativoj	prononco
level	tero	terre, terre, sol	earth, land, soil	grupo	alternativoj	prononco
level	vivi	vivre, être en vie	to live, to be alive	grupo	alternativoj	prononco
level	resti	rester, rester	to stay, to remain	grupo	alternativoj	prononco
level	ridi	rire	to laugh	grupo	alternativoj	prononco
level	homo	un humain, un homme	a human, a man	grupo	alternativoj	prononco
level	akvo	eau	water	grupo	alternativoj	prononco
level	vorto	un mot	a word	grupo	alternativoj	prononco
level	certa	certain, bien sûr	certain, sure	grupo	alternativoj	prononco
level	lando	une terre, un pays	a land, a country	grupo	alternativoj	prononco
level	sama	même	same	grupo	alternativoj	prononco
level	ĵeti	lancer	to throw	grupo	alternativoj	prononco
level	stelo	une étoile	a star	grupo	alternativoj	prononco
level	domo	une maison, un foyer	a house, a home	grupo	alternativoj	prononco
level	nomo	un nom, une appellation	a name, an appellation	grupo	alternativoj	prononco
level	vidi	voir	to see	grupo	alternativoj	prononco
level	mola	doux	soft	grupo	alternativoj	prononco
level	horo	une heure, une heure, une heure	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	une forme, une forme	a form, a shape	grupo	alternativoj	prononco
level	tago	un jour	a day	grupo	alternativoj	prononco
level	fumo	une fumée	a smoke	grupo	alternativoj	prononco
level	ĉevalo	un cheval	a horse	grupo	alternativoj	prononco
level	jaro	une année	a year	grupo	alternativoj	prononco
level	vojaĝi	voyager	to travel	grupo	alternativoj	prononco
level	celo	un but, une cible, un but, un objectif	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	donner naissance, porter, engendrer	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	manquer, manquer, manquer	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	un oiseau	a bird	grupo	alternativoj	prononco
level	halti	s'arrêter, s'arrêter, s'arrêter	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	un frère	a brother	grupo	alternativoj	prononco
level	monto	une montagne	a mountain	grupo	alternativoj	prononco
level	pensi	penser	to think	grupo	alternativoj	prononco
level	permesi	permettre, permettre	to permit, to allow	grupo	alternativoj	prononco
level	kosti	coûter	to cost	grupo	alternativoj	prononco
level	lito	un lit, un canapé	a bed, a couch	grupo	alternativoj	prononco
level	perdi	perdre	to lose	grupo	alternativoj	prononco
level	miri	surprendre, être étonné, être étonné	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	une personne	a person	grupo	alternativoj	prononco
level	diversa	divers, varié, divers	diverse, varied, various	grupo	alternativoj	prononco
level	provi	essayer, tenter	to try, to attempt	grupo	alternativoj	prononco
level	pagi	payer	to pay	grupo	alternativoj	prononco
level	prezenti	présenter, introduire	to present, to introduce	grupo	alternativoj	prononco
level	aparta	à part, particulier, séparé	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	bien, un droit	right, a right	grupo	alternativoj	prononco
level	mateno	matin, un matin	morning, a morning	grupo	alternativoj	prononco
level	agrabla	agréable, agréable, gentil	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	soir, une soirée	evening, an evening	grupo	alternativoj	prononco
level	muro	un mur	a wall	grupo	alternativoj	prononco
level	suno	soleil, un soleil	sun, a sun	grupo	alternativoj	prononco
level	rigardi	regarder, regarder	to look, to look at	grupo	alternativoj	prononco
level	senti	ressentir, sentir	to feel, to sense	grupo	alternativoj	prononco
level	blanka	blanc, vide	white, blank	grupo	alternativoj	prononco
level	simpla	simple	simple	grupo	alternativoj	prononco
level	rimarki	remarquer	to notice	grupo	alternativoj	prononco
level	lingvo	une langue, une langue	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	changer, se transformer	to change, to turn	grupo	alternativoj	prononco
level	renkonti	rencontrer, rencontrer, croiser	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	utiliser	to use	grupo	alternativoj	prononco
level	timi	avoir peur, avoir peur de	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	la vérité	real, true	grupo	alternativoj	prononco
level	sola	seul, seulement, unique, solitaire	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	la paix, une paix	peace, a peace	grupo	alternativoj	prononco
level	rakonti	raconter, raconter, raconter	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	couleur, une couleur	color, a color	grupo	alternativoj	prononco
level	pura	propre, pur	clean, pure	grupo	alternativoj	prononco
level	aŭdi	entendre	to hear	grupo	alternativoj	prononco
level	punkto	un point, un point, une tache	a point, a dot, a spot	grupo	alternativoj	prononco
level	buŝo	une bouche	a mouth	grupo	alternativoj	prononco
level	araneo	une araignée	a spider	grupo	alternativoj	prononco
