C.sk content.tsv
Level	Esperanto	sk	en-us	Grupo	Alternativoj	Pronoco
level	ge-	(predpona) oba pohlavie, oba rod	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(prípona) by, mal by, konjunktív	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	čoskoro	soon	grupo	alternativoj	prononco
level	almenaŭ	aspoň, keď už nič iné	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(prípona) nádoba; krajina	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	učiť sa	to learn	grupo	alternativoj	prononco
level	ek-	(predpona) začiatok; náhly štart	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	ak, za predpokladu, že	if, provided that	grupo	alternativoj	prononco
level	eĉ	dokonca	even	grupo	alternativoj	prononco
level	amo	láska	a love	grupo	alternativoj	prononco
level	jam	už, tak skoro, ako teraz	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Tu! Lo! Hľa	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	skončiť, skončiť, ukončiť	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	tak teda, teda	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~kedykoľvek, (čo)kedy, vôbec, -kedykoľvek	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	ľahké, ľahké	easy, facile	grupo	alternativoj	prononco
level	re-	(predpona) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	veľký, veľký, veľký	big, great, large	grupo	alternativoj	prononco
level	-ist-	(prípona) profesionálny	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(predložka) kvôli ~, kvôli ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(prípona) vedúci, šéf, šéf, šéf	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	čo	what	grupo	alternativoj	prononco
level	manĝi	jesť	to eat	grupo	alternativoj	prononco
level	nenio	nič, nič, nič	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	mladý	young	grupo	alternativoj	prononco
level	ĉio	všetko	everything	grupo	alternativoj	prononco
level	riĉa	bohatý, bohatý, dobre situovaný	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	tá vec, tá	that thing, that	grupo	alternativoj	prononco
level	konstrui	postaviť, postaviť	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(predpona) hlavný, vedúci, hlavný	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(predložka) bez ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(predložka) s ~ (spolu)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(predložka) okrem ~, okrem ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	priateľ	a friend	grupo	alternativoj	prononco
level	kies	čí, ktorý je, z ktorého	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(predložka) pomocou ~ (metóda), s ~ (nástroj)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	proti ~	against ~	grupo	alternativoj	prononco
level	el ~	z ~, z ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	dnes	today	grupo	alternativoj	prononco
level	hieraŭ	včera	yesterday	grupo	alternativoj	prononco
level	nur	len, len, výlučne	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	pomáhať, pomáhať, pomáhať	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(príslovka) ďaleko, ďaleko	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ani, ani nie	nor, neither	grupo	alternativoj	prononco
level	malamo	nenávisť	a hate	grupo	alternativoj	prononco
level	preskaŭ	skoro, skoro	almost, nearly	grupo	alternativoj	prononco
level	tra ~	cez ~	through ~	grupo	alternativoj	prononco
level	super	nad, nad	over, above	grupo	alternativoj	prononco
level	trans ~	cez ~, cez ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	dobre, dobre teda, teraz	well, well then, now	grupo	alternativoj	prononco
level	pri ~	o ~	about ~	grupo	alternativoj	prononco
level	por ~	pre ~, v poradí pre ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	zajtra	tomorrow	grupo	alternativoj	prononco
level	nun	teraz, v súčasnosti	now, at present	grupo	alternativoj	prononco
level	laŭ ~	podľa ~, pozdĺž ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	každý, každý, každý, všetko	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	kto, ktorý, ktorý	who, which, which one	grupo	alternativoj	prononco
level	tiu	ten človek, ten ~, ten, tamto	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	niekto, niekto, niekto	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	nikto, nikto, ani jeden	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	do ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(prípona) ~schopný	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	dúfať	to hope	grupo	alternativoj	prononco
level	unu	jeden	one	grupo	alternativoj	prononco
level	du	dva	two	grupo	alternativoj	prononco
level	tri	tri	three	grupo	alternativoj	prononco
level	kvar	štyri	four	grupo	alternativoj	prononco
level	kvin	päť	five	grupo	alternativoj	prononco
level	ses	šesť	six	grupo	alternativoj	prononco
level	sep	sedem	seven	grupo	alternativoj	prononco
level	ok	osem	eight	grupo	alternativoj	prononco
level	naŭ	deväť	nine	grupo	alternativoj	prononco
level	dek	desať	ten	grupo	alternativoj	prononco
level	cent	sto	a hundred	grupo	alternativoj	prononco
level	mil	tisíc	a thousand	grupo	alternativoj	prononco
level	-obl-	(prípona) pre násobnosť, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(prípona) ~th, zlomok	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	z lásky	of love	grupo	alternativoj	prononco
level	anstataŭ ~	namiesto ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(prípona) stať sa	(suffix)  become	grupo	alternativoj	prononco
level	voli	chcieť, chcieť, byť ochotný	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(prípona) spôsobiť stať sa	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	nasledovať	to follow	grupo	alternativoj	prononco
level	ĝoje	rád	gladly	grupo	alternativoj	prononco
level	legi	čítať	to read	grupo	alternativoj	prononco
level	silenta	tichý	silent	grupo	alternativoj	prononco
level	la	na	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(prípona) nástroj, metóda	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	piť (nealkohol)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(prípona) malý, malý	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(prípona) veľký, veľký	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(predložka) medzi ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(prípona) súvisiace správanie	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(prípona) súbor, skupina	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(prípona) člen skupiny	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	poďakovať	to thank	grupo	alternativoj	prononco
level	-ind-	(prípona) hodný, hodný	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	ešte viac, ďalej a tak ďalej, viac	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	ako, ako, akým spôsobom, ako napr	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	taký, tým spôsobom, takto	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(predložka) v ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(predložka) vedľa ~, vedľa ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(predložka) pod, pod ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(predložka) na ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(predložka) neurčitý prep., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(príslovka) stále, ešte	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(predložka) okolo ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	ale	but	grupo	alternativoj	prononco
level	ie	niekde	somewhere	grupo	alternativoj	prononco
level	kie	kde, na akom mieste	where, at what place	grupo	alternativoj	prononco
level	silente	ticho	silently	grupo	alternativoj	prononco
level	ĉie	všade, všetko okolo	everywhere, all about	grupo	alternativoj	prononco
level	nenie	nikde, v ziadnom pripade, nikde	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	tam, tam, tamto	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	toto ~	this ~	grupo	alternativoj	prononco
level	kanti	spievať	to sing	grupo	alternativoj	prononco
level	morti	zomrieť, zomrieť	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(predložka) počas ~, kým ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	národ	a nation	grupo	alternativoj	prononco
level	koni	poznať (človeka), zoznámiť sa s	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	vedieť (skutočnosť, poznanie), vedieť ako	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	vždy, vždy	always, ever	grupo	alternativoj	prononco
level	iam	v určitom čase, raz	at some time, once	grupo	alternativoj	prononco
level	tiam	potom	then	grupo	alternativoj	prononco
level	-em-	(prípona) tendencia	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	nejaký druh	some kind of	grupo	alternativoj	prononco
level	sukcesi	uspieť	to succeed	grupo	alternativoj	prononco
level	ĉia	každého druhu, každého druhu	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	nie, nie akýkoľvek, nie hocijaký	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(prípona) potomstvo	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	izba, komora	a room, a chamber	grupo	alternativoj	prononco
level	patro	otec	a father	grupo	alternativoj	prononco
level	porko	prasa, sviňa	a pig, swine	grupo	alternativoj	prononco
level	bo-	(predpona) -svokor, sobášom	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	naozaj	indeed	grupo	alternativoj	prononco
level	-ism-	(prípona) -izmus	(suffix)  -ism	grupo	alternativoj	prononco
level	io	niečo	something	grupo	alternativoj	prononco
level	veturi	riadiť (vozidlo)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	kohút, sliepka, kura, sliepka	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	zadarmo	free	grupo	alternativoj	prononco
level	lasta	posledný	last	grupo	alternativoj	prononco
level	ĝoji	radovať sa, radovať sa, tešiť sa	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	vziať, zmocniť sa	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	krava, vôl, hovädzí dobytok	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	iný, iný, iný	another, other, else	grupo	alternativoj	prononco
level	varma	horúco, teplo	hot, warm	grupo	alternativoj	prononco
level	loĝi	bývať, bývať, bývať, bývať	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	veriť	to believe	grupo	alternativoj	prononco
level	glacio	pekný	an ice	grupo	alternativoj	prononco
level	loko	miesto, umiestnenie	a place, a location	grupo	alternativoj	prononco
level	ovo	vajce	an egg	grupo	alternativoj	prononco
level	multa	veľa, veľa, veľa	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	majetok	a possession	grupo	alternativoj	prononco
level	ŝafo	ovca	a sheep	grupo	alternativoj	prononco
level	sono	zvuk	a sound	grupo	alternativoj	prononco
level	fiŝo	ryba	a fish	grupo	alternativoj	prononco
level	bela	krásny, pekný, pekný	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	odpovedať, odpovedať, odpovedať	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	príležitosť, čas	an occasion, a time	grupo	alternativoj	prononco
level	demandi	opýtať sa	to ask	grupo	alternativoj	prononco
level	forta	silný	strong	grupo	alternativoj	prononco
level	preter ~	za ~, minulé ~, rovno minulé	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	ticho	a silence	grupo	alternativoj	prononco
level	infano	dieťa, dojča	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	šťastný, šťastný, šťastný	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	chytať, chytať, chytať	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	túžiť, želať si	to desire, to wish	grupo	alternativoj	prononco
level	longa	dlhý	long	grupo	alternativoj	prononco
level	mondo	Svet	a world	grupo	alternativoj	prononco
level	okazi	nastať, stať sa, nastať	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	pole, pole	field, a field	grupo	alternativoj	prononco
level	filo	syn	a son	grupo	alternativoj	prononco
level	montri	ukázať, naznačiť, poukázať	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	srdce	a heart	grupo	alternativoj	prononco
level	knabo	chlapec	a boy	grupo	alternativoj	prononco
level	meti	položiť, položiť, položiť	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	manžel	a husband	grupo	alternativoj	prononco
level	pako	balík	package	grupo	alternativoj	prononco
level	rapida	rýchlo, rýchlo, rýchlo	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	zdať sa, zdať sa byť	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	pozdrav, pozdrav, pozdrav	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	písať	to write	grupo	alternativoj	prononco
level	peti	prosiť, prosiť, prosiť, prosiť	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	lietať	to fly	grupo	alternativoj	prononco
level	kapo	hlava, plášť	a head, a cape	grupo	alternativoj	prononco
level	krii	kričať, kričať, kričať, kričať	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	červená	red	grupo	alternativoj	prononco
level	sinjoro	pán, pán	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	držať, držať sa	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	čas, čas	time, a time	grupo	alternativoj	prononco
level	tuta	total, all, whole, komplet, celkovo	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	muž	a man	grupo	alternativoj	prononco
level	vojo	cesta, cesta, cesta	a way, a path, a route	grupo	alternativoj	prononco
level	movi	pohnúť	to move	grupo	alternativoj	prononco
level	militi	prelomiť vojnu, bojovať, viesť vojnu	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	niekoľko, niekoľko	a few, several	grupo	alternativoj	prononco
level	dekstra	vpravo, vpravo (strana, smer), vpravo	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	zavrieť, zavrieť	to close, to shut	grupo	alternativoj	prononco
level	okupi	obsadiť, vziať	to occupy, to take	grupo	alternativoj	prononco
level	levi	vypáčiť, zdvihnúť, zdvihnúť	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	biť, biť, udrieť, šmakovať, bičovať	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	potrebovať, chcieť, vyžadovať	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	pochopiť, uvedomiť si	to understand, to realise	grupo	alternativoj	prononco
level	iri	ísť	to go	grupo	alternativoj	prononco
level	veni	prísť	to come	grupo	alternativoj	prononco
level	porti	nosiť, nosiť	to carry, to wear	grupo	alternativoj	prononco
level	kovri	kryť	to cover	grupo	alternativoj	prononco
level	hela	jasné, jasné a ľahké	bright, clear and light	grupo	alternativoj	prononco
level	sana	zdravý	healthy	grupo	alternativoj	prononco
level	aperi	objaviť sa, objaviť sa	to appear, to emerge	grupo	alternativoj	prononco
level	libro	kniha	a book	grupo	alternativoj	prononco
level	atendi	čakať, očakávať, čakať	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	ruku	a hand	grupo	alternativoj	prononco
level	pentri	maľovať	to paint	grupo	alternativoj	prononco
level	instrui	poučiť, poučiť	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	sedieť	to sit	grupo	alternativoj	prononco
level	stari	stáť	to stand	grupo	alternativoj	prononco
level	afero	vec, predmet, prípad, starosť, mater	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	plný, úplný	full, complete	grupo	alternativoj	prononco
level	klara	jasný	clear	grupo	alternativoj	prononco
level	komenci	začať, začať	to begin, to commence	grupo	alternativoj	prononco
level	dormi	spať, spať	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	časť, podiel	a part, a share	grupo	alternativoj	prononco
level	mono	peniaze	money	grupo	alternativoj	prononco
level	ricevi	obdržať	to receive	grupo	alternativoj	prononco
level	ami	milovať	to love	grupo	alternativoj	prononco
level	devi	musieť, musí, mal by, mal by	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	môcť, môže	be able to, can	grupo	alternativoj	prononco
level	labori	pracovať, pracovať	to work, to labor	grupo	alternativoj	prononco
level	dio	boh	a god	grupo	alternativoj	prononco
level	urbo	mesto, mestečko	a city, a town	grupo	alternativoj	prononco
level	ofta	často, často	freqent, often	grupo	alternativoj	prononco
level	soni	znieť, vydať zvuk	to sound, to make sound	grupo	alternativoj	prononco
level	tero	zem, zem, zem	earth, land, soil	grupo	alternativoj	prononco
level	vivi	žiť, byť nažive	to live, to be alive	grupo	alternativoj	prononco
level	resti	zostať, zostať	to stay, to remain	grupo	alternativoj	prononco
level	ridi	smiať sa	to laugh	grupo	alternativoj	prononco
level	homo	človek, človek	a human, a man	grupo	alternativoj	prononco
level	akvo	voda	water	grupo	alternativoj	prononco
level	vorto	slovo	a word	grupo	alternativoj	prononco
level	certa	istý, istý	certain, sure	grupo	alternativoj	prononco
level	lando	krajina, krajina	a land, a country	grupo	alternativoj	prononco
level	sama	rovnaký	same	grupo	alternativoj	prononco
level	ĵeti	hodiť	to throw	grupo	alternativoj	prononco
level	stelo	hviezda	a star	grupo	alternativoj	prononco
level	domo	dom, domov	a house, a home	grupo	alternativoj	prononco
level	nomo	meno, pomenovanie	a name, an appellation	grupo	alternativoj	prononco
level	vidi	vidieť	to see	grupo	alternativoj	prononco
level	mola	mäkké	soft	grupo	alternativoj	prononco
level	horo	hodinu, hodinu, čas	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	forma, tvar	a form, a shape	grupo	alternativoj	prononco
level	tago	deň	a day	grupo	alternativoj	prononco
level	fumo	dym	a smoke	grupo	alternativoj	prononco
level	ĉevalo	kôň	a horse	grupo	alternativoj	prononco
level	jaro	rok	a year	grupo	alternativoj	prononco
level	vojaĝi	cestovať	to travel	grupo	alternativoj	prononco
level	celo	cieľ, cieľ, účel, cieľ	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	rodiť, rodiť, rodiť	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	chýbať, chýbať, chýbať	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	vták	a bird	grupo	alternativoj	prononco
level	halti	zastaviť sa, zastaviť sa, zastaviť sa	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	brat	a brother	grupo	alternativoj	prononco
level	monto	pohorie	a mountain	grupo	alternativoj	prononco
level	pensi	myslieť	to think	grupo	alternativoj	prononco
level	permesi	dovoliť, dovoliť	to permit, to allow	grupo	alternativoj	prononco
level	kosti	stáť	to cost	grupo	alternativoj	prononco
level	lito	posteľ, gauč	a bed, a couch	grupo	alternativoj	prononco
level	perdi	prehrať	to lose	grupo	alternativoj	prononco
level	miri	prekvapiť, žasnúť, žasnúť	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	osoba	a person	grupo	alternativoj	prononco
level	diversa	rozmanité, rozmanité, rozmanité	diverse, varied, various	grupo	alternativoj	prononco
level	provi	pokúsiť sa, pokúsiť sa	to try, to attempt	grupo	alternativoj	prononco
level	pagi	zaplatiť	to pay	grupo	alternativoj	prononco
level	prezenti	predstaviť, predstaviť	to present, to introduce	grupo	alternativoj	prononco
level	aparta	oddelený, osobitný, oddelený	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	právo, právo	right, a right	grupo	alternativoj	prononco
level	mateno	ráno, ráno	morning, a morning	grupo	alternativoj	prononco
level	agrabla	príjemné, príjemné, milé	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	večer, večer	evening, an evening	grupo	alternativoj	prononco
level	muro	stena	a wall	grupo	alternativoj	prononco
level	suno	slnko, slnko	sun, a sun	grupo	alternativoj	prononco
level	rigardi	pozerať, pozerať sa	to look, to look at	grupo	alternativoj	prononco
level	senti	cítiť, cítiť	to feel, to sense	grupo	alternativoj	prononco
level	blanka	biele, prázdne	white, blank	grupo	alternativoj	prononco
level	simpla	jednoduché	simple	grupo	alternativoj	prononco
level	rimarki	všímať	to notice	grupo	alternativoj	prononco
level	lingvo	jazyk, jazyk	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	zmeniť, obrátiť	to change, to turn	grupo	alternativoj	prononco
level	renkonti	stretnúť sa, stretnúť sa, naraziť	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	použit	to use	grupo	alternativoj	prononco
level	timi	báť sa, báť sa	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	skutočné, pravdivé	real, true	grupo	alternativoj	prononco
level	sola	sám, jediný, jediný, osamelý	alone, only, sole, solitary	grupo	alternativoj	prononco
