C.my content.tsv
Level	Esperanto	my	en-us	Grupo	Alternativoj	Pronoco
level	fari	လုပ်ဖို့၊ လုပ်ဖို့	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(ဝိဘတ်) လည်း ထို့အတူပါပဲ။	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	ပြီးနောက် ~	after ~	grupo	alternativoj	prononco
level	mal-	(ရှေ့ဆက်) ဆန့်ကျင်ဘက်	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(နောက်ဆက်) စရိုက်လက္ခဏာရှိသော ပုဂ္ဂိုလ်	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(နောက်ဆက်) အမျိုးသမီး	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(နောက်ဆက်) တက်ကြွသော ပစ္စုပ္ပန်သည် ~ing, is someone who is ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(နောက်ဆက်) တက်ကြွသော အတိတ်၊	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(နောက်ဆက်) တက်ကြွသောအနာဂတ်၊ ~ing ဖြစ်လိမ့်မည်။	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	နှင့်	and	grupo	alternativoj	prononco
level	aŭ	သို့မဟုတ်	or	grupo	alternativoj	prononco
level	alta	မြင့်တယ်၊ မြင့်တယ်။	high, tall	grupo	alternativoj	prononco
level	jes	ဟုတ်တယ်	yes	grupo	alternativoj	prononco
level	ne	မဟုတ်ဘူး၊ မဟုတ်ဘူး	not, no	grupo	alternativoj	prononco
level	tiom	ဒီလောက်ပမာဏ၊ အဲဒီပမာဏ	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	ကောင်းတယ်	good	grupo	alternativoj	prononco
level	kiom	ဘယ်လောက်များများ	how much, how many	grupo	alternativoj	prononco
level	ofte	မကြာခဏ၊ မကြာခဏ	often, frequently	grupo	alternativoj	prononco
level	iom	အနည်းငယ်၊ အစား၊ အချို့၊ အတန်ငယ်	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	အသစ်၊ ဝတ္ထု	new, novel	grupo	alternativoj	prononco
level	-at-	(နောက်ဆက်) passive ပစ္စုပ္ပန်အပိုင်း	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(နောက်ဆက်) passive past participle	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(နောက်ဆက်) passive future participle	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	အရမ်း၊ တော်တော်၊ အရမ်း	very, quite, very much	grupo	alternativoj	prononco
level	tro	လွန်း၊ လွန်ကဲလွန်းတယ်။	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	မည်သို့ပင်ဆိုစေကာမူ၊ သို့သော်လည်း၊	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	အိုး! ဟို!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	အဲဒါ ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	ဘာလို့လဲဆိုတော့ ~	because ~	grupo	alternativoj	prononco
level	ĉu	~ပဲဖြစ်ဖြစ်	whether ~	grupo	alternativoj	prononco
level	-ej-	(နောက်ဆက်) နေရာ	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(နောက်ဆက်) စိတ္တဇအရည်အသွေး	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	နှစ်ခုလုံး ~	both ~	grupo	alternativoj	prononco
level	tuj	ချက်ချင်း၊ ချက်ချင်း၊ ချက်ချင်း	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	အတိုင်းပါပဲ~	as if ~	grupo	alternativoj	prononco
level	kiam	ဘယ်တော့လဲ	when	grupo	alternativoj	prononco
level	silenti	ဆိတ်ဆိတ်နေရန်၊	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	ဘယ်တော့မှ၊ ဘယ်တော့မှ မဖြစ်ဘူး။	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	ထို့ကြောင့်၊	therefore, so	grupo	alternativoj	prononco
level	kial	ဘာကြောင့်၊ ဘာအတွက်လဲ။	why, what for	grupo	alternativoj	prononco
level	kvankam	but ~, while, but	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(ဝိဘတ်) at ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	နောက်ထပ်	more	grupo	alternativoj	prononco
level	plej	အများဆုံး	most	grupo	alternativoj	prononco
level	diri	ပြောဖို့၊ ပြောဖို့၊	to say, to tell	grupo	alternativoj	prononco
level	ol ~	ထက် ~	than ~	grupo	alternativoj	prononco
level	paroli	စကားပြောရန်၊ စကားပြောရန်	to speak, to talk	grupo	alternativoj	prononco
level	kia	ဘယ်လိုမျိုး၊ ဘယ်လိုမျိုးလဲ။	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	အဲဒီလိုမျိုး၊ အဲဒီလိုမျိုး၊	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	လှုပ်လှုပ်ရွရွ၊	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	ပေးပို့ရန်	to send	grupo	alternativoj	prononco
level	ĵus	(မကြာသေးမီက)၊ ယခုပင်	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(နောက်ဆက်) မရှိမဖြစ်	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	အပြင်မှာ ~	outside ~	grupo	alternativoj	prononco
level	ge-	(ရှေ့ဆက်) လိင်နှစ်မျိုးလုံး ကျား၊မ နှစ်မျိုးလုံး	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(နောက်ဆက်) would, should, subjunctive	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	မကြာမီ	soon	grupo	alternativoj	prononco
level	almenaŭ	အနည်းဆုံး၊ အခြားဘာမှမရှိလျှင်	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(နောက်ဆက်) ကွန်တိန်နာ; နိုင်ငံ	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	သင်ယူရန်	to learn	grupo	alternativoj	prononco
level	ek-	(ရှေ့ဆက်) အစ; ရုတ်တရက်စတင်သည်။	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	ပေးလျှင်	if, provided that	grupo	alternativoj	prononco
level	eĉ	ပင်	even	grupo	alternativoj	prononco
level	amo	အချစ်တစ်ခု	a love	grupo	alternativoj	prononco
level	jam	ပြီးပြီ၊ မကြာခင်မှာပဲ၊	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	ဒီမှာ! အကယ်. ကြည့်ပါ။	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	အဆုံးသတ်ရန်၊ အပြီးသတ်ရန်၊ အပြီးသတ်ရန်	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	ထို့ကြောင့်၊ ထို့ကြောင့်၊	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ever, whatever, at all, -soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	လွယ်ကူသည်၊ လွယ်ကူသည်။	easy, facile	grupo	alternativoj	prononco
level	re-	(ရှေ့ဆက်) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	ကြီးတယ်၊ ကြီးတယ်၊ ကြီးတယ်။	big, great, large	grupo	alternativoj	prononco
level	-ist-	(နောက်ဆက်) ပညာရှင်	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(ဝိဘတ်) because of ~, due to ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(နောက်ဆက်) ခေါင်းဆောင်၊ သူဌေး၊ ဦးခေါင်း၊ အကြီးအကဲ	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	ဘာလဲ	what	grupo	alternativoj	prononco
level	manĝi	စားရန်	to eat	grupo	alternativoj	prononco
level	nenio	ဘာမှ မဟုတ်ဘူး၊ ဘာမှမဟုတ်ဘူး။	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	လူငယ်	young	grupo	alternativoj	prononco
level	ĉio	အရာအားလုံး	everything	grupo	alternativoj	prononco
level	riĉa	ချမ်းသာ၊ ချမ်းသာ၊ ချမ်းသာ	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	ထိုအရာ၊	that thing, that	grupo	alternativoj	prononco
level	konstrui	တည်ဆောက်ရန်၊ တည်ဆောက်ရန်	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(ရှေ့ဆက်) အကြီးအကဲ၊ ဦးဆောင်၊ အဓိက	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(ဝိဘတ်) မပါဘဲ ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(ဝိဘတ်) with ~ (together)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(ဝိဘတ်) except ~,beside~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	သူငယ်ချင်းတစ်ယောက်	a friend	grupo	alternativoj	prononco
level	kies	ဘယ်သူ့၊ ဘယ်ဟာ၊	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(ဝိဘတ်) by ~ (a method), with ~ (a tool)၊	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	~ဆန့်ကျင်ဘက်	against ~	grupo	alternativoj	prononco
level	el ~	out of ~, from ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	ဒီနေ့	today	grupo	alternativoj	prononco
level	hieraŭ	မနေ့က	yesterday	grupo	alternativoj	prononco
level	nur	only, just, exclusively	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	ကူညီရန်၊ ကူညီရန်၊ ကူညီရန်	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(ကြိယာဝိသေသန) အဝေး၊ အဝေး	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	လည်းမဟုတ်၊	nor, neither	grupo	alternativoj	prononco
level	malamo	အမုန်းတစ်ခု	a hate	grupo	alternativoj	prononco
level	preskaŭ	နီးပါး၊ နီးပါး	almost, nearly	grupo	alternativoj	prononco
level	tra ~	မှတဆင့် ~	through ~	grupo	alternativoj	prononco
level	super	အထက်၊ အထက်	over, above	grupo	alternativoj	prononco
level	trans ~	over ~ , ဖြတ်ကျော် ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	ကောင်းပြီ၊ ဒါဆို၊ အခု	well, well then, now	grupo	alternativoj	prononco
level	pri ~	~ အကြောင်း	about ~	grupo	alternativoj	prononco
level	por ~	for ~, in order ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	မနက်ဖြန်	tomorrow	grupo	alternativoj	prononco
level	nun	အခု လောလောဆယ်	now, at present	grupo	alternativoj	prononco
level	laŭ ~	အရ ~ ၊ တစ်လျှောက် ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	တစ်ခုချင်း၊ လူတိုင်း၊ လူတိုင်း၊ အားလုံး	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	ဘယ်သူ၊ ဘယ်ဟာ	who, which, which one	grupo	alternativoj	prononco
level	tiu	အဲဒီလူ၊ အဲဒီ့၊ ဟိုဟာ	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	တစ်စုံတစ်ယောက်၊ တစ်စုံတစ်ယောက်၊ တစ်ချို့	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ဘယ်သူမှ၊ ဘယ်သူမှလည်း မဟုတ်ဘူး။	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	~	to ~	grupo	alternativoj	prononco
level	-ebl-	(နောက်ဆက်) ~ တတ်နိုင်သည်	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	မျှော်လင့်ဖို့	to hope	grupo	alternativoj	prononco
level	unu	တစ်ခု	one	grupo	alternativoj	prononco
level	du	နှစ်ခု	two	grupo	alternativoj	prononco
level	tri	သုံး	three	grupo	alternativoj	prononco
level	kvar	လေး	four	grupo	alternativoj	prononco
level	kvin	ငါး	five	grupo	alternativoj	prononco
level	ses	ခြောက်	six	grupo	alternativoj	prononco
level	sep	ခုနှစ်	seven	grupo	alternativoj	prononco
level	ok	ရှစ်	eight	grupo	alternativoj	prononco
level	naŭ	ကိုး	nine	grupo	alternativoj	prononco
level	dek	တကျိပ်	ten	grupo	alternativoj	prononco
level	cent	တစ်ရာ	a hundred	grupo	alternativoj	prononco
level	mil	တစ်ထောင်	a thousand	grupo	alternativoj	prononco
level	-obl-	(နောက်ဆက်) များပြားခြင်း၊ -oble၊ -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(နောက်ဆက်) ~th, အပိုင်း	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	ချစ်ခြင်းမေတ္တာ	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~အစား	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(နောက်ဆက်) ဖြစ်လာသည်။	(suffix)  become	grupo	alternativoj	prononco
level	voli	လုပ်ချင်၊ လုပ်ချင်၊ လုပ်ချင်လုပ်	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(နောက်ဆက်) အကြောင်းရင်း	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	လိုက်နာရန်	to follow	grupo	alternativoj	prononco
level	ĝoje	ဝမ်းမြောက်စွာ	gladly	grupo	alternativoj	prononco
level	legi	ဖတ်ရန်	to read	grupo	alternativoj	prononco
level	silenta	အသံတိတ်	silent	grupo	alternativoj	prononco
level	la	အဆိုပါ	the	grupo	alternativoj	prononco
level	ha!	ဟား!	ha!	grupo	alternativoj	prononco
level	-il-	(နောက်ဆက်) ကိရိယာ၊ နည်းလမ်း	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	(အယ်လ်ကိုဟောမပါသော) သောက်ရန်၊	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(နောက်ဆက်) အသေး၊ အသေး	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(နောက်ဆက်) ကြီးသည်၊ ကြီးသည်။	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(ဝိဘတ်) အကြား ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(နောက်ဆက်) ဆက်စပ်အပြုအမူ	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(နောက်ဆက်) အစုံ၊ အုပ်စု	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(နောက်ဆက်) အဖွဲ့၏အဖွဲ့ဝင်	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	ကျေးဇူးတင်ရန်	to thank	grupo	alternativoj	prononco
level	-ind-	(နောက်ဆက်) ထိုက်၊ ထိုက်တန်၊	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	ပို၍ပင်၊ နောက်ထပ်၊ စသည်တို့၊ နောက်ထပ်	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	ဘယ်လိုမျိုး၊ ဘယ်လိုမျိုး၊ ဘယ်လိုမျိုး၊	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	ထိုနည်းအားဖြင့်၊	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(ဝိဘတ်) ၌ ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(ဝိဘတ်) next to ~,bee ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(ဝိဘတ်) အောက်၊အောက် ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(ဝိဘတ်) on ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(ဝိဘတ်) အတည်မပြုသော ကြိုတင်ပြင်ဆင်မှု။, at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(ကြိယာဝိသေသန) သေး၊ သေး	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(ဝိဘတ်) ပတ်လည် ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	ဒါပေမယ့်	but	grupo	alternativoj	prononco
level	ie	တစ်နေရာရာမှာ	somewhere	grupo	alternativoj	prononco
level	kie	ဘယ်နေရာ၊ ဘယ်နေရာမှာလဲ။	where, at what place	grupo	alternativoj	prononco
level	silente	တိတ်တိတ်ဆိတ်ဆိတ်	silently	grupo	alternativoj	prononco
level	ĉie	နေရာတိုင်း၊ အားလုံးအကြောင်း	everywhere, all about	grupo	alternativoj	prononco
level	nenie	ဘယ်မှာမှ ကိစ္စမရှိ၊ ဘယ်နေရာမှ မဟုတ်ဘူး။	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	ဟိုမှာ၊ ဟိုမှာ၊ ဟိုမှာ	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	ဒါက ~	this ~	grupo	alternativoj	prononco
level	kanti	သီချင်းသီဆိုရန်	to sing	grupo	alternativoj	prononco
level	morti	သေရန်၊	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(ဝိဘတ်) during ~, while ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	လူမျိုးတစ်မျိုး	a nation	grupo	alternativoj	prononco
level	koni	သိရန် (လူ) နှင့် ရင်းနှီးရန်	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	to know (အမှန်၊ ဗဟုသုတ) ကို သိရန်	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	အမြဲတမ်း၊ အမြဲ	always, ever	grupo	alternativoj	prononco
level	iam	တစ်ချိန်ချိန်၊ တစ်ကြိမ်	at some time, once	grupo	alternativoj	prononco
level	tiam	ထို့နောက်	then	grupo	alternativoj	prononco
level	-em-	(နောက်ဆက်) ပြောမယ်ဆိုရင်	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	တစ်မျိုးမျိုး	some kind of	grupo	alternativoj	prononco
level	sukcesi	အောင်မြင်ဖို့	to succeed	grupo	alternativoj	prononco
level	ĉia	အမျိုးအမျိုး၊	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	မဟုတ်ဘူး၊ တစ်မျိုးမဟုတ်၊ မဟုတ်ဘူး။	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(နောက်ဆက်) အမျိုးအနွယ်	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	အခန်းတစ်ခန်း၊ အခန်းတစ်ခု	a room, a chamber	grupo	alternativoj	prononco
level	patro	ဖခင်တစ်ဦး	a father	grupo	alternativoj	prononco
level	porko	ဝက်၊ ဝက်	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -in-law, အိမ်ထောင်ရေး	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	တကယ်ပါပဲ	indeed	grupo	alternativoj	prononco
level	-ism-	(နောက်ဆက်) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	တစ်ခုခု	something	grupo	alternativoj	prononco
level	veturi	မောင်းနှင်ရန် (ယာဉ်)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ကြက်၊ ကြက်၊ ကြက်၊ ငှက်	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	အခမဲ့	free	grupo	alternativoj	prononco
level	lasta	နောက်ဆုံး	last	grupo	alternativoj	prononco
level	ĝoji	ဝမ်းမြောက်ရန်၊ ဝမ်းမြောက်ရန်၊ ပျော်ရွှင်ရန်	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	ယူဖို့၊ ကိုင်ဖို့	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	နွား၊ နွား၊ နွားတိရစ္ဆာန်	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	အခြား၊ အခြား၊ အခြား	another, other, else	grupo	alternativoj	prononco
level	varma	ပူတယ်၊ နွေးတယ်။	hot, warm	grupo	alternativoj	prononco
level	loĝi	နေဖို့၊ နေဖို့၊ နေဖို့၊ နေဖို့	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	ယုံကြည်ဖို့	to believe	grupo	alternativoj	prononco
level	glacio	ရေခဲတစ်ခု	an ice	grupo	alternativoj	prononco
level	loko	နေရာတစ်ခု၊ နေရာတစ်ခု	a place, a location	grupo	alternativoj	prononco
level	ovo	ဥတစ်လုံး	an egg	grupo	alternativoj	prononco
level	multa	အများကြီး၊ အများကြီး၊ အများကြီး	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	အပိုင်	a possession	grupo	alternativoj	prononco
level	ŝafo	သိုးတစ်ကောင်	a sheep	grupo	alternativoj	prononco
level	sono	အသံတစ်ခု	a sound	grupo	alternativoj	prononco
level	fiŝo	ငါး	a fish	grupo	alternativoj	prononco
level	bela	လှတယ်၊ ချောတယ်၊ လှတယ်။	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	ဖြေဆိုရန်၊ တုံ့ပြန်ရန်၊ ဖြေကြားရန်	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	အချိန်တစ်ခု၊ အချိန်တစ်ခု	an occasion, a time	grupo	alternativoj	prononco
level	demandi	မေးရန်	to ask	grupo	alternativoj	prononco
level	forta	ခိုင်မာတယ်။	strong	grupo	alternativoj	prononco
level	preter ~	ကျော်လွန် ~, past ~, ဖြောင့်လွန်	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	တိတ်တိတ်ဆိတ်ဆိတ်	a silence	grupo	alternativoj	prononco
level	infano	ကလေးတစ်ယောက်၊ မွေးကင်းစကလေး	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	ပျော်ရွှင်၊ ကံကောင်း၊ ကံကောင်း	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	ဖမ်းရန်၊ ဖမ်းရန်၊ ဆုပ်ကိုင်ရန်	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	ဆန္ဒ၊ ဆန္ဒ	to desire, to wish	grupo	alternativoj	prononco
level	longa	ရှည်	long	grupo	alternativoj	prononco
level	mondo	ကမ္ဘာတစ်ခု	a world	grupo	alternativoj	prononco
level	okazi	ဖြစ်ပေါ်လာရန်၊ ဖြစ်ပေါ်လာရန်၊	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	လယ်ကွင်း	field, a field	grupo	alternativoj	prononco
level	filo	သားတစ်ယောက်	a son	grupo	alternativoj	prononco
level	montri	ဖော်ပြရန်၊ ညွှန်ပြရန်၊ ထောက်ပြရန်	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	နှလုံး	a heart	grupo	alternativoj	prononco
level	knabo	ကောင်လေးတစ်ယောက်	a boy	grupo	alternativoj	prononco
level	meti	ချထားရန်၊ ချထားရန်၊ ချထားရန်	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	ခင်ပွန်း	a husband	grupo	alternativoj	prononco
level	pako	အထုပ်	package	grupo	alternativoj	prononco
level	rapida	မြန်၊ မြန်၊ မြန်	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	ဖြစ်ပုံ၊ ဖြစ်ပုံ၊	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	နှုတ်ဆက်ခြင်း၊ အလေးပြုခြင်း၊ အလေးပြုခြင်း။	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	ရေးဖို့	to write	grupo	alternativoj	prononco
level	peti	တောင်းဆိုရန်၊ တောင်းရန်၊ တောင်းဆိုရန်၊ တောင်းဆိုရန်	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	ပျံသန်းရန်	to fly	grupo	alternativoj	prononco
level	kapo	ခေါင်းတစ်လုံး၊	a head, a cape	grupo	alternativoj	prononco
level	krii	အော်ဟစ်ခြင်း၊ အော်ဟစ်ခြင်း၊ အော်ဟစ်ခြင်း၊	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	အနီေရာင်	red	grupo	alternativoj	prononco
level	sinjoro	သခင်၊ လူကြီးလူကောင်း	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	ကိုင်ရန်၊ ဆွဲထားရန်	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	အချိန်၊ အချိန်တစ်ခု	time, a time	grupo	alternativoj	prononco
level	tuta	စုစုပေါင်း၊ အားလုံး၊ တစ်ခုလုံး၊ ပြီးပြည့်စုံ၊ အလုံးစုံ	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	လူတစ်ယောက်	a man	grupo	alternativoj	prononco
level	vojo	လမ်းတစ်ခု၊ လမ်းကြောင်းတစ်ခု၊ လမ်းကြောင်းတစ်ခု	a way, a path, a route	grupo	alternativoj	prononco
level	movi	ရွှေ့ရန်	to move	grupo	alternativoj	prononco
level	militi	စစ်တိုက်ရန်၊ စစ်တိုက်ရန်၊ စစ်တိုက်ရန်	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	အနည်းငယ်၊ အများအပြား	a few, several	grupo	alternativoj	prononco
level	dekstra	ညာဘက်၊ ညာ (ဘက်၊ ဦးတည်)၊ ညာလက်	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	ပိတ်ရန်၊ ပိတ်ရန်	to close, to shut	grupo	alternativoj	prononco
