B.ur content.tsv
Level	Esperanto	ur	en-us	Grupo	Alternativoj	Pronoco
level	pardonon, mi devas paroli kun alia persono	مجھے افسوس ہے، مجھے دوسرے شخص سے بات کرنی چاہیے۔	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	ایک زبان مددگار	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	میں اس کی زبان کا مددگار ہوں۔	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	اور اب وہ ~ کے بارے میں بات کرنا چاہتی ہے۔	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	ایک مشق کے بارے میں بات کرنے کے لئے	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	جلد ہی واپس آ جائے گا	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	میں جلد ہی آپ کے پاس واپس آؤں گا۔	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	کئی منٹ کے بعد	after several minutes	grupo	alternativoj	prononco
level	finparolis	بات ختم	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	اب ہم نے مشق کے بارے میں بات ختم کی۔	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	درمیانی وقت میں، تھوڑی دیر کے لیے	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	میں نے درمیانی وقت میں ایسپرانٹو کے بارے میں پڑھا۔	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	مجھے یقین نہیں ہے۔	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	~ کے بارے میں کافی جانتا ہے۔	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	میں ابھی تک زبان کے بارے میں کافی نہیں جانتا ہوں۔	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	ایک ہوشیار جواب	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	میں سائٹ میں دیکھوں گا	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	اور تھوڑا سیکھنے کی کوشش کریں گے۔	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	کیا آپ میری زبان کا مددگار بننا چاہتے ہیں؟	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	اپنی مرضی سے!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	خوش آمدید!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	شکریہ کے قابل نہیں، لیکن ایک بوسہ کے قابل	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	ایسپرانٹو میں کہتا ہے۔	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	کیا؟ میں سمجھا نہیں	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	آپ لغت میں دیکھ سکتے ہیں۔	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	بدقسمتی سے	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	مجھے اب انٹرنیٹ سے دور جانا چاہیے۔	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	میں شام کو واپس آؤں گا۔	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	مجھے لگتا ہے کہ میں اس وقت تک سائٹ پر ہوں گا۔	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	کامل!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	ٹھیک ہے، پھر ملتے ہیں!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	بعد میں ملتے ہیں!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	شام کو، فوری میسنجر پر بھی	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	ہیلو دوبارہ! (دوبارہ)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	ہیلو دوبارہ!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	میں نے سائٹ کے تقریباً تمام صفحات دیکھے۔	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	بہت اچھا! خوفناک!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	میرے کئی سوالات ہیں۔	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	کیا اپ کے پاس وقت ہے؟	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ہاں، میں شام کو فارغ ہوں۔	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	تو اپنے سوالات لکھیں۔	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	میں جواب دینے کی کوشش کروں گا۔	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	میں نے پڑھا کہ ایسپرانٹو کی ثقافت ہے۔	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	تاہم میں نہیں سمجھتا ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	مجھے ایسی ثقافت کہاں مل سکتی ہے۔	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	آپ کو ہر جگہ مل جائے گا، جہاں ~ ہے	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	کوئی بھی جگہ جہاں ایسپرانٹو بولنے والے لوگ ہیں۔	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	لیکن کوئی بھی لوگ ایسپرانٹو استعمال نہیں کرتے	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	ٹھیک ہے!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	لیکن وہ لوگ جو ایسپرانٹو بولتے ہیں۔	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	اکثر سفر کرتے ہیں اور دوسرے Esperantists سے ملتے ہیں۔	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	ان ملاقاتوں کے دوران	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	وہ مختلف حالات میں زبان استعمال کرتے ہیں۔	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	تو وہاں آپ کو مل جائے گا ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	آپ کو ثقافت مل جائے گی۔	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	ایسپرانٹو کی ثقافت کو تلاش کریں گے۔	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ٹھیک ہے، کیا موسیقی موجود ہے؟	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	موسیقی، ادب، تھیٹر	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	وغیرہ	etc	grupo	alternativoj	prononco
level	same kiel ~	اسی طرح ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	جیسا کہ دوسری زبانوں کے لیے ہے۔	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	مقدار اتنی بڑی نہیں ہے۔	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	قومی زبانوں میں جتنا بڑا	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	لیکن یہ اہم نہیں ہے	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	کم از کم میرے لیے نہیں۔	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	اگر آپ سننا چاہتے ہیں ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	ایسپرانٹو میں گانا سننے کے لیے	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	یہ گانا ہے، &quot;لیزا تصویریں پینٹ کرتی ہے&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	گانا سنتا ہے	listens to the song	grupo	alternativoj	prononco
level	ne malbone	برا نہیں ہے	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	اور آپ کو ایسپرانٹو میں بہت سی کتابیں ملیں گی۔	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	کتابیں دیکھتا ہے	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	کافی ہے	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	کیا آپ ایسپرانٹو میں زیادہ پڑھتے ہیں؟	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ہاں، کبھی کبھی (وقت وقت پر)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	اگر آپ کبھی زبان سیکھتے ہیں۔	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	میں آپ کو کچھ اچھی کتابیں تجویز کروں گا۔	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	~ کے بارے میں ہے	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	میرا دوسرا سوال میرے نام کے بارے میں ہے۔	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	آپ نے پہلے کہا تھا ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	~ سے تعلق ہے۔	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	کہا کہ اس کا ایسپرانٹو سے تعلق ہے۔	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	اوہ، ہاں، اس کے بارے میں	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	نام کے ساتھ ایک آدمی ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	ایک بار نام کے ساتھ ایک آدمی رہتا تھا ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	وہ ایسپرانٹو تحریک میں بہت سرگرم تھا۔	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	جب یہ بالکل نیا تھا۔	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	کتاب کا ترجمہ ~ میں کیا۔	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	اور بہت سی کتابوں کا ایسپرانٹو میں ترجمہ کیا۔	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	اور اس نے اسے مشہور کیا؟	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	اس وقت ایسپرانٹو کے لیے سب سے اہم میں سے ایک	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	اور اس کا زبان کے انداز پر بہت اثر تھا۔	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	نہیں، یقیناً وہ اہم تھا اور اثر و رسوخ رکھتا تھا۔	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	تاہم، اس نے اچانک تحریک ترک کر دی۔	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	میں تصور کرتا ہوں کہ ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	میں تصور کرتا ہوں کہ یہ بہت سے لوگوں کے لیے ایک بڑا جھٹکا تھا۔	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	اس نے ایسپرانٹو کیوں چھوڑا؟	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	مجھے یقین ہے کہ ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	وہ Esperantists سے غیر مطمئن تھا۔	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	اس نے کچھ ایسا ہی کہا ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	ایسپرانٹو کو خود ایسپرانتسٹوں کو سیکھنا چاہیے!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	وہ ~ سے کہنے کا کیا مطلب تھا؟	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	اس کے کہنے کا کیا مطلب تھا؟	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	امکان ہے کہ ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	لوگ ایسپرانٹو کو برا بولتے تھے۔	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	اس کا امکان ہے کہ لوگ برا بولتے ہیں۔	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	سال 1911 میں، اس نے ایسپرانٹو چھوڑ دیا۔	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	لیکن مجھے لگتا ہے کہ ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	زیادہ ہے	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	آج زبان کی سطح بلند ہے۔	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	Esperantists کی زبان کی سطح	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	لیکن مجھے لگتا ہے کہ آج کی سطح زیادہ ہے۔	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	لہذا مجھے زبان اچھی طرح سیکھنی ہے۔	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	ایک اچھا انسان ہونے کے لیے	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	اور آپ کو سادہ انداز استعمال کرنا چاہیے۔	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	کیونکہ یہ اس کے لیے بہت اہم تھا۔	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	جو مجھے خوش کرتا ہے (مجھے یہ پسند ہے)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	ایسپرانٹو میں، یہاں تک کہ ایک لفظ ہے ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	یہاں تک کہ ایک لفظ ہے &quot;کبی&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	تحریک کو ترک کرنا	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	ایک لفظ &quot;کبی&quot;، جس کا مطلب ہے حرکت ترک کرنا	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	یہ دلچسپ ہے!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	اب میں ایسپرانٹو میں ایک لفظ جانتا ہوں۔	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	کبھی نہیں بھولیں گے	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	اور میں شاید اسے کبھی نہیں بھولوں گا۔	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	کئی ہفتوں کے بعد ایک کیفے میں	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	وہ ایسپرانٹو سیکھنے میں کامیاب ہو گیا۔	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	اور وہ زبان استعمال کر رہے ہیں۔	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	دعوت دینا، دعوت دینا	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	یہاں، دیکھو، IJK کے لیے ایک دعوت!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	کیا؟ ای-یو-کیا؟	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	ایک نوجوان، نوجوانوں کا ایک گروپ	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK ایک بین الاقوامی یوتھ کانگریس ہے۔	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	میں اس کے لیے جانے کا ارادہ کر رہا ہوں۔	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	کیا آپ بھی جانا چاہتے ہیں؟	do you want to go too?	grupo	alternativoj	prononco
