C.he content.tsv
Level	Esperanto	he	en-us	Grupo	Alternativoj	Pronoco
level	tamen	אולם, בכל זאת, אבל, בכל זאת	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	הו! הו!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	כי ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	כי ~	because ~	grupo	alternativoj	prononco
level	ĉu	אם ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffix) מקום	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffix) שם מופשט של איכות	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	שניהם ~	both ~	grupo	alternativoj	prononco
level	tuj	מיד, מיידי, מיד	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	כאילו ~	as if ~	grupo	alternativoj	prononco
level	kiam	מתי	when	grupo	alternativoj	prononco
level	silenti	לשתוק, לשתוק	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	לעולם, בשום זמן, לא אף פעם	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	לפיכך	therefore, so	grupo	alternativoj	prononco
level	kial	למה, בשביל מה	why, what for	grupo	alternativoj	prononco
level	kvankam	למרות ~, בעוד, אם כי	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) ב-~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	יותר	more	grupo	alternativoj	prononco
level	plej	רוב	most	grupo	alternativoj	prononco
level	diri	לומר, לספר	to say, to tell	grupo	alternativoj	prononco
level	ol ~	מאשר ~	than ~	grupo	alternativoj	prononco
level	paroli	לדבר, לדבר	to speak, to talk	grupo	alternativoj	prononco
level	kia	איזה סוג, איזה סוג	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	כזה, כזה, כזה	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	בקושי, בקושי, בקושי	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	לשלוח	to send	grupo	alternativoj	prononco
level	ĵus	רק (לפני רגע), ממש עכשיו	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffix) הֶכְרֵחִי	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	בחוץ ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefix) שני המינים, שני המינים	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffix) היה, צריך, משנה	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	בקרוב	soon	grupo	alternativoj	prononco
level	almenaŭ	לפחות, אם שום דבר אחר	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	דיס-	dis-	grupo	alternativoj	prononco
level	-uj-	(suffix) מְכוֹלָה; מדינה	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	ללמוד	to learn	grupo	alternativoj	prononco
level	ek-	(prefix) התחלה; התחלה פתאומית	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	אם, בתנאי ש	if, provided that	grupo	alternativoj	prononco
level	eĉ	אֲפִילוּ	even	grupo	alternativoj	prononco
level	amo	אהבה	a love	grupo	alternativoj	prononco
level	jam	כבר, כל כך מהר, נכון לעכשיו	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	כאן! הנה! לְהַבִּיט	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	לסיים, לסיים, לסיים	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	אז, אז, לכן	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ever, (what)ever, at all, -soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	קל, קליל	easy, facile	grupo	alternativoj	prononco
level	re-	(prefix) מִחָדָשׁ	(prefix)  re-	grupo	alternativoj	prononco
level	granda	גדול, גדול, גדול	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffix) מקצועי	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) בגלל ~, בגלל ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffix) מנהיג, בוס, ראש, צ'יף	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	מה	what	grupo	alternativoj	prononco
level	manĝi	לאכול	to eat	grupo	alternativoj	prononco
level	nenio	שום דבר, שום דבר, שום דבר	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	צָעִיר	young	grupo	alternativoj	prononco
level	ĉio	הכל	everything	grupo	alternativoj	prononco
level	riĉa	עשיר, עשיר, אמיד	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	הדבר הזה, זה	that thing, that	grupo	alternativoj	prononco
level	konstrui	לבנות, לבנות	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) ראשי, מוביל, ראשי	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) בלי ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposition) עם ~ (ביחד)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) מלבד ~, מלבד ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	חבר	a friend	grupo	alternativoj	prononco
level	kies	של מי, של מי, של מי	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposition) על ידי ~ (שיטה), עם ~ (כלי)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	נגד ~	against ~	grupo	alternativoj	prononco
level	el ~	מתוך ~, מ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	היום	today	grupo	alternativoj	prononco
level	hieraŭ	אתמול	yesterday	grupo	alternativoj	prononco
level	nur	רק, רק, בלעדי	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	לעזור, לסייע, לסייע	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) הרחק	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	וגם לא, גם לא	nor, neither	grupo	alternativoj	prononco
level	malamo	שנאה	a hate	grupo	alternativoj	prononco
level	preskaŭ	כמעט ליד	almost, nearly	grupo	alternativoj	prononco
level	tra ~	דרך ~	through ~	grupo	alternativoj	prononco
level	super	מעל למעלה	over, above	grupo	alternativoj	prononco
level	trans ~	מעל ~, על פני ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	טוב, טוב אז, עכשיו	well, well then, now	grupo	alternativoj	prononco
level	pri ~	בערך ~	about ~	grupo	alternativoj	prononco
level	por ~	עבור ~, על מנת ל~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	מָחָר	tomorrow	grupo	alternativoj	prononco
level	nun	עכשיו, בהווה	now, at present	grupo	alternativoj	prononco
level	laŭ ~	לפי ~, לאורך ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	כל אחד, כולם, כולם	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	מי, איזה, איזה	who, which, which one	grupo	alternativoj	prononco
level	tiu	האדם הזה, ההוא, ההוא, שם	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	מישהו, מישהו, כמה	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	אף אחד, אף אחד, גם לא	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	ל~	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffix) ~ מסוגל	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	לקוות	to hope	grupo	alternativoj	prononco
level	unu	אחד	one	grupo	alternativoj	prononco
level	du	שתיים	two	grupo	alternativoj	prononco
level	tri	שְׁלוֹשָׁה	three	grupo	alternativoj	prononco
level	kvar	ארבע	four	grupo	alternativoj	prononco
level	kvin	חָמֵשׁ	five	grupo	alternativoj	prononco
level	ses	שֵׁשׁ	six	grupo	alternativoj	prononco
level	sep	שבעה	seven	grupo	alternativoj	prononco
level	ok	שמונה	eight	grupo	alternativoj	prononco
level	naŭ	תֵשַׁע	nine	grupo	alternativoj	prononco
level	dek	עשר	ten	grupo	alternativoj	prononco
level	cent	מאה	a hundred	grupo	alternativoj	prononco
level	mil	אלף	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffix) לריבוי, -אובל, -קפל	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(suffix) ~ה, שבר	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	מאהבה	of love	grupo	alternativoj	prononco
level	anstataŭ ~	במקום ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffix) הפכו	(suffix)  become	grupo	alternativoj	prononco
level	voli	לרצות, לרצות, להיות מוכנים	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffix) לגרום להיות	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	לעקוב	to follow	grupo	alternativoj	prononco
level	ĝoje	בשמחה	gladly	grupo	alternativoj	prononco
level	legi	לקרוא	to read	grupo	alternativoj	prononco
level	silenta	שקט	silent	grupo	alternativoj	prononco
level	la	ה	the	grupo	alternativoj	prononco
level	ha!	הא!	ha!	grupo	alternativoj	prononco
level	-il-	(suffix) כלי, שיטה	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	לשתות (ללא אלכוהול)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffix) קטנטן	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(suffix) גדול, גדול	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) בין ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffix) התנהגות קשורה	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffix) סט, קבוצה	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffix) חבר בקבוצה	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	להודות	to thank	grupo	alternativoj	prononco
level	-ind-	(suffix) כדאי, ראוי	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	עוד יותר, עוד ועוד, וכן הלאה, יותר	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	איך, כאילו, באיזה אופן, כגון	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	כזה, בדרך זו, כך	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) ב ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) ליד ~, ליד ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) מתחת, מתחת ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) על ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) הכנה בלתי מוגבלת, ב, ב, על ידי, על	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) עדיין	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) סביב ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	אבל	but	grupo	alternativoj	prononco
level	ie	אי שם	somewhere	grupo	alternativoj	prononco
level	kie	איפה, באיזה מקום	where, at what place	grupo	alternativoj	prononco
level	silente	חֶרֶשׁ	silently	grupo	alternativoj	prononco
level	ĉie	בכל מקום, הכל על	everywhere, all about	grupo	alternativoj	prononco
level	nenie	בשום מקום, בשום מקרה, לא בשום מקום	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	שם, שם, משם	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	זה ~	this ~	grupo	alternativoj	prononco
level	kanti	לשיר	to sing	grupo	alternativoj	prononco
level	morti	למות, לחלוף	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) במהלך ~, בזמן ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	אומה	a nation	grupo	alternativoj	prononco
level	koni	לדעת (אדם), להכיר	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	לדעת (עובדה, ידיעה), לדעת איך	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	תמיד, תמיד	always, ever	grupo	alternativoj	prononco
level	iam	מתישהו, פעם אחת	at some time, once	grupo	alternativoj	prononco
level	tiam	לאחר מכן	then	grupo	alternativoj	prononco
level	-em-	(suffix) נטייה	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	סוג של	some kind of	grupo	alternativoj	prononco
level	sukcesi	להצליח	to succeed	grupo	alternativoj	prononco
level	ĉia	מכל סוג, מכל סוג	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	לא, לא כל סוג של, לא כל	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(suffix) צֶאֱצָאִים	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	חדר, חדר	a room, a chamber	grupo	alternativoj	prononco
level	patro	אבא	a father	grupo	alternativoj	prononco
level	porko	חזיר, חזיר	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -חתן, בנישואין	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	אכן	indeed	grupo	alternativoj	prononco
level	-ism-	(suffix) -איזם	(suffix)  -ism	grupo	alternativoj	prononco
level	io	משהו	something	grupo	alternativoj	prononco
level	veturi	לנהוג (רכב)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	זין, תרנגולת, עוף, עוף	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	חינם	free	grupo	alternativoj	prononco
level	lasta	אחרון	last	grupo	alternativoj	prononco
level	ĝoji	לשמוח, לשמוח, ליהנות	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	לקחת, להחזיק	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	פרה, שור, בקר	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	אחר, אחר, אחר	another, other, else	grupo	alternativoj	prononco
level	varma	חם חמים	hot, warm	grupo	alternativoj	prononco
level	loĝi	לגור, לחיות, להתגורר, להתגורר	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	להאמין	to believe	grupo	alternativoj	prononco
level	glacio	נחמד	an ice	grupo	alternativoj	prononco
level	loko	מקום, מיקום	a place, a location	grupo	alternativoj	prononco
level	ovo	ביצה	an egg	grupo	alternativoj	prononco
level	multa	הרבה, הרבה, הרבה	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	חזקה	a possession	grupo	alternativoj	prononco
level	ŝafo	כבשה	a sheep	grupo	alternativoj	prononco
level	sono	צליל	a sound	grupo	alternativoj	prononco
level	fiŝo	דג	a fish	grupo	alternativoj	prononco
level	bela	יפה, נאה, יפה	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	לענות, להגיב, להשיב	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	אירוע, זמן	an occasion, a time	grupo	alternativoj	prononco
level	demandi	לשאול	to ask	grupo	alternativoj	prononco
level	forta	חָזָק	strong	grupo	alternativoj	prononco
level	preter ~	מעבר ~, עבר ~, ישר עבר	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	שתיקה	a silence	grupo	alternativoj	prononco
level	infano	ילד, תינוק	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	שמח, בר מזל, בר מזל	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	לתפוס, ללכוד, להתחבט	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	לרצות, לרצות	to desire, to wish	grupo	alternativoj	prononco
level	longa	ארוך	long	grupo	alternativoj	prononco
level	mondo	עולם	a world	grupo	alternativoj	prononco
level	okazi	להתרחש, לקרות, להתרחש	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	שדה, שדה	field, a field	grupo	alternativoj	prononco
level	filo	בן	a son	grupo	alternativoj	prononco
level	montri	להראות, לציין, להצביע	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	לב	a heart	grupo	alternativoj	prononco
level	knabo	ילד	a boy	grupo	alternativoj	prononco
level	meti	לשים, להניח, להניח	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	בעל	a husband	grupo	alternativoj	prononco
level	pako	חֲבִילָה	package	grupo	alternativoj	prononco
level	rapida	מהר, מהיר, מהיר	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	להיראות, להיראות	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	ברכה, הצדעה, ברכה	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	לכתוב	to write	grupo	alternativoj	prononco
level	peti	לבקש, לבקש, לבקש, להתחנן	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	לעוף	to fly	grupo	alternativoj	prononco
level	kapo	ראש, שכמייה	a head, a cape	grupo	alternativoj	prononco
level	krii	לצעוק, לבכות, לצרוח, לצעוק	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	אָדוֹם	red	grupo	alternativoj	prononco
level	sinjoro	אדון, ג'נטלמן	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	להחזיק, להיתלות	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	זמן, זמן	time, a time	grupo	alternativoj	prononco
level	tuta	סך הכל, שלם, שלם, כולל	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	אדם	a man	grupo	alternativoj	prononco
level	vojo	דרך, שביל, מסלול	a way, a path, a route	grupo	alternativoj	prononco
level	movi	לזוז	to move	grupo	alternativoj	prononco
level	militi	לשבור מלחמה, להילחם, לנהל מלחמה	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	כמה, כמה	a few, several	grupo	alternativoj	prononco
level	dekstra	ימין, ימין (צד, כיוון), יד ימין	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	לסגור, לסגור	to close, to shut	grupo	alternativoj	prononco
level	okupi	לכבוש, לקחת	to occupy, to take	grupo	alternativoj	prononco
level	levi	למנוף, להרים, להרים	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	להרביץ, להכות, להכות, לטעום, להצליף	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	להזדקק, לרצות, לדרוש	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	להבין, לממש	to understand, to realise	grupo	alternativoj	prononco
level	iri	ללכת	to go	grupo	alternativoj	prononco
level	veni	לבוא	to come	grupo	alternativoj	prononco
level	porti	לשאת, ללבוש	to carry, to wear	grupo	alternativoj	prononco
level	kovri	לכסות	to cover	grupo	alternativoj	prononco
level	hela	בהיר, ברור וקליל	bright, clear and light	grupo	alternativoj	prononco
level	sana	בָּרִיא	healthy	grupo	alternativoj	prononco
level	aperi	להופיע, להופיע	to appear, to emerge	grupo	alternativoj	prononco
level	libro	ספר	a book	grupo	alternativoj	prononco
level	atendi	לחכות, לצפות, לחכות	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	יד	a hand	grupo	alternativoj	prononco
level	pentri	לצבוע	to paint	grupo	alternativoj	prononco
level	instrui	ללמד, להורות	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	לשבת	to sit	grupo	alternativoj	prononco
level	stari	לעמוד	to stand	grupo	alternativoj	prononco
level	afero	דבר, חפץ, מקרה, דאגה, חומר	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	מלא, שלם	full, complete	grupo	alternativoj	prononco
level	klara	ברור	clear	grupo	alternativoj	prononco
level	komenci	להתחיל, להתחיל	to begin, to commence	grupo	alternativoj	prononco
level	dormi	לישון, להיות ישן	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	חלק, חלק	a part, a share	grupo	alternativoj	prononco
level	mono	כֶּסֶף	money	grupo	alternativoj	prononco
level	ricevi	לקבל	to receive	grupo	alternativoj	prononco
level	ami	לאהוב	to love	grupo	alternativoj	prononco
level	devi	צריך, חייב, צריך, צריך	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	להיות מסוגל, יכול	be able to, can	grupo	alternativoj	prononco
level	labori	לעבוד, לעבוד	to work, to labor	grupo	alternativoj	prononco
level	dio	אלוהים	a god	grupo	alternativoj	prononco
level	urbo	עיר, עיר	a city, a town	grupo	alternativoj	prononco
level	ofta	תדיר, לעתים קרובות	freqent, often	grupo	alternativoj	prononco
level	soni	להשמיע, להשמיע קול	to sound, to make sound	grupo	alternativoj	prononco
level	tero	אדמה, אדמה, אדמה	earth, land, soil	grupo	alternativoj	prononco
level	vivi	לחיות, להיות בחיים	to live, to be alive	grupo	alternativoj	prononco
level	resti	להישאר, להישאר	to stay, to remain	grupo	alternativoj	prononco
level	ridi	לצחוק	to laugh	grupo	alternativoj	prononco
level	homo	בן אדם, אדם	a human, a man	grupo	alternativoj	prononco
level	akvo	מים	water	grupo	alternativoj	prononco
level	vorto	מילה	a word	grupo	alternativoj	prononco
level	certa	בטוח, בטוח	certain, sure	grupo	alternativoj	prononco
level	lando	ארץ, ארץ	a land, a country	grupo	alternativoj	prononco
level	sama	אותו	same	grupo	alternativoj	prononco
level	ĵeti	לזרוק	to throw	grupo	alternativoj	prononco
level	stelo	כוכב	a star	grupo	alternativoj	prononco
level	domo	בית, בית	a house, a home	grupo	alternativoj	prononco
level	nomo	שם, כינוי	a name, an appellation	grupo	alternativoj	prononco
level	vidi	לראות	to see	grupo	alternativoj	prononco
level	mola	רַך	soft	grupo	alternativoj	prononco
level	horo	שעה, שעה, שעה	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	צורה, צורה	a form, a shape	grupo	alternativoj	prononco
level	tago	יום	a day	grupo	alternativoj	prononco
level	fumo	עשן	a smoke	grupo	alternativoj	prononco
level	ĉevalo	סוס	a horse	grupo	alternativoj	prononco
level	jaro	שנה	a year	grupo	alternativoj	prononco
level	vojaĝi	לטייל	to travel	grupo	alternativoj	prononco
level	celo	מטרה, מטרה, מטרה, מטרה	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	ללדת, לשאת, לייצר	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	להתגעגע, להיות חסר, להיות חסר	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	ציפור	a bird	grupo	alternativoj	prononco
level	halti	לעצור, לעצור, לעצור	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	אח	a brother	grupo	alternativoj	prononco
level	monto	הר	a mountain	grupo	alternativoj	prononco
level	pensi	לחשוב	to think	grupo	alternativoj	prononco
level	permesi	להתיר, להתיר	to permit, to allow	grupo	alternativoj	prononco
level	kosti	לעלות	to cost	grupo	alternativoj	prononco
level	lito	מיטה, ספה	a bed, a couch	grupo	alternativoj	prononco
level	perdi	לאבד	to lose	grupo	alternativoj	prononco
level	miri	להפתיע, להתפעל, להדהים	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	אדם	a person	grupo	alternativoj	prononco
level	diversa	מגוון, מגוון, מגוון	diverse, varied, various	grupo	alternativoj	prononco
level	provi	לנסות, לנסות	to try, to attempt	grupo	alternativoj	prononco
level	pagi	לשלם	to pay	grupo	alternativoj	prononco
level	prezenti	להציג, להציג	to present, to introduce	grupo	alternativoj	prononco
level	aparta	לחוד, מיוחד, נפרד	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	נכון, זכות	right, a right	grupo	alternativoj	prononco
level	mateno	בוקר, בוקר	morning, a morning	grupo	alternativoj	prononco
level	agrabla	נעים, נעים, נחמד	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	ערב, ערב	evening, an evening	grupo	alternativoj	prononco
level	muro	קיר	a wall	grupo	alternativoj	prononco
level	suno	שמש, שמש	sun, a sun	grupo	alternativoj	prononco
level	rigardi	להסתכל, להסתכל	to look, to look at	grupo	alternativoj	prononco
level	senti	להרגיש, לחוש	to feel, to sense	grupo	alternativoj	prononco
