A.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	sidanta, sidinta, sidonta	est assis, était assis, sera assis	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	il est assis et elle apprend	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	une chambre	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	apprend dans une pièce	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	un étudiant et un sportif	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	le sport et un sportif	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	un sportif fait du sport	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	il est un étudiant	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	il est étudiant et sportif	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	il est maintenant assis	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	et apprend maintenant	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	est assis et apprend	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	maintenant dans une pièce	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	est sur une table	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	un papier et des papiers	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	une table et des tables	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	un livre et des livres	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	les papiers et les livres	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	c'est sur une table.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	est en train d'écrire sur une table d'écriture	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	les livres sont ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	sur la table	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	un manuel et les manuels	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	sur la table il y a ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	un père et une mère	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	le père et la mère	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	la mère de mon ami	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	dans la pièce	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	n'est pas dans la pièce	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ils travaillent maintenant	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	son père est ouvrier	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	il travaille dans un hôtel	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	la mère enseigne	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	elle est enseignante	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	est-elle une mère ?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	non, elle est hôtelière	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	non, je ne travaille pas	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	Quel est son nom?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	qui répond maintenant ?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	la langue de leur mère	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	est-ce que ton nom est ~ ?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	nous sommes assis et répondons	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	sa chaise de travail	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	son nom n'est pas ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	sa langue est leur langue	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	notre père et notre mère	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	votre étudiant, vos étudiants	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	sont-ils vos élèves ?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	êtes-vous un étudiant?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	es-tu dans la pièce ?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	je ne le suis pas ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	un espérantiste et une espérantiste	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	enregistré pour la chambre d'hôtel	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	une linguiste et une travailleuse	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	sa petite amie est ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	étudiants et sportifs	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	mon nom de famille est ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	qui est-elle? quelle est-elle ?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	est ta petite amie	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	est ton ami ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	est en train d'écrire maintenant dans la pièce	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	est l'ami de ton père ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	travaille dans un hôtel	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	ce qui est sur la table?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	sur la table de notre chambre	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	le manuel d'espéranto est-il ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	est sur ta table	is on your table	grupo	alternativoj	prononco
level	havas amikinon	a un ami	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	elle s'appelle ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	jeune et jolie	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	est jeune et belle	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	jeunes et beaux amis	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	sont des amis hommes et femmes	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	une maison de son professeur	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	est venu à la maison	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	la maison de ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	s'il te plaît, entre	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	salut que fais tu?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	que fais-tu ? que fais-tu ?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	mais maintenant je veux ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Je veux parler	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	avec trois amis hommes et femmes	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	je t'ai parlé	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	veut te parler	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	as-tu des amis hommes et femmes	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	il a un livre	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	a un bon livre	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Oui j'ai	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	ils aiment ça	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	elle a lu un livre	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	aime lire des livres	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	seulement un bon livre	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	beaucoup de bons livres	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	je ne lis que de bons livres	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	aime lire de bons livres	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	tu veux lire ?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	le jeune a bu du café	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	veut boire de l'eau	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	un père et une mère ; parents	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	un frère et une sœur, frères et sœurs	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	tes parents et tes frères et sœurs	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	est chez toi	is in your home	grupo	alternativoj	prononco
level	jen la kafo	voici le café	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	je n'ai pas encore bu	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	il fait encore chaud	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	je l'ai cuisiné hier	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	J'ai maintenant cuisiné	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	merci. alors il a dit.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	peut boire et manger	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	bu du café froid	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	café encore chaud	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	il boit aussi du café froid	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	peut aussi boire du café froid	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	regarde ses yeux	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	le plus bel œil	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	les beaux yeux	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	j'ai regardé ces beaux yeux	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	ses beaux yeux	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	voit et comprend	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Je vois ça ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	qu'il l'aime	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	elle sent qu'il l'aime	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	demande si c'était gros	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	à propos d'une question facile	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	a parlé d'un nouvel argent	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	très beaux yeux	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	j'avais l'air du grand frère	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	une petite soeur l'a oublié	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	un accusatif (objectif)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	n'oublie pas la fin accusative	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	qui vois-tu ? lequel vois-tu ?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	je vois un ami	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	a de bons amis hommes et femmes	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	ils travaillent sur la vieille maison	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	travaille, travaillé, fonctionnera	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	vois, que je mange	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	a dit qu'il ira	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	laid et mauvais	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	Qu'a-t-elle dit?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	Qu'est-ce que tu attends?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	je suis entré dans la chambre	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	un contenu est très difficile	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	arrivé à la réunion	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	bienvenue à la réunion	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	un vieil homme a donné un pourboire	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	est arrivé et a été accueilli	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	ils détestent mais coopèrent	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	je suis allé à l'hôtel	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	a des manuels faciles	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	comment allait ta mère ?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	ton ancienne maison	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	quels livres as-tu lu ?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	étaient-ils bons ?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	qu'a fait hier ?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	dans la petite salle	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	a parlé très longtemps pendant que	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	devant l'école, avant l'école	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	a parlé devant l'école	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	plus tard, j'ai parlé du livre	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	je suis allé à l'école avec plaisir	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	à travers la rue	through the street	grupo	alternativoj	prononco
level	iris tra la strato	j'ai traversé la rue	went through the street	grupo	alternativoj	prononco
level	estis varma tago	c'était une journée chaude	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	ils ont vu un café'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	j'ai vu des biscuits rouges	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	j'ai vu des cookies dedans	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	J'ai vu un café et des cookies dedans	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	entrez et mangez !	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	entrons et mangeons	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	a suffisamment d'argent	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	as-tu assez d'argent ?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	est-ce que tu comprends?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	bien sûr!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	ce n'est pas suffisant	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	une centaine de dollars suffisent	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	un dollar, des dollars, des dollars (objectif pluriel)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	a cent dollars	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	bien sûr que j'ai	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	Oh! tu es riche!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	une eau, une serveuse	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	un serveur apporte un menu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	nous a apporté ça, a apporté ça	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	un serveur a apporté beaucoup de cookies	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	ils en ont mangé (un peu)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	après avoir mangé (repas)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nouveau, encore	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	le serveur est revenu	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	dans un endroit	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	j'avais cherché quelque part	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	recherché ailleurs	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	son visage était joyeux	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	elle était triste	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	à la fin et enfin enfin	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	ta voix forte	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	d'une voix faible	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	il n'a pas d'argent	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	que s'est-il passé là-bas ?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	un accident s'est produit plus tard	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	tu sais quand est-ce arrivé ?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	est au courant du sujet	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	il reste encore une chose	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	vous ou elle, toute personne	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	comme un chanteur, comme un chanteur	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	chanté comme un chanteur professionnel	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	l'endroit où elle vivait	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	comment tu connais la voiture ?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	eh bien, regarde la voiture rapide	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	un jus sans sucre	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	il a un véhicule rapide	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	trop fort	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	il a ouvert trop fort	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	conduit (voyagé) trop vite	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	mangé avec une cuillère	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	nous en doutons fortement	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	une vraie lettre de lui	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	une lettre d'amour avec cinq photos	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	sont revenus, les gens qui sont revenus	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	aussi six lettres retournées	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	je voulais voir la photo	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	je suis revenu de l'école	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	quand la sœur reviendra-t-elle ?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	je voulais relire	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	fait (fait), est devenu	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	est rapidement devenu rouge	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	dans une pièce, dans une pièce	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	se leva et s'assit	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	il y avait devant la photo	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	je l'ai	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	qu'est-ce que tu as dans la main ?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	devant ou derrière ?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	avant ou après?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	là derrière la porte	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	d'autres, d'autres personnes	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	lettres des autres	letters from others	grupo	alternativoj	prononco
