B.uk content.tsv
Level	Esperanto	uk	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vi aŭdis pri ~?	ти чув про ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	ти чув про есперанто?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Я цього не знав ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	але я не знав, що моє ім'я пов'язане з ним	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	насправді	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	як ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	як стосунки?	how is the relation?	grupo	alternativoj	prononco
level	ho!	о!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	це довга історія	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	розповість вам	will tell you	grupo	alternativoj	prononco
level	se vi volas	якщо хочеш	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Я розкажу тобі пізніше, якщо хочеш	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	в цьому місці (у цьому місці)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	занадто багато шуму	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	у цьому місці занадто багато шуму	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	так, ви праві	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	будемо танцювати?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	гарна ідея!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	дякую за приємний вечір	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	дякую (тобі)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	це було дуже добре	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	музика приємна ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	музика мені дуже сподобалась	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	також мені	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	танці дуже смішні	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	танцювати з тобою	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	було дуже смішно з тобою танцювати	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	ось моя візитна картка	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	якщо ти цього хочеш	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	ось моя картка, якщо хочеш	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	на ньому також є ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	на ньому також є адреса	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	є адреса веб-сайту	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	адреса сайту з курсом еспернато	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Дякую	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Я надішлю тобі електронного листа	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Гаразд!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	до нових зустрічей і добраніч!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	побачимось!	see you!	grupo	alternativoj	prononco
level	aperas en ~	з'являється в ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	месенджер	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ з’являється в програмі обміну миттєвими повідомленнями	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	ти та людина?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	та людина, яка танцювала зі мною	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Суботній вечір	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	ти та людина, яка танцювала зі мною в суботу ввечері?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	так це я	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Мені приємно, що ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Мені приємно, що ви зайшли на сайт	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	тобі це подобається? (тобі подобається?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	так, ага	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	це дуже красиво	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	здається цікавим	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	це дуже красиво і виглядає цікаво	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ще ні ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	не повністю готовий	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	він ще не зовсім готовий	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	але скоро буде	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	я розумію (я бачу)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	але вже є багато інструментів допомоги	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	словник	a dictionary	grupo	alternativoj	prononco
level	superrigardo	огляд	an overview	grupo	alternativoj	prononco
level	ekzerco	excecise	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	приклади слів, огляд, месенджер і execerces	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	огляд граматики	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	месенджер і різні вправи	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	це хороший початок	it is a good start	grupo	alternativoj	prononco
level	pardonon	вибачте, мені шкода	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Я повинен поговорити з ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	поговорити з іншою людиною	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Вибачте, я повинен поговорити з іншою людиною	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	мовний помічник	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Я її мовний помічник	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	і тепер вона хоче поговорити про ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	говорити про вправу	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	скоро повернеться	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Я скоро повернуся до вас	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	через кілька хвилин	after several minutes	grupo	alternativoj	prononco
level	finparolis	закінчив говорити	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	тепер ми закінчили говорити про вправу	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	тим часом, на деякий час	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Тим часом я читав про есперанто	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Я не впевнений	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	знає достатньо про ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Я ще недостатньо знаю мову	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	розумна відповідь	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Буду шукати на сайті	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	і спробую трохи навчитися	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	ти хочеш бути моїм мовним помічником?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	охоче!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	Ласкаво просимо!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	не варто подякувати, але варто поцілунку	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	каже це есперанто	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	що? я не розумію	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	можна подивитися в словнику	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	на жаль	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Я повинен зараз відключитися від Інтернету	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Я повернуся ввечері	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Я думаю, що до того часу буду на місці	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	ідеально!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	ну тоді до зустрічі!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	побачимось!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	ввечері також в месенджері	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Привіт знову! (повторно)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Привіт знову!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Я переглянув майже всі сторінки сайту	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	досить добре! приголомшливо!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	У мене кілька запитань	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Ти маєш час?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	так, я вільний ввечері	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	тож пишіть свої запитання	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Спробую відповісти	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Я читав, що есперанто має культуру	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	однак я не розумію ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	де я можу знайти таку культуру	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	ви знайдете всюди, де ~ є	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	будь-яке місце, де є люди, які розмовляють есперанто	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	але ніхто не використовує есперанто	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	правильно!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	але люди, які говорять есперанто	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	часто подорожують і зустрічаються з іншими есперантистами	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	під час тих зустрічей	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	вони використовують мову в найрізноманітніших ситуаціях	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	так що там ви знайдете ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	ви знайдете культуру	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	знайде культуру есперанто	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	добре, музика існує?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	музика, література, театр	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	тощо	etc	grupo	alternativoj	prononco
level	same kiel ~	те саме, що ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	так само, як і для інших мов	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	кількість не така велика	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	такий же великий, як і в національних мовах	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	але це не важливо	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	принаймні не для мене	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	якщо хочеш послухати ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	послухати пісню есперанто	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	ось пісня &quot;Ліза малює картини&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	слухає пісню	listens to the song	grupo	alternativoj	prononco
level	ne malbone	непогано	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	і ви знайдете багато книг есперанто	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	переглядає книжки	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	досить багато	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	ти багато читаєш есперанто?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	так, іноді (час від часу)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	якщо ти колись вивчиш мову	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Я порекомендую вам кілька хороших книг	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	становить приблизно ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	моє інше запитання стосується мого імені	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	ви раніше сказали, що ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	має відношення до ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	сказав, що це має відношення до есперанто	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ой, так, про це	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	людина з ім'ям ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	Жив колись чоловік на ім'я ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	він був дуже активним у есперантському русі	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	коли він був зовсім новим	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	переклав книгу ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	і переклав багато книг есперанто	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	і це зробило його відомим?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	один із найважливіших для есперанто того часу	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	і він мав великий вплив на мовний стиль	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	ні, безумовно, він був важливим і мав вплив	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	однак він раптово покинув рух	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Я уявляю, що ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Думаю, для багатьох це було великим шоком	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	чому він залишив есперанто?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Я вважаю, що ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	він був незадоволений есперантистами	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	він сказав щось схоже на ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Есперанто повинні вивчати самі есперантисти!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	що він хотів сказати ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	що він хотів цим сказати?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	цілком імовірно, що ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	люди погано розмовляли есперанто	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	цілком імовірно, що люди говорили погано	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	у 1911 році він залишив есперанто	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	але я думаю, що ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	вище	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	сьогодні рівень мови вищий	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	мовний рівень есперантистів	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	але я думаю, що сьогодні рівень вищий	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	тому я маю добре вивчити мову	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	за те, що ти хороша людина	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	і ви повинні використовувати простий стиль	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	бо для нього це було дуже важливо	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	це мені подобається (мені це подобається)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	в есперанто навіть є слово ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	є навіть слово &quot;кабей&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	відмовитися від руху	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	слово «кабей», що означає відмову від руху	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	це цікаво!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	тепер я знаю одне слово есперанто	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	ніколи не забуду	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	і я, мабуть, ніколи цього не забуду	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	в кафе&quot; через кілька тижнів	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	йому вдалося вивчити есперанто	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	і вони використовують мову	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	запрошувати, запрошення	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	ось, дивіться, запрошення для IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	що? Е-йо-що?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	молода особа, група молодих людей	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK – Міжнародний молодіжний конгрес	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Я планую піти на це	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	ти теж хочеш піти?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	Ну, &quot;конгрес&quot; звучить не дуже цікаво	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	але це (цікаво)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	не думайте про щось нудне млявому з'їзді	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	це просто про ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	це просто знайомство з молодими людьми	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	зустрічі з молоддю з багатьох країн	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Там буде 300-400 людей	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	напевно там буде 300-400 людей	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	майже всі	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	і майже всі розмовлятимуть есперанто	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	погано говорить	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	добре, але я погано розмовляю есперанто	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	це неважливо	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	можна взяти участь у ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	брати участь у тамтешніх курсах есперанто	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	зазвичай	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	зазвичай є два рівні	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	людей, які вже вивчили мову	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	один для початківців	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	а інший для тих, хто вже вивчив мову	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	Джес, що?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	ти сказав &quot;зазвичай&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	о, IJK трапляється щороку	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	кожного разу в іншій країні	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	з цієї причини кожен IJK відрізняється	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	але є й програми	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	програми, які часто повертаються	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	але є також програми, які часто повертаються	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	наприклад	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	наприклад, майже завжди можна грати в спорт і в карти	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	розмовляти з друзями всю ніч	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	співати біля багаття і танцювати	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	брати участь у концертах тощо	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	добре, я теж можу це зробити вдома	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	правильно, але	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	але важлива річ під час IJK ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	походить із багатьох різних країн	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	полягає в тому, що учасники приїхали з різних країн	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	через цю суміш різних людей	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	це хороша атмосфера, яка мені дуже подобається	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	гаразд, схоже на інтерес	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	Я подумаю	I will think about	grupo	alternativoj	prononco
level	certe	напевно	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	однак є проблема ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	стільки грошей	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	У мене зараз немає стільки грошей	I don't have that much money right now	grupo	alternativoj	prononco
