A.vi-vn content.tsv
Level	Esperanto	vi-vn	en-us	Grupo	Alternativoj	Pronoco
level	tre bona, tro granda	rất lớn, quá lớn	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	Bạn đang làm rất tốt đấy	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	không tốt lắm	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	để học, một sự học hỏi	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	đang nhìn, một khán giả	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	đang học, một sinh viên (một người học tập)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, một người đang làm	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	một sinh viên, một người đã học	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Tôi là một học sinh.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ là bạn của tôi	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	anh ấy cô ấy	he, she	grupo	alternativoj	prononco
level	sidi, sidas	ngồi, ngồi	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	đang ngồi, đang ngồi, sẽ ngồi	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	anh ấy đang ngồi và cô ấy đang học	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	một căn phòng	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	học trong phòng	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	một sinh viên và một vận động viên	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	thể thao và một vận động viên	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	một vận động viên đang chơi thể thao	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	anh là một sinh viên	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	anh ấy là một sinh viên và một vận động viên	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	bây giờ anh ấy đang ngồi	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	và hiện đang học	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	đang ngồi và đang học	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	bây giờ đang ở trong một căn phòng	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	đang ở trên bàn	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	một tờ giấy và những tờ giấy	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	một cái bàn và những cái bàn	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	một cuốn sách và những cuốn sách	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	giấy tờ và sách	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	nó ở trên một cái bàn	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	đang viết trên bàn viết	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	những cuốn sách là ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	trên bàn	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	một cuốn sách giáo khoa và sách giáo khoa	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	trên bàn có ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	một người cha và một người mẹ	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	cha và mẹ	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	mẹ của bạn tôi	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	trong căn phòng	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	không có trong phòng	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	bây giờ họ đang làm việc	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	bố anh ấy là công nhân	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	anh ấy làm việc trong một khách sạn	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	mẹ dạy	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	Cô ấy là giáo viên	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	cô ấy có phải là mẹ không?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	không, cô ấy là chủ khách sạn	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	không, tôi không làm việc	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	tên cô ấy là gì?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	ai đang trả lời bây giờ?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	ngôn ngữ của mẹ họ	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	tên của bạn là gì ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	chúng tôi đang ngồi và trả lời	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	ghế làm việc của cô ấy	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	tên nó không phải ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	ngôn ngữ của cô ấy là ngôn ngữ của họ	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	cha và mẹ của chúng tôi	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	học sinh của bạn, học sinh của bạn	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	họ có phải là học sinh của bạn không?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	bạn có phải là sinh viên không?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	bạn có ở trong phòng không?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Tôi không ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	một nhà Quốc tế ngữ và một nữ Quốc tế ngữ	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	đã nhận phòng khách sạn	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	một nhà ngôn ngữ học và một nữ công nhân	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	bạn gái của anh ấy là ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	sinh viên và vận động viên	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	tên gia đình của tôi là ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	cô ấy là ai? cô ấy là ai?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	là bạn gái của bạn	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	là bạn của bạn ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	hiện đang viết trong phòng	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	là bạn của bố à ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	làm việc trong một khách sạn	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	cái gì trên bàn vậy?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	trên bàn trong phòng của chúng tôi	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	là sách giáo khoa Esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	đang ở trên bàn của bạn	is on your table	grupo	alternativoj	prononco
level	havas amikinon	có một người bạn	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	tên cô ấy là ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	trẻ và đẹp	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	trẻ và đẹp	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	những người bạn trẻ và xinh đẹp	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	là bạn nam và nữ	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	nhà của giáo viên của cô ấy	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	đã đến nhà	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	nhà của ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	xin vui lòng vào	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	xin chào bạn đang làm gì đó?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	bạn làm nghề gì? Bạn đang làm gì thế?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	nhưng bây giờ tôi muốn ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	tôi muốn nói	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	với ba người bạn nam và nữ	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	đã nói chuyện với bạn	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	muốn nói chuyện với bạn	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	bạn có bạn nam và nữ không	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	anh ta có một cuốn sách	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	có một cuốn sách hay	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Vâng tôi có	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	họ thích nó	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	cô ấy đọc một cuốn sách	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	thích đọc sách	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	chỉ có một cuốn sách hay	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	nhiều sách hay	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	chỉ đọc những cuốn sách hay	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	thích đọc những cuốn sách hay	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	bạn có muốn đọc không?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	chàng trai trẻ uống cà phê	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	muốn uống nước	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	một người cha và một người mẹ; cha mẹ	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	một người phiền toái và một người chị, anh chị em	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	bố mẹ và anh chị em của bạn	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	đang ở trong nhà bạn	is in your home	grupo	alternativoj	prononco
level	jen la kafo	đây là cà phê	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	vẫn chưa uống	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	vẫn còn ấm	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	đã nấu nó ngày hôm qua	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	bây giờ tôi đã nấu ăn	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Cảm ơn. vì vậy anh ấy nói.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	có thể uống và ăn	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	uống cà phê lạnh	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	cà phê vẫn còn ấm	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	cũng uống cà phê lạnh	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	cũng có thể uống cà phê lạnh	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	nhìn vào mắt cô ấy	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	con mắt đẹp nhất	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	đôi mắt đẹp	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	nhìn đôi mắt đẹp	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	đôi mắt đẹp của cô ấy	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	nhìn thấy và hiểu	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Tôi thấy điều đó ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	rằng anh ấy yêu cô ấy	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	cô ấy cảm thấy rằng anh ấy yêu cô ấy	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	hỏi nó có lớn không	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	về một câu hỏi dễ	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	nói về một loại tiền mới	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	đôi mắt rất đẹp	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	nhìn anh lớn	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	một em gái đã quên nó	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	một lời buộc tội (khách quan)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	đừng quên kết thúc buộc tội	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	bạn đang nhìn thấy ai? bạn thấy cái nào?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Tôi thấy một người bạn	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	có những người bạn nam nữ tốt	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	họ đang làm việc về ngôi nhà cũ	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	đang hoạt động, đã hoạt động, sẽ hoạt động	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	thấy rằng tôi ăn	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	nói rằng anh ấy sẽ đi	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	xấu và xấu	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	Cô ấy đã nói gì?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	Bạn còn chờ gì nữa?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	đã vào phòng	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	một nội dung rất khó	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	đã đến cuộc họp	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	chào mừng đến cuộc họp	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	một ông già đã cho tiền boa	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	đã đến và được chào đón	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	họ ghét nhưng hợp tác	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	đã đến khách sạn	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	có sách giáo khoa dễ dàng	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	mẹ bạn thế nào?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	ngôi nhà cũ của bạn	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	bạn đã đọc những cuốn sách nào?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	họ có tốt không?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	hôm qua đã làm gì?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	trong căn phòng nhỏ	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	đã nói rất lâu	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	trước trường, trước trường	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	phát biểu trước trường	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	sau đó nói về cuốn sách	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	vui vẻ đến trường	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	qua đường phố	through the street	grupo	alternativoj	prononco
level	iris tra la strato	đã đi qua đường phố	went through the street	grupo	alternativoj	prononco
level	estis varma tago	là một ngày ấm áp	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	họ đã nhìn thấy một quán cà phê	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	nhìn thấy những chiếc bánh quy màu đỏ	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	nhìn thấy bánh quy trong đó	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	nhìn thấy một quán cà phê và trong đó có bánh quy	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	vào trong và ăn đi!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	chúng ta hãy vào và ăn	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	có đủ tiền	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	bạn có đủ tiền không?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	bạn hiểu không?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	tất nhiên rồi!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	Chừng đó là không đủ	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	một trăm đô la là đủ	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	một đô la, đô la, đô la (mục tiêu số nhiều)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	có một trăm đô la	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	Tất nhiên tôi có	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	Ồ! bạn giau co!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	nước, cô hầu bàn	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	người phục vụ mang thực đơn đến	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	mang cái đó đến cho chúng tôi, mang cái đó	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	một người phục vụ mang rất nhiều bánh quy	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	họ đã ăn một ít (một ít)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	sau khi ăn (bữa ăn)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	mới, một lần nữa	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	người phục vụ lại đến	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	ở một nơi nào đó	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	đã tìm kiếm ở một nơi nào đó	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	đã tìm kiếm ở nơi khác	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	khuôn mặt anh ấy vui vẻ	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	cô ấy đã buồn	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	cuối cùng và cuối cùng cuối cùng	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	giọng nói mạnh mẽ của bạn	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	bằng giọng yếu ớt	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	không có tiền	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	chuyện gì đã xảy ra ở đó vậy?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	một tai nạn xảy ra sau đó	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	bạn có biết nó xảy ra khi nào không?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	biết về vấn đề này	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	vẫn còn một điều	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	bạn hoặc cô ấy, bất kỳ người nào	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	như một ca sĩ, như một người ký tên	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	hát như ca sĩ chuyên nghiệp	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	một nơi, nơi cô ấy sống	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	làm thế nào bạn biết về chiếc xe?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	ừ, nhìn chiếc xe chạy nhanh quá	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	nước trái cây không đường	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	anh ấy có một chiếc xe nhanh	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	quá mạnh	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	anh ấy mở quá mạnh	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	lái xe (đi) quá nhanh	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	ăn bằng thìa	ate with a spoon	grupo	alternativoj	prononco
