A.nl content.tsv
Level	Esperanto	nl	en-us	Grupo	Alternativoj	Pronoco
level	tute ne	helemaal nee	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	vergeven, een vergevingsgezindheid	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	een vergeving voor mij	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Het spijt me! (Sorry)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Het spijt me, alsjeblieft	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	een goedemorgen	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Goedemorgen	good morning	grupo	alternativoj	prononco
level	bonan nokton	Welterusten	good night	grupo	alternativoj	prononco
level	bonan sonĝon	droom zacht	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(Hebben) een goede reis, voor jou	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	Goededag!	good day!	grupo	alternativoj	prononco
level	ĉu ~	is het ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	gaat het goed met je? (Hoe is het?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Ja ik ben in orde	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Nee helemaal niet	no, not at all	grupo	alternativoj	prononco
level	tre, tro	heel, te veel	very, too much	grupo	alternativoj	prononco
level	granda, grande	groot, grotendeels	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	heel goed, te groot	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	je bent erg goed bezig	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	Niet echt goed	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	leren, een leerproces	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	kijkt, een toeschouwer	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	is aan het leren, een student (een lerend persoon)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, een persoon die aan het doen is	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	een student, een persoon die heeft geleerd	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Ik ben een student.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ is mijn vriend	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	hij zij	he, she	grupo	alternativoj	prononco
level	sidi, sidas	zitten, zit	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	zit, zat, zal zitten	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	hij zit en zij leert	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	een kamer	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	leert in een kamer	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	een student en een sportman	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport en een sportman	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	een sporter is sportief	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	hij is een student	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	hij is een student en een sportman	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	hij zit nu	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	en leert nu	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	zit en leert	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	nu in een kamer	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	staat op een tafel	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	een papier en papieren	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	een tafel en tafels	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	een boek en boeken	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	de papieren en boeken	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	het staat op een tafel.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	schrijft op een schrijftafel	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	de boeken zijn ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	op de tafel	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	een leerboek en de schoolboeken	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	op de tafel ligt ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	een vader en een moeder	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	de vader en de moeder	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	de moeder van mijn vriend	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	in de Kamer	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	is niet in de kamer	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ze zijn nu aan het werk	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	zijn vader is een arbeider	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	hij werkt in een hotel	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	de moeder geeft les	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	zij is een lerares	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	is zij een moeder?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	Nee, ze is hotelier	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	nee, ik werk niet	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	wat is haar naam?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	wie antwoordt nu?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	de taal van hun moeder	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	heet jij ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	wij zitten en antwoorden	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	haar werkstoel	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	de naam is niet ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	haar taal is hun taal	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	onze vader en moeder	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	jouw leerling, jouw leerlingen	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	zijn het jouw studenten?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	ben je een student?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	ben je in de kamer?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Ik ben niet ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	een Esperantist en een vrouwelijke Esperantist	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	ingecheckt voor de hotelkamer	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	een taalkundige en een vrouwelijke werknemer	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	zijn vriendin is ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studenten en sporters	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	mijn familiale naam is ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	wie is zij? welke is zij?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	is je vriendinnetje	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	is je vriend ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	schrijft nu in de kamer	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	is de vriend van je vader ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	werkt in een hotel	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	wat staat er op tafel?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	op de tafel in onze kamer	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	is het Esperanto-leerboek ~?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	ligt op uw tafel	is on your table	grupo	alternativoj	prononco
level	havas amikinon	heeft een vriend	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	haar naam is ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	jong en mooi	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	is jong en mooi	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	jonge en mooie vrienden	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	zijn mannelijke en vrouwelijke vrienden	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	een huis van haar leraar	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	kwam naar het huis	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	het huis van ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	kom binnen	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Hallo wat ben je aan het doen?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	Wat doe jij? wat ben je aan het doen?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	maar nu wil ik ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	ik wil spreken	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	met drie mannelijke en vrouwelijke vrienden	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	heb met je gesproken	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	wil je spreken	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	heb je mannelijke en vrouwelijke vrienden	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	hij heeft een boek	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	heeft een goed boek	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ja ik heb	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	zij vinden het leuk	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ze las een boek	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	leest graag boeken	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	alleen maar een goed boek	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	veel goede boeken	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	lees alleen goede boeken	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	leest graag goede boeken	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	wil je lezen?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	de jongere dronk koffie	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	wil water drinken	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	een vader en een moeder; ouders	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	een last en een zus, broers en zussen	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	je ouders en broers en zussen	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	bevindt zich in uw huis	is in your home	grupo	alternativoj	prononco
level	jen la kafo	hier is de koffie	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	nog niet gedronken	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	is nog warm	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	heb het gisteren gekookt	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Ik heb nu gekookt	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Bedankt. zo zei hij.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	kan drinken en eten	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	dronk koude koffie	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	nog warme koffie	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	drinkt ook koude koffie	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	kan ook koude koffie drinken	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	kijkt naar haar oog	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	het mooiste oog	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	de mooie ogen	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	keek naar de mooie ogen	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	de mooie ogen van haar	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	ziet en begrijpt	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Ik zie dat ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	dat hij van haar houdt	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	ze voelt dat hij van haar houdt	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	vraagt of dat groot was	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	over een makkelijke vraag	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	zei over nieuw geld	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	erg mooie ogen	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	leek de grote broer	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	een zusje vergat het	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	een accusatief (objectief)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	vergeet de accusatiefuitgang niet	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	wie zie je? welke zie je?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Ik zie een vriend	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	heeft goede mannelijke en vrouwelijke vrienden	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	ze werken aan het oude huis	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	werkt, werkte, zal werken	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	ziet, dat ik eet	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	zei, dat hij zal gaan	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	lelijk en slecht	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	wat zei ze?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	waar wacht je op?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	ging de kamer binnen	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	een inhoud is erg moeilijk	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	arriveerde op de bijeenkomst	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	welkom op de bijeenkomst	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	een oude man gaf een fooi	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	arriveerde en werd verwelkomd	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	ze haten maar werken mee	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	ging naar het hotel	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	heeft gemakkelijke schoolboeken	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	hoe was je moeder?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	je oude huis	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	welke boeken heb je gelezen?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	waren ze goed?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	wat gisteren gedaan?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	in de kleine kamer	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	heel lang gesproken	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	voor de school, vóór de school	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	sprak voor de school	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	sprak later over het boek	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	ging graag naar school	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	door de straat	through the street	grupo	alternativoj	prononco
level	iris tra la strato	ging door de straat	went through the street	grupo	alternativoj	prononco
level	estis varma tago	was een warme dag	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	ze zagen een café'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	zag rode koekjes	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	zag er koekjes in	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	zag een café' en daarin koekjes	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	ga naar binnen en eet!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	laten we binnenkomen en eten	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	voldoende geld heeft	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	heb je voldoende geld?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	Begrijp je dat?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	Natuurlijk!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	dat is niet genoeg	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	Honderd dollar is genoeg	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	een dollar, dollars, dollars (meervoud doelstelling)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	heeft honderd dollar	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	natuurlijk heb ik	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	Oh! jij bent rijk!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	een water, een serveerster	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	een ober brengt een menu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	bracht dat naar ons, bracht dat	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	een ober bracht veel koekjes	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	ze aten wat (een beetje)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	na het eten (maaltijd)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nieuw, opnieuw	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	de ober kwam weer	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	op een bepaalde plaats	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	had ergens gezocht	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	op een andere plek gezocht	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	zijn gezicht was vrolijk	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	ze was verdrietig	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	op het einde en eindelijk	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	jouw sterke stem	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	met zwakke stem	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	heeft geen geld	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	wat is daar gebeurd?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	later gebeurde er een ongeluk	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	weet je wanneer het gebeurde?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	weet van de zaak	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	er blijft nog één ding over	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	jij of zij, wie dan ook	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	als zanger, als ondertekenaar	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	zong als een professionele zanger	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	a de plaats waar ze woonde	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	Hoe weet je iets over de auto?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	Nou, kijk eens naar de snelle auto	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	een sap zonder suiker	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	hij heeft een snel voertuig	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	te sterk	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	hij opende te hard	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	te snel gereden (reisde).	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	gegeten met een lepel	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	wij twijfelen sterk	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	een echte brief van hem	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	een liefdesbrief met vijf foto's	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	teruggekeerd, de mensen die terugkwamen	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	ook zes brieven terug	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	wilde de foto zien	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	kwam terug van school	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	wanneer komt de zuster terug?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	wilde nog eens lezen	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	gemaakt (deed), werd	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	werd snel rood	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	in een kamer, in een kamer	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	stond en zat	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	daar stond voor de foto	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	ik heb dat	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	wat heb je in je hand?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	voor of achter?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	ervoor of erna?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	daar achter de deur	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	anderen, andere mensen	others, other people	grupo	alternativoj	prononco
