A.sv content.tsv
Level	Esperanto	sv	en-us	Grupo	Alternativoj	Pronoco
level	kiu nun respondas?	vem svarar nu?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	deras mammas språk	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	är ditt namn ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	vi sitter och svarar	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	hennes arbetsstol	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	dess namn är inte ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	hennes språk är deras språk	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	vår far och mor	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	din student, dina elever	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	är de dina elever?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	är du en student?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	är du i rummet?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Jag är inte ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	en esperantist och en kvinnlig esperantist	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	checkade in på hotellrummet	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	en lingvist och en kvinnlig arbetare	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	hans flickvän är ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studenter och idrottare	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	mitt familjenamn är ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	vem är hon? vilken är hon?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	Är din flickvän	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	är din vän ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	skriver nu i rummet	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	är din vän far ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	arbetar på ett hotell	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	vad finns på bordet?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	på bordet i vårt rum	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	är läroboken i esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	ligger på ditt bord	is on your table	grupo	alternativoj	prononco
level	havas amikinon	har en vän	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	hon heter ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	ung och vacker	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	är ung och vacker	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	unga och vackra vänner	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	är manliga och kvinnliga vänner	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	hennes lärares hem	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	kom till hemmet	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	hemmet för ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	snälla kom in	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Hej vad gör du?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	vad gör du? vad gör du?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	men nu vill jag ha ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	jag vill prata	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	med tre manliga och kvinnliga vänner	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	talade med dig	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	vill prata med dig	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	har du manliga och kvinnliga vänner	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	han har en bok	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	har en bra bok	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ja det har jag	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	de gillar det	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	hon läser en bok	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	gillar att läsa böcker	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	bara en bra bok	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	många bra böcker	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	läs bara bra böcker	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	gillar att läsa bra böcker	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	vill du läsa?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	ynglingen drack kaffe	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	vill dricka vatten	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	en far och en mor; föräldrar	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	en besvär och en syster, syskon	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	dina föräldrar och syskon	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	är i ditt hem	is in your home	grupo	alternativoj	prononco
level	jen la kafo	här är kaffet	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	har inte druckit ännu	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	är fortfarande varmt	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	lagade den igår	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Nu har jag lagat mat	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	tack. så sa han.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	kan dricka och äta	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	drack kallt kaffe	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	fortfarande varmt kaffe	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	dricker kallt kaffe också	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	kan även dricka kallt kaffe	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	ser på hennes öga	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	det vackraste ögat	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	de vackra ögonen	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	såg de vackra ögonen	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	hennes vackra ögon	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	ser och förstår	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Jag ser att ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	att han älskar henne	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	hon känner att han älskar henne	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	frågar om det var stort	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	om en lätt fråga	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	sa om nya pengar	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	väldigt vackra ögon	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	såg storebror ut	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	en lillasyster glömde det	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	en ackusativ (objektiv)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	glöm inte ackusativ slutet	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	vem ser du? vilken ser du?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Jag ser en vän	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	har bra manliga och kvinnliga vänner	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	de arbetar med det gamla huset	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	fungerar, fungerade, kommer att fungera	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	ser, att jag äter	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	sade, att han kommer att gå	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	fult och dåligt	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	vad sa hon?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	vad väntar du på?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	gick in i rummet	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	ett innehåll är mycket svårt	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	anlände till mötet	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	välkommen till mötet	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	en gammal man gav ett tips	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	anlände och välkomnades	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	de hatar men samarbetar	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	gick till hotellet	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	har lätta läroböcker	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	hur var din mamma?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	ditt gamla hem	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	vilka böcker läste du?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	var de bra?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	gjorde vad igår?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	i det lilla rummet	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	talade väldigt länge	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	framför skolan, innan skolan	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	talade inför skolan	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	talade senare om boken	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	gick gärna till skolan	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	genom gatan	through the street	grupo	alternativoj	prononco
level	iris tra la strato	gick genom gatan	went through the street	grupo	alternativoj	prononco
level	estis varma tago	var en varm dag	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	de såg ett café&quot;	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	såg röda kakor	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	såg kakor i den	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	såg ett café' och i det kakor	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	gå in och ät!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	låt oss gå in och äta	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	har tillräckligt med pengar	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	har du tillräckligt med pengar?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	förstår du?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	självklart!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	det är inte tillräckligt	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	hundra dollar räcker	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	en dollar, dollar, dollar (plural objektiv)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	har hundra dollar	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	så klart jag har	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	åh! du är rik!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	ett vatten, en servitris	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	en servitör kommer med en meny	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	kom med det till oss, kom med det	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	en servitör tog med en massa kakor	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	de åt lite (lite)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	efter maten (måltiden)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nytt, igen	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	servitören kom igen	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	på något ställe	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	hade sökt på något ställe	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	sökte på annat ställe	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	hans ansikte var glatt	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	hon var ledsen	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	till slut och till sist	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	din starka röst	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	med svag röst	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	har inte pengar	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	vad hände där?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	en olycka inträffade senare	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	vet du när det hände?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	känner till saken	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	fortfarande en sak återstår	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	du eller hon, vilken person som helst	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	som en sångare, som en undertecknare	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	sjöng som en professionell sångare	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	en plats där hon bodde	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	hur vet du om bilen?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	ja, titta på den snabba bilen	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	en juice utan socker	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	han har ett snabbt fordon	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	för starkt	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	han öppnade för hårt	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	körde (färdades) för fort	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	åt med sked	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	vi tvivlar starkt på	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	ett sant brev från honom	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	ett kärleksbrev med fem bilder	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	återvänt, människorna som återvänt	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	även sex brev returnerade	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	ville se fotot	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	kom tillbaka från skolan	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	när kommer systern tillbaka?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	ville läsa igen	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	gjorde (gjorde), blev	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	blev snabbt röd	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	i ett rum, in i ett rum	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	stod och satt	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	där stod framför fotot	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	jag har det	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	vad har du i handen?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	framför eller bakom?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	före eller efter?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	där bakom dörren	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	andra, andra människor	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	brev från andra	letters from others	grupo	alternativoj	prononco
level	falis el la mano	föll ur handen	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	på bordet, på bordet	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	den föll på bordet	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	bad om ursäkt	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	letade efter fem böcker	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	förlåt, jag letade efter min bok.	sorry, I was looking for my book.	grupo	alternativoj	prononco
