A.ne content.tsv
Level	Esperanto	ne	en-us	Grupo	Alternativoj	Pronoco
level	bonan tagon	शुभ दिन!	good day!	grupo	alternativoj	prononco
level	ĉu ~	यो ~ ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	के तपाई राम्रो गर्दै हुनुहुन्छ? (तिमीलाई कस्तो छ?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	हो, म ठिक छु	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	होइन, पटक्कै होइन	no, not at all	grupo	alternativoj	prononco
level	tre, tro	धेरै, धेरै	very, too much	grupo	alternativoj	prononco
level	granda, grande	ठूलो, ठूलो मात्रामा	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	धेरै ठूलो, धेरै ठूलो	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	तपाईं धेरै राम्रो गर्दै हुनुहुन्छ	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	धेरै राम्रो छैन	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	सिक्न, एक सिक्ने	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	हेर्दै हुनुहुन्छ, दर्शक	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	सिकिरहेको छ, विद्यार्थी (सिक्ने व्यक्ति)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, गर्ने व्यक्ति	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	एक विद्यार्थी, एक व्यक्ति जसले सिकेको छ	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	म विद्यार्थी हुँ।	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ मेरो साथी हो	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	उनी, उनी	he, she	grupo	alternativoj	prononco
level	sidi, sidas	बस्नु, बस्नु	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	बसिरहेको छ, बसिरहेको छ, बस्नेछ	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	ऊ बसिरहेको छ र उसले सिक्दैछ	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	एउटा कोठा	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	कोठामा पढ्छ	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	एक विद्यार्थी र एक खेलाडी	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	खेलकुद र एक खेलाडी	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	एक खेलाडी खेल्दै छन्	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	उहाँ एक विद्यार्थी हुनुहुन्छ	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	उहाँ एक विद्यार्थी र एक खेलाडी हुनुहुन्छ	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	उनी अहिले बसिरहेका छन्	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	र अहिले सिक्दै छ	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	बसेर सिक्दै छ	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	अहिले एउटा कोठामा	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	टेबलमा छ	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	एउटा कागज र कागज	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	एउटा टेबल र टेबल	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	एउटा किताब र किताबहरू	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	कागज र पुस्तकहरू	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	यो एक टेबल मा छ।	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	लेखन टेबलमा लेख्दै हुनुहुन्छ	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	पुस्तकहरू ~ हुन्	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	टेबल मा	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	पाठ्यपुस्तक र पाठ्यपुस्तकहरू	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	टेबलमा ~ छ	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	एक बुबा र आमा	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	बुबा र आमा	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	मेरो साथीको आमा	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	कोठामा	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	कोठामा छैन	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	उनीहरु अहिले काम गरिरहेका छन्	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	उनका बुबा कामदार हुन्	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	उनी होटलमा काम गर्छन्	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	आमाले सिकाउनुहुन्छ	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	उनी एक शिक्षिका हुन्	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	के उनी आमा हुन्?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	होइन, उनी होटल व्यवसायी हुन्	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	होइन, म काम गर्दिन	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	उनको नाम के हो?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	अब कसले जवाफ दिदैछ ?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	आफ्नो आमाको भाषा	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	तिम्रो नाम ~ हो ?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	हामी बसेर जवाफ दिइरहेका छौं	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	उनको काम गर्ने कुर्सी	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	यसको नाम ~ होइन	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	उनको भाषा उनीहरूको भाषा हो	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	हाम्रो बुबा र आमा	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	तपाईंको विद्यार्थी, तपाईंको विद्यार्थीहरू	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	के तिनीहरू तपाईंका विद्यार्थी हुन्?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	के तपाईँ विद्यार्थी हो?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	तिमी कोठामा छौ?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	म छैन ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	एस्पेरेन्टिस्ट र महिला एस्पेरेन्टिस्ट	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	होटल कोठाको लागि चेक इन गर्नुभयो	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	एक भाषाविद् र एक महिला कार्यकर्ता	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	उनको केटी साथी ~ छ	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	विद्यार्थी र खेलाडीहरू	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	मेरो परिवारको नाम ~ हो	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	उनि को हुन्? उनी को हुन्?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	तिम्रो केटी साथी हो	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	तिम्रो साथी हो ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	अहिले कोठामा लेखिरहेको छ	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	के तपाईको बुबाको साथी ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	होटल मा काम गर्नुहुन्छ	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	टेबलमा के छ?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	हाम्रो कोठाको टेबलमा	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	एस्पेरान्तो पाठ्यपुस्तक हो ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	तपाईको टेबलमा छ	is on your table	grupo	alternativoj	prononco
level	havas amikinon	एक साथी छ	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	उनको नाम ~ हो	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	जवान र सुन्दर	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	जवान र सुन्दर छ	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	जवान र सुन्दर साथीहरू	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	पुरुष र महिला साथीहरू हुन्	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	उनको शिक्षकको घर	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	घरमा आए	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ को घर	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	कृपया भित्र आउनुहोस	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	नमस्ते तिमी के गर्दै छौ?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	तिमी के गर्छौ? तपाईं के गर्दै हुनुहुन्छ?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	तर अब म चाहन्छु ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	म बोल्न चाहन्छु	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	तीन पुरुष र महिला साथीहरूसँग	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	तिमीसँग कुरा गरे	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	तिमीसँग कुरा गर्न चाहन्छ	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	के तपाईंसँग पुरुष र महिला साथीहरू छन्	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	उनीसँग एउटा किताब छ	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	राम्रो किताब छ	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	हो, मसँग छ	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	उनीहरूलाई मन पर्छ	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	उनले एउटा किताब पढिन्	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	किताबहरू पढ्न मनपर्छ	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	केवल एक राम्रो पुस्तक	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	धेरै राम्रो पुस्तकहरू	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	राम्रो किताबहरू मात्र पढ्नुहोस्	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	राम्रो किताबहरू पढ्न मनपर्छ	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	के तपाई पढ्न चाहनुहुन्छ?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	जवानले कफी पिए	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	पानी पिउन चाहन्छ	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	एक बुबा र आमा; आमाबाबु	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	एक कष्ट र बहिनी, दाजुभाइ	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	आफ्नो आमाबुबा र भाइबहिनीहरू	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	तपाईको घरमा छ	is in your home	grupo	alternativoj	prononco
level	jen la kafo	यहाँ कफी छ	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	अझै पिउनुभएको छैन	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	अझै तातो छ	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	हिजो पकाएको	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	अहिले पकाएको छु	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	धन्यवाद। त्यसैले उहाँले भन्नुभयो।	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	पिउन र खान सक्छ	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	चिसो कफी पिए	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	अझै तातो कफी	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	चिसो कफी पनि पिउने	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	चिसो कफी पनि पिउन सकिन्छ	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	उसको आँखामा हेर्छ	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	सबैभन्दा सुन्दर आँखा	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	सुन्दर आँखाहरु	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	सुन्दर आँखा देखे	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	उनको सुन्दर आँखा	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	देख्छ र बुझ्छ	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	म त्यो देख्छु ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	कि उसले उसलाई माया गर्छ	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	उसलाई लाग्छ कि उसले उसलाई माया गर्छ	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	त्यो ठूलो थियो कि भनेर सोध्छ	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	सजिलो प्रश्नको बारेमा	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	नयाँ पैसाको बारेमा भने	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	धेरै सुन्दर आँखा	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	ठुलो भाइ देखे	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	सानो बहिनीले बिर्सनुभयो	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	एक अभियोगात्मक (उद्देश्य)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	आरोपित अन्त्य नबिर्सनुहोस्	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	तिमी कसलाई हेर्दै छौ? तपाई कुन देख्नुहुन्छ?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	साथी देख्छु	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	राम्रो पुरुष र महिला साथीहरू छन्	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	तिनीहरू पुरानो घरको बारेमा काम गरिरहेका छन्	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	काम, काम, काम हुनेछ	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	देख्छु, म खान्छु	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	जान्छु भन्नुभयो	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	कुरूप र नराम्रो	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	उसले के भनी?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	तपाई के को लागी पर्खदै हुनुहुन्छ?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	कोठामा गए	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	सामग्री धेरै गाह्रो छ	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	बैठकमा पुगे	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	बैठकमा स्वागत छ	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	एक वृद्धले टिप दियो	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	आइपुगे र स्वागत गरियो	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	तिनीहरू घृणा गर्छन् तर सहयोग गर्छन्	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	होटल गए	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	सजिलो पाठ्यपुस्तकहरू छन्	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	तिम्रो आमा कस्तो हुनुहुन्थ्यो ?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	तिम्रो पुरानो घर	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	तपाईले कुन पुस्तकहरू पढ्नुभयो?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	तिनीहरू राम्रो थिए?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	हिजो के गर्नुभयो?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	सानो कोठामा	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	धेरै बेर बोल्यो	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	विद्यालय अगाडि, विद्यालय अगाडि	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	विद्यालय अगाडि बोलेका थिए	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	पछि पुस्तकको बारेमा कुरा गरे	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	खुसीसाथ विद्यालय गए	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	सडक मार्फत	through the street	grupo	alternativoj	prononco
level	iris tra la strato	सडक भएर गए	went through the street	grupo	alternativoj	prononco
level	estis varma tago	न्यानो दिन थियो	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	उनीहरुले क्याफे देखे	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	रातो कुकीहरू देखे	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	यसमा कुकीहरू देखे	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	एउटा क्याफे' र यसमा कुकीहरू देखे	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	भित्र जानुहोस् र खानुहोस्!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	भित्र आएर खाऔं	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	पर्याप्त पैसा छ	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	के तपाईसँग पर्याप्त पैसा छ?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	तिमी बुझ्छौ?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	अवश्य!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	त्यो पर्याप्त छैन	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	एक सय डलर पर्याप्त छ	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	डलर, डलर, डलर (बहुवचन उद्देश्य)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	सय डलर छ	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	अवश्य पनि, मसँग छ	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	ओह! तिमी धनी छौ!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	एक पानी, एक वेट्रेस	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	वेटरले मेनु ल्याउँछ	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	त्यो हामीलाई ल्यायो, त्यो ल्यायो	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	एक वेटरले धेरै कुकीहरू ल्यायो	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	तिनीहरूले केही खाए (थोरै)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	खाना (खाना) पछि	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	नयाँ, फेरि	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	वेटर फेरि आयो	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	कुनै ठाउँमा	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	कुनै ठाउँमा खोजेको थियो	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	अन्य ठाउँमा खोजे	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	उनको अनुहार खुशी थियो	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	उनी दुखी थिइन्	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	अन्तमा र अन्तमा अन्तमा	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	तिम्रो बलियो आवाज	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	कमजोर आवाजमा	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	पैसा छैन	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	त्यहाँ के भयो?	what did happen there?	grupo	alternativoj	prononco
