C.hu content.tsv
Level	Esperanto	hu	en-us	Grupo	Alternativoj	Pronoco
level	kaj (k.)	és	and	grupo	alternativoj	prononco
level	aŭ	vagy	or	grupo	alternativoj	prononco
level	alta	magas, magas	high, tall	grupo	alternativoj	prononco
level	jes	Igen	yes	grupo	alternativoj	prononco
level	ne	nem, nem	not, no	grupo	alternativoj	prononco
level	tiom	ennyi, ennyi, annyi	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	jó	good	grupo	alternativoj	prononco
level	kiom	mennyit, hány	how much, how many	grupo	alternativoj	prononco
level	ofte	gyakran, gyakran	often, frequently	grupo	alternativoj	prononco
level	iom	kicsit, inkább, valamennyire, valamennyire	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	új, újszerű	new, novel	grupo	alternativoj	prononco
level	-at-	(utótag) passzív jelenvaló igenév	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(utótag) passzív múltbeli igenév	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(utótag) passzív jövőbeli igenév	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	nagyon, nagyon, nagyon	very, quite, very much	grupo	alternativoj	prononco
level	tro	túl, túlzottan, túl sokat	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	ennek ellenére, de mégis	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Ó! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	hogy ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	mert ~	because ~	grupo	alternativoj	prononco
level	ĉu	hogy ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(utótag) hely	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(utótag) a minőség elvont neve	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	mindkettő ~	both ~	grupo	alternativoj	prononco
level	tuj	azonnal, azonnal, azonnal	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	mintha ~	as if ~	grupo	alternativoj	prononco
level	kiam	amikor	when	grupo	alternativoj	prononco
level	silenti	csendben lenni, csendben lenni	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	soha, semmikor, soha	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	ezért tehát	therefore, so	grupo	alternativoj	prononco
level	kial	miért, minek	why, what for	grupo	alternativoj	prononco
level	kvankam	bár ~, míg, bár	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(elöljárószó) ~nál	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	több	more	grupo	alternativoj	prononco
level	plej	a legtöbb	most	grupo	alternativoj	prononco
level	diri	mondani, elmondani	to say, to tell	grupo	alternativoj	prononco
level	ol ~	mint ~	than ~	grupo	alternativoj	prononco
level	paroli	beszélni, beszélni	to speak, to talk	grupo	alternativoj	prononco
level	kia	milyen, milyen	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	ilyen, olyan, olyan	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	alig, alig, alig	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	küldeni	to send	grupo	alternativoj	prononco
level	ĵus	csak (egy pillanattal ezelőtt), csak most	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(utótag) felszólító	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	kívül ~	outside ~	grupo	alternativoj	prononco
level	ge-	(előtag) mindkét nem, mindkét nem	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(utótag) lenne, kellene, kötőszó	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	hamar	soon	grupo	alternativoj	prononco
level	almenaŭ	legalábbis, ha más nem	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	disz-	dis-	grupo	alternativoj	prononco
level	-uj-	(utótag) tartály; ország	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	tanulni	to learn	grupo	alternativoj	prononco
level	ek-	(előtag) kezdet; hirtelen indulás	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	ha, feltéve	if, provided that	grupo	alternativoj	prononco
level	eĉ	még	even	grupo	alternativoj	prononco
level	amo	szerelem	a love	grupo	alternativoj	prononco
level	jam	már, olyan hamarosan, mostanság	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Itt! Ó! Íme	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	befejezni, befejezni, befejezni	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	tehát, akkor tehát	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ valaha, (mi) valaha, egyáltalán, -soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	könnyű, könnyű	easy, facile	grupo	alternativoj	prononco
level	re-	(előtag) újra	(prefix)  re-	grupo	alternativoj	prononco
level	granda	nagy, nagyszerű, nagy	big, great, large	grupo	alternativoj	prononco
level	-ist-	(utótag) szakmai	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(előszó) a ~ miatt, a ~ miatt	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(utótag) vezető, főnök, fej, főnök	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	mit	what	grupo	alternativoj	prononco
level	manĝi	enni	to eat	grupo	alternativoj	prononco
level	nenio	semmi, semmi, semmi	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	fiatal	young	grupo	alternativoj	prononco
level	ĉio	minden	everything	grupo	alternativoj	prononco
level	riĉa	gazdag, gazdag, jómódú	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	az a dolog, az	that thing, that	grupo	alternativoj	prononco
level	konstrui	építeni, építeni	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(előtag) fő, vezető, fő	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(előszó) ~ nélkül	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(előszó) ~-val (együtt)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(előszó) a ~ kivételével, a ~ mellett	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	egy barát	a friend	grupo	alternativoj	prononco
level	kies	kié, melyiké, melyiké	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(előszó) ~ (egy módszer), ~-vel (eszköz)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	~ ellen	against ~	grupo	alternativoj	prononco
level	el ~	~ból, ~ból	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	Ma	today	grupo	alternativoj	prononco
level	hieraŭ	tegnap	yesterday	grupo	alternativoj	prononco
level	nur	csak, csak, kizárólag	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	segíteni, segíteni, segíteni	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(határozószó) messze, távol	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	sem, sem	nor, neither	grupo	alternativoj	prononco
level	malamo	egy gyűlölet	a hate	grupo	alternativoj	prononco
level	preskaŭ	majdnem, majdnem	almost, nearly	grupo	alternativoj	prononco
level	tra ~	~on keresztül	through ~	grupo	alternativoj	prononco
level	super	fölött	over, above	grupo	alternativoj	prononco
level	trans ~	~ felett, ~ felett	over ~, accross ~	grupo	alternativoj	prononco
level	nu	na jó, akkor most	well, well then, now	grupo	alternativoj	prononco
level	pri ~	~ról	about ~	grupo	alternativoj	prononco
level	por ~	~ számára, ~ érdekében	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	holnap	tomorrow	grupo	alternativoj	prononco
level	nun	most, jelenleg	now, at present	grupo	alternativoj	prononco
level	laŭ ~	~ szerint ~ mentén	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	mindegyik, minden, mindenki, minden	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	ki, melyik, melyik	who, which, which one	grupo	alternativoj	prononco
level	tiu	az a személy, az a ~, az az egy, odaát	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	valaki, valaki, néhány	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	senki, senki, sem	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	hogy ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(utótag) ~képes	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	remélni	to hope	grupo	alternativoj	prononco
level	unu	egy	one	grupo	alternativoj	prononco
level	du	kettő	two	grupo	alternativoj	prononco
level	tri	három	three	grupo	alternativoj	prononco
level	kvar	négy	four	grupo	alternativoj	prononco
level	kvin	öt	five	grupo	alternativoj	prononco
level	ses	hat	six	grupo	alternativoj	prononco
level	sep	hét	seven	grupo	alternativoj	prononco
level	ok	nyolc	eight	grupo	alternativoj	prononco
level	naŭ	kilenc	nine	grupo	alternativoj	prononco
level	dek	tíz	ten	grupo	alternativoj	prononco
level	cent	Száz	a hundred	grupo	alternativoj	prononco
level	mil	Ezer	a thousand	grupo	alternativoj	prononco
level	-obl-	(utótag) a többszörösség, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(utótag) ~-edik, tört	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	a szerelemről	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~ helyett	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(utótag) válik	(suffix)  become	grupo	alternativoj	prononco
level	voli	akarni, akarni, hajlandónak lenni	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(utótag) oka válni	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	követni	to follow	grupo	alternativoj	prononco
level	ĝoje	örömmel	gladly	grupo	alternativoj	prononco
level	legi	olvasni	to read	grupo	alternativoj	prononco
level	silenta	csendes	silent	grupo	alternativoj	prononco
level	la	a	the	grupo	alternativoj	prononco
level	ha!	Ha!	ha!	grupo	alternativoj	prononco
level	-il-	(utótag) eszköz, módszer	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	inni (alkoholmentes)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(utótag) kicsi, kicsi	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(utótag) nagy, nagy	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(előszó) ~ között	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(utótag) kapcsolatos viselkedés	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(utótag) halmaz, csoport	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(utótag) egy csoport tagja	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	megköszönni	to thank	grupo	alternativoj	prononco
level	-ind-	(utótag) érdemes, érdemes	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	még több, tovább, és így tovább, több	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	hogyan, mint, milyen módon, mint pl	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	ilyen, olyan módon, így	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(előszó) a ~-ben	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(előszó) a ~ mellett, a ~ mellett	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(elöljárószó) ~ alatt, alatt	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(előszó) a ~-en	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(elöljáró) határozatlan prep., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(határozószó) még, még	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(előszó) ~ körül	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	de	but	grupo	alternativoj	prononco
level	ie	valahol	somewhere	grupo	alternativoj	prononco
level	kie	hol, milyen helyen	where, at what place	grupo	alternativoj	prononco
level	silente	csendben	silently	grupo	alternativoj	prononco
level	ĉie	mindenhol, mindenről	everywhere, all about	grupo	alternativoj	prononco
level	nenie	sehol, semmi esetre, sehol	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	ott, ott, ott	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	ez a ~	this ~	grupo	alternativoj	prononco
level	kanti	énekelni	to sing	grupo	alternativoj	prononco
level	morti	meghalni, elmúlni	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(előszó) ~ közben, míg ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	egy nemzet	a nation	grupo	alternativoj	prononco
level	koni	megismerni (személyt), ismerkedni	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	tudni (tény, tudás), tudni hogyan	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	mindig, mindig	always, ever	grupo	alternativoj	prononco
level	iam	valamikor, egyszer	at some time, once	grupo	alternativoj	prononco
level	tiam	akkor	then	grupo	alternativoj	prononco
level	-em-	(utótag) tendencia	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	valamiféle	some kind of	grupo	alternativoj	prononco
level	sukcesi	sikerrel járni	to succeed	grupo	alternativoj	prononco
level	ĉia	mindenféle, mindenféle	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	nem, nem akármilyen, nem akármilyen	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(utótag) utóda	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	egy szoba, egy kamra	a room, a chamber	grupo	alternativoj	prononco
level	patro	egy apa	a father	grupo	alternativoj	prononco
level	porko	disznó, disznó	a pig, swine	grupo	alternativoj	prononco
level	bo-	(előtag) -a sógor, házassággal	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	valóban	indeed	grupo	alternativoj	prononco
level	-ism-	(utótag) -izmus	(suffix)  -ism	grupo	alternativoj	prononco
level	io	valami	something	grupo	alternativoj	prononco
level	veturi	vezetni (járművet)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	kakas, tyúk, csirke, tyúk	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	ingyenes	free	grupo	alternativoj	prononco
level	lasta	utolsó	last	grupo	alternativoj	prononco
level	ĝoji	örülni, örülni, élvezni	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	megragadni, megragadni	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	tehén, ökör, szarvasmarha	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	másik, más, más	another, other, else	grupo	alternativoj	prononco
level	varma	meleg, meleg	hot, warm	grupo	alternativoj	prononco
level	loĝi	lakni, élni, lakni, lakni	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	hinni	to believe	grupo	alternativoj	prononco
level	glacio	egy jég	an ice	grupo	alternativoj	prononco
level	loko	egy hely, egy helyszín	a place, a location	grupo	alternativoj	prononco
level	ovo	egy tojás	an egg	grupo	alternativoj	prononco
level	multa	sok, sok, sok	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	egy birtokot	a possession	grupo	alternativoj	prononco
level	ŝafo	egy bárány	a sheep	grupo	alternativoj	prononco
level	sono	egy hang	a sound	grupo	alternativoj	prononco
level	fiŝo	egy hal	a fish	grupo	alternativoj	prononco
level	bela	szép, jóképű, csinos	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	válaszolni, válaszolni, válaszolni	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	alkalom, alkalom	an occasion, a time	grupo	alternativoj	prononco
level	demandi	kérdezni	to ask	grupo	alternativoj	prononco
level	forta	erős	strong	grupo	alternativoj	prononco
level	preter ~	túl ~, elmúlt ~, egyenesen múlt	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	egy csend	a silence	grupo	alternativoj	prononco
level	infano	gyerek, csecsemő	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	boldog, szerencsés, szerencsés	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	elkapni, elfogni, megbirkózni	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	vágyni, kívánni	to desire, to wish	grupo	alternativoj	prononco
level	longa	hosszú	long	grupo	alternativoj	prononco
level	mondo	egy világ	a world	grupo	alternativoj	prononco
level	okazi	bekövetkezni, megtörténni, megtörténni	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	mező, mező	field, a field	grupo	alternativoj	prononco
level	filo	egy fiú	a son	grupo	alternativoj	prononco
level	montri	megmutatni, jelezni, rámutatni	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	szív	a heart	grupo	alternativoj	prononco
level	knabo	egy fiú	a boy	grupo	alternativoj	prononco
level	meti	letenni, elhelyezni, letenni	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	egy férj	a husband	grupo	alternativoj	prononco
level	pako	csomag	package	grupo	alternativoj	prononco
level	rapida	gyorsan, gyorsan, gyorsan	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	látszani, annak látszani	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	üdvözlet, köszöntés, köszöntés	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	írni	to write	grupo	alternativoj	prononco
level	peti	kérni, kérni, kérni, könyörögni	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	repülni	to fly	grupo	alternativoj	prononco
level	kapo	egy fej, egy köpeny	a head, a cape	grupo	alternativoj	prononco
level	krii	kiabálni, sírni, kiabálni, kiabálni	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	piros	red	grupo	alternativoj	prononco
level	sinjoro	egy úr, egy úriember	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	megfogni, kapaszkodni	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	idő, egy idő	time, a time	grupo	alternativoj	prononco
level	tuta	teljes, minden, egész, teljes, összességében	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	egy férfi	a man	grupo	alternativoj	prononco
level	vojo	egy út, egy út, egy útvonal	a way, a path, a route	grupo	alternativoj	prononco
level	movi	mozogni	to move	grupo	alternativoj	prononco
level	militi	háborút bontani, harcolni, háborúzni	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	néhány, több	a few, several	grupo	alternativoj	prononco
level	dekstra	jobb, jobb (oldal, irány), jobb kéz	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	bezárni, bezárni	to close, to shut	grupo	alternativoj	prononco
level	okupi	elfoglalni, elvenni	to occupy, to take	grupo	alternativoj	prononco
level	levi	emelni, emelni, emelni	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	verni, ütni, ütni, ütni, ütni	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	kell, akar, megkövetel	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	megérteni, felismerni	to understand, to realise	grupo	alternativoj	prononco
level	iri	menni	to go	grupo	alternativoj	prononco
level	veni	jönni	to come	grupo	alternativoj	prononco
level	porti	hordani, hordani	to carry, to wear	grupo	alternativoj	prononco
level	kovri	beborítani	to cover	grupo	alternativoj	prononco
level	hela	világos, tiszta és könnyű	bright, clear and light	grupo	alternativoj	prononco
level	sana	egészséges	healthy	grupo	alternativoj	prononco
level	aperi	megjelenni, előbukkanni	to appear, to emerge	grupo	alternativoj	prononco
level	libro	könyv	a book	grupo	alternativoj	prononco
level	atendi	várni, várni, várni	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	egy kéz	a hand	grupo	alternativoj	prononco
level	pentri	festeni	to paint	grupo	alternativoj	prononco
level	instrui	tanítani, oktatni	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	ülni	to sit	grupo	alternativoj	prononco
level	stari	állni	to stand	grupo	alternativoj	prononco
level	afero	egy dolog, egy tárgy, egy ügy, egy gond, egy anyag	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	teljes, teljes	full, complete	grupo	alternativoj	prononco
level	klara	egyértelmű	clear	grupo	alternativoj	prononco
level	komenci	kezdeni, elkezdeni	to begin, to commence	grupo	alternativoj	prononco
level	dormi	aludni, aludni	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	egy rész, egy részesedés	a part, a share	grupo	alternativoj	prononco
level	mono	pénz	money	grupo	alternativoj	prononco
level	ricevi	kapni	to receive	grupo	alternativoj	prononco
level	ami	szeretni	to love	grupo	alternativoj	prononco
level	devi	muszáj, muszáj, kell, kellene	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	képes, lehet	be able to, can	grupo	alternativoj	prononco
level	labori	dolgozni, dolgozni	to work, to labor	grupo	alternativoj	prononco
level	dio	egy isten	a god	grupo	alternativoj	prononco
level	urbo	egy város, egy város	a city, a town	grupo	alternativoj	prononco
level	ofta	gyakori, gyakran	freqent, often	grupo	alternativoj	prononco
level	soni	megszólalni, hangot adni	to sound, to make sound	grupo	alternativoj	prononco
level	tero	föld, föld, talaj	earth, land, soil	grupo	alternativoj	prononco
level	vivi	élni, élni	to live, to be alive	grupo	alternativoj	prononco
level	resti	maradni, maradni	to stay, to remain	grupo	alternativoj	prononco
level	ridi	nevetni	to laugh	grupo	alternativoj	prononco
level	homo	ember, ember	a human, a man	grupo	alternativoj	prononco
level	akvo	víz	water	grupo	alternativoj	prononco
level	vorto	egy szó	a word	grupo	alternativoj	prononco
level	certa	biztos, biztos	certain, sure	grupo	alternativoj	prononco
level	lando	egy földet, egy országot	a land, a country	grupo	alternativoj	prononco
level	sama	azonos	same	grupo	alternativoj	prononco
level	ĵeti	dobni	to throw	grupo	alternativoj	prononco
level	stelo	a Csillag	a star	grupo	alternativoj	prononco
level	domo	házat, otthont	a house, a home	grupo	alternativoj	prononco
level	nomo	egy név, egy elnevezés	a name, an appellation	grupo	alternativoj	prononco
level	vidi	látni	to see	grupo	alternativoj	prononco
level	mola	puha	soft	grupo	alternativoj	prononco
level	horo	egy óra, óra, idő	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	egy forma, egy forma	a form, a shape	grupo	alternativoj	prononco
level	tago	egy nap	a day	grupo	alternativoj	prononco
level	fumo	egy füst	a smoke	grupo	alternativoj	prononco
level	ĉevalo	egy ló	a horse	grupo	alternativoj	prononco
level	jaro	Egy év	a year	grupo	alternativoj	prononco
level	vojaĝi	utazni	to travel	grupo	alternativoj	prononco
level	celo	egy cél, egy cél, egy cél, egy célkitűzés	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	szülni, szülni, generálni	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	hiányozni, hiányozni, hiányozni	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	egy madár	a bird	grupo	alternativoj	prononco
level	halti	megállni, megállni, megtorpanni	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	egy testvér	a brother	grupo	alternativoj	prononco
level	monto	egy hegy	a mountain	grupo	alternativoj	prononco
level	pensi	gondolkozni	to think	grupo	alternativoj	prononco
level	permesi	megengedni, megengedni	to permit, to allow	grupo	alternativoj	prononco
level	kosti	hogy kerüljön	to cost	grupo	alternativoj	prononco
level	lito	egy ágy, egy kanapé	a bed, a couch	grupo	alternativoj	prononco
level	perdi	veszíteni	to lose	grupo	alternativoj	prononco
level	miri	meglepni, csodálkozni, megdöbbenni	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	egy személy	a person	grupo	alternativoj	prononco
level	diversa	változatos, változatos, változatos	diverse, varied, various	grupo	alternativoj	prononco
level	provi	próbálkozni, próbálkozni	to try, to attempt	grupo	alternativoj	prononco
level	pagi	fizetni	to pay	grupo	alternativoj	prononco
level	prezenti	bemutatni, bemutatni	to present, to introduce	grupo	alternativoj	prononco
level	aparta	külön, külön, külön	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	helyes, jog	right, a right	grupo	alternativoj	prononco
level	mateno	reggel, reggel	morning, a morning	grupo	alternativoj	prononco
level	agrabla	kellemes, kellemes, kedves	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	este, este	evening, an evening	grupo	alternativoj	prononco
level	muro	egy fal	a wall	grupo	alternativoj	prononco
level	suno	nap, nap	sun, a sun	grupo	alternativoj	prononco
level	rigardi	nézni, nézni	to look, to look at	grupo	alternativoj	prononco
level	senti	érezni, érzékelni	to feel, to sense	grupo	alternativoj	prononco
level	blanka	fehér, üres	white, blank	grupo	alternativoj	prononco
level	simpla	egyszerű	simple	grupo	alternativoj	prononco
level	rimarki	észrevenni	to notice	grupo	alternativoj	prononco
level	lingvo	egy nyelv, nyelv	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	változni, fordulni	to change, to turn	grupo	alternativoj	prononco
level	renkonti	találkozni, találkozni, találkozni	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	használni	to use	grupo	alternativoj	prononco
level	timi	félni, félni	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	igazi, igaz	real, true	grupo	alternativoj	prononco
