A.fi content.tsv
Level	Esperanto	fi	en-us	Grupo	Alternativoj	Pronoco
level	sporto kaj sportisto	urheilu ja urheilija	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	urheilija urheilee	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	hän on opiskelija	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	hän on opiskelija ja urheilija	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	hän istuu nyt	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	ja nyt oppii	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	istuu ja oppii	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	nyt huoneessa	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	on pöydällä	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	paperi ja paperit	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	pöytä ja pöydät	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	kirja ja kirjat	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	paperit ja kirjat	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	se on pöydällä.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	kirjoittaa kirjoituspöydälle	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	kirjat ovat ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	pöydällä	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	oppikirja ja oppikirjat	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	pöydällä on ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	isä ja äiti	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	isä ja äiti	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	ystäväni äiti	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	huoneessa	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	ei ole huoneessa	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	he työskentelevät nyt	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	hänen isänsä on työntekijä	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	hän työskentelee hotellissa	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	äiti opettaa	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	hän on opettaja	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	onko hän äiti?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ei, hän on hotellinpitäjä	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ei, en ole töissä	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	mikä hänen nimensä on?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	kuka nyt vastaa?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	äitinsä kieltä	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	onko nimesi ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	me istumme ja vastaamme	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	hänen työtuolinsa	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	sen nimi ei ole ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	hänen kielensä on heidän kielensä	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	isämme ja äitimme	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	opiskelijasi, opiskelijasi	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	ovatko he oppilaitasi?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	Oletko opiskelija?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	oletko huoneessa?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	En ole ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	esperantisti ja naispuolinen esperantisti	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	kirjautui sisään hotellihuoneeseen	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	kielitieteilijä ja naispuolinen työntekijä	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	hänen tyttöystävänsä on ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	opiskelijat ja urheilijat	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	perheeni nimi on ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	kuka hän on? kuka hän on?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	on tyttöystäväsi	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	onko ystäväsi ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	kirjoittaa nyt huoneessa	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	onystäväsi isäsi ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	työskentelee hotellissa	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	mitä on pöydällä?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	huoneemme pöydälle	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	on esperanto-oppikirja ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	on pöydälläsi	is on your table	grupo	alternativoj	prononco
level	havas amikinon	on ystävä	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	hänen nimensä on ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	nuori ja kaunis	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	on nuori ja kaunis	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	nuoria ja kauniita ystäviä	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	ovat mies- ja naispuolisia ystäviä	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	opettajansa koti	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	tuli kotiin	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ koti	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	Tulkaa sisään	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Hei mitä teet?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	Mitä sinä teet? Mitä sinä teet?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	mutta nyt haluan ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Haluan puhua	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	kolmen mies- ja naispuolisen ystävän kanssa	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	puhui kanssasi	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	haluaa puhua kanssasi	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	onko sinulla mies- ja naispuolisia ystäviä	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	hänellä on kirja	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	on hyvä kirja	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	kyllä minulla on	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	he pitävät siitä	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	hän luki kirjaa	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	tykkää lukea kirjoja	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	vain hyvä kirja	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	monia hyviä kirjoja	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	lue vain hyviä kirjoja	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	tykkää lukea hyviä kirjoja	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	haluatko lukea?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	nuori joi kahvia	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	haluaa juoda vettä	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	isä ja äiti; vanhemmat	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	vaiva ja sisko, sisarukset	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	vanhempasi ja sisaruksesi	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	on kotonasi	is in your home	grupo	alternativoj	prononco
level	jen la kafo	tässä on kahvi	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ei juonut vielä	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	on vielä lämmin	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	keitti sen eilen	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Nyt keitin	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Kiitos. niin hän sanoi.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	voi juoda ja syödä	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	joi kylmää kahvia	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	vielä lämmintä kahvia	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	juo myös kylmää kahvia	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	voi myös juoda kylmää kahvia	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	katsoo hänen silmäänsä	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	kaunein silmä	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	kauniit silmät	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	katsoi kauniita silmiä	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	hänen kauniit silmänsä	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	näkee ja ymmärtää	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Näen, että ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	että hän rakastaa häntä	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	hän tuntee, että hän rakastaa häntä	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	kysyy, oliko se iso	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	helposta kysymyksestä	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	sanoi uudesta rahasta	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	erittäin kauniit silmät	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	katsoi isoveljeä	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	pikkusisko unohti sen	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	akusatiivi (objektiivi)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	älä unohda akusatiivista loppua	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	ketä sinä näet? kumman näet?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Näen ystävän	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	hänellä on hyviä mies- ja naispuolisia ystäviä	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	he työskentelevät vanhan talon parissa	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	toimii, toimi, tulee toimimaan	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	näkee, että syön	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	sanoi, että hän menee	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	ruma ja paha	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	Mitä hän sanoi?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	mitä odotat?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	meni huoneeseen	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	sisältö on erittäin vaikeaa	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	saapui kokoukseen	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	tervetuloa kokoukseen	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	vanha mies antoi vinkin	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	saapui ja toivotettiin tervetulleeksi	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	he vihaavat, mutta tekevät yhteistyötä	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	meni hotelliin	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	on helppoja oppikirjoja	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	miten äitisi meni?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	vanha kotisi	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	mitä kirjoja luit?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	olivatko ne hyviä?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	mitä teki eilen?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	pienessä huoneessa	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	puhui pitkään	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	koulun edessä, koulun edessä	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	puhui ennen koulua	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	myöhemmin puhui kirjasta	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	meni mielellään kouluun	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	kadun kautta	through the street	grupo	alternativoj	prononco
level	iris tra la strato	meni kadun läpi	went through the street	grupo	alternativoj	prononco
level	estis varma tago	oli lämmin päivä	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	he näkivät kahvilan'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	näki punaisia keksejä	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	näki siinä keksejä	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	näki kahvilan ja siinä keksejä	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	mene sisään ja syö!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	tullaan syömään	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	on riittävästi rahaa	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	onko sinulla tarpeeksi rahaa?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	Ymmärrätkö?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	tietysti!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	se ei riitä	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	sata dollaria riittää	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	dollari, dollarit, dollarit (monikko tavoite)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	on sata dollaria	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	Tottakai minulla on	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	vai niin! sinä olet rikas!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	vesi, tarjoilija	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	tarjoilija tuo menun	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	toi sen meille, toi sen	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	tarjoilija toi paljon keksejä	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	he söivät (vähän)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	ruokailun (aterian) jälkeen	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	uusi, taas	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	tarjoilija tuli taas	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	jossain paikassa	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	oli etsinyt jostain paikasta	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	etsitty muualta	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	hänen kasvonsa olivat iloiset	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	hän oli surullinen	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	lopussa ja viimein	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	vahva äänesi	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	heikolla äänellä	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	ei ole rahaa	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	mitä siellä tapahtui?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	onnettomuus tapahtui myöhemmin	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	tiedätkö milloin se tapahtui?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	tietää asiasta	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	yksi asia on vielä jäljellä	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	sinä tai hän, kuka tahansa henkilö	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	laulajana, allekirjoittajana	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	lauloi kuin ammattilaulaja	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	paikka, jossa hän asui	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	mistä tiedät autosta?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	no, katsokaa nopeaa autoa	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	mehu ilman sokeria	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	hänellä on nopea auto	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	liian voimakkaasti	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	hän avasi liian lujasti	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	ajoi (matkusi) liian nopeasti	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	söi lusikalla	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	epäilemme vahvasti	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	oikea kirje häneltä	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	rakkauskirje viidellä valokuvalla	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	palasivat, ihmiset, jotka palasivat	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	myös kuusi kirjettä palautettiin	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	halusi nähdä kuvan	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	tuli takaisin koulusta	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	milloin sisko palaa?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	halusi lukea uudestaan	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	teki (teki), tuli	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	muuttui nopeasti punaiseksi	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	huoneeseen, huoneeseen	in a room, into a room	grupo	alternativoj	prononco
