A.mr content.tsv
Level	Esperanto	mr	en-us	Grupo	Alternativoj	Pronoco
level	bonan tagon	शुभ दिवस!	good day!	grupo	alternativoj	prononco
level	ĉu ~	ते ~ आहे का ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	तू ठीक आहेस का? (तू कसा आहेस?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	होय मी दंड आहे	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	नाही बिलकुल नाही	no, not at all	grupo	alternativoj	prononco
level	tre, tro	खूप, खूप	very, too much	grupo	alternativoj	prononco
level	granda, grande	मोठे, मोठ्या प्रमाणात	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	खूप चांगले, खूप मोठे	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	तुम्ही खूप चांगले करत आहात	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	खूप चांगले नाही	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	शिकणे, शिकणे	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	पाहत आहे, प्रेक्षक	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	शिकत आहे, विद्यार्थी (एक शिकणारी व्यक्ती)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, एक व्यक्ती जो करत आहे	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	विद्यार्थी, शिकलेली व्यक्ती	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	मी विद्यार्थी आहे.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ माझा मित्र आहे	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	तो ती	he, she	grupo	alternativoj	prononco
level	sidi, sidas	बसणे, बसणे	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	बसला आहे, बसला आहे, बसणार आहे	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	तो बसला आहे आणि ती शिकत आहे	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	एक खोली	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	खोलीत शिकतो	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	एक विद्यार्थी आणि एक खेळाडू	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	खेळ आणि एक खेळाडू	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	एक खेळाडू खेळत आहे	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	तो एक विद्यार्थी आहे	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	तो एक विद्यार्थी आणि क्रीडापटू आहे	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	तो आता बसला आहे	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	आणि आता शिकत आहे	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	बसून शिकत आहे	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	आता एका खोलीत	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	एका टेबलावर आहे	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	एक कागद आणि कागदपत्रे	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	एक टेबल आणि टेबल	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	एक पुस्तक आणि पुस्तके	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	कागदपत्रे आणि पुस्तके	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	ते टेबलवर आहे.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	लेखन टेबलवर लिहित आहे	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	पुस्तके आहेत ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	टेबलावर	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	पाठ्यपुस्तक आणि पाठ्यपुस्तके	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	टेबलावर ~ आहे	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	एक वडील आणि एक आई	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	वडील आणि आई	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	माझ्या मित्राची आई	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	खोलीत	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	खोलीत नाही	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ते आता काम करत आहेत	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	त्याचे वडील कामगार आहेत	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	तो एका हॉटेलमध्ये काम करतो	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	आई शिकवते	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ती एक शिक्षिका आहे	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	ती आई आहे का?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	नाही, ती हॉटेलवाले आहे	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	नाही, मी काम करत नाही	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	तिचे नाव काय आहे?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	आता कोण उत्तर देत आहे?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	त्यांच्या आईची भाषा	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	तुझे नाव आहे का ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	आम्ही बसून उत्तर देत आहोत	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	तिची कार्यरत खुर्ची	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	त्याचे नाव ~ नाही	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	तिची भाषा ही त्यांची भाषा आहे	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	आमचे वडील आणि आई	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	तुमचा विद्यार्थी, तुमचे विद्यार्थी	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	ते तुमचे विद्यार्थी आहेत का?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	तू विद्यार्थी आहेस का?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	तू खोलीत आहेस का?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	मी नाही ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	एस्पेरंटिस्ट आणि महिला एस्पेरंटिस्ट	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	हॉटेलच्या खोलीसाठी चेक इन केले	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	एक भाषाशास्त्रज्ञ आणि एक महिला कार्यकर्ता	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	त्याची मैत्रीण आहे ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	विद्यार्थी आणि खेळाडू	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	माझ्या कुटुंबाचे नाव ~ आहे	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	ती कोण आहे? ती कोणती आहे?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	तुझी मैत्रीण आहे	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	तुझा मित्र आहे का ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	आता खोलीत लिहित आहे	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	तुमच्या वडिलांचा मित्र आहे का ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	हॉटेलमध्ये काम करतो	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	टेबलावर काय आहे?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	आमच्या खोलीतील टेबलावर	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	एस्पेरांतो पाठ्यपुस्तक आहे ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	तुमच्या टेबलावर आहे	is on your table	grupo	alternativoj	prononco
level	havas amikinon	एक मित्र आहे	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	तिचे नाव ~ आहे	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	तरुण आणि सुंदर	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	तरुण आणि सुंदर आहे	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	तरुण आणि सुंदर मित्र	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	स्त्री-पुरुष मित्र आहेत	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	तिच्या शिक्षिकेचे घर	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	घरी आले	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ चे घर	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	कृपया आत या	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	नमस्कार तू काय करत आहेस?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	तुम्ही काय करता? तू काय करत आहेस?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	पण आता मला हवे आहे ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	मला बोलायचे आहे	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	तीन स्त्री-पुरुष मित्रांसह	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	तुझ्याशी बोललो	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	तुझ्याशी बोलायचे आहे	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	तुमचे पुरुष आणि महिला मित्र आहेत का?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	त्याच्याकडे एक पुस्तक आहे	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	एक चांगले पुस्तक आहे	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	होय माझ्याकडे आहे	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	त्यांना ते आवडते	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	तिने एक पुस्तक वाचले	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	पुस्तके वाचायला आवडतात	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	फक्त एक चांगले पुस्तक	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	अनेक चांगली पुस्तके	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	फक्त चांगली पुस्तके वाचा	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	चांगली पुस्तके वाचायला आवडतात	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	तुला वाचायचे आहे का?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	तरुणाने कॉफी प्यायली	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	पाणी प्यायचे आहे	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	वडील आणि आई; पालक	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	एक त्रास आणि एक बहीण, भावंडे	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	तुमचे पालक आणि भावंड	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	तुमच्या घरात आहे	is in your home	grupo	alternativoj	prononco
level	jen la kafo	इथे कॉफी आहे	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	अजून प्यायले नाही	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	अजूनही उबदार आहे	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	काल शिजवले	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	मी आता स्वयंपाक केला	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	धन्यवाद. म्हणून तो म्हणाला.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	पिऊ आणि खाऊ शकतो	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	कोल्ड कॉफी प्यायली	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	अजूनही उबदार कॉफी	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	कोल्ड कॉफी पण पितात	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	कोल्ड कॉफी देखील पिऊ शकता	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	तिच्या डोळ्याकडे पाहतो	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	सर्वात सुंदर डोळा	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	सुंदर डोळे	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	सुंदर डोळे दिसले	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	तिचे सुंदर डोळे	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	पाहतो आणि समजतो	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	मला ते दिसत आहे ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	की तो तिच्यावर प्रेम करतो	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	तिला वाटते की तो तिच्यावर प्रेम करतो	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	ते मोठे होते का ते विचारतो	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	एका सोप्या प्रश्नाबद्दल	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	नवीन पैशाबद्दल सांगितले	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	खूप सुंदर डोळे	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	मोठा भाऊ पाहिला	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	एक छोटी बहीण विसरली	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	एक आरोपात्मक (उद्दिष्ट)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	आरोपात्मक शेवट विसरू नका	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	तू कोणाला पाहतोस? तुम्हाला कोणते दिसते?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	मी एक मित्र पाहतो	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	चांगले स्त्री-पुरुष मित्र आहेत	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	ते जुन्या घराबद्दल काम करत आहेत	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	कार्य करते, काम केले, कार्य करेल	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	पाहतो, मी खातो	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	म्हणाला, तो जाईल	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	कुरूप आणि वाईट	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	ती काय म्हणाली?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	तू कशाची वाट बघतो आहेस?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	खोलीत गेला	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	सामग्री खूप कठीण आहे	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	बैठकीत पोहोचले	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	मीटिंगमध्ये स्वागत आहे	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	एका वृद्धाने टिप दिली	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	आले आणि स्वागत करण्यात आले	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	ते द्वेष करतात पण सहकार्य करतात	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	हॉटेलमध्ये गेलो	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	सुलभ पाठ्यपुस्तके आहेत	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	तुझी आई कशी होती?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	तुमचे जुने घर	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	तू कोणती पुस्तके वाचलीस?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	ते चांगले होते का?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	काल काय केले?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	छोट्या खोलीत	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	खूप वेळ बोललो	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	शाळेसमोर, शाळेसमोर	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	शाळेसमोर बोलले	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	नंतर पुस्तकाबद्दल बोललो	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	आनंदाने शाळेत गेले	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	रस्त्यावरून	through the street	grupo	alternativoj	prononco
level	iris tra la strato	रस्त्यावरून गेला	went through the street	grupo	alternativoj	prononco
level	estis varma tago	एक उबदार दिवस होता	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	त्यांनी एक कॅफे पाहिला'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	लाल कुकीज पाहिल्या	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	त्यात कुकीज दिसल्या	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	एक कॅफे पाहिला' आणि त्यात कुकीज	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	आत जा आणि खा!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	चला आत येऊन जेवू या	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	पुरेसा पैसा आहे	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	तुमच्याकडे पुरेसे पैसे आहेत का?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	तुला समजते का?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	नक्कीच!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	ते पुरेसे नाही	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	शंभर डॉलर्स पुरेसे आहेत	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	डॉलर, डॉलर, डॉलर (बहुवचन उद्दिष्ट)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	शंभर डॉलर्स आहेत	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	अर्थात, माझ्याकडे आहे	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	अरे! तू श्रीमंत आहेस!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	एक पाणी, एक वेट्रेस	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	एक वेटर मेनू आणतो	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	ते आमच्याकडे आणले, ते आणले	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	एका वेटरने भरपूर कुकीज आणल्या	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	त्यांनी काही खाल्ले (थोडेसे)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	खाल्ल्यानंतर (जेवण)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	नवीन, पुन्हा	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	वेटर पुन्हा आला	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	काही ठिकाणी	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	कुठेतरी शोध घेतला होता	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	इतर ठिकाणी शोध घेतला	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	त्याचा चेहरा आनंदी होता	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	ती दु:खी होती	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	शेवटी आणि शेवटी शेवटी	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	तुझा मजबूत आवाज	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	कमकुवत आवाजात	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	पैसे नाहीत	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	तिथे काय झाले?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	नंतर एक अपघात झाला	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	तुला माहीत आहे का ते कधी झाले?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	प्रकरणाची माहिती आहे	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	अजूनही एक गोष्ट बाकी आहे	still one thing remains	grupo	alternativoj	prononco
