C.ru content.tsv
Level	Esperanto	ru	en-us	Grupo	Alternativoj	Pronoco
level	baldaŭ	скоро	soon	grupo	alternativoj	prononco
level	almenaŭ	по крайней мере, если не что иное	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	дис-	dis-	grupo	alternativoj	prononco
level	-uj-	(суффикс) контейнер; страна	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	учить	to learn	grupo	alternativoj	prononco
level	ek-	(префикс) начало; внезапный старт	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	если, при условии, что	if, provided that	grupo	alternativoj	prononco
level	eĉ	даже	even	grupo	alternativoj	prononco
level	amo	любовь	a love	grupo	alternativoj	prononco
level	jam	уже, так скоро, с этого момента	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Здесь! Ло! Вот	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	закончить, закончить, прекратить	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	итак, тогда, поэтому	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~когда бы то ни было, (что)когда угодно, вообще, -все равно	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	легкий, легкий	easy, facile	grupo	alternativoj	prononco
level	re-	(префикс) повторно-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	большой, большой, большой	big, great, large	grupo	alternativoj	prononco
level	-ist-	(суффикс) профессиональный	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(предлог) из-за ~, из-за ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(суффикс) руководитель, начальник, глава, руководитель	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	что	what	grupo	alternativoj	prononco
level	manĝi	есть	to eat	grupo	alternativoj	prononco
level	nenio	ничего, ничего, ничего	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	молодой	young	grupo	alternativoj	prononco
level	ĉio	все	everything	grupo	alternativoj	prononco
level	riĉa	богатый, богатый, состоятельный	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	эта вещь, это	that thing, that	grupo	alternativoj	prononco
level	konstrui	строить, сооружать	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(приставка) главный, ведущий, главный	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(предлог) без ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(предлог) с ~ (вместе)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(предлог) кроме ~, кроме ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	друг	a friend	grupo	alternativoj	prononco
level	kies	чей, какой, из которых	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(предлог) ~ (метод), с ~ (инструмент)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	против ~	against ~	grupo	alternativoj	prononco
level	el ~	из ~, из ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	сегодня	today	grupo	alternativoj	prononco
level	hieraŭ	вчера	yesterday	grupo	alternativoj	prononco
level	nur	только, всего лишь, исключительно	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	помогать, помогать, оказывать помощь	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(наречие) далеко, далеко	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ни, ни	nor, neither	grupo	alternativoj	prononco
level	malamo	ненависть	a hate	grupo	alternativoj	prononco
level	preskaŭ	почти, почти	almost, nearly	grupo	alternativoj	prononco
level	tra ~	через ~	through ~	grupo	alternativoj	prononco
level	super	свыше, выше	over, above	grupo	alternativoj	prononco
level	trans ~	над ~, через ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	ну, ну тогда, сейчас	well, well then, now	grupo	alternativoj	prononco
level	pri ~	о ~	about ~	grupo	alternativoj	prononco
level	por ~	для ~, для того, чтобы ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	завтра	tomorrow	grupo	alternativoj	prononco
level	nun	сейчас, в настоящее время	now, at present	grupo	alternativoj	prononco
level	laŭ ~	согласно ~, вдоль ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	каждый, каждый, каждый, все	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	кто, какой, какой	who, which, which one	grupo	alternativoj	prononco
level	tiu	тот человек, тот ~, тот, вон тот	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	кто-то, кто-то, какой-то	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	никто, никто, ни	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	до ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(суффикс) ~способный	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	надеяться	to hope	grupo	alternativoj	prononco
level	unu	один	one	grupo	alternativoj	prononco
level	du	два	two	grupo	alternativoj	prononco
level	tri	три	three	grupo	alternativoj	prononco
level	kvar	четыре	four	grupo	alternativoj	prononco
level	kvin	пять	five	grupo	alternativoj	prononco
level	ses	шесть	six	grupo	alternativoj	prononco
level	sep	Семь	seven	grupo	alternativoj	prononco
level	ok	восемь	eight	grupo	alternativoj	prononco
level	naŭ	девять	nine	grupo	alternativoj	prononco
level	dek	десять	ten	grupo	alternativoj	prononco
level	cent	сотня	a hundred	grupo	alternativoj	prononco
level	mil	тысяча	a thousand	grupo	alternativoj	prononco
level	-obl-	(суффикс) для кратности, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(суффикс) ~th, дробь	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	любви	of love	grupo	alternativoj	prononco
level	anstataŭ ~	вместо ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(суффикс) стать	(suffix)  become	grupo	alternativoj	prononco
level	voli	хотеть, хотеть, быть готовым	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(суффикс) стать причиной	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	следить	to follow	grupo	alternativoj	prononco
level	ĝoje	с радостью	gladly	grupo	alternativoj	prononco
level	legi	читать	to read	grupo	alternativoj	prononco
level	silenta	тихий	silent	grupo	alternativoj	prononco
level	la	тот	the	grupo	alternativoj	prononco
level	ha!	ха!	ha!	grupo	alternativoj	prononco
level	-il-	(суффикс) инструмент, метод	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	пить (безалкогольное)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(суффикс) маленький, маленький	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(суффикс) большой, большой	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(предлог) между ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(суффикс) связанное поведение	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(суффикс) набор, группа	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(суффикс) член группы	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	благодарить	to thank	grupo	alternativoj	prononco
level	-ind-	(суффикс) стоящий, достойный	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	еще больше, дальше и так далее, еще	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	как, каким образом, например	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	такой, таким образом, таким образом	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(предлог) в ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(предлог) рядом с ~, рядом с ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(предлог) под, под ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(предлог) на ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(предлог) неопределенный преп., при, в, мимо, на	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(наречие) все еще, еще	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(предлог) вокруг ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	но	but	grupo	alternativoj	prononco
level	ie	где-то	somewhere	grupo	alternativoj	prononco
level	kie	где, в каком месте	where, at what place	grupo	alternativoj	prononco
level	silente	молча	silently	grupo	alternativoj	prononco
level	ĉie	везде, повсюду	everywhere, all about	grupo	alternativoj	prononco
level	nenie	нигде, ни в коем случае, нигде	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	там, там, там	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	это ~	this ~	grupo	alternativoj	prononco
level	kanti	петь	to sing	grupo	alternativoj	prononco
level	morti	умереть, уйти из жизни	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(предлог) во время ~, пока ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	нация	a nation	grupo	alternativoj	prononco
level	koni	знать (человека), быть знакомым с	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	знать (факт, знание), знать, как	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	всегда, когда-либо	always, ever	grupo	alternativoj	prononco
level	iam	когда-нибудь, однажды	at some time, once	grupo	alternativoj	prononco
level	tiam	затем	then	grupo	alternativoj	prononco
level	-em-	(суффикс) тенденция	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	наподобие	some kind of	grupo	alternativoj	prononco
level	sukcesi	преуспеть	to succeed	grupo	alternativoj	prononco
level	ĉia	всякого рода, всякого рода	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	нет, ни какой, ни какой	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(суффикс) потомок	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	комната, камера	a room, a chamber	grupo	alternativoj	prononco
level	patro	отец	a father	grupo	alternativoj	prononco
level	porko	свинья, свинья	a pig, swine	grupo	alternativoj	prononco
level	bo-	(приставка) - зять, по браку	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	действительно	indeed	grupo	alternativoj	prononco
level	-ism-	(суффикс) -изм	(suffix)  -ism	grupo	alternativoj	prononco
level	io	что-нибудь	something	grupo	alternativoj	prononco
level	veturi	водить (транспортное средство)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	петух, курица, курица, домашняя птица	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	бесплатно	free	grupo	alternativoj	prononco
level	lasta	последний	last	grupo	alternativoj	prononco
level	ĝoji	радоваться, радоваться, наслаждаться	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	взять, схватить	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	корова, бык, крупный рогатый скот	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	другой, другой, еще	another, other, else	grupo	alternativoj	prononco
level	varma	горячий, теплый	hot, warm	grupo	alternativoj	prononco
level	loĝi	проживать, жить, обитать, обитать	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	верить	to believe	grupo	alternativoj	prononco
level	glacio	хороший	an ice	grupo	alternativoj	prononco
level	loko	место, место	a place, a location	grupo	alternativoj	prononco
level	ovo	яйцо	an egg	grupo	alternativoj	prononco
level	multa	много, много, много	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	владение	a possession	grupo	alternativoj	prononco
level	ŝafo	овца	a sheep	grupo	alternativoj	prononco
level	sono	звук	a sound	grupo	alternativoj	prononco
level	fiŝo	рыба	a fish	grupo	alternativoj	prononco
level	bela	красивый, красивый, хорошенький	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	ответить, ответить, ответить	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	повод, время	an occasion, a time	grupo	alternativoj	prononco
level	demandi	спрашивать	to ask	grupo	alternativoj	prononco
level	forta	сильный	strong	grupo	alternativoj	prononco
level	preter ~	за ~, мимо ~, прямо мимо	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	тишина	a silence	grupo	alternativoj	prononco
level	infano	ребенок, младенец	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	счастливый, удачливый, удачливый	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	поймать, схватить, схватить	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	желать, желать	to desire, to wish	grupo	alternativoj	prononco
level	longa	длинный	long	grupo	alternativoj	prononco
level	mondo	мир	a world	grupo	alternativoj	prononco
level	okazi	произойти, случиться, произойти	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	поле, поле	field, a field	grupo	alternativoj	prononco
level	filo	сын	a son	grupo	alternativoj	prononco
level	montri	показать, указать, указать	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	сердце	a heart	grupo	alternativoj	prononco
level	knabo	мальчик	a boy	grupo	alternativoj	prononco
level	meti	положить, разместить, положить	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	муж	a husband	grupo	alternativoj	prononco
level	pako	упаковка	package	grupo	alternativoj	prononco
level	rapida	быстро, быстро, быстро	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	казаться, казаться	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	приветствие, приветствие, приветствие	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	написать	to write	grupo	alternativoj	prononco
level	peti	просить, просить, просить, умолять	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	летать	to fly	grupo	alternativoj	prononco
level	kapo	голова, плащ	a head, a cape	grupo	alternativoj	prononco
level	krii	кричать, плакать, кричать, кричать	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	красный	red	grupo	alternativoj	prononco
level	sinjoro	господин, джентльмен	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	держаться, держаться	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	время, время	time, a time	grupo	alternativoj	prononco
level	tuta	всего, весь, весь, полный, общий	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	мужчина	a man	grupo	alternativoj	prononco
level	vojo	путь, путь, маршрут	a way, a path, a route	grupo	alternativoj	prononco
level	movi	двигаться	to move	grupo	alternativoj	prononco
level	militi	развязать войну, сражаться, вести войну	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	несколько, несколько	a few, several	grupo	alternativoj	prononco
level	dekstra	вправо, вправо (сторона, направление), вправо	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	закрыть, закрыть	to close, to shut	grupo	alternativoj	prononco
level	okupi	занять, занять	to occupy, to take	grupo	alternativoj	prononco
level	levi	рычаг, поднять, поднять	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	бить, ударять, ударять, шлепать, хлестать	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	нуждаться, хотеть, требовать	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	понять, осознать	to understand, to realise	grupo	alternativoj	prononco
level	iri	идти	to go	grupo	alternativoj	prononco
level	veni	приходить	to come	grupo	alternativoj	prononco
level	porti	носить, носить	to carry, to wear	grupo	alternativoj	prononco
level	kovri	покрывать	to cover	grupo	alternativoj	prononco
level	hela	яркий, ясный и светлый	bright, clear and light	grupo	alternativoj	prononco
level	sana	здоровый	healthy	grupo	alternativoj	prononco
level	aperi	появиться, появиться	to appear, to emerge	grupo	alternativoj	prononco
level	libro	книга	a book	grupo	alternativoj	prononco
level	atendi	ждать, ожидать, дождаться	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	рука	a hand	grupo	alternativoj	prononco
level	pentri	рисовать	to paint	grupo	alternativoj	prononco
level	instrui	учить, инструктировать	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	сидеть	to sit	grupo	alternativoj	prononco
level	stari	стоять	to stand	grupo	alternativoj	prononco
level	afero	вещь, предмет, дело, забота, дело	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	полный, полный	full, complete	grupo	alternativoj	prononco
level	klara	прозрачный	clear	grupo	alternativoj	prononco
level	komenci	начать, начать	to begin, to commence	grupo	alternativoj	prononco
level	dormi	спать, спать	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	часть, доля	a part, a share	grupo	alternativoj	prononco
level	mono	деньги	money	grupo	alternativoj	prononco
level	ricevi	получать	to receive	grupo	alternativoj	prononco
level	ami	любить	to love	grupo	alternativoj	prononco
level	devi	придется, должно, должно, следует	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	быть в состоянии, может	be able to, can	grupo	alternativoj	prononco
level	labori	работать, трудиться	to work, to labor	grupo	alternativoj	prononco
level	dio	Бог	a god	grupo	alternativoj	prononco
level	urbo	город, городок	a city, a town	grupo	alternativoj	prononco
level	ofta	частый, часто	freqent, often	grupo	alternativoj	prononco
level	soni	звучать, издавать звук	to sound, to make sound	grupo	alternativoj	prononco
level	tero	земля, земля, почва	earth, land, soil	grupo	alternativoj	prononco
level	vivi	жить, быть живым	to live, to be alive	grupo	alternativoj	prononco
level	resti	остаться, остаться	to stay, to remain	grupo	alternativoj	prononco
level	ridi	смеяться	to laugh	grupo	alternativoj	prononco
level	homo	человек, мужчина	a human, a man	grupo	alternativoj	prononco
level	akvo	вода	water	grupo	alternativoj	prononco
level	vorto	слово	a word	grupo	alternativoj	prononco
level	certa	уверен, конечно	certain, sure	grupo	alternativoj	prononco
level	lando	земля, страна	a land, a country	grupo	alternativoj	prononco
level	sama	такой же	same	grupo	alternativoj	prononco
level	ĵeti	бросать	to throw	grupo	alternativoj	prononco
level	stelo	звезда	a star	grupo	alternativoj	prononco
level	domo	дом, дом	a house, a home	grupo	alternativoj	prononco
level	nomo	имя, прозвище	a name, an appellation	grupo	alternativoj	prononco
level	vidi	чтобы увидеть	to see	grupo	alternativoj	prononco
level	mola	мягкий	soft	grupo	alternativoj	prononco
level	horo	час, час, время	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	форма, форма	a form, a shape	grupo	alternativoj	prononco
level	tago	день	a day	grupo	alternativoj	prononco
level	fumo	дым	a smoke	grupo	alternativoj	prononco
level	ĉevalo	конь	a horse	grupo	alternativoj	prononco
level	jaro	год	a year	grupo	alternativoj	prononco
level	vojaĝi	путешествовать	to travel	grupo	alternativoj	prononco
level	celo	цель, цель, цель, цель	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	рожать, рожать, порождать	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	скучать, не хватать, не хватать	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	птица	a bird	grupo	alternativoj	prononco
level	halti	остановиться, остановиться, остановиться	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	брат	a brother	grupo	alternativoj	prononco
level	monto	гора	a mountain	grupo	alternativoj	prononco
level	pensi	думать	to think	grupo	alternativoj	prononco
level	permesi	разрешить, позволить	to permit, to allow	grupo	alternativoj	prononco
level	kosti	стоить	to cost	grupo	alternativoj	prononco
level	lito	кровать, диван	a bed, a couch	grupo	alternativoj	prononco
level	perdi	терять	to lose	grupo	alternativoj	prononco
level	miri	удивлять, изумляться, изумляться	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	персона	a person	grupo	alternativoj	prononco
level	diversa	разнообразный, разнообразный, разнообразный	diverse, varied, various	grupo	alternativoj	prononco
level	provi	попробовать, попытаться	to try, to attempt	grupo	alternativoj	prononco
level	pagi	платить	to pay	grupo	alternativoj	prononco
level	prezenti	представить, представить	to present, to introduce	grupo	alternativoj	prononco
level	aparta	отдельно, особый, отдельный	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	верно, право	right, a right	grupo	alternativoj	prononco
level	mateno	утро, утро	morning, a morning	grupo	alternativoj	prononco
level	agrabla	приятный, приятный, славный	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	вечер, вечер	evening, an evening	grupo	alternativoj	prononco
level	muro	стена	a wall	grupo	alternativoj	prononco
level	suno	солнце, солнце	sun, a sun	grupo	alternativoj	prononco
level	rigardi	смотреть, смотреть	to look, to look at	grupo	alternativoj	prononco
level	senti	чувствовать, чувствовать	to feel, to sense	grupo	alternativoj	prononco
level	blanka	белый, пустой	white, blank	grupo	alternativoj	prononco
level	simpla	простой	simple	grupo	alternativoj	prononco
level	rimarki	замечать	to notice	grupo	alternativoj	prononco
level	lingvo	язык, язык	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	измениться, повернуть	to change, to turn	grupo	alternativoj	prononco
level	renkonti	встретиться, встретиться, встретиться	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	использовать	to use	grupo	alternativoj	prononco
level	timi	бояться, опасаться	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	настоящий, правда	real, true	grupo	alternativoj	prononco
level	sola	одинокий, единственный, единственный, одинокий	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	мир, мир	peace, a peace	grupo	alternativoj	prononco
level	rakonti	рассказывать, рассказывать, рассказывать	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	цвет, цвет	color, a color	grupo	alternativoj	prononco
level	pura	чистый, чистый	clean, pure	grupo	alternativoj	prononco
level	aŭdi	слышать	to hear	grupo	alternativoj	prononco
level	punkto	точка, точка, пятно	a point, a dot, a spot	grupo	alternativoj	prononco
level	buŝo	рот	a mouth	grupo	alternativoj	prononco
level	araneo	паук	a spider	grupo	alternativoj	prononco
level	serĉi	искать, искать, искать	to search, to look for, to seek	grupo	alternativoj	prononco
level	letero	письмо	a letter	grupo	alternativoj	prononco
level	frua	ранний, преждевременный	early, premature	grupo	alternativoj	prononco
