A.pa content.tsv
Level	Esperanto	pa	en-us	Grupo	Alternativoj	Pronoco
level	bonan vojaĝon, al vi	(ਤੁਹਾਡੇ ਲਈ) ਚੰਗੀ ਯਾਤਰਾ ਹੋਵੇ	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	ਚੰਗਾ ਦਿਨ!	good day!	grupo	alternativoj	prononco
level	ĉu ~	ਕੀ ਇਹ ~ ਹੈ ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	ਕੀ ਤੁਸੀਂ ਠੀਕ ਕਰ ਰਹੇ ਹੋ? (ਤੁਸੀ ਕਿਵੇਂ ਹੋ?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	ਹਾਂ, ਮੈਂ ਠੀਕ ਹਾਂ	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ਨਹੀਂ, ਬਿਲਕੁਲ ਨਹੀਂ	no, not at all	grupo	alternativoj	prononco
level	tre, tro	ਬਹੁਤ, ਬਹੁਤ ਜ਼ਿਆਦਾ	very, too much	grupo	alternativoj	prononco
level	granda, grande	ਵੱਡੇ, ਵੱਡੇ ਪੱਧਰ 'ਤੇ	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	ਬਹੁਤ ਵਧੀਆ, ਬਹੁਤ ਵੱਡਾ	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	ਤੁਸੀਂ ਬਹੁਤ ਵਧੀਆ ਕਰ ਰਹੇ ਹੋ	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ਬਹੁਤ ਵਧੀਆ ਨਹੀ	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	ਸਿੱਖਣ ਲਈ, ਇੱਕ ਸਿੱਖਿਆ	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	ਦੇਖ ਰਿਹਾ ਹੈ, ਇੱਕ ਦਰਸ਼ਕ	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	ਸਿੱਖ ਰਿਹਾ ਹੈ, ਇੱਕ ਵਿਦਿਆਰਥੀ (ਇੱਕ ਸਿੱਖਣ ਵਾਲਾ ਵਿਅਕਤੀ)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, ਇੱਕ ਵਿਅਕਤੀ ਜੋ ਕਰ ਰਿਹਾ ਹੈ	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	ਇੱਕ ਵਿਦਿਆਰਥੀ, ਇੱਕ ਵਿਅਕਤੀ ਜਿਸਨੇ ਸਿੱਖਿਆ ਹੈ	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	ਮੈਂ ਇਕ ਵਿਦਿਆਰਥੀ ਹਾਂ.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ ਮੇਰਾ ਦੋਸਤ ਹੈ	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	ਉਹ, ਉਹ	he, she	grupo	alternativoj	prononco
level	sidi, sidas	ਬੈਠਣਾ, ਬੈਠਣਾ	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	ਬੈਠਾ ਹੈ, ਬੈਠਾ ਹੈ, ਬੈਠਾ ਰਹੇਗਾ	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	ਉਹ ਬੈਠਾ ਹੈ ਅਤੇ ਉਹ ਸਿੱਖ ਰਹੀ ਹੈ	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ਇੱਕ ਕਮਰਾ	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	ਇੱਕ ਕਮਰੇ ਵਿੱਚ ਸਿੱਖਦਾ ਹੈ	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	ਇੱਕ ਵਿਦਿਆਰਥੀ ਅਤੇ ਇੱਕ ਖਿਡਾਰੀ	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	ਖੇਡ ਅਤੇ ਇੱਕ ਖਿਡਾਰੀ	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	ਇੱਕ ਖਿਡਾਰੀ ਖੇਡ ਰਿਹਾ ਹੈ	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	ਉਹ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹੈ	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	ਉਹ ਇੱਕ ਵਿਦਿਆਰਥੀ ਅਤੇ ਇੱਕ ਖਿਡਾਰੀ ਹੈ	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	ਉਹ ਹੁਣ ਬੈਠਾ ਹੈ	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	ਅਤੇ ਹੁਣ ਸਿੱਖ ਰਿਹਾ ਹੈ	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	ਬੈਠਾ ਹੈ ਅਤੇ ਸਿੱਖ ਰਿਹਾ ਹੈ	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	ਹੁਣ ਇੱਕ ਕਮਰੇ ਵਿੱਚ	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	ਇੱਕ ਮੇਜ਼ 'ਤੇ ਹੈ	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ਇੱਕ ਕਾਗਜ਼ ਅਤੇ ਕਾਗਜ਼	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	ਇੱਕ ਮੇਜ਼ ਅਤੇ ਮੇਜ਼	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	ਇੱਕ ਕਿਤਾਬ ਅਤੇ ਕਿਤਾਬਾਂ	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	ਕਾਗਜ਼ ਅਤੇ ਕਿਤਾਬਾਂ	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	ਇਹ ਇੱਕ ਮੇਜ਼ 'ਤੇ ਹੈ।	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	ਲਿਖਣ ਦੀ ਮੇਜ਼ 'ਤੇ ਲਿਖ ਰਿਹਾ ਹੈ	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	ਕਿਤਾਬਾਂ ਹਨ ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	ਮੇਜ਼ ਉੱਤੇ	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	ਇੱਕ ਪਾਠ ਪੁਸਤਕ ਅਤੇ ਪਾਠ ਪੁਸਤਕਾਂ	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	ਮੇਜ਼ 'ਤੇ ~ ਹੈ	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	ਇੱਕ ਪਿਤਾ ਅਤੇ ਇੱਕ ਮਾਤਾ	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	ਪਿਤਾ ਅਤੇ ਮਾਤਾ	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	ਮੇਰੇ ਦੋਸਤ ਦੀ ਮਾਂ	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	ਕਮਰੇ ਵਿੱਚ	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	ਕਮਰੇ ਵਿੱਚ ਨਹੀਂ ਹੈ	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ਉਹ ਹੁਣ ਕੰਮ ਕਰ ਰਹੇ ਹਨ	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	ਉਸਦਾ ਪਿਤਾ ਇੱਕ ਮਜ਼ਦੂਰ ਹੈ	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	ਉਹ ਇੱਕ ਹੋਟਲ ਵਿੱਚ ਕੰਮ ਕਰਦਾ ਹੈ	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	ਮਾਂ ਸਿਖਾਉਂਦੀ ਹੈ	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ਉਹ ਇੱਕ ਅਧਿਆਪਕ ਹੈ	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	ਕੀ ਉਹ ਮਾਂ ਹੈ?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ਨਹੀਂ, ਉਹ ਇੱਕ ਹੋਟਲ ਮਾਲਕ ਹੈ	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ਨਹੀਂ, ਮੈਂ ਕੰਮ ਨਹੀਂ ਕਰਦਾ	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	ਉਸ ਦਾ ਨਾਮ ਕੀ ਹੈ?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	ਹੁਣ ਕੌਣ ਜਵਾਬ ਦੇ ਰਿਹਾ ਹੈ?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	ਉਨ੍ਹਾਂ ਦੀ ਮਾਂ ਦੀ ਭਾਸ਼ਾ	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	ਕੀ ਤੁਹਾਡਾ ਨਾਮ ~ ਹੈ?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	ਅਸੀਂ ਬੈਠੇ ਹਾਂ ਅਤੇ ਜਵਾਬ ਦੇ ਰਹੇ ਹਾਂ	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	ਉਸਦੀ ਕੰਮ ਕਰਨ ਵਾਲੀ ਕੁਰਸੀ	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	ਇਸਦਾ ਨਾਮ ~ ਨਹੀਂ ਹੈ	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	ਉਸਦੀ ਭਾਸ਼ਾ ਉਹਨਾਂ ਦੀ ਭਾਸ਼ਾ ਹੈ	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	ਸਾਡੇ ਪਿਤਾ ਅਤੇ ਮਾਤਾ	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	ਤੁਹਾਡਾ ਵਿਦਿਆਰਥੀ, ਤੁਹਾਡੇ ਵਿਦਿਆਰਥੀ	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	ਕੀ ਉਹ ਤੁਹਾਡੇ ਵਿਦਿਆਰਥੀ ਹਨ?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	ਕੀ ਤੁਸੀ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹੋ?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	ਕੀ ਤੁਸੀਂ ਕਮਰੇ ਵਿੱਚ ਹੋ?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	ਮੈਂ ~ ਨਹੀਂ ਹਾਂ	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	ਇੱਕ Esperantist ਅਤੇ ਇੱਕ ਔਰਤ Esperantist	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	ਹੋਟਲ ਦੇ ਕਮਰੇ ਲਈ ਚੈੱਕ ਇਨ ਕੀਤਾ	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	ਇੱਕ ਭਾਸ਼ਾ ਵਿਗਿਆਨੀ ਅਤੇ ਇੱਕ ਔਰਤ ਵਰਕਰ	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	ਉਸਦੀ ਪ੍ਰੇਮਿਕਾ ~ ਹੈ	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	ਵਿਦਿਆਰਥੀ ਅਤੇ ਖਿਡਾਰੀ	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	ਮੇਰੇ ਪਰਿਵਾਰ ਦਾ ਨਾਮ ~ ਹੈ	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	ਉਹ ਕੌਣ ਹੈ? ਉਹ ਕਿਹੜੀ ਹੈ?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	ਤੁਹਾਡੀ ਗਰਲ ਫ੍ਰੈਂਡ ਹੈ	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	ਕੀ ਤੁਹਾਡਾ ਦੋਸਤ ਹੈ ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	ਹੁਣ ਕਮਰੇ ਵਿੱਚ ਲਿਖ ਰਿਹਾ ਹੈ	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	ਕੀ ਤੁਹਾਡੇ ਪਿਤਾ ਜੀ ਦਾ ਦੋਸਤ ਹੈ ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	ਇੱਕ ਹੋਟਲ ਵਿੱਚ ਕੰਮ ਕਰਦਾ ਹੈ	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	ਮੇਜ਼ 'ਤੇ ਕੀ ਹੈ?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	ਸਾਡੇ ਕਮਰੇ ਵਿੱਚ ਮੇਜ਼ ਉੱਤੇ	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	ਕੀ ਐਸਪੇਰਾਂਤੋ ਪਾਠ ਪੁਸਤਕ ਹੈ ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	ਤੁਹਾਡੀ ਮੇਜ਼ 'ਤੇ ਹੈ	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ਇੱਕ ਦੋਸਤ ਹੈ	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	ਉਸਦਾ ਨਾਮ ~ ਹੈ	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	ਜਵਾਨ ਤੇ ਸੁੰਦਰ	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	ਜਵਾਨ ਅਤੇ ਸੁੰਦਰ ਹੈ	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	ਨੌਜਵਾਨ ਅਤੇ ਸੁੰਦਰ ਦੋਸਤ	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	ਮਰਦ-ਔਰਤ ਦੋਸਤ ਹਨ	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	ਉਸ ਦੇ ਅਧਿਆਪਕ ਦਾ ਘਰ	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	ਘਰ ਆਇਆ	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	ਦਾ ਘਰ ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	ਕਿਰਪਾ ਕਰਕੇ ਅੰਦਰ ਆਓ	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	ਹੈਲੋ, ਤੁਸੀਂ ਕੀ ਕਰ ਰਹੇ ਹੋ?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	ਤੁਸੀਂ ਕੀ ਕਰਦੇ ਹੋ? ਤੁਸੀਂ ਕੀ ਕਰ ਰਹੇ ਹੋ?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ਪਰ ਹੁਣ ਮੈਂ ਚਾਹੁੰਦਾ ਹਾਂ ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	ਮੈਂ ਬੋਲਣਾ ਚਾਹੁੰਦਾ ਹਾਂ	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	ਤਿੰਨ ਮਰਦ-ਔਰਤ ਦੋਸਤਾਂ ਨਾਲ	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	ਤੁਹਾਡੇ ਨਾਲ ਗੱਲ ਕੀਤੀ	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	ਤੁਹਾਡੇ ਨਾਲ ਗੱਲ ਕਰਨਾ ਚਾਹੁੰਦਾ ਹੈ	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	ਕੀ ਤੁਹਾਡੇ ਮਰਦ-ਔਰਤ ਦੋਸਤ ਹਨ	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	ਉਸ ਕੋਲ ਇੱਕ ਕਿਤਾਬ ਹੈ	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	ਇੱਕ ਚੰਗੀ ਕਿਤਾਬ ਹੈ	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	ਹਾਂ ਮੇਰੇ ਕੋਲ ਹੈ	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	ਉਹ ਇਸ ਨੂੰ ਪਸੰਦ ਕਰਦੇ ਹਨ	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ਉਸਨੇ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹੀ	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	ਕਿਤਾਬਾਂ ਪੜ੍ਹਨਾ ਪਸੰਦ ਕਰਦਾ ਹੈ	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	ਸਿਰਫ ਇੱਕ ਚੰਗੀ ਕਿਤਾਬ	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	ਬਹੁਤ ਸਾਰੀਆਂ ਚੰਗੀਆਂ ਕਿਤਾਬਾਂ	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	ਸਿਰਫ਼ ਚੰਗੀਆਂ ਕਿਤਾਬਾਂ ਪੜ੍ਹੋ	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	ਚੰਗੀਆਂ ਕਿਤਾਬਾਂ ਪੜ੍ਹਨਾ ਪਸੰਦ ਕਰਦਾ ਹੈ	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	ਕੀ ਤੁਸੀਂ ਪੜ੍ਹਨਾ ਚਾਹੁੰਦੇ ਹੋ?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	ਨੌਜਵਾਨ ਨੇ ਕੌਫੀ ਪੀਤੀ	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	ਪਾਣੀ ਪੀਣਾ ਚਾਹੁੰਦਾ ਹੈ	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	ਇੱਕ ਪਿਤਾ ਅਤੇ ਇੱਕ ਮਾਤਾ; ਮਾਪੇ	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	ਇੱਕ ਪਰੇਸ਼ਾਨੀ ਅਤੇ ਇੱਕ ਭੈਣ, ਭੈਣ-ਭਰਾ	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	ਤੁਹਾਡੇ ਮਾਤਾ-ਪਿਤਾ ਅਤੇ ਭੈਣ-ਭਰਾ	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	ਤੁਹਾਡੇ ਘਰ ਵਿੱਚ ਹੈ	is in your home	grupo	alternativoj	prononco
level	jen la kafo	ਇੱਥੇ ਕੌਫੀ ਹੈ	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ਅਜੇ ਤੱਕ ਨਹੀਂ ਪੀਤਾ	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	ਅਜੇ ਵੀ ਗਰਮ ਹੈ	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	ਕੱਲ ਇਸਨੂੰ ਪਕਾਇਆ	cooked it yesterday	grupo	alternativoj	prononco
