A.km content.tsv
Level	Esperanto	km	en-us	Grupo	Alternativoj	Pronoco
level	lernolibro kaj la lernolibroj	សៀវភៅសិក្សា និងសៀវភៅសិក្សា	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	នៅលើតុមាន ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	ឪពុកនិងម្តាយ	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	ឪពុកនិងម្តាយ	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	ម្តាយរបស់មិត្តរបស់ខ្ញុំ	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	នៅក្នុង​បន្ទប់	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	មិននៅក្នុងបន្ទប់ទេ។	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ឥឡូវនេះពួកគេកំពុងធ្វើការ	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	ឪពុក​របស់​គាត់​ជា​កម្មករ	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	គាត់ធ្វើការនៅក្នុងសណ្ឋាគារមួយ។	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	ម្តាយបង្រៀន	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	នាង​គឺជា​គ្រូបង្រៀន	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	តើនាងជាម្តាយទេ?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ទេ នាងជាអ្នកសណ្ឋាគារ	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ទេ ខ្ញុំមិនធ្វើការទេ។	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	តើ​នាង​ឈ្មោះ​អ្វី?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	តើអ្នកណាកំពុងឆ្លើយឥឡូវនេះ?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	ភាសារបស់ម្តាយរបស់ពួកគេ។	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	ឈ្មោះរបស់អ្នក ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	យើងកំពុងអង្គុយហើយឆ្លើយ	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	កៅអីធ្វើការរបស់នាង	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	ឈ្មោះរបស់វាមិនមែន ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	ភាសារបស់នាងគឺជាភាសារបស់ពួកគេ។	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	ឪពុកនិងម្តាយរបស់យើង។	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	សិស្សរបស់អ្នក សិស្សរបស់អ្នក។	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	តើពួកគេជាសិស្សរបស់អ្នកទេ?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	តើអ្នកជាសិស្សទេ?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	តើអ្នកនៅក្នុងបន្ទប់ទេ?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	ខ្ញុំមិនមែន ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	Esperantist និង Esperantist ស្ត្រី	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	បានចុះឈ្មោះចូលបន្ទប់សណ្ឋាគារ	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	ភាសាវិទូ និងបុគ្គលិកស្រី	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	មិត្តស្រីរបស់គាត់គឺ ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	សិស្ស និងកីឡាករកីឡា	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	ឈ្មោះគ្រួសាររបស់ខ្ញុំគឺ ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	នាង​ជា​អ្នកណា? តើនាងជានរណា?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	គឺជាមិត្តស្រីរបស់អ្នក។	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	ជាមិត្តរបស់អ្នក~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	ឥឡូវនេះកំពុងសរសេរនៅក្នុងបន្ទប់	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	តើ​ជា​មិត្ត​ភក្តិ​របស់​លោក​ឪពុក ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	ធ្វើការនៅក្នុងសណ្ឋាគារមួយ។	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	តើមានអ្វីនៅលើតុ?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	នៅលើតុនៅក្នុងបន្ទប់របស់យើង។	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	តើ​សៀវភៅ​សិក្សា​ភាសា Esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	គឺនៅលើតុរបស់អ្នក។	is on your table	grupo	alternativoj	prononco
level	havas amikinon	មានមិត្តម្នាក់	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	ឈ្មោះរបស់នាងគឺ ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	ក្មេង​ហើយ​ស្រស់​ស្អាត	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	គឺក្មេងនិងស្រស់ស្អាត	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	មិត្តភក្តិវ័យក្មេងនិងស្រស់ស្អាត	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	គឺជាមិត្តប្រុស-ស្រី	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	ផ្ទះរបស់គ្រូរបស់នាង	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	បានមកដល់ផ្ទះ	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	ផ្ទះរបស់ ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	សូម​អញ្ជើញ​ចូល​ក្នុង	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	សួស្តី​! តើ​អ្នក​កំពុង​ធ្វើអ្វី?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	តើ​អ្នក​ធ្វើ​អ្វី? តើ​អ្នក​កំពុង​ធ្វើអ្វី?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ប៉ុន្តែឥឡូវនេះខ្ញុំចង់បាន ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	ខ្ញុំចង់និយាយ	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	ជាមួយមិត្តប្រុស-ស្រីបីនាក់។	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	បាននិយាយជាមួយអ្នក	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	ចង់និយាយជាមួយអ្នក	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	តើអ្នកមានមិត្តប្រុសស្រីទេ?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	គាត់មានសៀវភៅមួយ។	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	មានសៀវភៅល្អ។	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	បាទ​ឬ​ចាស​ខ្ញុំ​មាន	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	ពួកគេចូលចិត្តវា។	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	នាងបានអានសៀវភៅមួយ។	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	ចូលចិត្តអានសៀវភៅ	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	មានតែសៀវភៅល្អ។	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	សៀវភៅល្អៗជាច្រើន។	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	អានតែសៀវភៅល្អៗ	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	ចូលចិត្តអានសៀវភៅល្អៗ	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	តើអ្នកចង់អានទេ?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	ក្មេងនោះបានផឹកកាហ្វេ	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	ចង់ផឹកទឹក។	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	ឪពុកនិងម្តាយមួយ; ឪពុកម្តាយ	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	រំខាន និងបងស្រី បងប្អូន	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	ឪពុកម្តាយ និងបងប្អូនរបស់អ្នក។	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	គឺនៅក្នុងផ្ទះរបស់អ្នក។	is in your home	grupo	alternativoj	prononco
level	jen la kafo	នៅទីនេះគឺកាហ្វេ	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	មិនទាន់បានផឹកទេ។	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	នៅតែក្តៅ	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	ចម្អិនវាកាលពីម្សិលមិញ	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	ឥឡូវនេះខ្ញុំចម្អិន	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	សូមអរគុណ។ ដូច្នេះគាត់បាននិយាយ។	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	អាចផឹកនិងញ៉ាំ	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	ផឹកកាហ្វេត្រជាក់	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	កាហ្វេក្តៅ	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	ផឹកកាហ្វេត្រជាក់ផងដែរ។	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	ក៏អាចផឹកកាហ្វេត្រជាក់បានដែរ។	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	មើលភ្នែករបស់នាង	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	ភ្នែកដ៏ស្រស់ស្អាតបំផុត។	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	ភ្នែកដ៏ស្រស់ស្អាត	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	បានមើលភ្នែកដ៏ស្រស់ស្អាត	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	ភ្នែកដ៏ស្រស់ស្អាតរបស់នាង	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	ឃើញ និងយល់	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	ខ្ញុំ​ឃើញ​ថា ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	ថាគាត់ស្រឡាញ់នាង	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	នាងមានអារម្មណ៍ថាគាត់ស្រឡាញ់នាង	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	សួរថាតើវាធំឬទេ?	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	អំពីសំណួរងាយស្រួលមួយ។	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	និយាយអំពីប្រាក់ថ្មី។	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	ភ្នែកស្អាតណាស់។	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	មើលបងប្រុសធំ	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	បងស្រីតូចម្នាក់ភ្លេចវា។	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	ការចោទប្រកាន់ (គោលបំណង)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	កុំភ្លេចអំពីការបញ្ចប់ការចោទប្រកាន់	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	តើអ្នកឃើញអ្នកណា? តើអ្នកឃើញមួយណា?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	ខ្ញុំឃើញមិត្តម្នាក់	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	មានមិត្តល្អទាំងប្រុសទាំងស្រី	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	ពួកគេកំពុងធ្វើការអំពីផ្ទះចាស់	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	ធ្វើការ, ធ្វើការ, នឹងធ្វើការ	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	ឃើញ ថាខ្ញុំញ៉ាំ	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	បាននិយាយថាគាត់នឹងទៅ	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	អាក្រក់និងអាក្រក់	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	តើ​នាង​បាន​និយាយ​អ្វី?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	តើ​អ្នក​កំពុង​រង់ចាំ​អ្វី?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	បានចូលទៅក្នុងបន្ទប់	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	មាតិកាគឺពិបាកណាស់។	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	បានមកដល់កិច្ចប្រជុំ	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	សូមស្វាគមន៍ចំពោះការប្រជុំ	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	បុរសចំណាស់ម្នាក់បានផ្តល់ដំបូន្មាន	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	បានមកដល់ហើយត្រូវបានស្វាគមន៍	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	ពួកគេស្អប់ប៉ុន្តែសហការ	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	បានទៅសណ្ឋាគារ	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	មានសៀវភៅសិក្សាងាយស្រួល	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	តើម្តាយរបស់អ្នកសុខសប្បាយជាទេ?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	ផ្ទះចាស់របស់អ្នក។	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	តើអ្នកបានអានសៀវភៅណាខ្លះ?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	តើពួកគេល្អទេ?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	ម្សិលមិញបានធ្វើអ្វី?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	នៅក្នុងបន្ទប់តូច	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	និយាយយូរណាស់។	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	នៅមុខសាលា មុនចូលសាលា	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	បាននិយាយនៅមុខសាលា	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	ក្រោយមកបាននិយាយអំពីសៀវភៅ	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	បានទៅសាលារៀនដោយរីករាយ	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	តាមរយៈផ្លូវ	through the street	grupo	alternativoj	prononco
level	iris tra la strato	បានឆ្លងកាត់ផ្លូវ	went through the street	grupo	alternativoj	prononco
level	estis varma tago	គឺជាថ្ងៃដ៏កក់ក្តៅមួយ។	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	ពួកគេបានឃើញហាងកាហ្វេ	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	បានឃើញខូឃីក្រហម	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	បានឃើញខូគីនៅក្នុងនោះ។	saw cookies in it	grupo	alternativoj	prononco
