B.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vi aŭdis pri ~?	Hast du von ~ gehört?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	Hast du von Esperanto gehört?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Das wusste ich nicht ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	aber ich wusste nicht, dass mein Name damit zusammenhängt	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	Tatsächlich	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	Wie ist ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	Wie ist das Verhältnis?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	das ist eine lange Geschichte	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	werde es dir sagen	will tell you	grupo	alternativoj	prononco
level	se vi volas	falls Sie es wollen	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Ich werde es dir später sagen, wenn du willst	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	an diesem Ort (an diesem Ort)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	zu viel Lärm	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	An diesem Ort gibt es zu viel Lärm	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	ja, du hast Recht	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	sollen wir tanzen?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	gute Idee!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	Vielen Dank für einen angenehmen Abend	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	Ich danke dir)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	es war sehr gut	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	Eine Musik gefällt ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	Die Musik hat mir sehr gut gefallen	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	auch für mich	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	Tanzen ist sehr lustig	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	mit dir tanzen	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	Es war sehr lustig, mit dir zu tanzen	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	Hier ist meine Visitenkarte	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	wenn du es willst	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	Hier ist meine Karte, wenn Sie möchten	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	darauf steht auch ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	Darauf steht auch eine Adresse	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	Es gibt eine Adresse zu einer Website	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	eine Adresse zu einer Seite mit Espernato-Kurs	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Danke	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Ich werde dir eine E-Mail senden	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Okay!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	Wir sehen uns wieder und gute Nacht!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	Wir sehen uns!	see you!	grupo	alternativoj	prononco
level	aperas en ~	erscheint in ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	ein Instant Messenger	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ erscheint im Instant Messenger	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	Bist du diese Person?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	diese Person, die mit mir getanzt hatte	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Samstag Nacht	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	Bist du die Person, die Samstagabend mit mir getanzt hat?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Ja ich bin es	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Ich freue mich, dass ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Ich freue mich, dass Sie auf die Seite gekommen sind	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	gefällt es dir? (Gefällt es dir?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	Ja, juhuu	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	es ist sehr schön	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	Scheint interessant	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	es ist sehr schön und scheint interessant zu sein	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	noch nicht ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	ist noch nicht ganz fertig	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	es ist noch nicht ganz fertig	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	aber bald wird es soweit sein	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Ich verstehe (ich verstehe)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	Aber es gibt bereits viele Hilfstools	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	ein Wörterbuch	a dictionary	grupo	alternativoj	prononco
level	superrigardo	ein Überblick	an overview	grupo	alternativoj	prononco
level	ekzerco	eine Exzesse	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	Beispielwörter, Übersicht, Messenger und Übungen	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	ein Überblick über die Grammatik	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	ein Instant Messenger und verschiedene Übungen	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	Es ist ein guter Anfang	it is a good start	grupo	alternativoj	prononco
level	pardonon	Verzeihung, es tut mir leid	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Ich muss mit ~ sprechen	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	mit einer anderen Person sprechen	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Es tut mir leid, ich sollte mit einer anderen Person reden	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	ein Sprachhelfer	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Ich bin ihr Sprachhelfer	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	und jetzt möchte sie über ~ reden	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	über eine Übung sprechen	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	bald komme ich wieder	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Ich werde mich bald wieder bei Ihnen melden	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	nach mehreren Minuten	after several minutes	grupo	alternativoj	prononco
level	finparolis	Ich habe mit dem Reden fertig	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	Jetzt haben wir die Übung fertig besprochen	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	in der Zwischenzeit, für eine Weile	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Ich habe inzwischen etwas über Esperanto gelesen	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	ich bin nicht sicher	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	weiß genug über ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Ich kenne mich mit der Sprache noch nicht ausreichend aus	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	eine kluge Antwort	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Ich werde auf der Website nachsehen	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	und werde versuchen, ein wenig zu lernen	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	Willst du mein Sprachhelfer sein?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	bereitwillig!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	Gern geschehen!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	Kein Dank wert, aber einen Kuss wert	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	sagt das auf Esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	Was? Ich verstehe nicht	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	Sie können in einem Wörterbuch nachsehen	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	Leider	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Ich muss jetzt das Internet verlassen	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Ich werde am Abend wiederkommen	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Ich denke, dass ich bis dahin vor Ort sein werde	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfekt!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	na ja, bis dann!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	bis später!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	Abends auch im Instant Messenger	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Hallo wieder! (Re-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Hallo wieder!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Ich habe fast alle Seiten der Website durchgesehen	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	ziemlich gut! Eindrucksvoll!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Ich habe mehrere Fragen	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Habt ihr Zeit?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	Ja, ich habe abends frei	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	Also, schreiben Sie Ihre Fragen	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Ich werde versuchen zu antworten	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Ich habe gelesen, dass Esperanto eine Kultur hat	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	allerdings verstehe ich das nicht ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	wo ich eine solche Kultur finden kann	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	Du wirst überall finden, wo ~ ist	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	Überall dort, wo es Menschen gibt, die Esperanto sprechen	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	aber niemand benutzt Esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	Rechts!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	aber Leute, die Esperanto sprechen	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	reise oft und treffe andere Esperantisten	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	während dieser Treffen	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	Sie verwenden die Sprache in den unterschiedlichsten Situationen	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	dort finden Sie also ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	Sie werden die Kultur finden	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	finden Sie die Kultur des Esperanto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	Okay, gibt es Musik?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	Musik, Literatur, Theater	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	usw	etc	grupo	alternativoj	prononco
level	same kiel ~	das Gleiche wie ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	das Gleiche wie für andere Sprachen	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	Die Menge ist nicht so groß	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	so groß wie in Landessprachen	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	aber das ist nicht wichtig	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	zumindest nicht für mich	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	wenn du zuhören willst ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	ein Lied auf Esperanto hören	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	Hier ist das Lied „Lisa malt Bilder“	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	hört sich das Lied an	listens to the song	grupo	alternativoj	prononco
level	ne malbone	nicht schlecht	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	und Sie werden viele Bücher auf Esperanto finden	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	schaut in die Bücher	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	genug viele	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	liest du viel auf Esperanto?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ja, manchmal (von Zeit zu Zeit)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	wenn du jemals die Sprache lernst	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Ich werde Ihnen einige gute Bücher empfehlen	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	geht es um ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	Meine andere Frage betrifft meinen Namen	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	Du hast vorhin gesagt, dass ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	hat eine Beziehung zu ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	sagte, dass es einen Bezug zu Esperanto hat	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	oh ja, darüber	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	ein Mann mit dem Namen ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	Einst lebte ein Mann mit dem Namen ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	er war sehr aktiv in der Esperanto-Bewegung	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	als es noch ganz neu war	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	übersetzte das Buch in ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	und übersetzte viele Bücher ins Esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	und das hat ihn berühmt gemacht?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	eines der wichtigsten für Esperanto zu dieser Zeit	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	und er hatte großen Einfluss auf den Sprachstil	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	Nein, sicherlich war er wichtig und hatte Einfluss	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	Er gab die Bewegung jedoch plötzlich auf	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Ich stelle mir das vor ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Ich kann mir vorstellen, dass es für viele ein großer Schock war	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	Warum hat er Esperanto verlassen?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Ich glaube das ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	er war mit den Esperantisten unzufrieden	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	Er sagte etwas Ähnliches wie ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto muss von Esperantisten selbst gelernt werden!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	Was wollte er mit ~ sagen?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	was wollte er damit sagen?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	es ist wahrscheinlich, dass ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	Die Leute sprachen schlecht Esperanto	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	Es ist wahrscheinlich, dass die Leute schlecht gesprochen haben	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	im Jahr 1911 verließ er Esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	aber ich denke, dass ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	ist größer	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	Heute ist das Sprachniveau höher	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	das Sprachniveau der Esperantisten	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	aber ich denke, dass das Niveau heute höher ist	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	Deshalb muss ich die Sprache gut lernen	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	dafür, ein guter Mensch zu sein	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	und Sie sollten einen einfachen Stil verwenden	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	denn das war ihm sehr wichtig	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	das gefällt mir (das gefällt mir)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	auf Esperanto gibt es sogar ein Wort ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	es gibt sogar ein Wort „kabei“	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	die Bewegung aufgeben	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	ein Wort „kabei“, was bedeutet, die Bewegung aufzugeben	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	Das ist interessant!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	Jetzt kenne ich ein Wort auf Esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	werde niemals vergessen	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	und ich werde es wahrscheinlich nie vergessen	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	in einem Café' nach mehreren Wochen	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	es gelang ihm, Esperanto zu lernen	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	und sie benutzen die Sprache	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	einladen, eine Einladung	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	Hier, seht mal, eine Einladung für IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	Was? Ee-yo-was?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	ein junger Mensch, eine Gruppe junger Leute	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK ist ein Internationaler Jugendkongress	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Ich habe vor, es zu versuchen	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	willst du auch gehen?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	Nun ja, „Kongress“ klingt nicht sehr interessant	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	aber es ist (interessant)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	Denken Sie nicht an etwas Langweiliges, träges Kongress	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	es geht nur um ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	Es geht nur darum, junge Leute kennenzulernen	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	ein Treffen mit jungen Menschen aus vielen Ländern	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 bis 400 Leute werden da sein	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	dort werden voraussichtlich 300 bis 400 Leute sein	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	fast jeder	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	und fast jeder wird Esperanto sprechen	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	spricht nicht gut	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, aber ich spreche nicht gut Esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	Es spielt keine Rolle	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	Es ist möglich, an ~ teilzunehmen	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	dort an Esperantokursen teilzunehmen	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	normalerweise	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	Normalerweise gibt es zwei Ebenen	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	Menschen, die die Sprache bereits gelernt hatten	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	eine für Anfänger	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	und das andere für diejenigen, die die Sprache bereits gelernt haben	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	Jes, was?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	Du sagtest: „normalerweise“	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	Oh, IJK findet jedes Jahr statt	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	jedes Mal in einem anderen Land	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	Aus diesem Grund ist jedes IJK anders	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	aber es gibt auch Programme	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	Programme, die oft zurückkehren	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	Es gibt aber auch Programme, die oft zurückkehren	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	Zum Beispiel	for example	grupo	alternativoj	prononco
