A.ar content.tsv
Level	Esperanto	ar	en-us	Grupo	Alternativoj	Pronoco
level	vidis, revidis	(الماضي) رأى، (الماضي) رأى مرة أخرى	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	رأى مرة أخرى، وسوف نرى مرة أخرى	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	الرؤية مرة أخرى، الرؤية مرة أخرى (الهدف)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	نراكم مرة أخرى!	see you again!	grupo	alternativoj	prononco
level	dankon	شكرًا لك	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	شكرا لك ونراكم مرة أخرى!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	إلى ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	لك، لي	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(الحاضر) الشكر، (الماضي) الشكر	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	أنا أقدر لك	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	نعم / لا	yes, no	grupo	alternativoj	prononco
level	jes, dankon	نعم، أعتقد أنك	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	يأكل، سوف يأكل	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	أنا لا آكل	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	لا، أنا لا آكل	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	جميل، جميل	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	جدير بالاهتمام (النهاية)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	جدير بالتقدير، جدير بالشكر	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	ككل، ككل	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	الكل، (الهدف) الكل	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	لا على الإطلاق، فنحن نرحب بك	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	لا تماما	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	أن يغفر، وهو غفور	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	متسامح لي	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	أنا آسف! (اعذرني)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	رجاءا انا متأسف	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	صباح الخير	a good morning	grupo	alternativoj	prononco
level	bonan matenon	صباح الخير	good morning	grupo	alternativoj	prononco
level	bonan nokton	طاب مساؤك	good night	grupo	alternativoj	prononco
level	bonan sonĝon	احلام جميلة	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(أتمنى لك) رحلة سعيدة لك	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	يوم جيد!	good day!	grupo	alternativoj	prononco
level	ĉu ~	هل هو ~ ؟	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	هل أنت بخير؟ (كيف حالك؟)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	نعم انا بخير	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	لا، على الاطلاق	no, not at all	grupo	alternativoj	prononco
level	tre, tro	كثيرا جدا	very, too much	grupo	alternativoj	prononco
level	granda, grande	كبيرة إلى حد كبير	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	كبيرة جدًا، كبيرة جدًا	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	انت تبي بلاء حسنا	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ليس جيدًا جدًا	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	للتعلم، والتعلم	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	ينظر، متفرج	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	يتعلم، طالب (شخص يتعلم)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	هو -ing، الشخص الذي يفعل	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	طالب، شخص تعلم	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	أنا طالب.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ هو صديقي	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	هو هي	he, she	grupo	alternativoj	prononco
level	sidi, sidas	للجلوس، يجلس	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	يجلس، كان يجلس، سوف يجلس	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	إنه يجلس وهي تتعلم	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	غرفة	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	يتعلم في الغرفة	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	طالب ورياضي	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	رياضة ورياضي	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	الرياضي هو رياضي	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	هو طالب	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	إنه طالب ورياضي	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	وهو الآن جالس	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	ويتعلم الآن	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	يجلس ويتعلم	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	الآن في غرفة	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	على الطاولة	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ورقة وأوراق	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	طاولة وطاولات	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	كتاب وكتب	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	الأوراق والكتب	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	إنه على الطاولة.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	يكتب على طاولة الكتابة	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	الكتب هي ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	على الطاولة	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	الكتاب المدرسي والكتب المدرسية	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	على الطاولة هناك ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	الأب والأم	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	الأب والأم	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	والدة صديقي	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	في الغرفة	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	ليس في الغرفة	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	إنهم يعملون الآن	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	والده عامل	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	يعمل في فندق	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	الأم تعلم	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	هي معلمة	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	هل هي أم؟	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	لا، إنها صاحبة فندق	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	لا، أنا لا أعمل	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	ما أسمها؟	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	من يجيب الآن؟	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	لغة أمهم	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	اسمك ~ ؟	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	نحن نجلس ونجيب	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	كرسي عملها	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	اسمها ليس ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	لغتها هي لغتهم	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	ابونا وامنا	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	طالبك، طلابك	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	هل هم طلابك؟	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	هل أنت طالب؟	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	هل أنت في الغرفة؟	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	لست ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	اسبرانتية وأنثى اسبرانتية	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	تم تسجيل الوصول إلى غرفة الفندق	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	لغوية وعاملة	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	صديقته هي ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	الطلاب والرياضيين	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	اسم عائلتي هو ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	من هي؟ من هي؟	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	هل صديقتك	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	هل صديقك ~؟	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	يكتب الآن في الغرفة	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	هو صديق والدك ~؟	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	يعمل في فندق	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	ماذا يوجد على الطاولة؟	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	على الطاولة في غرفتنا	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	هو كتاب الاسبرانتو ~؟	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	على طاولتك	is on your table	grupo	alternativoj	prononco
level	havas amikinon	لديه صديق	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	اسمها ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	شابة وجميلة	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	شابة وجميلة	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	أصدقاء شابة وجميلة	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	هم أصدقاء من الذكور والإناث	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	منزل معلمتها	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	جاء إلى المنزل	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	منزل ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	تفضل بالدخول	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	مرحبا ماذا تفعل؟	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	ماذا تفعل؟ ماذا تفعل؟	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ولكن الآن أريد ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	أريد أن أتكلم	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	مع ثلاثة أصدقاء من الذكور والإناث	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	تحدثت معك	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	يريد التحدث معك	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	هل لديك أصدقاء من الذكور والإناث	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	لديه كتاب	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	لديه كتاب جيد	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	نعم لدي	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	لقد احبوه	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	قرأت كتابا	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	يحب قراءة الكتب	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	كتاب جيد فقط	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	العديد من الكتب الجيدة	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	قراءة الكتب الجيدة فقط	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	يحب قراءة الكتب الجيدة	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	هل تريد أن تقرأ؟	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	الشاب يشرب القهوة	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	يريد أن يشرب الماء	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	الأب والأم. آباء	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	عناء وأخت، إخوة	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	والديك وإخوتك	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	هو في منزلك	is in your home	grupo	alternativoj	prononco
level	jen la kafo	هنا القهوة	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	لم يشرب بعد	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	لا يزال دافئا	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	طهيها أمس	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	لقد طهيت الآن	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	شكرًا لك. هكذا قال.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	يمكن أن تشرب وتأكل	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	شربت القهوة الباردة	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	لا تزال القهوة دافئة	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	يشرب القهوة الباردة أيضا	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	ويمكن أيضًا شرب القهوة الباردة	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	ينظر إلى عينها	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	اجمل عيون	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	العيون الجميلة	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	بدت العيون الجميلة	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	عيونها الجميلة	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	يرى ويفهم	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	أرى أن ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	أنه يحبها	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	تشعر أنه يحبها	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	يسأل ما إذا كان ذلك كبيرا	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	عن سؤال سهل	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	وقال عن المال الجديد	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	عيون جميلة جدا	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	بدا الأخ الأكبر	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	نسيت أخت صغيرة ذلك	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	حالة نصب (هدف)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	لا تنسى نهاية النصب	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	من ترى؟ أي واحد ترى؟	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	أرى صديقا	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	لديه أصدقاء جيدين من الذكور والإناث	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	إنهم يعملون في المنزل القديم	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	يعمل، يعمل، سوف يعمل	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	يرى أنني آكل	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	وقال أنه سوف يذهب	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	قبيحة وسيئة	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	ماذا قالت؟	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	ماذا تنتظر؟	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	ذهب إلى الغرفة	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	المحتوى صعب للغاية	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	وصل إلى الاجتماع	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	مرحبا بكم في الاجتماع	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	رجل عجوز أعطى نصيحة	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	وصل وكان موضع ترحيب	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	يكرهون ولكن يتعاونون	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	ذهب إلى الفندق	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	لديه كتب مدرسية سهلة	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	كيف كانت والدتك؟	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	منزلك القديم	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	ما الكتب التي قرأتها؟	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	هل كانوا جيدين؟	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	فعلت ماذا بالأمس؟	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	في الغرفة الصغيرة	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	تحدث لفترة طويلة جدا	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	أمام المدرسة، قبل المدرسة	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	تحدث قبل المدرسة	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	تحدث لاحقا عن الكتاب	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	ذهبت بكل سرور إلى المدرسة	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	من خلال الشارع	through the street	grupo	alternativoj	prononco
level	iris tra la strato	ذهب في الشارع	went through the street	grupo	alternativoj	prononco
level	estis varma tago	كان يوما دافئا	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	لقد رأوا مقهى&quot;	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	رأى ملفات تعريف الارتباط الحمراء	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	رأيت ملفات تعريف الارتباط فيه	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	رأيت مقهى وفيه ملفات تعريف الارتباط	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	ادخل وتناول الطعام!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	دعونا ندخل ونأكل	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	لديه ما يكفي من المال	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	هل لديك ما يكفي من المال؟	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	هل تفهم؟	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	بالطبع!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	هذا ليس كافيا	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	مائة دولار تكفي	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	دولار، دولار، دولار (هدف الجمع)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	لديه مائة دولار	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	بالطبع لدي	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	أوه! انت غنى!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	ماء، نادلة	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	النادل يجلب القائمة	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	جلبت لنا ذلك، جلبت ذلك	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	أحضر النادل الكثير من ملفات تعريف الارتباط	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	أكلوا بعض (قليلا)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	بعد الأكل (وجبة)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	مرة اخرى	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	جاء النادل مرة أخرى	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	في مكان ما	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	قد بحثت في مكان ما	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	بحثت في مكان آخر	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	وكان وجهه فرحا	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	كانت حزينة	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	في النهاية وأخيرا في النهاية	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	صوتك القوي	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	بصوت ضعيف	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	ليس لديه المال	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	ماذا حدث هناك؟	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	وقع حادث في وقت لاحق	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	هل تعرف متى حدث ذلك؟	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	يعرف عن هذه المسألة	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	لا يزال هناك شيء واحد	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	أنت أو هي، أي شخص	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	مثل المغني، كموقع	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	غنى مثل مغني محترف	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	المكان الذي عاشت فيه	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	كيف تعرف عن السيارة؟	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	حسنًا، انظر إلى السيارة السريعة	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	عصير بدون سكر	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	لديه سيارة سريعة	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	بقوة كبيرة	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	لقد فتح بقوة	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	قاد (سافر) بسرعة كبيرة	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	أكلت بالملعقة	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	نحن نشك بقوة	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	رسالة حقيقية منه	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	رسالة حب بخمس صور	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	عاد الناس الذين عادوا	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	كما عادت ستة رسائل	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	أراد أن يرى الصورة	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	عاد من المدرسة	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	متى ستعود الأخت؟	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	أراد أن يقرأ مرة أخرى	wanted to read again	grupo	alternativoj	prononco
