C.sv content.tsv
Level	Esperanto	sv	en-us	Grupo	Alternativoj	Pronoco
level	kio	Vad	what	grupo	alternativoj	prononco
level	manĝi	att äta	to eat	grupo	alternativoj	prononco
level	nenio	ingenting, ingen, inte någonting	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	ung	young	grupo	alternativoj	prononco
level	ĉio	allt	everything	grupo	alternativoj	prononco
level	riĉa	rik, rik, välbärgad	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	den där saken, den där	that thing, that	grupo	alternativoj	prononco
level	konstrui	att bygga, att konstruera	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) chef, ledande, huvud	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) utan ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposition) med ~ (tillsammans)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) utom ~, förutom ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	en vän	a friend	grupo	alternativoj	prononco
level	kies	vems, vilkens, av vilken	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposition) av ~ (en metod), med ~ (ett verktyg)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	mot ~	against ~	grupo	alternativoj	prononco
level	el ~	av ~, från ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	i dag	today	grupo	alternativoj	prononco
level	hieraŭ	i går	yesterday	grupo	alternativoj	prononco
level	nur	bara, bara, exklusivt	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	att hjälpa, hjälpa, hjälpa	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) långt, borta	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	varken eller	nor, neither	grupo	alternativoj	prononco
level	malamo	ett hat	a hate	grupo	alternativoj	prononco
level	preskaŭ	nästan, nästan	almost, nearly	grupo	alternativoj	prononco
level	tra ~	genom ~	through ~	grupo	alternativoj	prononco
level	super	över, ovanför	over, above	grupo	alternativoj	prononco
level	trans ~	över ~, tvärs över ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	tja, då, nu	well, well then, now	grupo	alternativoj	prononco
level	pri ~	om ~	about ~	grupo	alternativoj	prononco
level	por ~	för ~, för ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	i morgon	tomorrow	grupo	alternativoj	prononco
level	nun	nu, för närvarande	now, at present	grupo	alternativoj	prononco
level	laŭ ~	enligt ~, längs ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	var och en, alla, alla, alla	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	vem, vilken, vilken	who, which, which one	grupo	alternativoj	prononco
level	tiu	den personen, den där ~, den där borta	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	någon, någon, någon	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ingen, ingen, varken	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	till ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffix) ~able	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	att hoppas	to hope	grupo	alternativoj	prononco
level	unu	ett	one	grupo	alternativoj	prononco
level	du	två	two	grupo	alternativoj	prononco
level	tri	tre	three	grupo	alternativoj	prononco
level	kvar	fyra	four	grupo	alternativoj	prononco
level	kvin	fem	five	grupo	alternativoj	prononco
level	ses	sex	six	grupo	alternativoj	prononco
level	sep	sju	seven	grupo	alternativoj	prononco
level	ok	åtta	eight	grupo	alternativoj	prononco
level	naŭ	nio	nine	grupo	alternativoj	prononco
level	dek	tio	ten	grupo	alternativoj	prononco
level	cent	hundra	a hundred	grupo	alternativoj	prononco
level	mil	tusen	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffix) för multiplicitet, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(suffix) ~th, bråk	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	av kärlek	of love	grupo	alternativoj	prononco
level	anstataŭ ~	istället för ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffix) bli	(suffix)  become	grupo	alternativoj	prononco
level	voli	att vilja, att vilja, att vara villig att	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffix) orsaka att bli	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	att följa	to follow	grupo	alternativoj	prononco
level	ĝoje	gärna	gladly	grupo	alternativoj	prononco
level	legi	att läsa	to read	grupo	alternativoj	prononco
level	silenta	tyst	silent	grupo	alternativoj	prononco
level	la	de	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(suffix) verktyg, metod	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	att dricka (icke alkohol)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffix) liten, liten	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(suffix) stor, stor	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) mellan ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffix) relaterat beteende	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffix) set, grupp	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffix) medlem i en grupp	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	att tacka	to thank	grupo	alternativoj	prononco
level	-ind-	(suffix) värdig, värdig	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	ännu mer, längre, och så vidare, mer	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	hur, liksom, på vilket sätt, som t.ex	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	sådan, på det sättet, alltså	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) i ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) bredvid ~, bredvid ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) under, under ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) på ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) obestämd prep., vid, i, av, på	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) fortfarande, ännu	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) runt ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	men	but	grupo	alternativoj	prononco
level	ie	någonstans	somewhere	grupo	alternativoj	prononco
level	kie	var, på vilken plats	where, at what place	grupo	alternativoj	prononco
level	silente	tyst	silently	grupo	alternativoj	prononco
level	ĉie	överallt, allt om	everywhere, all about	grupo	alternativoj	prononco
level	nenie	ingenstans, i inget fall, inte någonstans	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	där, där borta, därborta	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	denna ~	this ~	grupo	alternativoj	prononco
level	kanti	att sjunga	to sing	grupo	alternativoj	prononco
level	morti	att dö, att gå bort	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) under ~, medan ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	en nation	a nation	grupo	alternativoj	prononco
level	koni	att känna (en person), att vara bekant med	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	att veta (ett faktum, kunskap), att veta hur	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	alltid, någonsin	always, ever	grupo	alternativoj	prononco
level	iam	någon gång, en gång	at some time, once	grupo	alternativoj	prononco
level	tiam	sedan	then	grupo	alternativoj	prononco
level	-em-	(suffix) tendens	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	någon form av	some kind of	grupo	alternativoj	prononco
level	sukcesi	att lyckas	to succeed	grupo	alternativoj	prononco
level	ĉia	av alla slag, alla slags	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	nej, inte någon form av, inte någon	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(suffix) avkomma	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	ett rum, en kammare	a room, a chamber	grupo	alternativoj	prononco
level	patro	en fader	a father	grupo	alternativoj	prononco
level	porko	en gris, svin	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -svärjare, genom äktenskap	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	verkligen	indeed	grupo	alternativoj	prononco
level	-ism-	(suffix) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	något	something	grupo	alternativoj	prononco
level	veturi	att köra (ett fordon)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	en kuk, en höna, kyckling, fågel	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	fri	free	grupo	alternativoj	prononco
level	lasta	sista	last	grupo	alternativoj	prononco
level	ĝoji	att glädjas, att vara glad, att njuta	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	att ta, att ta tag i	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	en ko, en oxe, nötkreatur	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	annat, annat, annat	another, other, else	grupo	alternativoj	prononco
level	varma	varmt, varmt	hot, warm	grupo	alternativoj	prononco
level	loĝi	att bo, att leva, att bo, att bebo	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	att tro	to believe	grupo	alternativoj	prononco
level	glacio	en trevlig	an ice	grupo	alternativoj	prononco
level	loko	en plats, en plats	a place, a location	grupo	alternativoj	prononco
level	ovo	ett ägg	an egg	grupo	alternativoj	prononco
level	multa	mycket, mycket, många	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	en besittning	a possession	grupo	alternativoj	prononco
level	ŝafo	ett får	a sheep	grupo	alternativoj	prononco
level	sono	ett ljud	a sound	grupo	alternativoj	prononco
level	fiŝo	en fisk	a fish	grupo	alternativoj	prononco
level	bela	vacker, stilig, vacker	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	svara, svara, svara	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	ett tillfälle, en tid	an occasion, a time	grupo	alternativoj	prononco
level	demandi	att fråga	to ask	grupo	alternativoj	prononco
level	forta	stark	strong	grupo	alternativoj	prononco
level	preter ~	bortom ~, förbi ~, rakt förbi	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	en tystnad	a silence	grupo	alternativoj	prononco
level	infano	ett barn, ett spädbarn	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	lycklig, lycklig, lycklig	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	att fånga, att fånga, att gripa	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	att önska, att önska	to desire, to wish	grupo	alternativoj	prononco
level	longa	lång	long	grupo	alternativoj	prononco
level	mondo	en värld	a world	grupo	alternativoj	prononco
level	okazi	att inträffa, att hända, att komma till stånd	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	fält, ett fält	field, a field	grupo	alternativoj	prononco
level	filo	en son	a son	grupo	alternativoj	prononco
level	montri	visa, antyda, påpeka	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	ett hjärta	a heart	grupo	alternativoj	prononco
level	knabo	en pojke	a boy	grupo	alternativoj	prononco
level	meti	att lägga, att placera, att lägga ner	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	en man	a husband	grupo	alternativoj	prononco
level	pako	paket	package	grupo	alternativoj	prononco
level	rapida	snabbt, snabbt, snabbt	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	att verka, att framstå som	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	en hälsning, salut, hälsning	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	att skriva	to write	grupo	alternativoj	prononco
level	peti	att be, att be om, att begära, att tigga	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	att flyga	to fly	grupo	alternativoj	prononco
level	kapo	ett huvud, en cape	a head, a cape	grupo	alternativoj	prononco
level	krii	att skrika, att gråta, att skrika, att skrika	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	röd	red	grupo	alternativoj	prononco
level	sinjoro	en herre, en gentleman	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	att hålla, att hänga på	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	tid, en tid	time, a time	grupo	alternativoj	prononco
level	tuta	totalt, alla, hela, kompletta, övergripande	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	en man	a man	grupo	alternativoj	prononco
level	vojo	ett sätt, en stig, en väg	a way, a path, a route	grupo	alternativoj	prononco
level	movi	att flytta	to move	grupo	alternativoj	prononco
level	militi	att bryta ett krig, att slåss, att föra krig	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	några få, flera	a few, several	grupo	alternativoj	prononco
level	dekstra	höger, höger (sida, riktning), högerhand	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	att stänga, stänga	to close, to shut	grupo	alternativoj	prononco
level	okupi	att ockupera, att ta	to occupy, to take	grupo	alternativoj	prononco
level	levi	att häva, att lyfta, att höja	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	att slå, att slå, att slå, att smaka, att piska	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	att behöva, att vilja, att kräva	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	att förstå, att inse	to understand, to realise	grupo	alternativoj	prononco
level	iri	att gå	to go	grupo	alternativoj	prononco
level	veni	att komma	to come	grupo	alternativoj	prononco
level	porti	att bära, att bära	to carry, to wear	grupo	alternativoj	prononco
level	kovri	att täcka	to cover	grupo	alternativoj	prononco
level	hela	ljus, klar och lätt	bright, clear and light	grupo	alternativoj	prononco
level	sana	friska	healthy	grupo	alternativoj	prononco
level	aperi	att dyka upp, att komma fram	to appear, to emerge	grupo	alternativoj	prononco
level	libro	en bok	a book	grupo	alternativoj	prononco
level	atendi	att vänta, att förvänta sig, att vänta på	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	en hand	a hand	grupo	alternativoj	prononco
level	pentri	att måla	to paint	grupo	alternativoj	prononco
level	instrui	att undervisa, att instruera	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	att sitta	to sit	grupo	alternativoj	prononco
level	stari	att stå	to stand	grupo	alternativoj	prononco
level	afero	en sak, ett föremål, ett fall, ett bekymmer, ett ämne	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	full, komplett	full, complete	grupo	alternativoj	prononco
level	klara	klar	clear	grupo	alternativoj	prononco
level	komenci	att börja, att börja	to begin, to commence	grupo	alternativoj	prononco
level	dormi	att sova, att sova	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	en del, en andel	a part, a share	grupo	alternativoj	prononco
level	mono	pengar	money	grupo	alternativoj	prononco
level	ricevi	att motta	to receive	grupo	alternativoj	prononco
level	ami	att älska	to love	grupo	alternativoj	prononco
level	devi	att behöva, måste, borde, borde	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	kunna, kan	be able to, can	grupo	alternativoj	prononco
level	labori	att arbeta, att arbeta	to work, to labor	grupo	alternativoj	prononco
level	dio	en gud	a god	grupo	alternativoj	prononco
level	urbo	en stad, en stad	a city, a town	grupo	alternativoj	prononco
level	ofta	ofta, ofta	freqent, often	grupo	alternativoj	prononco
level	soni	att låta, att göra ljud	to sound, to make sound	grupo	alternativoj	prononco
level	tero	jord, land, jord	earth, land, soil	grupo	alternativoj	prononco
level	vivi	att leva, att vara vid liv	to live, to be alive	grupo	alternativoj	prononco
level	resti	att stanna, att förbli	to stay, to remain	grupo	alternativoj	prononco
level	ridi	att skratta	to laugh	grupo	alternativoj	prononco
level	homo	en människa, en man	a human, a man	grupo	alternativoj	prononco
level	akvo	vatten	water	grupo	alternativoj	prononco
level	vorto	ett ord	a word	grupo	alternativoj	prononco
level	certa	visst, visst	certain, sure	grupo	alternativoj	prononco
level	lando	ett land, ett land	a land, a country	grupo	alternativoj	prononco
level	sama	samma	same	grupo	alternativoj	prononco
level	ĵeti	att kasta	to throw	grupo	alternativoj	prononco
level	stelo	en stjärna	a star	grupo	alternativoj	prononco
level	domo	ett hus, ett hem	a house, a home	grupo	alternativoj	prononco
level	nomo	ett namn, en appellation	a name, an appellation	grupo	alternativoj	prononco
level	vidi	att se	to see	grupo	alternativoj	prononco
level	mola	mjuk	soft	grupo	alternativoj	prononco
level	horo	en timme, klockan, tid	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	en form, en form	a form, a shape	grupo	alternativoj	prononco
level	tago	en dag	a day	grupo	alternativoj	prononco
level	fumo	en rök	a smoke	grupo	alternativoj	prononco
level	ĉevalo	en häst	a horse	grupo	alternativoj	prononco
level	jaro	ett år	a year	grupo	alternativoj	prononco
level	vojaĝi	att resa	to travel	grupo	alternativoj	prononco
level	celo	ett mål, ett mål, ett syfte, ett mål	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	att föda, att bära, att generera	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	att sakna, att sakna, att sakna	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	en fågel	a bird	grupo	alternativoj	prononco
level	halti	att stanna, att stanna, att stanna	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	en bror	a brother	grupo	alternativoj	prononco
level	monto	ett berg	a mountain	grupo	alternativoj	prononco
level	pensi	att tänka	to think	grupo	alternativoj	prononco
level	permesi	tillåta, tillåta	to permit, to allow	grupo	alternativoj	prononco
level	kosti	att kosta	to cost	grupo	alternativoj	prononco
level	lito	en säng, en soffa	a bed, a couch	grupo	alternativoj	prononco
level	perdi	att förlora	to lose	grupo	alternativoj	prononco
level	miri	att överraska, att förundras, att bli förvånad	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	en person	a person	grupo	alternativoj	prononco
level	diversa	mångsidig, varierad, olika	diverse, varied, various	grupo	alternativoj	prononco
level	provi	att försöka, att försöka	to try, to attempt	grupo	alternativoj	prononco
level	pagi	att betala	to pay	grupo	alternativoj	prononco
level	prezenti	presentera, introducera	to present, to introduce	grupo	alternativoj	prononco
level	aparta	isär, särskilt, separat	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	rätt, en rättighet	right, a right	grupo	alternativoj	prononco
level	mateno	morgon, en morgon	morning, a morning	grupo	alternativoj	prononco
level	agrabla	trevlig, behaglig, trevlig	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	kväll, en kväll	evening, an evening	grupo	alternativoj	prononco
level	muro	en vägg	a wall	grupo	alternativoj	prononco
level	suno	sol, en sol	sun, a sun	grupo	alternativoj	prononco
level	rigardi	att titta, att titta på	to look, to look at	grupo	alternativoj	prononco
level	senti	att känna, att känna	to feel, to sense	grupo	alternativoj	prononco
level	blanka	vit, tom	white, blank	grupo	alternativoj	prononco
level	simpla	enkel	simple	grupo	alternativoj	prononco
level	rimarki	att märka	to notice	grupo	alternativoj	prononco
level	lingvo	ett språk, tunga	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	att förändra, att vända	to change, to turn	grupo	alternativoj	prononco
level	renkonti	möta, möta, stöta på	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	att använda	to use	grupo	alternativoj	prononco
level	timi	att frukta, att vara rädd för	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	riktigt, sant	real, true	grupo	alternativoj	prononco
level	sola	ensam, endast, ensam, ensam	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	fred, en fred	peace, a peace	grupo	alternativoj	prononco
level	rakonti	berätta, berätta, berätta	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	färg, en färg	color, a color	grupo	alternativoj	prononco
level	pura	ren, ren	clean, pure	grupo	alternativoj	prononco
level	aŭdi	att höra	to hear	grupo	alternativoj	prononco
