C.pt content.tsv
Level	Esperanto	pt	en-us	Grupo	Alternativoj	Pronoco
level	manĝi	comer	to eat	grupo	alternativoj	prononco
level	nenio	nada, nada, nada	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	jovem	young	grupo	alternativoj	prononco
level	ĉio	tudo	everything	grupo	alternativoj	prononco
level	riĉa	rico, abastado, abastado	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	aquela coisa, aquilo	that thing, that	grupo	alternativoj	prononco
level	konstrui	construir, construir	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefixo) chefe, líder, principal	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposição) sem ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposição) com ~ (juntos)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposição) exceto ~, além de ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	um amigo	a friend	grupo	alternativoj	prononco
level	kies	de quem, qual é, de qual	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposição) por ~ (um método), com ~ (uma ferramenta)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	contra ~	against ~	grupo	alternativoj	prononco
level	el ~	de ~, de ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	hoje	today	grupo	alternativoj	prononco
level	hieraŭ	ontem	yesterday	grupo	alternativoj	prononco
level	nur	apenas, apenas, exclusivamente	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	ajudar, ajudar, ajudar	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(advérbio) longe, longe	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	nem tampouco	nor, neither	grupo	alternativoj	prononco
level	malamo	um ódio	a hate	grupo	alternativoj	prononco
level	preskaŭ	Quase perto	almost, nearly	grupo	alternativoj	prononco
level	tra ~	através de ~	through ~	grupo	alternativoj	prononco
level	super	acima, acima	over, above	grupo	alternativoj	prononco
level	trans ~	acima de ~, através de ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	bem, bem, então, agora	well, well then, now	grupo	alternativoj	prononco
level	pri ~	sobre ~	about ~	grupo	alternativoj	prononco
level	por ~	para ~, para ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	amanhã	tomorrow	grupo	alternativoj	prononco
level	nun	agora, atualmente	now, at present	grupo	alternativoj	prononco
level	laŭ ~	de acordo com ~, junto ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	cada um, cada, todo mundo, todos os	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	quem, qual, qual	who, which, which one	grupo	alternativoj	prononco
level	tiu	aquela pessoa, aquela ~, aquela, ali	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	alguém, alguém, algum	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ninguém, ninguém, nem	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	para ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(sufixo) ~capaz	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	ter esperança	to hope	grupo	alternativoj	prononco
level	unu	um	one	grupo	alternativoj	prononco
level	du	dois	two	grupo	alternativoj	prononco
level	tri	três	three	grupo	alternativoj	prononco
level	kvar	quatro	four	grupo	alternativoj	prononco
level	kvin	cinco	five	grupo	alternativoj	prononco
level	ses	seis	six	grupo	alternativoj	prononco
level	sep	Sete	seven	grupo	alternativoj	prononco
level	ok	oito	eight	grupo	alternativoj	prononco
level	naŭ	nove	nine	grupo	alternativoj	prononco
level	dek	dez	ten	grupo	alternativoj	prononco
level	cent	cem	a hundred	grupo	alternativoj	prononco
level	mil	mil	a thousand	grupo	alternativoj	prononco
level	-obl-	(sufixo) para multiplicidade, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(sufixo) ~º, fração	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	do amor	of love	grupo	alternativoj	prononco
level	anstataŭ ~	em vez de ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(sufixo) tornar-se	(suffix)  become	grupo	alternativoj	prononco
level	voli	querer, querer, estar disposto a	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(sufixo) fazer com que se torne	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	seguir	to follow	grupo	alternativoj	prononco
level	ĝoje	de bom grado	gladly	grupo	alternativoj	prononco
level	legi	ler	to read	grupo	alternativoj	prononco
level	silenta	silencioso	silent	grupo	alternativoj	prononco
level	la	o	the	grupo	alternativoj	prononco
level	ha!	ah!	ha!	grupo	alternativoj	prononco
level	-il-	(sufixo) ferramenta, método	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	beber (sem álcool)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(sufixo) pequeno, pequeno	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(sufixo) grande, grande	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposição) entre ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(sufixo) comportamento relacionado	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(sufixo) conjunto, grupo	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(sufixo) membro de um grupo	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	agradecer	to thank	grupo	alternativoj	prononco
level	-ind-	(sufixo) que vale a pena, digno	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	ainda mais, mais longe, e assim por diante, mais	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	como, como, de que maneira, como	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	tal, dessa maneira, assim	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposição) em ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposição) ao lado de ~, ao lado de ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposição) abaixo, abaixo de ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposição) em ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposição) preparação indefinida., em, em, por, em	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(advérbio) ainda, ainda	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposição) em torno de ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	mas	but	grupo	alternativoj	prononco
level	ie	em algum lugar	somewhere	grupo	alternativoj	prononco
level	kie	onde, em que lugar	where, at what place	grupo	alternativoj	prononco
level	silente	silenciosamente	silently	grupo	alternativoj	prononco
level	ĉie	em todos os lugares, tudo sobre	everywhere, all about	grupo	alternativoj	prononco
level	nenie	em nenhum lugar, em nenhum caso, em nenhum lugar	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	ali, ali, ali	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	isso ~	this ~	grupo	alternativoj	prononco
level	kanti	cantar	to sing	grupo	alternativoj	prononco
level	morti	morrer, falecer	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposição) durante ~, enquanto ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	uma nação	a nation	grupo	alternativoj	prononco
level	koni	conhecer (uma pessoa), estar familiarizado com	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	saber (um fato, conhecimento), saber como	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	sempre sempre	always, ever	grupo	alternativoj	prononco
level	iam	em algum momento, uma vez	at some time, once	grupo	alternativoj	prononco
level	tiam	então	then	grupo	alternativoj	prononco
level	-em-	(sufixo) tendência	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	um tipo de	some kind of	grupo	alternativoj	prononco
level	sukcesi	ter sucesso	to succeed	grupo	alternativoj	prononco
level	ĉia	de todo tipo, todo tipo de	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	não, nenhum tipo de, nenhum	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(sufixo) descendência	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	um quarto, uma câmara	a room, a chamber	grupo	alternativoj	prononco
level	patro	um pai	a father	grupo	alternativoj	prononco
level	porko	um porco, porco	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefixo) -cunhado, por casamento	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	de fato	indeed	grupo	alternativoj	prononco
level	-ism-	(sufixo) -ismo	(suffix)  -ism	grupo	alternativoj	prononco
level	io	algo	something	grupo	alternativoj	prononco
level	veturi	dirigir (um veículo)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	um galo, uma galinha, galinha, ave	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	livre	free	grupo	alternativoj	prononco
level	lasta	durar	last	grupo	alternativoj	prononco
level	ĝoji	alegrar-se, alegrar-se, gozar	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	tomar, agarrar	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	uma vaca, um boi, bovino	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	outro, outro, mais	another, other, else	grupo	alternativoj	prononco
level	varma	quente morno	hot, warm	grupo	alternativoj	prononco
level	loĝi	residir, viver, habitar, habitar	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	acreditar	to believe	grupo	alternativoj	prononco
level	glacio	um bom	an ice	grupo	alternativoj	prononco
level	loko	um lugar, um local	a place, a location	grupo	alternativoj	prononco
level	ovo	um ovo	an egg	grupo	alternativoj	prononco
level	multa	muito, muito, muitos	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	uma posse	a possession	grupo	alternativoj	prononco
level	ŝafo	uma ovelha	a sheep	grupo	alternativoj	prononco
level	sono	um som	a sound	grupo	alternativoj	prononco
level	fiŝo	um peixe	a fish	grupo	alternativoj	prononco
level	bela	lindo, lindo, lindo	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	responder, responder, responder	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	uma ocasião, um tempo	an occasion, a time	grupo	alternativoj	prononco
level	demandi	perguntar	to ask	grupo	alternativoj	prononco
level	forta	forte	strong	grupo	alternativoj	prononco
level	preter ~	além ~, passado ~, direto passado	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	um silêncio	a silence	grupo	alternativoj	prononco
level	infano	uma criança, um bebê	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	feliz, sortudo, afortunado	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	pegar, capturar, agarrar	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	desejar, desejar	to desire, to wish	grupo	alternativoj	prononco
level	longa	longo	long	grupo	alternativoj	prononco
level	mondo	um mundo	a world	grupo	alternativoj	prononco
level	okazi	ocorrer, acontecer, acontecer	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	campo, um campo	field, a field	grupo	alternativoj	prononco
level	filo	um filho	a son	grupo	alternativoj	prononco
level	montri	mostrar, indicar, apontar	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	um coração	a heart	grupo	alternativoj	prononco
level	knabo	um menino	a boy	grupo	alternativoj	prononco
level	meti	colocar, colocar, deitar	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	um marido	a husband	grupo	alternativoj	prononco
level	pako	pacote	package	grupo	alternativoj	prononco
level	rapida	rápido, rápido, rápido	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	parecer, parecer ser	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	uma saudação, saudação, saudação	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	escrever	to write	grupo	alternativoj	prononco
level	peti	pedir, pedir, solicitar, implorar	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	voar	to fly	grupo	alternativoj	prononco
level	kapo	uma cabeça, uma capa	a head, a cape	grupo	alternativoj	prononco
level	krii	gritar, chorar, gritar, gritar	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	vermelho	red	grupo	alternativoj	prononco
level	sinjoro	um senhor, um cavalheiro	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	segurar, segurar	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	tempo, um tempo	time, a time	grupo	alternativoj	prononco
level	tuta	total, tudo, todo, completo, geral	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	um homem	a man	grupo	alternativoj	prononco
level	vojo	um caminho, um caminho, uma rota	a way, a path, a route	grupo	alternativoj	prononco
level	movi	mover	to move	grupo	alternativoj	prononco
level	militi	quebrar uma guerra, lutar, travar uma guerra	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	alguns, vários	a few, several	grupo	alternativoj	prononco
level	dekstra	direita, direita (lado, direção), mão direita	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	fechar, fechar	to close, to shut	grupo	alternativoj	prononco
level	okupi	ocupar, tomar	to occupy, to take	grupo	alternativoj	prononco
level	levi	alavancar, levantar, levantar	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	bater, bater, golpear, golpear, chicotear	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	precisar, querer, exigir	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	entender, perceber	to understand, to realise	grupo	alternativoj	prononco
level	iri	ir	to go	grupo	alternativoj	prononco
level	veni	vir	to come	grupo	alternativoj	prononco
level	porti	carregar, vestir	to carry, to wear	grupo	alternativoj	prononco
level	kovri	cobrir	to cover	grupo	alternativoj	prononco
level	hela	brilhante, claro e leve	bright, clear and light	grupo	alternativoj	prononco
level	sana	saudável	healthy	grupo	alternativoj	prononco
level	aperi	aparecer, emergir	to appear, to emerge	grupo	alternativoj	prononco
level	libro	um livro	a book	grupo	alternativoj	prononco
level	atendi	esperar, esperar, esperar por	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	uma mão	a hand	grupo	alternativoj	prononco
level	pentri	pintar	to paint	grupo	alternativoj	prononco
level	instrui	ensinar, instruir	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	sentar	to sit	grupo	alternativoj	prononco
level	stari	ficar de pé	to stand	grupo	alternativoj	prononco
level	afero	uma coisa, um objeto, um caso, uma preocupação, uma matéria	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	completo, completo	full, complete	grupo	alternativoj	prononco
level	klara	claro	clear	grupo	alternativoj	prononco
level	komenci	começar, começar	to begin, to commence	grupo	alternativoj	prononco
level	dormi	dormir, estar dormindo	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	uma parte, uma parte	a part, a share	grupo	alternativoj	prononco
level	mono	dinheiro	money	grupo	alternativoj	prononco
level	ricevi	receber	to receive	grupo	alternativoj	prononco
level	ami	amar	to love	grupo	alternativoj	prononco
level	devi	ter que, deve, deveria, deveria	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	ser capaz, pode	be able to, can	grupo	alternativoj	prononco
level	labori	trabalhar, trabalhar	to work, to labor	grupo	alternativoj	prononco
level	dio	um Deus	a god	grupo	alternativoj	prononco
level	urbo	uma cidade, uma vila	a city, a town	grupo	alternativoj	prononco
level	ofta	frequente, muitas vezes	freqent, often	grupo	alternativoj	prononco
level	soni	soar, fazer som	to sound, to make sound	grupo	alternativoj	prononco
level	tero	terra, terra, solo	earth, land, soil	grupo	alternativoj	prononco
level	vivi	viver, estar vivo	to live, to be alive	grupo	alternativoj	prononco
level	resti	ficar, permanecer	to stay, to remain	grupo	alternativoj	prononco
level	ridi	rir	to laugh	grupo	alternativoj	prononco
level	homo	um humano, um homem	a human, a man	grupo	alternativoj	prononco
level	akvo	água	water	grupo	alternativoj	prononco
level	vorto	uma palavra	a word	grupo	alternativoj	prononco
level	certa	certo, certo	certain, sure	grupo	alternativoj	prononco
level	lando	uma terra, um país	a land, a country	grupo	alternativoj	prononco
level	sama	mesmo	same	grupo	alternativoj	prononco
level	ĵeti	arremessar	to throw	grupo	alternativoj	prononco
level	stelo	uma estrela	a star	grupo	alternativoj	prononco
level	domo	uma casa, um lar	a house, a home	grupo	alternativoj	prononco
level	nomo	um nome, uma denominação	a name, an appellation	grupo	alternativoj	prononco
level	vidi	ver	to see	grupo	alternativoj	prononco
level	mola	macio	soft	grupo	alternativoj	prononco
level	horo	uma hora, horas, hora	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	uma forma, uma forma	a form, a shape	grupo	alternativoj	prononco
level	tago	um dia	a day	grupo	alternativoj	prononco
level	fumo	uma fumaça	a smoke	grupo	alternativoj	prononco
level	ĉevalo	um cavalo	a horse	grupo	alternativoj	prononco
level	jaro	um ano	a year	grupo	alternativoj	prononco
level	vojaĝi	viajar	to travel	grupo	alternativoj	prononco
level	celo	uma meta, uma meta, um propósito, um objetivo	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	dar à luz, gerar, gerar	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	sentir falta, estar faltando, estar faltando	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	um pássaro	a bird	grupo	alternativoj	prononco
level	halti	parar, parar, parar	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	um irmão	a brother	grupo	alternativoj	prononco
level	monto	uma montanha	a mountain	grupo	alternativoj	prononco
level	pensi	pensar	to think	grupo	alternativoj	prononco
level	permesi	permitir, permitir	to permit, to allow	grupo	alternativoj	prononco
level	kosti	custar	to cost	grupo	alternativoj	prononco
level	lito	uma cama, um sofá	a bed, a couch	grupo	alternativoj	prononco
level	perdi	perder	to lose	grupo	alternativoj	prononco
level	miri	surpreender, surpreender-se, surpreender-se	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	uma pessoa	a person	grupo	alternativoj	prononco
level	diversa	diverso, variado, vários	diverse, varied, various	grupo	alternativoj	prononco
level	provi	tentar, tentar	to try, to attempt	grupo	alternativoj	prononco
level	pagi	pagar	to pay	grupo	alternativoj	prononco
level	prezenti	apresentar, apresentar	to present, to introduce	grupo	alternativoj	prononco
level	aparta	à parte, particular, separado	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	certo, um direito	right, a right	grupo	alternativoj	prononco
level	mateno	manhã, uma manhã	morning, a morning	grupo	alternativoj	prononco
level	agrabla	agradável, agradável, agradável	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	tarde, uma noite	evening, an evening	grupo	alternativoj	prononco
level	muro	uma parede	a wall	grupo	alternativoj	prononco
level	suno	sol, um sol	sun, a sun	grupo	alternativoj	prononco
level	rigardi	olhar, olhar	to look, to look at	grupo	alternativoj	prononco
level	senti	sentir, sentir	to feel, to sense	grupo	alternativoj	prononco
level	blanka	branco, em branco	white, blank	grupo	alternativoj	prononco
level	simpla	simples	simple	grupo	alternativoj	prononco
level	rimarki	perceber	to notice	grupo	alternativoj	prononco
level	lingvo	uma língua, língua	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	mudar, virar	to change, to turn	grupo	alternativoj	prononco
level	renkonti	conhecer, encontrar, deparar-se	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	usar	to use	grupo	alternativoj	prononco
level	timi	temer, ter medo de	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	real, verdadeiro	real, true	grupo	alternativoj	prononco
level	sola	sozinho, só, único, solitário	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	paz, uma paz	peace, a peace	grupo	alternativoj	prononco
level	rakonti	narrar, contar, relacionar	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	cor, uma cor	color, a color	grupo	alternativoj	prononco
level	pura	limpo, puro	clean, pure	grupo	alternativoj	prononco
