A.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	jes, ne	si No	yes, no	grupo	alternativoj	prononco
level	jes, dankon	sì, grazie	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	mangia, mangerà	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Non mangio	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	no, non mangio	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	bello, magnificamente	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	utile (fine)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	apprezzabile, vale la pena ringraziare	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	intero, nel suo insieme	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	tutto, (oggettivo) tutto	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	per niente, non c'è che dire	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	totalmente no	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	perdonare, un perdono	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	un perdono per me	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Mi dispiace! (Scusami)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Mi dispiace, per favore	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	un buongiorno	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Buongiorno	good morning	grupo	alternativoj	prononco
level	bonan nokton	Buona notte	good night	grupo	alternativoj	prononco
level	bonan sonĝon	sogni d'oro	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(fare) buon viaggio, a te	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	Buona giornata!	good day!	grupo	alternativoj	prononco
level	ĉu ~	è ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	stai facendo bene? (Come stai?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	sì, sto bene	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	no, per niente	no, not at all	grupo	alternativoj	prononco
level	tre, tro	molto, troppo	very, too much	grupo	alternativoj	prononco
level	granda, grande	grande, in gran parte	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	molto grande, troppo grande	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	stai andando molto bene	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	non molto bene	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	imparare, un apprendimento	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	sta guardando, uno spettatore	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	sta imparando, uno studente (una persona che apprende)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, una persona che sta facendo	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	uno studente, una persona che ha imparato	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Sono uno studente.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ è mio amico	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	lui lei	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sedersi, sedersi	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	è seduto, era seduto, sarà seduto	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	lui è seduto e lei sta imparando	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	una stanza	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	impara in una stanza	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	uno studente e uno sportivo	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport e sportivo	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	uno sportivo è sportivo	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	egli è uno studente	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	è uno studente e uno sportivo	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	ora è seduto	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	e ora sta imparando	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	è seduto e sta imparando	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	ora in una stanza	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	è su un tavolo	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	un foglio e dei documenti	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	un tavolo e tavoli	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	un libro e libri	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	le carte e i libri	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	è su un tavolo.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	sta scrivendo su uno scrittoio	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	i libri sono ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	sul tavolo	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	un libro di testo e i libri di testo	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	sul tavolo c'è ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	un padre e una madre	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	il padre e la madre	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	la madre del mio amico	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	nella stanza	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	non è nella stanza	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ora stanno lavorando	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	suo padre è un lavoratore	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	lavora in un albergo	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	la madre insegna	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	lei è un'insegnante	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	è una madre?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	no, è un'albergatrice	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	no, non lavoro	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	qual'è il suo nome?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	chi risponde adesso?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	la lingua della loro madre	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	il tuo nome è ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	siamo seduti e rispondiamo	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	la sua sedia da lavoro	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	il suo nome non è ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	la sua lingua è la loro lingua	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	nostro padre e nostra madre	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	il tuo studente, i tuoi studenti	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	sono tuoi studenti?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	sei uno studente?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	sei nella stanza?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Non sono ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	un esperantista e una donna esperantista	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	fatto il check-in per la camera d'albergo	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	una linguista e una lavoratrice	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	la sua ragazza è ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studenti e sportivi	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	il mio nome familiare è ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	chi è lei? quale è lei?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	è la tua ragazza	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	il tuo amico è ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	sta scrivendo adesso nella stanza	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	è l'amico di tuo padre ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	lavora in un albergo	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	cosa c'è sul tavolo?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	sul tavolo nella nostra stanza	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	è il libro di testo in esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	è sulla tua tavola	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ha un amico	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	il suo nome è ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	giovane e bella	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	è giovane e bello	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	amici giovani e belli	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	sono amici maschi e femmine	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	una casa del suo insegnante	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	è venuto a casa	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	la casa di ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	prego entra	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Ciao, cosa stai facendo?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	cosa fai? Cosa fai?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ma ora voglio ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	voglio parlare	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	con tre amici maschi e femmine	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	parlato con te	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	vuole parlare con te	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	hai amici maschi e femmine?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	ha un libro	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	ha un buon libro	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	sì	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	a loro piace	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	lei legge un libro	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	piace leggere libri	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	solo un buon libro	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	tanti buoni libri	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	leggere solo buoni libri	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	gli piace leggere buoni libri	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	vuoi leggere?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	il giovane bevve il caffè	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	vuole bere acqua	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	un padre e una madre; genitori	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	un fastidio e una sorella, fratelli	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	i tuoi genitori e i tuoi fratelli	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	è a casa tua	is in your home	grupo	alternativoj	prononco
level	jen la kafo	ecco il caffè	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	non ho ancora bevuto	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	è ancora caldo	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	cucinato ieri	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Adesso ho cucinato	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Grazie. così ha detto.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	può bere e mangiare	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	bevuto caffè freddo	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	caffè ancora caldo	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	beve anche caffè freddo	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	può anche bere caffè freddo	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	la guarda negli occhi	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	l'occhio più bello	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	gli occhi belli	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	guardò gli occhi belli	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	i suoi bellissimi occhi	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	vede e capisce	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Lo vedo ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	che lui la ama	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	sente che lui la ama	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	chiede se era grande	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	su una domanda facile	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	ha detto di un nuovo denaro	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	Bellissimi occhi	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	sembrava il fratello maggiore	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	una sorellina l'ha dimenticato	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	un accusativo (oggettivo)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	non dimenticare la desinenza accusativa	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	chi stai vedendo? quale vedi?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Vedo un amico	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	ha buoni amici maschi e femmine	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	stanno lavorando alla vecchia casa	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	funziona, ha funzionato, funzionerà	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	vede, che mangio	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	ha detto che se ne andrà	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	brutto e cattivo	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	cosa ha detto?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	Che cosa stai aspettando?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	entrò nella stanza	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	un contenuto è molto difficile	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	arrivato alla riunione	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	benvenuto all'incontro	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	un vecchio diede una mancia	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	arrivò e fu accolto	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	odiano ma collaborano	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	è andato in albergo	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	ha libri di testo facili	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	come stava tua madre?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	la tua vecchia casa	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	quali libri hai letto?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	erano buoni?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	cosa hai fatto ieri?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	nella piccola stanza	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	ha parlato molto a lungo	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	davanti alla scuola, davanti alla scuola	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	ha parlato davanti alla scuola	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	poi parlò del libro	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	sono andato volentieri a scuola	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	attraverso la strada	through the street	grupo	alternativoj	prononco
level	iris tra la strato	attraversava la strada	went through the street	grupo	alternativoj	prononco
level	estis varma tago	era una giornata calda	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	hanno visto un bar'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	ho visto i biscotti rossi	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	ci ho visto dei biscotti	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	ho visto un bar e dentro dei biscotti	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	entra e mangia!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	entriamo e mangiamo	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	ha soldi sufficienti	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	hai soldi sufficienti?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	capisci?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	Ovviamente!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	questo non è abbastanza	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	bastano cento dollari	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	un dollaro, dollari, dollari (obiettivo plurale)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	ha cento dollari	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	certo che l'ho fatto	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	OH! sei ricco!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	un'acqua, una cameriera	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	un cameriere porta un menu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	ce lo ha portato, ce lo ha portato	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	un cameriere ha portato molti biscotti	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	ne hanno mangiato un po' (un po')	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	dopo aver mangiato (pasto)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nuovo, ancora	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	il cameriere venne di nuovo	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	in qualche posto	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	aveva cercato da qualche parte	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	cercato in altro posto	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	il suo volto era gioioso	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	lei era triste	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	alla fine e finalmente finalmente	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	la tua voce forte	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	con voce debole	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	non ha soldi	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	cosa è successo lì?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	più tardi accadde un incidente	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	sai quando è successo?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	sa della faccenda	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	resta ancora una cosa	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	tu o lei, qualsiasi persona	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	come un cantante, come un firmatario	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	cantava come un cantante professionista	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	un luogo dove viveva	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	come fai a sapere della macchina?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	beh, guarda l'auto veloce	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	un succo senza zucchero	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	ha un veicolo veloce	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	troppo forte	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	ha aperto troppo forte	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	ha guidato (viaggiato) troppo velocemente	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	mangiato con un cucchiaio	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	dubitiamo fortemente	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	una sua vera lettera	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	una lettera d'amore con cinque foto	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	ritornati, le persone che sono tornate	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	tornarono anche sei lettere	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	volevo vedere la foto	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	tornato da scuola	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	quando tornerà la sorella?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	volevo leggere di nuovo	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	fatto (fatto), diventato	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	divenne rapidamente rosso	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	in una stanza, in una stanza	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	si alzò e si sedette	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	stava lì davanti alla foto	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	Ce l'ho	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	che cosa hai in mano?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	davanti o dietro?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	prima o dopo?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	lì dietro la porta	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	altri, altre persone	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	lettere di altri	letters from others	grupo	alternativoj	prononco
level	falis el la mano	caduto dalle mani	fell out of the hand	grupo	alternativoj	prononco
