C.mr content.tsv
Level	Esperanto	mr	en-us	Grupo	Alternativoj	Pronoco
level	se	जर, प्रदान केले	if, provided that	grupo	alternativoj	prononco
level	eĉ	अगदी	even	grupo	alternativoj	prononco
level	amo	एक प्रेम	a love	grupo	alternativoj	prononco
level	jam	आधीच, इतक्या लवकर, आतापासून	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	येथे! लो! बघा	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	समाप्त करणे, समाप्त करणे, समाप्त करणे	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	म्हणून, मग, म्हणून	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ कधीही, (काय) कधीही, अजिबात, -जेव्हाही	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	सोपे, सोपे	easy, facile	grupo	alternativoj	prononco
level	re-	(उपसर्ग) पुन्हा-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	मोठा, मोठा, मोठा	big, great, large	grupo	alternativoj	prononco
level	-ist-	(प्रत्यय) व्यावसायिक	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) मुळे ~, मुळे ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(प्रत्यय) नेता, बॉस, प्रमुख, प्रमुख	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	काय	what	grupo	alternativoj	prononco
level	manĝi	खाणे	to eat	grupo	alternativoj	prononco
level	nenio	काहीही नाही, काहीही नाही, काहीही नाही	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	तरुण	young	grupo	alternativoj	prononco
level	ĉio	सर्व काही	everything	grupo	alternativoj	prononco
level	riĉa	श्रीमंत, श्रीमंत, संपन्न	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	ती गोष्ट, ती	that thing, that	grupo	alternativoj	prononco
level	konstrui	बांधणे, बांधणे	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(उपसर्ग) प्रमुख, अग्रगण्य, मुख्य	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) शिवाय ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(पूर्वसर्ग) ~ (एकत्र) सह	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) ~ शिवाय, ~ व्यतिरिक्त	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	मित्र	a friend	grupo	alternativoj	prononco
level	kies	कोणाचे, कोणते, कोणते	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	~ (एक पद्धत), ~ (एक साधन) द्वारे (प्रीपोजिशन)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	विरुद्ध ~	against ~	grupo	alternativoj	prononco
level	el ~	~ मधून, ~ पासून	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	आज	today	grupo	alternativoj	prononco
level	hieraŭ	काल	yesterday	grupo	alternativoj	prononco
level	nur	फक्त, फक्त, फक्त	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	मदत करणे, मदत करणे, मदत करणे	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(क्रियाविशेषण) दूर, दूर	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	किंवा, नाही	nor, neither	grupo	alternativoj	prononco
level	malamo	एक द्वेष	a hate	grupo	alternativoj	prononco
level	preskaŭ	जवळजवळ, जवळजवळ	almost, nearly	grupo	alternativoj	prononco
level	tra ~	द्वारे ~	through ~	grupo	alternativoj	prononco
level	super	वर, वर	over, above	grupo	alternativoj	prononco
level	trans ~	~ वर, ओलांडून ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	बरं, मग, आता	well, well then, now	grupo	alternativoj	prononco
level	pri ~	सुमारे ~	about ~	grupo	alternativoj	prononco
level	por ~	~ साठी, क्रमाने ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	उद्या	tomorrow	grupo	alternativoj	prononco
level	nun	आता, सध्या	now, at present	grupo	alternativoj	prononco
level	laŭ ~	~, सोबत~ नुसार	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	प्रत्येक, प्रत्येक, प्रत्येकजण, सर्व	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	कोण, कोणते, कोणते	who, which, which one	grupo	alternativoj	prononco
level	tiu	ती व्यक्ती, ती ~, ती एक, तिकडे	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	कोणीतरी, कोणीतरी, कोणीतरी	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	कोणीही नाही, कोणीही नाही, नाही	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	ते ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(प्रत्यय) ~ सक्षम	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	आशा करणे	to hope	grupo	alternativoj	prononco
level	unu	एक	one	grupo	alternativoj	prononco
level	du	दोन	two	grupo	alternativoj	prononco
level	tri	तीन	three	grupo	alternativoj	prononco
level	kvar	चार	four	grupo	alternativoj	prononco
level	kvin	पाच	five	grupo	alternativoj	prononco
level	ses	सहा	six	grupo	alternativoj	prononco
level	sep	सात	seven	grupo	alternativoj	prononco
level	ok	आठ	eight	grupo	alternativoj	prononco
level	naŭ	नऊ	nine	grupo	alternativoj	prononco
level	dek	दहा	ten	grupo	alternativoj	prononco
level	cent	शंभर	a hundred	grupo	alternativoj	prononco
level	mil	एक हजार	a thousand	grupo	alternativoj	prononco
level	-obl-	(प्रत्यय) गुणाकार, -ओबल, -फोल्ड	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(प्रत्यय) ~वा, अपूर्णांक	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	प्रेमाची	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~ ऐवजी	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(प्रत्यय) बनणे	(suffix)  become	grupo	alternativoj	prononco
level	voli	इच्छा असणे, इच्छा असणे, इच्छुक असणे	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(प्रत्यय) होण्याचे कारण	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	अनुसरण	to follow	grupo	alternativoj	prononco
level	ĝoje	आनंदाने	gladly	grupo	alternativoj	prononco
level	legi	वाचणे	to read	grupo	alternativoj	prononco
level	silenta	शांत	silent	grupo	alternativoj	prononco
level	la	द	the	grupo	alternativoj	prononco
level	ha!	हा!	ha!	grupo	alternativoj	prononco
level	-il-	(प्रत्यय) साधन, पद्धत	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	पिणे (अल्कोहोल)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(प्रत्यय) लहान, थोडे	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(प्रत्यय) मोठा, मोठा	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(प्रीपोझिशन) ~ दरम्यान	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(प्रत्यय) संबंधित वर्तन	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(प्रत्यय) संच, गट	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(प्रत्यय) गटाचा सदस्य	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	आभार मानणे	to thank	grupo	alternativoj	prononco
level	-ind-	(प्रत्यय) योग्य, योग्य	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	आणखी, पुढे, आणि असेच, अधिक	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	कसे, जसे, कोणत्या मार्गाने, जसे	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	अशा प्रकारे, अशा प्रकारे, अशा प्रकारे	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) मध्ये ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) ~ च्या पुढे, beside~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(प्रीपोझिशन) खाली, खाली ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) ~ वर	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(प्रीपोझिशन) अनिश्चित तयारी., येथे, मध्ये, द्वारे, चालू	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(क्रियाविशेषण) अजूनही, अजून	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) सुमारे ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	परंतु	but	grupo	alternativoj	prononco
level	ie	कुठेतरी	somewhere	grupo	alternativoj	prononco
level	kie	कुठे, कोणत्या ठिकाणी	where, at what place	grupo	alternativoj	prononco
level	silente	शांतपणे	silently	grupo	alternativoj	prononco
level	ĉie	सर्वत्र, सर्व काही	everywhere, all about	grupo	alternativoj	prononco
level	nenie	कुठेही, कोणत्याही परिस्थितीत, कुठेही नाही	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	तिकडे, तिकडे, तिकडे	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	हे ~	this ~	grupo	alternativoj	prononco
level	kanti	गाणे	to sing	grupo	alternativoj	prononco
level	morti	मरणे, मरणे	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) दरम्यान ~, तर ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	एक राष्ट्र	a nation	grupo	alternativoj	prononco
level	koni	जाणून घेणे (एखादी व्यक्ती), त्याच्याशी परिचित असणे	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	जाणून घेणे (एक तथ्य, ज्ञान), कसे हे जाणून घेणे	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	नेहमी, कधीही	always, ever	grupo	alternativoj	prononco
level	iam	कधीतरी, एकदा	at some time, once	grupo	alternativoj	prononco
level	tiam	नंतर	then	grupo	alternativoj	prononco
level	-em-	(प्रत्यय) प्रवृत्ती	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	काही प्रकारचे	some kind of	grupo	alternativoj	prononco
level	sukcesi	यशस्वी होणे	to succeed	grupo	alternativoj	prononco
level	ĉia	सर्व प्रकारचे, प्रत्येक प्रकारचे	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	नाही, कोणत्याही प्रकारचे नाही, कोणतेही नाही	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(प्रत्यय) संतती	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	एक खोली, एक चेंबर	a room, a chamber	grupo	alternativoj	prononco
level	patro	एक वडील	a father	grupo	alternativoj	prononco
level	porko	डुक्कर, डुक्कर	a pig, swine	grupo	alternativoj	prononco
level	bo-	(उपसर्ग) -सासरे, लग्नाने	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	खरंच	indeed	grupo	alternativoj	prononco
level	-ism-	(प्रत्यय) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	काहीतरी	something	grupo	alternativoj	prononco
level	veturi	चालवणे (वाहन)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	एक कोंबडा, कोंबडी, कोंबडी, पक्षी	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	फुकट	free	grupo	alternativoj	prononco
level	lasta	शेवटचे	last	grupo	alternativoj	prononco
level	ĝoji	आनंद करणे, आनंद करणे, आनंद घेणे	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	घेणे, पकडणे	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	एक गाय, बैल, बोवाइन प्राणी	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	दुसरा, इतर, इतर	another, other, else	grupo	alternativoj	prononco
level	varma	गरम, उबदार	hot, warm	grupo	alternativoj	prononco
level	loĝi	राहण्यासाठी, राहण्यासाठी, राहण्यासाठी, राहण्यासाठी	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	विश्वास ठेवणे	to believe	grupo	alternativoj	prononco
level	glacio	एक बर्फ	an ice	grupo	alternativoj	prononco
level	loko	एक जागा, एक स्थान	a place, a location	grupo	alternativoj	prononco
level	ovo	एक अंडं	an egg	grupo	alternativoj	prononco
level	multa	बरेच, बरेच, बरेच	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	एक ताबा	a possession	grupo	alternativoj	prononco
level	ŝafo	एक मेंढी	a sheep	grupo	alternativoj	prononco
level	sono	ध्वनी	a sound	grupo	alternativoj	prononco
level	fiŝo	एक मासा	a fish	grupo	alternativoj	prononco
level	bela	सुंदर, देखणा, सुंदर	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	उत्तर देणे, प्रतिसाद देणे, उत्तर देणे	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	एक प्रसंग, एक वेळ	an occasion, a time	grupo	alternativoj	prononco
level	demandi	विचारू	to ask	grupo	alternativoj	prononco
level	forta	मजबूत	strong	grupo	alternativoj	prononco
level	preter ~	पलीकडे ~, भूतकाळ ~, सरळ भूतकाळ	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	एक शांतता	a silence	grupo	alternativoj	prononco
level	infano	एक मूल, एक अर्भक	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	आनंदी, भाग्यवान, भाग्यवान	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	पकडणे, पकडणे, पकडणे	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	इच्छा करणे, इच्छा करणे	to desire, to wish	grupo	alternativoj	prononco
level	longa	लांब	long	grupo	alternativoj	prononco
level	mondo	एक जग	a world	grupo	alternativoj	prononco
level	okazi	घडणे, घडणे, घडणे	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	फील्ड, फील्ड	field, a field	grupo	alternativoj	prononco
level	filo	एक मुलगा	a son	grupo	alternativoj	prononco
level	montri	दाखवणे, दाखवणे, दाखवणे	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	हृदय	a heart	grupo	alternativoj	prononco
level	knabo	एक मुलगा	a boy	grupo	alternativoj	prononco
level	meti	ठेवणे, ठेवणे, पडणे	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	एक नवरा	a husband	grupo	alternativoj	prononco
level	pako	पॅकेज	package	grupo	alternativoj	prononco
level	rapida	जलद, जलद, जलद	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	दिसणे, दिसणे	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	अभिवादन, सलाम, अभिवादन	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	लिहायला	to write	grupo	alternativoj	prononco
level	peti	मागणे, मागणे, विनंती करणे, भीक मागणे	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	उडणे	to fly	grupo	alternativoj	prononco
level	kapo	एक डोके, एक केप	a head, a cape	grupo	alternativoj	prononco
level	krii	ओरडणे, ओरडणे, ओरडणे, ओरडणे	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	लाल	red	grupo	alternativoj	prononco
level	sinjoro	एक मिस्टर, एक सज्जन	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	धरून ठेवणे, टांगणे	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	वेळ, वेळ	time, a time	grupo	alternativoj	prononco
level	tuta	एकूण, सर्व, संपूर्ण, संपूर्ण, संपूर्ण	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	एक माणूस	a man	grupo	alternativoj	prononco
level	vojo	मार्ग, मार्ग, मार्ग	a way, a path, a route	grupo	alternativoj	prononco
level	movi	हलविण्यासाठी	to move	grupo	alternativoj	prononco
level	militi	युद्ध तोडणे, लढणे, युद्ध करणे	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	काही, अनेक	a few, several	grupo	alternativoj	prononco
level	dekstra	उजवा, उजवा (बाजू, दिशा), उजवा हात	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	बंद करणे, बंद करणे	to close, to shut	grupo	alternativoj	prononco
level	okupi	ताब्यात घेणे, घेणे	to occupy, to take	grupo	alternativoj	prononco
level	levi	लीव्हर करणे, उचलणे, वाढवणे	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	मारणे, मारणे, मारणे, मारणे, फटके मारणे	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	गरज असणे, हवे असणे, आवश्यक असणे	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	समजून घेणे, समजणे	to understand, to realise	grupo	alternativoj	prononco
level	iri	जाण्यासाठी	to go	grupo	alternativoj	prononco
level	veni	येणे	to come	grupo	alternativoj	prononco
level	porti	वाहून नेणे, घालणे	to carry, to wear	grupo	alternativoj	prononco
level	kovri	झाकणे	to cover	grupo	alternativoj	prononco
level	hela	तेजस्वी, स्पष्ट आणि प्रकाश	bright, clear and light	grupo	alternativoj	prononco
level	sana	निरोगी	healthy	grupo	alternativoj	prononco
level	aperi	दिसणे, दिसणे	to appear, to emerge	grupo	alternativoj	prononco
level	libro	एक पुस्तक	a book	grupo	alternativoj	prononco
level	atendi	प्रतीक्षा करणे, अपेक्षा करणे, प्रतीक्षा करणे	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	एक हात	a hand	grupo	alternativoj	prononco
level	pentri	रंगवणे	to paint	grupo	alternativoj	prononco
level	instrui	शिकवणे, शिकवणे	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	बसणे	to sit	grupo	alternativoj	prononco
level	stari	उभे राहणे	to stand	grupo	alternativoj	prononco
level	afero	एक गोष्ट, एक वस्तू, एक केस, एक चिंता, एक विषय	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	पूर्ण, पूर्ण	full, complete	grupo	alternativoj	prononco
level	klara	स्पष्ट	clear	grupo	alternativoj	prononco
level	komenci	सुरू करणे, सुरू करणे	to begin, to commence	grupo	alternativoj	prononco
level	dormi	झोपणे, झोपणे	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	एक भाग, एक वाटा	a part, a share	grupo	alternativoj	prononco
level	mono	पैसे	money	grupo	alternativoj	prononco
level	ricevi	प्राप्त करण्यासाठी	to receive	grupo	alternativoj	prononco
level	ami	प्रेम करा	to love	grupo	alternativoj	prononco
level	devi	असणे आवश्यक आहे, आवश्यक आहे, पाहिजे, पाहिजे	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	सक्षम असणे, करू शकतो	be able to, can	grupo	alternativoj	prononco
level	labori	काम करणे, श्रम करणे	to work, to labor	grupo	alternativoj	prononco
level	dio	एक देव	a god	grupo	alternativoj	prononco
level	urbo	एक शहर, एक गाव	a city, a town	grupo	alternativoj	prononco
level	ofta	वारंवार, वारंवार	freqent, often	grupo	alternativoj	prononco
level	soni	आवाज करणे, आवाज करणे	to sound, to make sound	grupo	alternativoj	prononco
level	tero	पृथ्वी, जमीन, माती	earth, land, soil	grupo	alternativoj	prononco
level	vivi	जगणे, जिवंत असणे	to live, to be alive	grupo	alternativoj	prononco
level	resti	राहणे, राहणे	to stay, to remain	grupo	alternativoj	prononco
level	ridi	हंसणे	to laugh	grupo	alternativoj	prononco
level	homo	एक माणूस, एक माणूस	a human, a man	grupo	alternativoj	prononco
level	akvo	पाणी	water	grupo	alternativoj	prononco
level	vorto	शब्द	a word	grupo	alternativoj	prononco
level	certa	निश्चित, निश्चित	certain, sure	grupo	alternativoj	prononco
level	lando	एक जमीन, एक देश	a land, a country	grupo	alternativoj	prononco
level	sama	त्याच	same	grupo	alternativoj	prononco
level	ĵeti	फेकणे	to throw	grupo	alternativoj	prononco
level	stelo	एक तारा	a star	grupo	alternativoj	prononco
level	domo	एक घर, एक घर	a house, a home	grupo	alternativoj	prononco
level	nomo	एक नाव, एक नाव	a name, an appellation	grupo	alternativoj	prononco
level	vidi	पाहण्यासाठी	to see	grupo	alternativoj	prononco
level	mola	मऊ	soft	grupo	alternativoj	prononco
level	horo	एक तास, वाजले, वेळ	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	एक रूप, एक आकार	a form, a shape	grupo	alternativoj	prononco
level	tago	एक दिवस	a day	grupo	alternativoj	prononco
