B.zh-tw content.tsv
Level	Esperanto	zh-tw	en-us	Grupo	Alternativoj	Pronoco
level	fakte	實際上	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	怎麼樣~？	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	關係如何？	how is the relation?	grupo	alternativoj	prononco
level	ho!	哦！	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	這是一個很長的故事	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	會告訴你	will tell you	grupo	alternativoj	prononco
level	se vi volas	如果你想	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	如果你願意的話我稍後會告訴你	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	在這個地方（在這個地方）	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	太吵了	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	這個地方太吵了	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	你是對的	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	我們跳舞吧？	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	好主意！	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	謝謝你度過了一個愉快的夜晚	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	謝謝你）	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	非常好	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	有音樂就賞心悅目~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	音樂很令我高興	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	也對我來說	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	跳舞很有趣	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	與你共舞	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	和你一起跳舞很有趣	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	這是我的名片	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	如果你想要的話	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	這是我的名片，如果你想要的話	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	上面還有~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	上面還有一個地址	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	有一個網站地址	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	世界語課程網站的網址	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	謝謝	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	我會給你一封電子郵件	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	好的！	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	再次見到你，晚安！	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	再見！	see you!	grupo	alternativoj	prononco
level	aperas en ~	出現在~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	即時通訊工具	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ 出現在即時通訊工具中	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	你是那個人嗎？	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	那個跟我跳舞的人	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	週六晚上	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	你就是那個週六晚上跟我跳舞的人嗎？	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	沒錯，就是我	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	我很高興~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	我很高興您來到該網站	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	你滿意嗎？ （你喜歡它？）	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	是的，是的	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	它非常漂亮	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	看起來很有趣	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	它很漂亮而且看起來很有趣	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	還沒有~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	還沒完全準備好	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	還沒完全準備好	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	但很快就會	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	我明白了（我明白了）	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	但已經有很多幫助工具了	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	一本字典	a dictionary	grupo	alternativoj	prononco
level	superrigardo	概述	an overview	grupo	alternativoj	prononco
level	ekzerco	一項練習	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	範例單字、概述、資訊和練習	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	語法概述	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	即時通訊工具和各種練習	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	這是一個好的開始	it is a good start	grupo	alternativoj	prononco
level	pardonon	對不起，請原諒我	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	我一定要跟你說話~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	與另一個人交談	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	抱歉，我應該和其他人談談	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	語言助手	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	我是她的語言幫手	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	現在她想談~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	談論一次練習	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	很快就會回來	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	我很快就會回到你身邊	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	幾分鐘後	after several minutes	grupo	alternativoj	prononco
level	finparolis	說完	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	現在我們談完了練習	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	同時，一段時間	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	我同時讀到了有關世界語的內容	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	我不確定	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	夠了解的了~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	我對語言還不夠了解	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	一個聰明的答案	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	我去網站看看	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	並會嘗試學習一點	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	你想成為我的語言幫手嗎？	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	心甘情願！	willingly!	grupo	alternativoj	prononco
level	nedankinde!	不客氣！	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	不值得感謝，但值得一個吻	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	用世界語說	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	什麼？我不明白	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	你可以查字典	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	很遺憾	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	我現在必須斷網	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	我晚上回來	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	我想那時我會到達現場	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	完美的！	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	好吧，到時候見！	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	回頭見！	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	晚上，也在即時通訊工具上	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	再一次問好！ （關於-）	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	再一次問好！	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	我瀏覽了該網站的幾乎所有頁面	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	很好！驚人的！	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	我有幾個問題	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	你有時間嗎？	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	是的，我晚上有空	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	所以，寫下你的問題	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	我會嘗試回答	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	我讀到世界語有一種文化	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	然而我不懂~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	我可以在哪裡找到這樣的文化	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	你會發現到處都是~在哪裡	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	任何有人說世界語的地方	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	但沒有人使用世界語	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	正確的！	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	但會說世界語的人	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	經常旅行並結識其他世界語學者	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	在這些會議期間	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	他們在大多數不同的情況下使用該語言	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	所以你會發現~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	你會發現文化	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	會發現世界語文化	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	好吧，音樂存在嗎？	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	音樂、文學、戲劇	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	ETC	etc	grupo	alternativoj	prononco
level	same kiel ~	一樣~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	與其他語言相同	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	數量不是很大	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	和民族語言一樣大	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	但這並不重要	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	至少不適合我	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	如果你想聽的話~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	聽一首世界語歌曲	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	這是歌曲“麗莎畫畫”	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	聽歌	listens to the song	grupo	alternativoj	prononco
level	ne malbone	不錯	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	你會發現很多世界語書籍	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	看書	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	足夠多	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	你讀的世界語多嗎？	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	是的，有時（不時）	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	如果你學過這門語言	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	我會給你推薦一些好書	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	大約是~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	我的另一個問題是關於我的名字	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	你之前就說過了~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	有關係~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	說它與世界語有關係	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	哦，是的，關於那個	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	一個有名字的男人~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	曾經住過一個叫這個名字的人~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	他在世界語運動中非常活躍	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	當它是全新的時候	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	把書翻譯成~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	並將許多書籍翻譯成世界語	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	這讓他出名了？	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	當時世界語最重要的之一	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	他對語言風格有很大的影響	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	不，他當然很重要且有影響力	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	然而他突然放棄了運動	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	我想像的是~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	我想這對很多人來說是一個很大的震驚	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	他為什麼離開世界語？	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	我相信~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	他對世界語主義者不滿意	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	他說了類似的話~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	世界語必須由世界語學者自己學習！	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	他說~是什麼意思？	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	他這話是什麼意思？	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	很可能是~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	人們世界語說得不好	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	很可能人們會說壞話	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	1911年，他離開了世界語	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	但我認為~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	更高	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	今天的語言程度更高了	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	世界語人士的語言水平	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	但我認為今天的水平更高	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	所以我必須學好語言	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	為了做個好人	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	你應該使用簡單的風格	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	因為這對他來說非常重要	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	這讓我很高興（我喜歡）	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	世界語甚至還有一個詞~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	甚至還有一個字“kabei”	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	放棄運動	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	一個「kabei」字，就是放棄運動的意思	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	那很有意思！	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	現在我知道世界語中的一個單字	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	永遠不會忘記	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	我可能永遠不會忘記它	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	幾週後在咖啡館裡	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	他設法學會了世界語	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	他們正在使用這種語言	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	邀請，邀請	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	瞧，這是一份IJK 邀請函！	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	什麼？誒喲什麼？	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	一個年輕人，一群年輕人	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK是國際青年大會	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	我正打算去做	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	你也想去嗎？	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	好吧，「國會」聽起來不太有趣	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	但這是（有趣的）	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	不要想一些無聊呆滯的事情	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	只是關於~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	這只是為了認識年輕人	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	與來自多個國家的年輕人的會面	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	屆時將有300至400人	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	那裡可能有30萬到400人	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	幾乎每個人	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	幾乎每個人都會說世界語	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	不太會說話	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	好的，但我世界語說得不好	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	沒關係	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	可以參加哦~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	在那裡參加世界語課程	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	通常	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	通常有兩個級別	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	已經學過該語言的人	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	適合初學者的一個	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	另一個適合已經學過該語言的人	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	天哪，什麼？	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	你說“通常”	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	哦，IJK每年都會發生	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	每次在其他國家	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	因此，每個IJK 都是不同的	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	但也有節目	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	經常返回的程序	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	但也有經常返回的程序	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	例如	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	例如，幾乎總是可以進行體育運動和打牌	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	和朋友聊一整晚	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	圍著火唱歌跳舞	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	參加音樂會等	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	嗯，我也可以在家做	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	對，但是	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	但IJK期間最重要的是~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	來自許多不同的國家	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	是參與者來自不同的國家	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	因為不同人的混合	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	這是我非常喜歡的良好氛圍	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	好吧，聽起來很有興趣	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	我會考慮	I will think about	grupo	alternativoj	prononco
level	certe	一定	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	然而，有一個問題是~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	那麼多錢	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	我現在沒有那麼多錢	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	問題是我沒有那麼多錢	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	明白，不過花不了多少錢	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	我相信不會很貴	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	課程費用表	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	也就是說，如果您查看份額/費用表	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	IJK邀請份額/費用表	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	你發現了~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	總共只要50 歐元	it's only 50 euros in total	grupo	alternativoj	prononco
