B.ru content.tsv
Level	Esperanto	ru	en-us	Grupo	Alternativoj	Pronoco
level	ha, IJK okazas ĉiu-jare	ох, IJK бывает каждый год	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	каждый раз в другой стране	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	по этой причине каждый IJK индивидуален	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	но есть и программы	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	программы, которые часто возвращаются	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	но есть также программы, которые часто возвращаются	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	например	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	например, почти всегда можно заняться спортом и картами	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	говорить с друзьями всю ночь	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	петь у костра и танцевать	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	участвовать в концертах и т.д.	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	ну, я могу сделать это и дома	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	верно, но	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	но самое главное во время IJK ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	происходит из разных стран	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	в том, что участники приезжают из разных стран	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	из-за этого сочетания разных людей	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	это хорошая атмосфера, которая мне очень нравится	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	ладно, звучит как интерес	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	я подумаю о	I will think about	grupo	alternativoj	prononco
level	certe	Конечно	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	однако проблема в том, что ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	столько денег	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	У меня сейчас нет столько денег	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	проблема в том, что у меня нет столько денег	problem is I don't have that much money	grupo	alternativoj	prononco
