C.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	krom ~	(preposition) به جز ~، علاوه بر ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	یک دوست	a friend	grupo	alternativoj	prononco
level	kies	که، کدام یک، از کدام	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposition) توسط ~ (یک روش)، با ~ (یک ابزار)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	در برابر ~	against ~	grupo	alternativoj	prononco
level	el ~	از ~، از ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	امروز	today	grupo	alternativoj	prononco
level	hieraŭ	دیروز	yesterday	grupo	alternativoj	prononco
level	nur	فقط، فقط، منحصرا	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	کمک کردن، کمک کردن، کمک کردن	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) خیلی دور	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	نه این نه آن	nor, neither	grupo	alternativoj	prononco
level	malamo	یک نفرت	a hate	grupo	alternativoj	prononco
level	preskaŭ	تقریبا نزدیک است	almost, nearly	grupo	alternativoj	prononco
level	tra ~	از طریق ~	through ~	grupo	alternativoj	prononco
level	super	بالا، بالا	over, above	grupo	alternativoj	prononco
level	trans ~	بیش از ~، در سراسر ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	خوب، خوب پس، اکنون	well, well then, now	grupo	alternativoj	prononco
level	pri ~	در مورد ~	about ~	grupo	alternativoj	prononco
level	por ~	برای ~، به منظور ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	فردا	tomorrow	grupo	alternativoj	prononco
level	nun	در حال حاضر، در حال حاضر	now, at present	grupo	alternativoj	prononco
level	laŭ ~	مطابق ~، در امتداد ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	هر، هر، همه، همه	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	چه کسی، کدام، کدام	who, which, which one	grupo	alternativoj	prononco
level	tiu	آن شخص، آن ~، آن یکی، آن طرف	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	کسی، کسی، برخی	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	هیچ کس، هیچ کس، هیچ کدام	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	به ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffix) ~ قادر	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	به امید	to hope	grupo	alternativoj	prononco
level	unu	یکی	one	grupo	alternativoj	prononco
level	du	دو	two	grupo	alternativoj	prononco
level	tri	سه	three	grupo	alternativoj	prononco
level	kvar	چهار	four	grupo	alternativoj	prononco
level	kvin	پنج	five	grupo	alternativoj	prononco
level	ses	شش	six	grupo	alternativoj	prononco
level	sep	هفت	seven	grupo	alternativoj	prononco
level	ok	هشت	eight	grupo	alternativoj	prononco
level	naŭ	نه	nine	grupo	alternativoj	prononco
level	dek	ده	ten	grupo	alternativoj	prononco
level	cent	صد	a hundred	grupo	alternativoj	prononco
level	mil	هزار	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffix) برای کثرت، -obble، -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(suffix) ~ام، کسری	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	از عشق	of love	grupo	alternativoj	prononco
level	anstataŭ ~	به جای ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffix) تبدیل شود	(suffix)  become	grupo	alternativoj	prononco
level	voli	خواستن، خواستن، مایل بودن	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffix) باعث تبدیل شدن	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	پيگيري كردن	to follow	grupo	alternativoj	prononco
level	ĝoje	با خوشحالی	gladly	grupo	alternativoj	prononco
level	legi	خواندن	to read	grupo	alternativoj	prononco
level	silenta	بی صدا	silent	grupo	alternativoj	prononco
level	la	را	the	grupo	alternativoj	prononco
level	ha!	ها!	ha!	grupo	alternativoj	prononco
level	-il-	(suffix) ابزار، روش	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	نوشیدن (غیر الکلی)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffix) کوچک، کوچک	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(suffix) بزرگ، بزرگ	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) بین ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffix) رفتار مرتبط	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffix) مجموعه، گروه	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffix) عضو یک گروه	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	برای تشکر	to thank	grupo	alternativoj	prononco
level	-ind-	(suffix) با ارزش، شایسته	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	حتی بیشتر، بیشتر، و غیره، بیشتر	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	چگونه، مانند، به چه صورت، مانند	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	چنین، در آن راه، بنابراین	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) در ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) کنار ~، کنار ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) زیر، زیر ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) در ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) آماده سازی نامعین، در، در، توسط، در	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) هنوز، هنوز	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) اطراف ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	ولی	but	grupo	alternativoj	prononco
level	ie	جایی	somewhere	grupo	alternativoj	prononco
level	kie	کجا، در چه مکانی	where, at what place	grupo	alternativoj	prononco
level	silente	بی صدا	silently	grupo	alternativoj	prononco
level	ĉie	همه جا، همه چیز درباره	everywhere, all about	grupo	alternativoj	prononco
level	nenie	هیچ جا، در هیچ موردی، هیچ جا	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	آنجا، آن طرف، آن طرف	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	این ~	this ~	grupo	alternativoj	prononco
level	kanti	آواز خواندن	to sing	grupo	alternativoj	prononco
level	morti	مردن، از دنیا رفتن	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) در طول ~، در حالی که ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	یک ملت	a nation	grupo	alternativoj	prononco
level	koni	شناختن (شخصی)، آشنا شدن	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	دانستن (یک واقعیت، دانش)، دانستن چگونه	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	همیشه، همیشه	always, ever	grupo	alternativoj	prononco
level	iam	در یک زمان، یک بار	at some time, once	grupo	alternativoj	prononco
level	tiam	سپس	then	grupo	alternativoj	prononco
level	-em-	(suffix) تمایل	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	نوعی	some kind of	grupo	alternativoj	prononco
level	sukcesi	موفق شدن	to succeed	grupo	alternativoj	prononco
level	ĉia	از همه نوع، هر نوع	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	نه، نه هر نوع، نه هیچ	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(suffix) فرزندان	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	یک اتاق، یک اتاق	a room, a chamber	grupo	alternativoj	prononco
level	patro	یک پدر	a father	grupo	alternativoj	prononco
level	porko	خوک، خوک	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -همسر، با ازدواج	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	در واقع	indeed	grupo	alternativoj	prononco
level	-ism-	(suffix) -یسم	(suffix)  -ism	grupo	alternativoj	prononco
level	io	چیزی	something	grupo	alternativoj	prononco
level	veturi	رانندگی کردن (یک وسیله نقلیه)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	خروس، مرغ، مرغ، مرغ	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	رایگان	free	grupo	alternativoj	prononco
level	lasta	آخر	last	grupo	alternativoj	prononco
level	ĝoji	شادی کردن، شاد بودن، لذت بردن	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	گرفتن، گرفتن	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	یک گاو، یک گاو، یک حیوان گاو	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	دیگری، دیگری، دیگری	another, other, else	grupo	alternativoj	prononco
level	varma	گرم، گرم	hot, warm	grupo	alternativoj	prononco
level	loĝi	سکونت کردن، زندگی کردن، سکونت کردن، سکونت کردن	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	باور كردن	to believe	grupo	alternativoj	prononco
level	glacio	خوب	an ice	grupo	alternativoj	prononco
level	loko	یک مکان، یک مکان	a place, a location	grupo	alternativoj	prononco
level	ovo	یک تخم مرغ	an egg	grupo	alternativoj	prononco
level	multa	بسیاری، بسیار، بسیاری	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	یک دارایی	a possession	grupo	alternativoj	prononco
level	ŝafo	یک گوسفند	a sheep	grupo	alternativoj	prononco
level	sono	یک صدا	a sound	grupo	alternativoj	prononco
level	fiŝo	یک ماهی	a fish	grupo	alternativoj	prononco
level	bela	زیبا، خوش تیپ، زیبا	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	پاسخ دادن، پاسخ دادن، پاسخ دادن	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	یک مناسبت، یک زمان	an occasion, a time	grupo	alternativoj	prononco
level	demandi	پرسیدن	to ask	grupo	alternativoj	prononco
level	forta	قوی	strong	grupo	alternativoj	prononco
level	preter ~	فراتر از ~، گذشته ~، گذشته مستقیم	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	یک سکوت	a silence	grupo	alternativoj	prononco
level	infano	یک کودک، یک نوزاد	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	شاد، خوش شانس، خوش شانس	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	گرفتن، گرفتن، دست و پنجه نرم کردن	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	آرزو کردن، آرزو کردن	to desire, to wish	grupo	alternativoj	prononco
level	longa	طولانی	long	grupo	alternativoj	prononco
level	mondo	یک دنیا	a world	grupo	alternativoj	prononco
level	okazi	رخ دادن، اتفاق افتادن، به وجود آمدن	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	میدان، میدان	field, a field	grupo	alternativoj	prononco
level	filo	یک پسر	a son	grupo	alternativoj	prononco
level	montri	نشان دادن، نشان دادن، اشاره کردن	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	یک قلب	a heart	grupo	alternativoj	prononco
level	knabo	یک پسر	a boy	grupo	alternativoj	prononco
level	meti	گذاشتن، قرار دادن، دراز کشیدن	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	شوهر	a husband	grupo	alternativoj	prononco
level	pako	بسته بندی	package	grupo	alternativoj	prononco
level	rapida	سریع، سریع، سریع	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	به نظر می رسد، به نظر می رسد	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	یک سلام، سلام، سلام	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	نوشتن	to write	grupo	alternativoj	prononco
level	peti	درخواست کردن، درخواست کردن، درخواست کردن، التماس کردن	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	برای پرواز	to fly	grupo	alternativoj	prononco
level	kapo	یک سر، یک شنل	a head, a cape	grupo	alternativoj	prononco
level	krii	فریاد زدن، گریه کردن، فریاد زدن، فریاد زدن	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	قرمز	red	grupo	alternativoj	prononco
level	sinjoro	یک آقا، یک آقا	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	نگه داشتن، آویزان کردن	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	زمان، یک زمان	time, a time	grupo	alternativoj	prononco
level	tuta	کل، همه، کل، کامل، کلی	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	یک مرد	a man	grupo	alternativoj	prononco
level	vojo	یک راه، یک مسیر، یک مسیر	a way, a path, a route	grupo	alternativoj	prononco
level	movi	حرکت کردن	to move	grupo	alternativoj	prononco
level	militi	شکستن جنگ، جنگیدن، جنگیدن	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	چند، چند	a few, several	grupo	alternativoj	prononco
level	dekstra	راست، راست (سمت، جهت)، سمت راست	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	بستن، بستن	to close, to shut	grupo	alternativoj	prononco
level	okupi	اشغال کردن، گرفتن	to occupy, to take	grupo	alternativoj	prononco
level	levi	به اهرم زدن، بلند کردن، بالا بردن	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	کتک زدن، زدن، ضربه زدن، زدن، شلاق زدن	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	نیاز داشتن، خواستن، نیاز داشتن	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	فهمیدن، درک کردن	to understand, to realise	grupo	alternativoj	prononco
level	iri	رفتن	to go	grupo	alternativoj	prononco
level	veni	آمدن	to come	grupo	alternativoj	prononco
level	porti	حمل کردن، پوشیدن	to carry, to wear	grupo	alternativoj	prononco
level	kovri	پوشاندن	to cover	grupo	alternativoj	prononco
level	hela	روشن، شفاف و سبک	bright, clear and light	grupo	alternativoj	prononco
level	sana	سالم	healthy	grupo	alternativoj	prononco
level	aperi	ظاهر شدن، پدیدار شدن	to appear, to emerge	grupo	alternativoj	prononco
level	libro	یک کتاب	a book	grupo	alternativoj	prononco
level	atendi	منتظر ماندن، انتظار کشیدن، انتظار کشیدن	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	دست	a hand	grupo	alternativoj	prononco
level	pentri	رنگ زدن	to paint	grupo	alternativoj	prononco
level	instrui	تعلیم دادن، آموزش دادن	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	نشستن	to sit	grupo	alternativoj	prononco
level	stari	ایستادن	to stand	grupo	alternativoj	prononco
level	afero	یک چیز، یک شی، یک مورد، یک نگرانی، یک موضوع	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	کامل، کامل	full, complete	grupo	alternativoj	prononco
level	klara	روشن	clear	grupo	alternativoj	prononco
level	komenci	شروع کردن، شروع کردن	to begin, to commence	grupo	alternativoj	prononco
level	dormi	خوابیدن، خوابیدن	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	یک قسمت، یک سهم	a part, a share	grupo	alternativoj	prononco
level	mono	پول	money	grupo	alternativoj	prononco
level	ricevi	برای دریافت	to receive	grupo	alternativoj	prononco
level	ami	عشق ورزیدن	to love	grupo	alternativoj	prononco
level	devi	باید، باید، باید، باید	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	بتواند، می تواند	be able to, can	grupo	alternativoj	prononco
level	labori	کار کردن، کار کردن	to work, to labor	grupo	alternativoj	prononco
level	dio	خدای واحد	a god	grupo	alternativoj	prononco
level	urbo	یک شهر، یک شهرک	a city, a town	grupo	alternativoj	prononco
level	ofta	مکرر، اغلب	freqent, often	grupo	alternativoj	prononco
level	soni	صدا دادن، صدا دادن	to sound, to make sound	grupo	alternativoj	prononco
level	tero	زمین، زمین، خاک	earth, land, soil	grupo	alternativoj	prononco
level	vivi	زندگی کردن، زنده بودن	to live, to be alive	grupo	alternativoj	prononco
level	resti	ماندن، ماندن	to stay, to remain	grupo	alternativoj	prononco
level	ridi	خندیدن	to laugh	grupo	alternativoj	prononco
level	homo	یک انسان، یک مرد	a human, a man	grupo	alternativoj	prononco
level	akvo	اب	water	grupo	alternativoj	prononco
level	vorto	یک کلمه	a word	grupo	alternativoj	prononco
level	certa	مطمئن، مطمئن	certain, sure	grupo	alternativoj	prononco
level	lando	یک سرزمین، یک کشور	a land, a country	grupo	alternativoj	prononco
level	sama	یکسان	same	grupo	alternativoj	prononco
level	ĵeti	پرتاب کردن	to throw	grupo	alternativoj	prononco
level	stelo	یک ستاره	a star	grupo	alternativoj	prononco
level	domo	یک خانه، یک خانه	a house, a home	grupo	alternativoj	prononco
level	nomo	یک نام، یک اسم	a name, an appellation	grupo	alternativoj	prononco
level	vidi	دیدن	to see	grupo	alternativoj	prononco
level	mola	نرم	soft	grupo	alternativoj	prononco
level	horo	یک ساعت، ساعت، زمان	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	یک فرم، یک شکل	a form, a shape	grupo	alternativoj	prononco
level	tago	یک روز	a day	grupo	alternativoj	prononco
level	fumo	یک دود	a smoke	grupo	alternativoj	prononco
level	ĉevalo	یک اسب	a horse	grupo	alternativoj	prononco
level	jaro	یک سال	a year	grupo	alternativoj	prononco
level	vojaĝi	برای سفر	to travel	grupo	alternativoj	prononco
level	celo	یک هدف، یک هدف، یک هدف، یک هدف	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	به دنیا آوردن، به بار آوردن، تولید کردن	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	از دست دادن، کم بودن، از دست دادن	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	یک پرنده	a bird	grupo	alternativoj	prononco
level	halti	توقف کردن، توقف کردن، توقف کردن	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	یک برادر	a brother	grupo	alternativoj	prononco
level	monto	یک کوه	a mountain	grupo	alternativoj	prononco
level	pensi	فکر کردن	to think	grupo	alternativoj	prononco
level	permesi	اجازه دادن، اجازه دادن	to permit, to allow	grupo	alternativoj	prononco
level	kosti	هزینه کردن	to cost	grupo	alternativoj	prononco
level	lito	یک تخت، یک کاناپه	a bed, a couch	grupo	alternativoj	prononco
level	perdi	از دست دادن	to lose	grupo	alternativoj	prononco
level	miri	شگفت زده شدن، متحیر شدن، حیرت زده شدن	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	یک شخص	a person	grupo	alternativoj	prononco
level	diversa	متنوع، متنوع، متنوع	diverse, varied, various	grupo	alternativoj	prononco
level	provi	تلاش کردن، تلاش کردن	to try, to attempt	grupo	alternativoj	prononco
