C.ur content.tsv
Level	Esperanto	ur	en-us	Grupo	Alternativoj	Pronoco
level	-ant-	<suffix>فعال موجود، ~ing ہے، کوئی ہے جو ~ing کر رہا ہے۔	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	<suffix>فعال ماضی، ~ing تھا	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	<suffix>فعال مستقبل، ~ing ہو جائے گا	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	اور	and	grupo	alternativoj	prononco
level	aŭ	یا	or	grupo	alternativoj	prononco
level	alta	اونچا، لمبا	high, tall	grupo	alternativoj	prononco
level	jes	جی ہاں	yes	grupo	alternativoj	prononco
level	ne	نہیں، نہیں	not, no	grupo	alternativoj	prononco
level	tiom	اتنی زیادہ، اتنی رقم، اتنی رقم	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	اچھی	good	grupo	alternativoj	prononco
level	kiom	کتنا ھے؟ کتنے ھیں	how much, how many	grupo	alternativoj	prononco
level	ofte	اکثر، اکثر	often, frequently	grupo	alternativoj	prononco
level	iom	تھوڑا، بلکہ، کچھ، کسی حد تک	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	نیا، ناول	new, novel	grupo	alternativoj	prononco
level	-at-	<suffix>غیر فعال موجودہ شریک	<suffix> passive present participle	grupo	alternativoj	prononco
level	-it-	<suffix>غیر فعال ماضی شریک	<suffix> passive past participle	grupo	alternativoj	prononco
level	-ot-	<suffix>غیر فعال مستقبل میں حصہ لینے والا	<suffix> passive future participle	grupo	alternativoj	prononco
level	tre	بہت، بہت، بہت	very, quite, very much	grupo	alternativoj	prononco
level	tro	بھی، ضرورت سے زیادہ، بہت زیادہ	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	تاہم، اس کے باوجود، لیکن، اس کے باوجود	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	اوہ! ہو!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	وہ ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	کیونکہ ~	because ~	grupo	alternativoj	prononco
level	ĉu	چاہے ~	whether ~	grupo	alternativoj	prononco
level	-ej-	<suffix>جگہ	<suffix> place	grupo	alternativoj	prononco
level	-ec-	<suffix>معیار کا خلاصہ نام	<suffix> abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	دونوں ~	both ~	grupo	alternativoj	prononco
level	tuj	فوراً، فوراً، فوراً	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	گویا ~	as if ~	grupo	alternativoj	prononco
level	kiam	کب	when	grupo	alternativoj	prononco
level	silenti	خاموش رہنا، خاموش رہنا	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	کبھی نہیں، کبھی نہیں، کبھی نہیں۔	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	لہذا، تو	therefore, so	grupo	alternativoj	prononco
level	kial	کیوں، کس لیے	why, what for	grupo	alternativoj	prononco
level	kvankam	اگرچہ ~، جبکہ، اگرچہ	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	<preposition>~ پر	<preposition> at ~	grupo	alternativoj	prononco
level	pli	مزید	more	grupo	alternativoj	prononco
level	plej	زیادہ تر	most	grupo	alternativoj	prononco
level	diri	کہنا، بتانا	to say, to tell	grupo	alternativoj	prononco
level	ol ~	سے ~	than ~	grupo	alternativoj	prononco
level	paroli	بات کرنا، بات کرنا	to speak, to talk	grupo	alternativoj	prononco
level	kia	کس قسم کی، کس قسم کی	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	ایسا، اس قسم کا، اس طرح کا	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	بمشکل، مشکل سے، خوفناک	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	بھیجنا	to send	grupo	alternativoj	prononco
level	ĵus	ابھی (ایک لمحہ پہلے)، ابھی	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	<suffix>ضروری	<suffix> imperative	grupo	alternativoj	prononco
level	ekster ~	باہر ~	outside ~	grupo	alternativoj	prononco
level	ge-	<prefix>دونوں جنس، دونوں جنس	<prefix> both sex, both gender	grupo	alternativoj	prononco
level	-us	<suffix>مرضی، چاہیے، ضمنی	<suffix> would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	اسی طرح	soon	grupo	alternativoj	prononco
level	almenaŭ	کم از کم، اگر کچھ نہیں	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	<suffix>کنٹینر ملک	<suffix> container; country	grupo	alternativoj	prononco
level	lerni	سیکھنے کے لیے	to learn	grupo	alternativoj	prononco
level	ek-	<prefix>آغاز اچانک شروع	<prefix> beginning; sudden start	grupo	alternativoj	prononco
level	se	اگر، بشرطیکہ	if, provided that	grupo	alternativoj	prononco
level	eĉ	یہاں تک کہ	even	grupo	alternativoj	prononco
level	amo	ایک محبت	a love	grupo	alternativoj	prononco
level	jam	پہلے ہی، اتنی جلدی، ابھی تک	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	یہاں! لو! دیکھو	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	ختم کرنا، ختم کرنا، ختم کرنا	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	تو، پھر، اس لیے	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ کبھی، (کیا) کبھی، بالکل، - ہمیشہ	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	آسان، آسان	easy, facile	grupo	alternativoj	prononco
level	re-	<prefix>دوبارہ	<prefix> re-	grupo	alternativoj	prononco
level	granda	بڑا، بڑا، بڑا	big, great, large	grupo	alternativoj	prononco
level	-ist-	<suffix>پیشہ ورانہ	<suffix> professional	grupo	alternativoj	prononco
level	pro ~	<preposition>~ کی وجہ سے، ~ کی وجہ سے	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	<suffix>لیڈر، باس، سربراہ، سربراہ	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	کیا	what	grupo	alternativoj	prononco
level	manĝi	کھانے کو	to eat	grupo	alternativoj	prononco
level	nenio	کچھ نہیں، کچھ نہیں، کچھ بھی نہیں۔	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	نوجوان	young	grupo	alternativoj	prononco
level	ĉio	سب کچھ	everything	grupo	alternativoj	prononco
level	riĉa	امیر، امیر، اچھی طرح سے	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	وہ چیز، وہ	that thing, that	grupo	alternativoj	prononco
level	konstrui	تعمیر کرنا، تعمیر کرنا	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	<prefix>سربراہ، سرکردہ، اہم	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	<preposition>بغیر ~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	<preposition>کے ساتھ ~ (ایک ساتھ)	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	<preposition>سوائے ~، اس کے علاوہ ~	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	ایک دوست	a friend	grupo	alternativoj	prononco
level	kies	کس کا، کون سا، جس کا	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	<preposition>بذریعہ ~ (ایک طریقہ)، ~ (ایک ٹول) کے ساتھ	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	کے خلاف ~	against ~	grupo	alternativoj	prononco
level	el ~	~ سے باہر، ~ سے	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	آج	today	grupo	alternativoj	prononco
level	hieraŭ	کل	yesterday	grupo	alternativoj	prononco
level	nur	صرف، صرف، خصوصی طور پر	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	مدد کرنا، مدد کرنا، مدد کرنا	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	<adverb>بہت دور	<adverb> far, away	grupo	alternativoj	prononco
level	nek	نہ ہی، نہ ہی	nor, neither	grupo	alternativoj	prononco
level	malamo	ایک نفرت	a hate	grupo	alternativoj	prononco
level	preskaŭ	تقریبا، تقریبا	almost, nearly	grupo	alternativoj	prononco
level	tra ~	کے ذریعے ~	through ~	grupo	alternativoj	prononco
level	super	اوپر، اوپر	over, above	grupo	alternativoj	prononco
level	trans ~	~ سے زیادہ، اس پار ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	ٹھیک ہے، پھر، اب	well, well then, now	grupo	alternativoj	prononco
level	pri ~	کے بارے میں ~	about ~	grupo	alternativoj	prononco
level	por ~	~ کے لیے، ~ کے لیے ترتیب میں	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	کل	tomorrow	grupo	alternativoj	prononco
level	nun	اب، اس وقت	now, at present	grupo	alternativoj	prononco
level	laŭ ~	~، ساتھ ~ کے مطابق	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	ہر ایک، ہر ایک، سب، سب	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	کون، کون سا، کون سا	who, which, which one	grupo	alternativoj	prononco
level	tiu	وہ شخص، وہ ~، وہ ایک، ادھر	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	کوئی، کوئی، کوئی	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	کوئی نہیں، کوئی نہیں، نہ ہی	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	کو ~	to ~	grupo	alternativoj	prononco
level	-ebl-	<suffix>~ قابل	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	امید کرنا	to hope	grupo	alternativoj	prononco
level	unu	ایک	one	grupo	alternativoj	prononco
level	du	دو	two	grupo	alternativoj	prononco
level	tri	تین	three	grupo	alternativoj	prononco
level	kvar	چار	four	grupo	alternativoj	prononco
level	kvin	پانچ	five	grupo	alternativoj	prononco
level	ses	چھ	six	grupo	alternativoj	prononco
level	sep	سات	seven	grupo	alternativoj	prononco
level	ok	آٹھ	eight	grupo	alternativoj	prononco
level	naŭ	نو	nine	grupo	alternativoj	prononco
level	dek	دس	ten	grupo	alternativoj	prononco
level	cent	ایک سو	a hundred	grupo	alternativoj	prononco
level	mil	ایک ہزار	a thousand	grupo	alternativoj	prononco
level	-obl-	<suffix>کثرت کے لیے، -اوبل، -گنا	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	<suffix>~واں، کسر	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	محبت کا	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~ کے بجائے	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	<suffix>بن	<suffix> become	grupo	alternativoj	prononco
level	voli	چاہنا، مرضی کرنا، آمادہ ہونا	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	<suffix>بننے کا سبب	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	پیروی کرنا	to follow	grupo	alternativoj	prononco
level	ĝoje	خوشی سے	gladly	grupo	alternativoj	prononco
level	legi	پڑھنے کے لئے	to read	grupo	alternativoj	prononco
level	silenta	خاموش	silent	grupo	alternativoj	prononco
level	la	دی	the	grupo	alternativoj	prononco
level	ha!	ہا!	ha!	grupo	alternativoj	prononco
level	-il-	<suffix>آلہ، طریقہ	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	پینا (غیر الکوحل)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	<suffix>چھوٹا، چھوٹا	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	<suffix>بڑا، بڑا	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	<preposition>کے درمیان ~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	<suffix>متعلقہ رویہ	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	<suffix>سیٹ، گروپ	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	<suffix>ایک گروپ کے رکن	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	شکریہ ادا کرنا	to thank	grupo	alternativoj	prononco
level	-ind-	<suffix>قابل، قابل	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	اس سے بھی زیادہ، آگے، اور اسی طرح، مزید	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	کیسے، پسند، کس طرح، جیسے	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	اس طرح، اس طرح، اس طرح	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	<preposition>میں ~	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	<preposition>~ کے ساتھ، ~ کے ساتھ	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	<preposition>نیچے، نیچے ~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	<preposition>پر ~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	<preposition>غیر معینہ تیاری، پر، میں، کی طرف سے، پر	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	<adverb>ابھی بھی	<adverb> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	<preposition>ارد گرد ~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	لیکن	but	grupo	alternativoj	prononco
level	ie	کہیں	somewhere	grupo	alternativoj	prononco
level	kie	کہاں، کس جگہ	where, at what place	grupo	alternativoj	prononco
level	silente	خاموشی سے	silently	grupo	alternativoj	prononco
level	ĉie	ہر جگہ، سب کے بارے میں	everywhere, all about	grupo	alternativoj	prononco
level	nenie	کہیں نہیں، کسی بھی صورت میں، کہیں بھی نہیں۔	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	وہاں، وہاں، ادھر	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	یہ ~	this ~	grupo	alternativoj	prononco
level	kanti	گانے کے لئے	to sing	grupo	alternativoj	prononco
level	morti	مرنا، مر جانا	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	<preposition>دوران ~، جبکہ ~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	ایک قوم	a nation	grupo	alternativoj	prononco
level	koni	(کسی شخص کو) جاننا، واقف ہونا	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	جاننا (ایک حقیقت، علم)، جاننا کہ کیسے	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	ہمیشہ، ہمیشہ	always, ever	grupo	alternativoj	prononco
level	iam	کسی وقت، ایک بار	at some time, once	grupo	alternativoj	prononco
level	tiam	پھر	then	grupo	alternativoj	prononco
level	-em-	<suffix>رجحان	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	کسی طرح کا	some kind of	grupo	alternativoj	prononco
level	sukcesi	کامیاب ہونا	to succeed	grupo	alternativoj	prononco
level	ĉia	ہر قسم کا، ہر قسم کا	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	نہیں، کسی بھی قسم کا نہیں، کوئی بھی نہیں۔	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	<suffix>اولاد	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	ایک کمرہ، ایک چیمبر	a room, a chamber	grupo	alternativoj	prononco
level	patro	ایک باپ	a father	grupo	alternativoj	prononco
level	porko	ایک سور، سور	a pig, swine	grupo	alternativoj	prononco
level	bo-	<prefix>- سسرال، شادی سے	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	بے شک	indeed	grupo	alternativoj	prononco
level	-ism-	<suffix>-ism	<suffix> -ism	grupo	alternativoj	prononco
level	io	کچھ	something	grupo	alternativoj	prononco
level	veturi	چلانا (گاڑی)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ایک مرغا، مرغی، مرغی، پرندہ	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	مفت	free	grupo	alternativoj	prononco
level	lasta	آخری	last	grupo	alternativoj	prononco
level	ĝoji	خوش ہونا، خوش ہونا، لطف اندوز ہونا	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	لینا، پکڑنا	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	ایک گائے، بیل، گائے کا جانور	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	ایک اور، دوسرا، اور	another, other, else	grupo	alternativoj	prononco
level	varma	گرم، گرم	hot, warm	grupo	alternativoj	prononco
level	loĝi	رہنے کے لئے، رہنے کے لئے، رہنے کے لئے، آباد کرنے کے لئے	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	یقین کرنے کے لئے	to believe	grupo	alternativoj	prononco
level	glacio	ایک اچھا	an ice	grupo	alternativoj	prononco
level	loko	ایک جگہ، ایک مقام	a place, a location	grupo	alternativoj	prononco
level	ovo	ایک انڈا	an egg	grupo	alternativoj	prononco
level	multa	بہت، بہت، بہت سے	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	ایک قبضہ	a possession	grupo	alternativoj	prononco
level	ŝafo	دنبہ	a sheep	grupo	alternativoj	prononco
level	sono	ایک آواز	a sound	grupo	alternativoj	prononco
level	fiŝo	ایک مچھلی	a fish	grupo	alternativoj	prononco
level	bela	خوبصورت، خوبصورت، خوبصورت	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	جواب دینا، جواب دینا، جواب دینا	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	ایک موقع، ایک وقت	an occasion, a time	grupo	alternativoj	prononco
level	demandi	پوچھنا	to ask	grupo	alternativoj	prononco
level	forta	مضبوط	strong	grupo	alternativoj	prononco
level	preter ~	~ سے آگے، ماضی ~، سیدھا ماضی	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	ایک خاموشی	a silence	grupo	alternativoj	prononco
level	infano	ایک بچہ، ایک بچہ	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	خوش قسمت، خوش قسمت، خوش قسمت	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	پکڑنا، پکڑنا، پکڑنا	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	خواہش کرنا، خواہش کرنا	to desire, to wish	grupo	alternativoj	prononco
level	longa	طویل	long	grupo	alternativoj	prononco
level	mondo	ایک دنیا	a world	grupo	alternativoj	prononco
level	okazi	وقوع پذیر ہونا، واقع ہونا، واقع ہونا	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	میدان، ایک میدان	field, a field	grupo	alternativoj	prononco
level	filo	بیٹا	a son	grupo	alternativoj	prononco
level	montri	ظاہر کرنا، اشارہ کرنا، اشارہ کرنا	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	دل	a heart	grupo	alternativoj	prononco
level	knabo	ایک لڑکا	a boy	grupo	alternativoj	prononco
level	meti	ڈالنا، رکھنا، لیٹنا	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	شوہر	a husband	grupo	alternativoj	prononco
level	pako	پیکج	package	grupo	alternativoj	prononco
level	rapida	تیز، تیز، تیز	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	ظاہر ہونا، ظاہر ہونا	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	ایک سلام، سلام، سلام	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	لکھنے کے لئے	to write	grupo	alternativoj	prononco
level	peti	مانگنا، مانگنا، مانگنا، مانگنا	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	اڑنا	to fly	grupo	alternativoj	prononco
level	kapo	ایک سر، ایک کیپ	a head, a cape	grupo	alternativoj	prononco
level	krii	چیخنا، رونا، چیخنا، چیخنا	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	سرخ	red	grupo	alternativoj	prononco
level	sinjoro	ایک صاحب، ایک شریف آدمی	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	پکڑنا، لٹکانا	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	وقت، ایک وقت	time, a time	grupo	alternativoj	prononco
level	tuta	کل، تمام، مکمل، مکمل، مجموعی	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	ایک آدمی	a man	grupo	alternativoj	prononco
level	vojo	ایک راستہ، ایک راستہ، ایک راستہ	a way, a path, a route	grupo	alternativoj	prononco
level	movi	منتقل کرنے کے لئے	to move	grupo	alternativoj	prononco
level	militi	جنگ توڑنا، لڑنا، جنگ چھیڑنا	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	چند، کئی	a few, several	grupo	alternativoj	prononco
level	dekstra	دائیں، دائیں (سائیڈ، سمت)، دائیں ہاتھ	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	بند کرنا، بند کرنا	to close, to shut	grupo	alternativoj	prononco
level	okupi	قبضہ کرنا، لینا	to occupy, to take	grupo	alternativoj	prononco
level	levi	اٹھانا، اٹھانا، اٹھانا	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	مارنا، مارنا، مارنا، مارنا، مارنا، کوڑے مارنا	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	ضرورت کرنا، چاہنا، ضرورت کرنا	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	سمجھنا، احساس کرنا	to understand, to realise	grupo	alternativoj	prononco
level	iri	جانے کے لئے	to go	grupo	alternativoj	prononco
level	veni	آنے کا	to come	grupo	alternativoj	prononco
level	porti	لے جانے کے لئے، پہننے کے لئے	to carry, to wear	grupo	alternativoj	prononco
level	kovri	ڈھانپنا	to cover	grupo	alternativoj	prononco
level	hela	روشن، صاف اور روشنی	bright, clear and light	grupo	alternativoj	prononco
level	sana	صحت مند	healthy	grupo	alternativoj	prononco
level	aperi	ظاہر ہونا، ابھرنا	to appear, to emerge	grupo	alternativoj	prononco
level	libro	ایک کتاب	a book	grupo	alternativoj	prononco
level	atendi	انتظار کرنا، انتظار کرنا، انتظار کرنا	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	ایک ہاتھ	a hand	grupo	alternativoj	prononco
level	pentri	پینٹ کرنے کے لئے	to paint	grupo	alternativoj	prononco
level	instrui	سکھانا، ہدایت دینا	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	بیٹھنا	to sit	grupo	alternativoj	prononco
level	stari	کھڑے ہونے کے لئے	to stand	grupo	alternativoj	prononco
level	afero	ایک چیز، ایک چیز، ایک معاملہ، ایک تشویش، ایک معاملہ	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	مکمل، مکمل	full, complete	grupo	alternativoj	prononco
level	klara	صاف	clear	grupo	alternativoj	prononco
level	komenci	شروع کرنا، شروع کرنا	to begin, to commence	grupo	alternativoj	prononco
level	dormi	سونا، سونا	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	ایک حصہ، حصہ	a part, a share	grupo	alternativoj	prononco
level	mono	پیسہ	money	grupo	alternativoj	prononco
level	ricevi	وصول کرنے کے لئے	to receive	grupo	alternativoj	prononco
level	ami	محبت کرنے کے لئے	to love	grupo	alternativoj	prononco
level	devi	ہونا چاہیے، چاہیے، چاہیے، چاہیے	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	کر سکتے ہیں، کر سکتے ہیں	be able to, can	grupo	alternativoj	prononco
level	labori	کام کرنا، محنت کرنا	to work, to labor	grupo	alternativoj	prononco
level	dio	ایک خدا	a god	grupo	alternativoj	prononco
level	urbo	ایک شہر، ایک قصبہ	a city, a town	grupo	alternativoj	prononco
level	ofta	اکثر، اکثر	freqent, often	grupo	alternativoj	prononco
level	soni	آواز دینا، آواز دینا	to sound, to make sound	grupo	alternativoj	prononco
level	tero	زمین، زمین، مٹی	earth, land, soil	grupo	alternativoj	prononco
level	vivi	زندہ رہنا، زندہ رہنا	to live, to be alive	grupo	alternativoj	prononco
level	resti	رہنا، رہنا	to stay, to remain	grupo	alternativoj	prononco
level	ridi	ہنسنا	to laugh	grupo	alternativoj	prononco
level	homo	ایک انسان، ایک آدمی	a human, a man	grupo	alternativoj	prononco
level	akvo	پانی	water	grupo	alternativoj	prononco
level	vorto	ایک لفظ	a word	grupo	alternativoj	prononco
level	certa	یقینی، یقینی	certain, sure	grupo	alternativoj	prononco
level	lando	ایک زمین، ایک ملک	a land, a country	grupo	alternativoj	prononco
level	sama	اسی	same	grupo	alternativoj	prononco
level	ĵeti	پھینکنا	to throw	grupo	alternativoj	prononco
level	stelo	ایک ستارہ	a star	grupo	alternativoj	prononco
level	domo	ایک گھر، ایک گھر	a house, a home	grupo	alternativoj	prononco
level	nomo	ایک نام، ایک نام	a name, an appellation	grupo	alternativoj	prononco
level	vidi	دیکھنے کے لیے	to see	grupo	alternativoj	prononco
level	mola	نرم	soft	grupo	alternativoj	prononco
level	horo	ایک گھنٹہ، بجے، وقت	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	ایک شکل، ایک شکل	a form, a shape	grupo	alternativoj	prononco
level	tago	ایک دن	a day	grupo	alternativoj	prononco
level	fumo	ایک دھواں	a smoke	grupo	alternativoj	prononco
level	ĉevalo	ایک گھوڑے	a horse	grupo	alternativoj	prononco
level	jaro	ایک سال	a year	grupo	alternativoj	prononco
level	vojaĝi	سفر کرنا	to travel	grupo	alternativoj	prononco
level	celo	ایک مقصد، ایک ہدف، ایک مقصد، ایک مقصد	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
