A.cs content.tsv
Level	Esperanto	cs	en-us	Grupo	Alternativoj	Pronoco
level	ne, ŝi estas hotelisto	ne, ona je hoteliérka	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ne, nepracuji	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	jak se jmenuje?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	kdo teď odpovídá?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	jazyk jejich matky	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	jmenuješ se ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	sedíme a odpovídáme	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	její pracovní židle	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	jeho jméno není ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	její jazyk je jejich jazykem	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	náš otec a matka	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	váš student, vaši studenti	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	jsou to vaši studenti?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	jsi student?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	jsi v pokoji?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Nejsem ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	esperantistka a esperantistka	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	přihlášeni na hotelový pokoj	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	lingvistka a pracovnice	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	jeho přítelkyně je ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studenti a sportovci	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	moje rodinné jméno je ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	kdo je ona? která je ona?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	je vaše přítelkyně	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	je tvůj přítel ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	teď píše v místnosti	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	je přítel tvého otce ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	pracuje v hotelu	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	co je na stole?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	na stole v našem pokoji	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	je učebnice esperanta ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	je na vašem stole	is on your table	grupo	alternativoj	prononco
level	havas amikinon	má přítele	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	její jméno je ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	mladý a krásný	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	je mladá a krásná	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	mladí a krásní přátelé	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	jsou přátelé muže a ženy	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	domov jejího učitele	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	přišel do domu	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	domov ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	prosím Vstupte	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Ahoj, co děláš?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	co děláš? Co to děláš?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ale teď chci ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	chci mluvit	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	se třemi kamarády a kamarádkami	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	mluvil s vámi	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	chce s vámi mluvit	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	máš kamarády a kamarádky	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	má knihu	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	má dobrou knihu	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ano mám	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	mají to rádi	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	Četla knihu	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	rád čte knihy	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	jen dobrá kniha	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	mnoho dobrých knih	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	číst jen dobré knihy	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	rád čte dobré knihy	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	chceš číst?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	mladík pil kávu	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	chce pít vodu	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	otec a matka; rodiče	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	otrava a sestra, sourozenci	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	vaši rodiče a sourozenci	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	je ve vašem domě	is in your home	grupo	alternativoj	prononco
level	jen la kafo	tady je káva	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ještě nepil	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	je stále teplý	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	vařil to včera	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Teď jsem vařila	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Děkuji. tak řekl.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	může pít a jíst	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	pil studenou kávu	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	ještě teplá káva	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	pije i studenou kávu	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	může pít i studenou kávu	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	dívá se jí do oka	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	nejkrásnější oko	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	krásné oči	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	podíval se na krásné oči	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	její krásné oči	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	vidí a rozumí	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Vidím, že ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	že ji miluje	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	cítí, že ji miluje	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	ptá se, jestli to bylo velké	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	o jednoduché otázce	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	řekl o nové peníze	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	moc krásné oči	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	podíval se velký bratr	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	malá sestra na to zapomněla	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	akuzativ (objektiv)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	nezapomeňte na akuzativní koncovku	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	koho vidíš? kterou vidíš?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Vidím přítele	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	má dobré kamarády a kamarádky	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	pracují na starém domě	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	funguje, pracuje, bude fungovat	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	vidím, že jím	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	řekl, že půjde	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	ošklivý a špatný	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	to, co říkala?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	na co čekáš?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	šel do místnosti	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	obsah je velmi obtížný	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	dorazil na schůzku	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	vítejte na setkání	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	dal tip starý muž	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	dorazil a byl vítán	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	nenávidí, ale spolupracují	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	šel do hotelu	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	má jednoduché učebnice	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	jak se měla tvoje matka?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	tvůj starý domov	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	jaké knihy jsi četl?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	byly dobré?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	co dělal včera?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	v malé místnosti	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	mluvil velmi dlouho	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	před školou, před školou	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	mluvil před školou	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	později mluvil o knize	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	chodil do školy rád	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	přes ulici	through the street	grupo	alternativoj	prononco
level	iris tra la strato	prošel ulicí	went through the street	grupo	alternativoj	prononco
level	estis varma tago	byl teplý den	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	viděli kavárnu	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	viděl červené sušenky	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	viděl v něm sušenky	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	viděl kavárnu' a v ní sušenky	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	jít dovnitř a jíst!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	pojďme dovnitř a jezme	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	má dostatek peněz	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	máš dost peněz?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	rozumíš?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	samozřejmě!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	to nestačí	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	sto dolarů stačí	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	dolar, dolary, dolary (množné číslo)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	má sto dolarů	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	samozřejmě, že mám	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	Ach! jsi bohatý!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	voda, servírka	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	číšník přináší menu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	přinesl nám to, přinesl to	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	číšník přinesl spoustu sušenek	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	snědli něco (trochu)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	po jídle (jídle)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nové, znovu	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	číšník přišel znovu	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	na nějakém místě	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	hledal na nějakém místě	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	hledali na jiném místě	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	jeho tvář byla radostná	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	ona byla smutná	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	nakonec a konečně	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	tvůj silný hlas	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	slabým hlasem	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	nemá peníze	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	co se tam stalo?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	později se stala nehoda	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	víš kdy se to stalo?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	ví o věci	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	ještě jedna věc zůstává	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	vy nebo ona, jakákoliv osoba	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	jako zpěvák, jako signatář	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	zpíval jako profesionální zpěvák	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	místo, kde žila	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	jak víš o autě?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	no, podívej se na rychlé auto	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	šťáva bez cukru	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	má rychlé vozidlo	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	příliš silně	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	otevřel příliš prudce	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	jel (cestoval) příliš rychle	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	jedl lžící	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	silně pochybujeme	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	pravdivý dopis od něj	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	milostný dopis s pěti fotografiemi	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	se vrátili, lidé, kteří se vrátili	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	vrátilo se také šest dopisů	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	chtěl vidět fotku	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	se vrátil ze školy	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	kdy se sestra vrátí?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	chtěl číst znovu	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	učinil (dělal), stal se	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	rychle zčervenal	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	v místnosti, do místnosti	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	stál a seděl	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	stál před fotkou	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	mám to	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	co máš v ruce?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	vepředu nebo vzadu?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	před nebo po?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	tam za dveřmi	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	jiní, jiní lidé	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	dopisy od ostatních	letters from others	grupo	alternativoj	prononco
level	falis el la mano	vypadl z ruky	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	na stůl, na stůl	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	spadlo to na stůl	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	požádal o odpuštění	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	hledal pět knih	was searching for five books	grupo	alternativoj	prononco
