C.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	ambaŭ ~	begge ~	both ~	grupo	alternativoj	prononco
level	tuj	straks, øjeblikkeligt, med det samme	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	som om ~	as if ~	grupo	alternativoj	prononco
level	kiam	hvornår	when	grupo	alternativoj	prononco
level	silenti	at tie, at tie	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	aldrig, på intet tidspunkt, aldrig nogensinde	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	derfor så	therefore, so	grupo	alternativoj	prononco
level	kial	hvorfor, hvad for	why, what for	grupo	alternativoj	prononco
level	kvankam	skønt ~, mens, dog	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(præposition) ved ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	mere	more	grupo	alternativoj	prononco
level	plej	mest	most	grupo	alternativoj	prononco
level	diri	at sige, at fortælle	to say, to tell	grupo	alternativoj	prononco
level	ol ~	end ~	than ~	grupo	alternativoj	prononco
level	paroli	at tale, at tale	to speak, to talk	grupo	alternativoj	prononco
level	kia	hvilken slags, hvilken slags	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	sådan, den slags, sådan en	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	knap, næppe, næppe	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	at sende	to send	grupo	alternativoj	prononco
level	ĵus	lige (for et øjeblik siden), lige nu	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffiks) imperativ	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	udenfor ~	outside ~	grupo	alternativoj	prononco
level	ge-	(præfiks) begge køn, begge køn	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffiks) ville, skulle, konjunktiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	snart	soon	grupo	alternativoj	prononco
level	almenaŭ	i hvert fald om ikke andet	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(endelse) beholder; Land	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	at lære	to learn	grupo	alternativoj	prononco
level	ek-	(præfiks) begyndelse; pludselig start	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	hvis, forudsat at	if, provided that	grupo	alternativoj	prononco
level	eĉ	også selvom	even	grupo	alternativoj	prononco
level	amo	en kærlighed	a love	grupo	alternativoj	prononco
level	jam	allerede, så snart, som nu	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Her! Se! Se	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	at afslutte, at afslutte, at afslutte	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	så altså altså	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ever, (what)ever, overhovedet, -soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	let, let	easy, facile	grupo	alternativoj	prononco
level	re-	(præfiks) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	stor, stor, stor	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffiks) professionel	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(forholdsled) på grund af ~, på grund af ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffiks) leder, chef, chef, chef	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	hvad	what	grupo	alternativoj	prononco
level	manĝi	at spise	to eat	grupo	alternativoj	prononco
level	nenio	intet, ingen, ikke noget	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	ung	young	grupo	alternativoj	prononco
level	ĉio	alt	everything	grupo	alternativoj	prononco
level	riĉa	rig, velhavende, velstillet	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	den ting, det	that thing, that	grupo	alternativoj	prononco
level	konstrui	at bygge, at konstruere	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(præfiks) høvding, ledende, hoved	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(forholdsled) uden ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(præposition) med ~ (sammen)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(præposition) undtagen ~, foruden ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	en ven	a friend	grupo	alternativoj	prononco
level	kies	hvis, hvilken ens, af hvilken	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(præposition) ved ~ (en metode), med ~ (et værktøj)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	mod ~	against ~	grupo	alternativoj	prononco
level	el ~	ud af ~, fra ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	i dag	today	grupo	alternativoj	prononco
level	hieraŭ	i går	yesterday	grupo	alternativoj	prononco
level	nur	kun, bare, udelukkende	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	at hjælpe, at hjælpe, at hjælpe	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) langt, væk	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	heller, hverken	nor, neither	grupo	alternativoj	prononco
level	malamo	et had	a hate	grupo	alternativoj	prononco
level	preskaŭ	næsten, næsten	almost, nearly	grupo	alternativoj	prononco
level	tra ~	gennem ~	through ~	grupo	alternativoj	prononco
level	super	over, over	over, above	grupo	alternativoj	prononco
level	trans ~	over ~, tværs over ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	nå, så, nu	well, well then, now	grupo	alternativoj	prononco
level	pri ~	om ~	about ~	grupo	alternativoj	prononco
level	por ~	for ~, for ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	i morgen	tomorrow	grupo	alternativoj	prononco
level	nun	nu, på nuværende tidspunkt	now, at present	grupo	alternativoj	prononco
level	laŭ ~	ifølge ~, langs ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	hver, hver, alle, alle	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	hvem, hvilken, hvilken	who, which, which one	grupo	alternativoj	prononco
level	tiu	den person, den ~, den der borte	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	nogen, nogen, nogle	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ingen, ingen, hverken	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	til ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(endelse) ~able	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	at håbe	to hope	grupo	alternativoj	prononco
level	unu	en	one	grupo	alternativoj	prononco
level	du	to	two	grupo	alternativoj	prononco
level	tri	tre	three	grupo	alternativoj	prononco
level	kvar	fire	four	grupo	alternativoj	prononco
level	kvin	fem	five	grupo	alternativoj	prononco
level	ses	seks	six	grupo	alternativoj	prononco
level	sep	syv	seven	grupo	alternativoj	prononco
level	ok	otte	eight	grupo	alternativoj	prononco
level	naŭ	ni	nine	grupo	alternativoj	prononco
level	dek	ti	ten	grupo	alternativoj	prononco
level	cent	hundrede	a hundred	grupo	alternativoj	prononco
level	mil	tusind	a thousand	grupo	alternativoj	prononco
level	-obl-	(endelse) for multiplicitet, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(endelse) ~th, brøk	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	af kærlighed	of love	grupo	alternativoj	prononco
level	anstataŭ ~	i stedet for ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(endelse) blive	(suffix)  become	grupo	alternativoj	prononco
level	voli	at ville, at ville, at være villig til	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffiks) forårsage at blive	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	at følge	to follow	grupo	alternativoj	prononco
level	ĝoje	gerne	gladly	grupo	alternativoj	prononco
level	legi	at læse	to read	grupo	alternativoj	prononco
level	silenta	stille	silent	grupo	alternativoj	prononco
level	la	det	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(suffiks) værktøj, metode	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	at drikke (ikke-alkohol)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffiks) lille, lille	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(endelse) stor, stor	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(præposition) mellem ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffiks) relateret adfærd	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(endelses) sæt, gruppe	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffiks) medlem af en gruppe	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	at takke	to thank	grupo	alternativoj	prononco
level	-ind-	(endelse) værd, værdig	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	endnu mere, længere, og så videre, mere	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	hvordan, sådan på hvilken måde, som f.eks	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	sådan, på den måde, således	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(præposition) i ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(præposition) ved siden af ~, ved siden af ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(forholdsord) under, under ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(forholdsord) på ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(forholdsled) ubestemmelig præp., ved, i, ved, på	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) stadig, endnu	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(præposition) omkring ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	men	but	grupo	alternativoj	prononco
level	ie	et eller andet sted	somewhere	grupo	alternativoj	prononco
level	kie	hvor, hvilket sted	where, at what place	grupo	alternativoj	prononco
level	silente	stille	silently	grupo	alternativoj	prononco
level	ĉie	overalt, alt om	everywhere, all about	grupo	alternativoj	prononco
level	nenie	ingen steder, i intet tilfælde, ikke nogen steder	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	der, derovre, der borte	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	denne ~	this ~	grupo	alternativoj	prononco
level	kanti	at synge	to sing	grupo	alternativoj	prononco
level	morti	at dø, at forgå	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(præposition) under ~, mens ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	en nation	a nation	grupo	alternativoj	prononco
level	koni	at kende (en person), at være bekendt med	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	at vide (et faktum, viden), at vide hvordan	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	altid, nogensinde	always, ever	grupo	alternativoj	prononco
level	iam	på et tidspunkt, en gang	at some time, once	grupo	alternativoj	prononco
level	tiam	derefter	then	grupo	alternativoj	prononco
level	-em-	(suffiks) tendens	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	en slags	some kind of	grupo	alternativoj	prononco
level	sukcesi	at lykkes	to succeed	grupo	alternativoj	prononco
level	ĉia	af alle slags, enhver slags	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	nej, ikke nogen form for, ikke nogen	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(endelses) afkom	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	et værelse, et kammer	a room, a chamber	grupo	alternativoj	prononco
level	patro	en far	a father	grupo	alternativoj	prononco
level	porko	et svin, et svin	a pig, swine	grupo	alternativoj	prononco
level	bo-	(præfiks) -sviger, ved ægteskab	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	Ja	indeed	grupo	alternativoj	prononco
level	-ism-	(suffiks) -isme	(suffix)  -ism	grupo	alternativoj	prononco
level	io	noget	something	grupo	alternativoj	prononco
level	veturi	at køre (et køretøj)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	en hane, en høne, kylling, høns	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	gratis	free	grupo	alternativoj	prononco
level	lasta	sidst	last	grupo	alternativoj	prononco
level	ĝoji	at glæde sig, at være glad, at nyde	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	at tage, at lægge fat i	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	en ko, en okse, kvæg	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	andet, andet, andet	another, other, else	grupo	alternativoj	prononco
level	varma	varmt, varmt	hot, warm	grupo	alternativoj	prononco
level	loĝi	at opholde sig, at leve, at bo, at bebo	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	at tro	to believe	grupo	alternativoj	prononco
level	glacio	en dejlig	an ice	grupo	alternativoj	prononco
level	loko	et sted, et sted	a place, a location	grupo	alternativoj	prononco
level	ovo	et æg	an egg	grupo	alternativoj	prononco
level	multa	en masse, meget, mange	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	en besiddelse	a possession	grupo	alternativoj	prononco
level	ŝafo	et får	a sheep	grupo	alternativoj	prononco
level	sono	en lyd	a sound	grupo	alternativoj	prononco
level	fiŝo	en fisk	a fish	grupo	alternativoj	prononco
level	bela	smuk, smuk, smuk	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	at svare, at svare, at svare	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	en lejlighed, en tid	an occasion, a time	grupo	alternativoj	prononco
level	demandi	at spørge	to ask	grupo	alternativoj	prononco
level	forta	stærk	strong	grupo	alternativoj	prononco
level	preter ~	hinsides ~, forbi ~, lige forbi	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	en stilhed	a silence	grupo	alternativoj	prononco
level	infano	et barn, et spædbarn	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	glad, heldig, heldig	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	at fange, at fange, at gribe	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	at ønske, at ønske	to desire, to wish	grupo	alternativoj	prononco
level	longa	lang	long	grupo	alternativoj	prononco
level	mondo	en verden	a world	grupo	alternativoj	prononco
level	okazi	at forekomme, at ske, at komme til	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	mark, en mark	field, a field	grupo	alternativoj	prononco
level	filo	en søn	a son	grupo	alternativoj	prononco
level	montri	at vise, at angive, at påpege	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	et hjerte	a heart	grupo	alternativoj	prononco
level	knabo	en dreng	a boy	grupo	alternativoj	prononco
level	meti	at sætte, at placere, at lægge sig	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	en mand	a husband	grupo	alternativoj	prononco
level	pako	pakke	package	grupo	alternativoj	prononco
level	rapida	hurtig, hurtig, hurtig	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	at synes, at synes at være	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	en hilsen, hilsen, hilsen	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	at skrive	to write	grupo	alternativoj	prononco
level	peti	at bede, at bede om, at anmode om, at tigge	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	at flyve	to fly	grupo	alternativoj	prononco
level	kapo	et hoved, en kappe	a head, a cape	grupo	alternativoj	prononco
level	krii	at råbe, at græde, at skrige, at råbe	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	rød	red	grupo	alternativoj	prononco
level	sinjoro	en herre, en herre	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	at holde, at hænge på	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	tid, en tid	time, a time	grupo	alternativoj	prononco
level	tuta	total, alle, hele, komplet, samlet	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	en mand	a man	grupo	alternativoj	prononco
level	vojo	en vej, en sti, en rute	a way, a path, a route	grupo	alternativoj	prononco
level	movi	at flytte	to move	grupo	alternativoj	prononco
level	militi	at bryde en krig, at kæmpe, at føre krig	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	nogle få, flere	a few, several	grupo	alternativoj	prononco
level	dekstra	højre, højre (side, retning), højrehånd	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	lukke, lukke	to close, to shut	grupo	alternativoj	prononco
level	okupi	at besætte, at tage	to occupy, to take	grupo	alternativoj	prononco
level	levi	løfte, løfte, løfte	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	at slå, at slå, at slå, at smage, at piske	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	at behøve, at ville, at kræve	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	at forstå, at indse	to understand, to realise	grupo	alternativoj	prononco
level	iri	at gå	to go	grupo	alternativoj	prononco
level	veni	at komme	to come	grupo	alternativoj	prononco
level	porti	at bære, at bære	to carry, to wear	grupo	alternativoj	prononco
level	kovri	at dække	to cover	grupo	alternativoj	prononco
level	hela	lyst, klart og let	bright, clear and light	grupo	alternativoj	prononco
level	sana	sund og rask	healthy	grupo	alternativoj	prononco
level	aperi	at dukke op, at komme frem	to appear, to emerge	grupo	alternativoj	prononco
level	libro	en bog	a book	grupo	alternativoj	prononco
level	atendi	at vente, at forvente, at vente på	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	en hånd	a hand	grupo	alternativoj	prononco
level	pentri	at male	to paint	grupo	alternativoj	prononco
level	instrui	at undervise, at instruere	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	at sidde	to sit	grupo	alternativoj	prononco
level	stari	at stå	to stand	grupo	alternativoj	prononco
level	afero	en ting, en genstand, en sag, en bekymring, en mater	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	fuld, komplet	full, complete	grupo	alternativoj	prononco
level	klara	klar	clear	grupo	alternativoj	prononco
level	komenci	at begynde, at begynde	to begin, to commence	grupo	alternativoj	prononco
level	dormi	at sove, at være i søvn	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	en del, en andel	a part, a share	grupo	alternativoj	prononco
level	mono	penge	money	grupo	alternativoj	prononco
level	ricevi	at modtage	to receive	grupo	alternativoj	prononco
level	ami	at elske	to love	grupo	alternativoj	prononco
level	devi	at skulle, skal, burde, burde	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	kunne, kan	be able to, can	grupo	alternativoj	prononco
level	labori	at arbejde, at arbejde	to work, to labor	grupo	alternativoj	prononco
level	dio	en gud	a god	grupo	alternativoj	prononco
level	urbo	en by, en by	a city, a town	grupo	alternativoj	prononco
level	ofta	hyppigt, ofte	freqent, often	grupo	alternativoj	prononco
level	soni	at lyde, at lave lyd	to sound, to make sound	grupo	alternativoj	prononco
level	tero	jord, jord, jord	earth, land, soil	grupo	alternativoj	prononco
level	vivi	at leve, at være i live	to live, to be alive	grupo	alternativoj	prononco
level	resti	at blive, at blive	to stay, to remain	grupo	alternativoj	prononco
level	ridi	at grine	to laugh	grupo	alternativoj	prononco
level	homo	et menneske, en mand	a human, a man	grupo	alternativoj	prononco
level	akvo	vand	water	grupo	alternativoj	prononco
level	vorto	et ord	a word	grupo	alternativoj	prononco
level	certa	sikkert, sikkert	certain, sure	grupo	alternativoj	prononco
level	lando	et land, et land	a land, a country	grupo	alternativoj	prononco
level	sama	samme	same	grupo	alternativoj	prononco
level	ĵeti	at kaste	to throw	grupo	alternativoj	prononco
level	stelo	en stjerne	a star	grupo	alternativoj	prononco
level	domo	et hus, et hjem	a house, a home	grupo	alternativoj	prononco
level	nomo	et navn, en appellation	a name, an appellation	grupo	alternativoj	prononco
level	vidi	at se	to see	grupo	alternativoj	prononco
level	mola	blød	soft	grupo	alternativoj	prononco
level	horo	en time, klokken, tid	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	en form, en form	a form, a shape	grupo	alternativoj	prononco
level	tago	en dag	a day	grupo	alternativoj	prononco
level	fumo	en smøg	a smoke	grupo	alternativoj	prononco
level	ĉevalo	en hest	a horse	grupo	alternativoj	prononco
level	jaro	et år	a year	grupo	alternativoj	prononco
level	vojaĝi	at rejse	to travel	grupo	alternativoj	prononco
level	celo	et mål, et mål, et formål, et mål	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	at føde, at bære, at skabe	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	at savne, at mangle, at mangle	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	en fugl	a bird	grupo	alternativoj	prononco
level	halti	at stoppe, at standse, at komme i stå	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	en bror	a brother	grupo	alternativoj	prononco
level	monto	et bjerg	a mountain	grupo	alternativoj	prononco
level	pensi	at tænke	to think	grupo	alternativoj	prononco
level	permesi	at tillade, at tillade	to permit, to allow	grupo	alternativoj	prononco
level	kosti	at koste	to cost	grupo	alternativoj	prononco
level	lito	en seng, en sofa	a bed, a couch	grupo	alternativoj	prononco
level	perdi	at tabe	to lose	grupo	alternativoj	prononco
level	miri	at overraske, at blive forbløffet, at blive forbavset	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	en person	a person	grupo	alternativoj	prononco
level	diversa	forskelligartet, varieret, forskelligartet	diverse, varied, various	grupo	alternativoj	prononco
level	provi	at prøve, at forsøge	to try, to attempt	grupo	alternativoj	prononco
level	pagi	at betale	to pay	grupo	alternativoj	prononco
level	prezenti	at præsentere, at introducere	to present, to introduce	grupo	alternativoj	prononco
level	aparta	adskilt, særskilt, adskilt	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	ret, en ret	right, a right	grupo	alternativoj	prononco
level	mateno	morgen, en morgen	morning, a morning	grupo	alternativoj	prononco
level	agrabla	behagelig, behagelig, rar	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	aften, en aften	evening, an evening	grupo	alternativoj	prononco
level	muro	en væg	a wall	grupo	alternativoj	prononco
level	suno	sol, en sol	sun, a sun	grupo	alternativoj	prononco
level	rigardi	at se, at se på	to look, to look at	grupo	alternativoj	prononco
level	senti	at føle, at sanse	to feel, to sense	grupo	alternativoj	prononco
level	blanka	hvid, blank	white, blank	grupo	alternativoj	prononco
level	simpla	enkel	simple	grupo	alternativoj	prononco
level	rimarki	at lægge mærke til	to notice	grupo	alternativoj	prononco
level	lingvo	et sprog, tunge	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	at ændre, at vende	to change, to turn	grupo	alternativoj	prononco
level	renkonti	at møde, at møde, at støde på	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	at bruge	to use	grupo	alternativoj	prononco
level	timi	at frygte, at være bange for	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	ægte, sandt	real, true	grupo	alternativoj	prononco
level	sola	alene, kun, eneste, ensom	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	fred, en fred	peace, a peace	grupo	alternativoj	prononco
level	rakonti	at fortælle, fortælle, fortælle	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	farve, en farve	color, a color	grupo	alternativoj	prononco
