C.cs content.tsv
Level	Esperanto	cs	en-us	Grupo	Alternativoj	Pronoco
level	ho!	Ach! Ahoj!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	že ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	protože ~	because ~	grupo	alternativoj	prononco
level	ĉu	zda ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(přípona) místo	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(přípona) abstraktní název kvality	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	oba ~	both ~	grupo	alternativoj	prononco
level	tuj	hned, hned, hned	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	jako by ~	as if ~	grupo	alternativoj	prononco
level	kiam	když	when	grupo	alternativoj	prononco
level	silenti	mlčet, mlčet	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	nikdy, nikdy, nikdy	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	tedy tak	therefore, so	grupo	alternativoj	prononco
level	kial	proč, k čemu	why, what for	grupo	alternativoj	prononco
level	kvankam	ačkoli ~, zatímco, ačkoli	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(předložka) u ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	více	more	grupo	alternativoj	prononco
level	plej	většina	most	grupo	alternativoj	prononco
level	diri	říct, říct	to say, to tell	grupo	alternativoj	prononco
level	ol ~	než ~	than ~	grupo	alternativoj	prononco
level	paroli	mluvit, mluvit	to speak, to talk	grupo	alternativoj	prononco
level	kia	jaký, jaký	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	takový, takový, takový	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	sotva, sotva, sotva	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	poslat	to send	grupo	alternativoj	prononco
level	ĵus	právě (před chvílí), právě teď	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(přípona) imperativ	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	venku ~	outside ~	grupo	alternativoj	prononco
level	ge-	(předpona) oba pohlaví, oba rod	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(přípona) by, měl by, konjunktiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	již brzy	soon	grupo	alternativoj	prononco
level	almenaŭ	alespoň, když už nic jiného	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(přípona) nádoba; země	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	učit se	to learn	grupo	alternativoj	prononco
level	ek-	(předpona) začátek; náhlý start	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	pokud, za předpokladu, že	if, provided that	grupo	alternativoj	prononco
level	eĉ	dokonce	even	grupo	alternativoj	prononco
level	amo	láska	a love	grupo	alternativoj	prononco
level	jam	již, tak brzy, již nyní	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Tady! Hle! Spatřit	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	skončit, skončit, ukončit	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	tak, tedy, proto	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~kdykoli, (co)kdy, vůbec, -jakkoli	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	snadné, snadné	easy, facile	grupo	alternativoj	prononco
level	re-	(předpona) znovu-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	velký, velký, velký	big, great, large	grupo	alternativoj	prononco
level	-ist-	(přípona) profesionální	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(předložka) kvůli ~, kvůli ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(přípona) vůdce, šéf, hlava, náčelník	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	co	what	grupo	alternativoj	prononco
level	manĝi	jíst	to eat	grupo	alternativoj	prononco
level	nenio	nic, nic, nic	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	Mladá	young	grupo	alternativoj	prononco
level	ĉio	všechno	everything	grupo	alternativoj	prononco
level	riĉa	bohatý, bohatý, dobře situovaný	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	ta věc, to	that thing, that	grupo	alternativoj	prononco
level	konstrui	postavit, postavit	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(předpona) hlavní, vedoucí, hlavní	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(předložka) bez ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(předložka) s ~ (společně)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(předložka) kromě ~, kromě ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	přítel	a friend	grupo	alternativoj	prononco
level	kies	čí, který je, z čeho	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(předložka) pomocí ~ (metoda), s ~ (nástroj)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	proti ~	against ~	grupo	alternativoj	prononco
level	el ~	z ~, z ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	dnes	today	grupo	alternativoj	prononco
level	hieraŭ	včera	yesterday	grupo	alternativoj	prononco
level	nur	jen, jen, výhradně	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	pomáhat, pomáhat, pomáhat	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(příslovce) daleko, daleko	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ani, ani	nor, neither	grupo	alternativoj	prononco
level	malamo	nenávist	a hate	grupo	alternativoj	prononco
level	preskaŭ	skoro, skoro	almost, nearly	grupo	alternativoj	prononco
level	tra ~	přes ~	through ~	grupo	alternativoj	prononco
level	super	nad, nahoře	over, above	grupo	alternativoj	prononco
level	trans ~	přes ~, přes ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	dobře, dobře tedy, teď	well, well then, now	grupo	alternativoj	prononco
level	pri ~	o ~	about ~	grupo	alternativoj	prononco
level	por ~	pro ~, v pořadí pro ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	zítra	tomorrow	grupo	alternativoj	prononco
level	nun	nyní, v současnosti	now, at present	grupo	alternativoj	prononco
level	laŭ ~	podle ~, podél ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	každý, každý, každý, všichni	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	kdo, který, který	who, which, which one	grupo	alternativoj	prononco
level	tiu	ten člověk, ten ~, ten, támhle	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	někdo, někdo, někdo	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	nikdo, nikdo, taky ne	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	do ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(přípona) ~schopný	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	doufat	to hope	grupo	alternativoj	prononco
level	unu	jeden	one	grupo	alternativoj	prononco
level	du	dva	two	grupo	alternativoj	prononco
level	tri	tři	three	grupo	alternativoj	prononco
level	kvar	čtyři	four	grupo	alternativoj	prononco
level	kvin	Pět	five	grupo	alternativoj	prononco
level	ses	šest	six	grupo	alternativoj	prononco
level	sep	sedm	seven	grupo	alternativoj	prononco
level	ok	osm	eight	grupo	alternativoj	prononco
level	naŭ	devět	nine	grupo	alternativoj	prononco
level	dek	deset	ten	grupo	alternativoj	prononco
level	cent	sto	a hundred	grupo	alternativoj	prononco
level	mil	tisíc	a thousand	grupo	alternativoj	prononco
level	-obl-	(přípona) pro násobnost, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(přípona) ~th, zlomek	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	lásky	of love	grupo	alternativoj	prononco
level	anstataŭ ~	místo ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(přípona) stát se	(suffix)  become	grupo	alternativoj	prononco
level	voli	chtít, chtít, být ochoten	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(přípona) způsobit stát se	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	následovat	to follow	grupo	alternativoj	prononco
level	ĝoje	rád	gladly	grupo	alternativoj	prononco
level	legi	číst	to read	grupo	alternativoj	prononco
level	silenta	tichý	silent	grupo	alternativoj	prononco
level	la	a	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(přípona) nástroj, metoda	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	pít (nealkohol)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(přípona) malý, malý	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(přípona) velký, velký	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(předložka) mezi ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(přípona) související chování	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(přípona) sada, skupina	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(přípona) člen skupiny	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	poděkovat	to thank	grupo	alternativoj	prononco
level	-ind-	(přípona) hodný, hodný	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	ještě více, dále a tak dále, více	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	jak, jako, jakým způsobem, jako např	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	takový, tím způsobem, takto	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(předložka) v ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(předložka) vedle ~, vedle ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(předložka) pod, pod ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(předložka) na ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(předložka) neurčitý prep., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(příslovce) stále, přesto	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(předložka) kolem ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	ale	but	grupo	alternativoj	prononco
level	ie	někde	somewhere	grupo	alternativoj	prononco
level	kie	kde, na jakém místě	where, at what place	grupo	alternativoj	prononco
level	silente	tiše	silently	grupo	alternativoj	prononco
level	ĉie	všude kolem	everywhere, all about	grupo	alternativoj	prononco
level	nenie	nikde, v žádném případě, nikde	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	tam, támhle, támhle	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	toto ~	this ~	grupo	alternativoj	prononco
level	kanti	zpívat	to sing	grupo	alternativoj	prononco
level	morti	zemřít, zemřít	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(předložka) během ~, zatímco ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	národ	a nation	grupo	alternativoj	prononco
level	koni	poznat (člověka), seznámit se s	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	vědět (skutečnost, znalost), vědět jak	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	vždy, vždy	always, ever	grupo	alternativoj	prononco
level	iam	někdy, jednou	at some time, once	grupo	alternativoj	prononco
level	tiam	pak	then	grupo	alternativoj	prononco
level	-em-	(přípona) tendence	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	nějaký druh	some kind of	grupo	alternativoj	prononco
level	sukcesi	uspět	to succeed	grupo	alternativoj	prononco
level	ĉia	všeho druhu, všeho druhu	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	ne, žádný druh, žádný	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(přípona) potomstvo	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	pokoj, komora	a room, a chamber	grupo	alternativoj	prononco
level	patro	otec	a father	grupo	alternativoj	prononco
level	porko	prase, prase	a pig, swine	grupo	alternativoj	prononco
level	bo-	(předpona) -in-law, sňatkem	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	Vskutku	indeed	grupo	alternativoj	prononco
level	-ism-	(přípona) -ismus	(suffix)  -ism	grupo	alternativoj	prononco
level	io	něco	something	grupo	alternativoj	prononco
level	veturi	řídit (vozidlo)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	kohout, slepice, kuře, drůbež	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	volný, uvolnit	free	grupo	alternativoj	prononco
level	lasta	poslední	last	grupo	alternativoj	prononco
level	ĝoji	radovat se, radovat se, těšit se	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	vzít, zmocnit se	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	kráva, vůl, skot	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	jiný, jiný, jiný	another, other, else	grupo	alternativoj	prononco
level	varma	horko, teplo	hot, warm	grupo	alternativoj	prononco
level	loĝi	bydlet, bydlet, bydlet, bydlet	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	věřit	to believe	grupo	alternativoj	prononco
level	glacio	pěkný	an ice	grupo	alternativoj	prononco
level	loko	místo, umístění	a place, a location	grupo	alternativoj	prononco
level	ovo	vejce	an egg	grupo	alternativoj	prononco
level	multa	mnoho, mnoho, mnoho	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	majetek	a possession	grupo	alternativoj	prononco
level	ŝafo	ovce	a sheep	grupo	alternativoj	prononco
level	sono	zvuk	a sound	grupo	alternativoj	prononco
level	fiŝo	ryba	a fish	grupo	alternativoj	prononco
level	bela	krásný, hezký, hezký	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	odpovědět, odpovědět, odpovědět	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	příležitost, čas	an occasion, a time	grupo	alternativoj	prononco
level	demandi	zeptat se	to ask	grupo	alternativoj	prononco
level	forta	silný	strong	grupo	alternativoj	prononco
level	preter ~	za ~, minulé ~, přímo minulé	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	ticho	a silence	grupo	alternativoj	prononco
level	infano	dítě, nemluvně	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	šťastný, šťastný, šťastný	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	chytit, chytit, chytit se	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	toužit, přát si	to desire, to wish	grupo	alternativoj	prononco
level	longa	dlouho	long	grupo	alternativoj	prononco
level	mondo	svět	a world	grupo	alternativoj	prononco
level	okazi	nastat, stát se, nastat	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	pole, pole	field, a field	grupo	alternativoj	prononco
level	filo	syn	a son	grupo	alternativoj	prononco
level	montri	ukázat, naznačit, upozornit	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	srdce	a heart	grupo	alternativoj	prononco
level	knabo	kluk	a boy	grupo	alternativoj	prononco
level	meti	položit, položit, položit	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	manžel	a husband	grupo	alternativoj	prononco
level	pako	balík	package	grupo	alternativoj	prononco
level	rapida	rychle, rychle, rychle	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	zdát se, zdát se býti	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	pozdrav, pozdrav, pozdrav	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	psát	to write	grupo	alternativoj	prononco
level	peti	žádat, žádat, žádat, prosit	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	letět	to fly	grupo	alternativoj	prononco
level	kapo	hlava, plášť	a head, a cape	grupo	alternativoj	prononco
level	krii	křičet, křičet, křičet, křičet	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	Červené	red	grupo	alternativoj	prononco
level	sinjoro	pán, gentleman	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	držet, držet se	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	čas, čas	time, a time	grupo	alternativoj	prononco
level	tuta	celkem, vše, celek, kompletní, celkově	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	muž	a man	grupo	alternativoj	prononco
level	vojo	cesta, cesta, cesta	a way, a path, a route	grupo	alternativoj	prononco
level	movi	pohybovat se	to move	grupo	alternativoj	prononco
level	militi	rozbít válku, bojovat, vést válku	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	několik, několik	a few, several	grupo	alternativoj	prononco
level	dekstra	vpravo, vpravo (strana, směr), vpravo	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	zavřít, zavřít	to close, to shut	grupo	alternativoj	prononco
level	okupi	obsadit, vzít	to occupy, to take	grupo	alternativoj	prononco
level	levi	pákovat, zvednout, zvednout	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	bít, bít, bít, smekat, bičovat	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	potřebovat, chtít, vyžadovat	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	pochopit, uvědomit si	to understand, to realise	grupo	alternativoj	prononco
level	iri	jít	to go	grupo	alternativoj	prononco
level	veni	přijít	to come	grupo	alternativoj	prononco
level	porti	nosit, nosit	to carry, to wear	grupo	alternativoj	prononco
level	kovri	zakrýt	to cover	grupo	alternativoj	prononco
level	hela	jasný, jasný a lehký	bright, clear and light	grupo	alternativoj	prononco
level	sana	zdravý	healthy	grupo	alternativoj	prononco
level	aperi	objevit se, vynořit se	to appear, to emerge	grupo	alternativoj	prononco
level	libro	kniha	a book	grupo	alternativoj	prononco
level	atendi	čekat, očekávat, čekat	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	ruka	a hand	grupo	alternativoj	prononco
level	pentri	malovat	to paint	grupo	alternativoj	prononco
level	instrui	učit, poučovat	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	sedět	to sit	grupo	alternativoj	prononco
level	stari	stát	to stand	grupo	alternativoj	prononco
level	afero	věc, předmět, případ, starost, mater	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	plný, úplný	full, complete	grupo	alternativoj	prononco
level	klara	Průhledná	clear	grupo	alternativoj	prononco
level	komenci	začít, začít	to begin, to commence	grupo	alternativoj	prononco
level	dormi	spát, spát	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	díl, podíl	a part, a share	grupo	alternativoj	prononco
level	mono	peníze	money	grupo	alternativoj	prononco
level	ricevi	obdržet	to receive	grupo	alternativoj	prononco
level	ami	milovat	to love	grupo	alternativoj	prononco
level	devi	muset, musí, měl by, měl by	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	umět, umí	be able to, can	grupo	alternativoj	prononco
level	labori	pracovat, pracovat	to work, to labor	grupo	alternativoj	prononco
level	dio	Bůh	a god	grupo	alternativoj	prononco
level	urbo	město, město	a city, a town	grupo	alternativoj	prononco
level	ofta	často, často	freqent, often	grupo	alternativoj	prononco
level	soni	vydávat zvuk, vydávat zvuk	to sound, to make sound	grupo	alternativoj	prononco
level	tero	země, země, půda	earth, land, soil	grupo	alternativoj	prononco
level	vivi	žít, být naživu	to live, to be alive	grupo	alternativoj	prononco
level	resti	zůstat, zůstat	to stay, to remain	grupo	alternativoj	prononco
level	ridi	smát se	to laugh	grupo	alternativoj	prononco
level	homo	člověk, člověk	a human, a man	grupo	alternativoj	prononco
level	akvo	voda	water	grupo	alternativoj	prononco
level	vorto	slovo	a word	grupo	alternativoj	prononco
level	certa	jistý, jistý	certain, sure	grupo	alternativoj	prononco
level	lando	země, země	a land, a country	grupo	alternativoj	prononco
level	sama	stejný	same	grupo	alternativoj	prononco
level	ĵeti	hodit	to throw	grupo	alternativoj	prononco
level	stelo	hvězda	a star	grupo	alternativoj	prononco
level	domo	dům, domov	a house, a home	grupo	alternativoj	prononco
level	nomo	jméno, pojmenování	a name, an appellation	grupo	alternativoj	prononco
level	vidi	vidět	to see	grupo	alternativoj	prononco
level	mola	měkký	soft	grupo	alternativoj	prononco
level	horo	hodinu, hodinu, čas	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	forma, tvar	a form, a shape	grupo	alternativoj	prononco
level	tago	den	a day	grupo	alternativoj	prononco
level	fumo	kouř	a smoke	grupo	alternativoj	prononco
level	ĉevalo	kůň	a horse	grupo	alternativoj	prononco
level	jaro	rok	a year	grupo	alternativoj	prononco
level	vojaĝi	cestovat	to travel	grupo	alternativoj	prononco
level	celo	cíl, cíl, účel, cíl	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	rodit, rodit, rodit	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	chybět, chybět, chybět	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	pták	a bird	grupo	alternativoj	prononco
level	halti	zastavit se, zastavit se, zastavit se	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	bratr	a brother	grupo	alternativoj	prononco
level	monto	Hora	a mountain	grupo	alternativoj	prononco
level	pensi	myslet	to think	grupo	alternativoj	prononco
level	permesi	dovolit, dovolit	to permit, to allow	grupo	alternativoj	prononco
level	kosti	stát	to cost	grupo	alternativoj	prononco
level	lito	postel, gauč	a bed, a couch	grupo	alternativoj	prononco
level	perdi	prohrát	to lose	grupo	alternativoj	prononco
level	miri	překvapit, být ohromen, být ohromen	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	osoba	a person	grupo	alternativoj	prononco
level	diversa	rozmanité, rozmanité, rozmanité	diverse, varied, various	grupo	alternativoj	prononco
level	provi	pokusit se, pokusit se	to try, to attempt	grupo	alternativoj	prononco
level	pagi	platit	to pay	grupo	alternativoj	prononco
level	prezenti	představit, představit	to present, to introduce	grupo	alternativoj	prononco
level	aparta	oddělený, zvláštní, oddělený	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	právo, právo	right, a right	grupo	alternativoj	prononco
level	mateno	ráno, ráno	morning, a morning	grupo	alternativoj	prononco
level	agrabla	příjemné, příjemné, milé	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	večer, večer	evening, an evening	grupo	alternativoj	prononco
level	muro	stěna	a wall	grupo	alternativoj	prononco
level	suno	slunce, slunce	sun, a sun	grupo	alternativoj	prononco
level	rigardi	dívat se, dívat se	to look, to look at	grupo	alternativoj	prononco
level	senti	cítit, cítit	to feel, to sense	grupo	alternativoj	prononco
level	blanka	bílé, prázdné	white, blank	grupo	alternativoj	prononco
level	simpla	jednoduchý	simple	grupo	alternativoj	prononco
level	rimarki	všimnout si	to notice	grupo	alternativoj	prononco
level	lingvo	jazyk, jazyk	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	změnit, obrátit	to change, to turn	grupo	alternativoj	prononco
level	renkonti	setkat se, setkat se, narazit	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	použít	to use	grupo	alternativoj	prononco
level	timi	bát se, bát se	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	skutečné, pravdivé	real, true	grupo	alternativoj	prononco
level	sola	sám, jediný, jediný, osamělý	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	mír, mír	peace, a peace	grupo	alternativoj	prononco
level	rakonti	vyprávět, vyprávět, vyprávět	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	barva, barva	color, a color	grupo	alternativoj	prononco
level	pura	čistý, čistý	clean, pure	grupo	alternativoj	prononco
level	aŭdi	slyšet	to hear	grupo	alternativoj	prononco
level	punkto	bod, bod, bod	a point, a dot, a spot	grupo	alternativoj	prononco
level	buŝo	ústa	a mouth	grupo	alternativoj	prononco
