C.ar content.tsv
Level	Esperanto	ar	en-us	Grupo	Alternativoj	Pronoco
level	tempo	وقت، وقت	time, a time	grupo	alternativoj	prononco
level	tuta	إجمالي، كل، كامل، كامل، إجمالي	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	رجل	a man	grupo	alternativoj	prononco
level	vojo	طريق، طريق، طريق	a way, a path, a route	grupo	alternativoj	prononco
level	movi	للانتقال	to move	grupo	alternativoj	prononco
level	militi	لكسر الحرب، للقتال، لشن الحرب	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	عدد قليل، عدة	a few, several	grupo	alternativoj	prononco
level	dekstra	يمين، يمين (جانب، اتجاه)، يمين	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	ليغلق، ليغلق	to close, to shut	grupo	alternativoj	prononco
level	okupi	لاحتلال، لاتخاذ	to occupy, to take	grupo	alternativoj	prononco
level	levi	للرفع، للرفع، للرفع	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	يضرب، يضرب، يضرب، يضرب، يجلد	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	أن تحتاج، أن تريد، أن تتطلب	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	لفهم، لتحقيق	to understand, to realise	grupo	alternativoj	prononco
level	iri	توجو	to go	grupo	alternativoj	prononco
level	veni	ليأتي	to come	grupo	alternativoj	prononco
level	porti	لحمل، لارتداء	to carry, to wear	grupo	alternativoj	prononco
level	kovri	لتغطية	to cover	grupo	alternativoj	prononco
level	hela	مشرق وواضح وخفيف	bright, clear and light	grupo	alternativoj	prononco
level	sana	صحيح	healthy	grupo	alternativoj	prononco
level	aperi	للظهور، للظهور	to appear, to emerge	grupo	alternativoj	prononco
level	libro	كتاب	a book	grupo	alternativoj	prononco
level	atendi	أن ننتظر، أن نتوقع، أن ننتظر	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	يد	a hand	grupo	alternativoj	prononco
level	pentri	للصبغ	to paint	grupo	alternativoj	prononco
level	instrui	لتعليم، لإرشاد	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	للجلوس	to sit	grupo	alternativoj	prononco
level	stari	للوقوف	to stand	grupo	alternativoj	prononco
level	afero	شيء، كائن، قضية، قلق، أم	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	كامل، كامل	full, complete	grupo	alternativoj	prononco
level	klara	واضح	clear	grupo	alternativoj	prononco
level	komenci	للبدء، للبدء	to begin, to commence	grupo	alternativoj	prononco
level	dormi	للنوم، لتكون نائما	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	جزء، حصة	a part, a share	grupo	alternativoj	prononco
level	mono	مال	money	grupo	alternativoj	prononco
level	ricevi	لاستقبال	to receive	grupo	alternativoj	prononco
level	ami	يحب	to love	grupo	alternativoj	prononco
level	devi	يجب أن، يجب، ينبغي، ينبغي	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	تكون قادرة على، يمكن	be able to, can	grupo	alternativoj	prononco
level	labori	للعمل، للعمل	to work, to labor	grupo	alternativoj	prononco
level	dio	اله	a god	grupo	alternativoj	prononco
level	urbo	مدينة، بلدة	a city, a town	grupo	alternativoj	prononco
level	ofta	متكرر، في كثير من الأحيان	freqent, often	grupo	alternativoj	prononco
level	soni	لإصدار صوت، لإصدار صوت	to sound, to make sound	grupo	alternativoj	prononco
level	tero	الأرض، الأرض، التربة	earth, land, soil	grupo	alternativoj	prononco
level	vivi	أن تعيش، أن تكون على قيد الحياة	to live, to be alive	grupo	alternativoj	prononco
level	resti	للبقاء، للبقاء	to stay, to remain	grupo	alternativoj	prononco
level	ridi	لتضحك	to laugh	grupo	alternativoj	prononco
level	homo	إنسان، رجل	a human, a man	grupo	alternativoj	prononco
level	akvo	ماء	water	grupo	alternativoj	prononco
level	vorto	كلمة	a word	grupo	alternativoj	prononco
level	certa	بالتأكيد	certain, sure	grupo	alternativoj	prononco
level	lando	أرض، بلد	a land, a country	grupo	alternativoj	prononco
level	sama	نفس	same	grupo	alternativoj	prononco
level	ĵeti	لرمي	to throw	grupo	alternativoj	prononco
level	stelo	نجم	a star	grupo	alternativoj	prononco
level	domo	منزل، منزل	a house, a home	grupo	alternativoj	prononco
level	nomo	اسم، تسمية	a name, an appellation	grupo	alternativoj	prononco
level	vidi	لترى	to see	grupo	alternativoj	prononco
level	mola	ناعم	soft	grupo	alternativoj	prononco
level	horo	الساعة، الساعة، الوقت	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	شكل، شكل	a form, a shape	grupo	alternativoj	prononco
level	tago	يوم	a day	grupo	alternativoj	prononco
level	fumo	دخان	a smoke	grupo	alternativoj	prononco
level	ĉevalo	حصان	a horse	grupo	alternativoj	prononco
level	jaro	سنة	a year	grupo	alternativoj	prononco
level	vojaĝi	للسفر	to travel	grupo	alternativoj	prononco
level	celo	هدف، هدف، غرض، هدف	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	تلد، تحمل، تولد	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	أن تفوت، أن تكون مفقودة، أن تكون في عداد المفقودين	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	طائر	a bird	grupo	alternativoj	prononco
level	halti	للتوقف، للتوقف، للتوقف	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	أخ	a brother	grupo	alternativoj	prononco
level	monto	جبل	a mountain	grupo	alternativoj	prononco
level	pensi	ليفكر	to think	grupo	alternativoj	prononco
level	permesi	للسماح، للسماح	to permit, to allow	grupo	alternativoj	prononco
level	kosti	يكلف	to cost	grupo	alternativoj	prononco
level	lito	سرير، أريكة	a bed, a couch	grupo	alternativoj	prononco
level	perdi	لتخسر	to lose	grupo	alternativoj	prononco
level	miri	لتتفاجأ، لتندهش، لتندهش	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	شخص	a person	grupo	alternativoj	prononco
level	diversa	متنوعة ومتنوعة ومتنوعة	diverse, varied, various	grupo	alternativoj	prononco
level	provi	لمحاولة، لمحاولة	to try, to attempt	grupo	alternativoj	prononco
level	pagi	للدفع	to pay	grupo	alternativoj	prononco
level	prezenti	لتقديم، لتقديم	to present, to introduce	grupo	alternativoj	prononco
level	aparta	منفصلة، خاصة، منفصلة	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	حق، حق	right, a right	grupo	alternativoj	prononco
