C.pl content.tsv
Level	Esperanto	pl	en-us	Grupo	Alternativoj	Pronoco
level	ambaŭ ~	oba ~	both ~	grupo	alternativoj	prononco
level	tuj	natychmiast, natychmiast, natychmiast	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	jakby ~	as if ~	grupo	alternativoj	prononco
level	kiam	Kiedy	when	grupo	alternativoj	prononco
level	silenti	milczeć, być cicho	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	nigdy, w żadnym momencie, nigdy	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	dlatego, więc	therefore, so	grupo	alternativoj	prononco
level	kial	dlaczego, po co	why, what for	grupo	alternativoj	prononco
level	kvankam	chociaż ~, podczas gdy, chociaż	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(przyimek) w ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	więcej	more	grupo	alternativoj	prononco
level	plej	bardzo	most	grupo	alternativoj	prononco
level	diri	powiedzieć, powiedzieć	to say, to tell	grupo	alternativoj	prononco
level	ol ~	niż ~	than ~	grupo	alternativoj	prononco
level	paroli	mówić, rozmawiać	to speak, to talk	grupo	alternativoj	prononco
level	kia	jaki rodzaj, jaki rodzaj	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	taki, taki, taki	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	ledwo, ledwo, ledwo	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	wysyłać	to send	grupo	alternativoj	prononco
level	ĵus	właśnie (chwilę temu), właśnie teraz	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(przyrostek) konieczny	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	na zewnątrz ~	outside ~	grupo	alternativoj	prononco
level	ge-	(przedrostek) obie płcie, obie płcie	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(przyrostek) oznaczałby, powinien, tryb łączący	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	Wkrótce	soon	grupo	alternativoj	prononco
level	almenaŭ	przynajmniej, jeśli nic więcej	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	roz-	dis-	grupo	alternativoj	prononco
level	-uj-	(przyrostek) pojemnik; kraj	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	uczyć się	to learn	grupo	alternativoj	prononco
level	ek-	(przedrostek) początek; nagły początek	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	jeśli, pod warunkiem, że	if, provided that	grupo	alternativoj	prononco
level	eĉ	nawet	even	grupo	alternativoj	prononco
level	amo	miłość	a love	grupo	alternativoj	prononco
level	jam	już, tak szybko, jak na razie	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Tutaj! Lo! Ujrzeć	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	zakończyć, zakończyć, zakończyć	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	więc, więc, zatem	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ kiedykolwiek, (cokolwiek) kiedykolwiek, w ogóle, -jakkolwiek	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	łatwe, łatwe	easy, facile	grupo	alternativoj	prononco
level	re-	(przedrostek) ponownie	(prefix)  re-	grupo	alternativoj	prononco
level	granda	duży, świetny, duży	big, great, large	grupo	alternativoj	prononco
level	-ist-	(przyrostek) profesjonalny	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(przyimek) z powodu ~, z powodu ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(przyrostek) przywódca, szef, głowa, szef	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	Co	what	grupo	alternativoj	prononco
level	manĝi	jeść	to eat	grupo	alternativoj	prononco
level	nenio	nic, nic, nic	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	młody	young	grupo	alternativoj	prononco
level	ĉio	wszystko	everything	grupo	alternativoj	prononco
level	riĉa	bogaty, bogaty, zamożny	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	ta rzecz, tamto	that thing, that	grupo	alternativoj	prononco
level	konstrui	budować, konstruować	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(przedrostek) szef, wiodący, główny	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(przyimek) bez ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(przyimek) z ~ (razem)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(przyimek) z wyjątkiem ~, oprócz ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	przyjaciel	a friend	grupo	alternativoj	prononco
level	kies	czyj, który, z którego	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(przyimek) przez ~ (metoda), z ~ (narzędzie)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	przeciwko ~	against ~	grupo	alternativoj	prononco
level	el ~	z ~, z ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	Dzisiaj	today	grupo	alternativoj	prononco
level	hieraŭ	Wczoraj	yesterday	grupo	alternativoj	prononco
level	nur	tylko, tylko, wyłącznie	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	pomóc, pomóc, pomóc	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(przysłówek) daleko, daleko	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ani, ani	nor, neither	grupo	alternativoj	prononco
level	malamo	nienawiść	a hate	grupo	alternativoj	prononco
level	preskaŭ	prawie, prawie	almost, nearly	grupo	alternativoj	prononco
level	tra ~	przez ~	through ~	grupo	alternativoj	prononco
level	super	ponad, powyżej	over, above	grupo	alternativoj	prononco
level	trans ~	ponad ~, przez ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	cóż, wtedy, teraz	well, well then, now	grupo	alternativoj	prononco
level	pri ~	o ~	about ~	grupo	alternativoj	prononco
level	por ~	dla ~, aby ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	jutro	tomorrow	grupo	alternativoj	prononco
level	nun	teraz, obecnie	now, at present	grupo	alternativoj	prononco
level	laŭ ~	według ~, wzdłuż ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	każdy, każdy, wszyscy, wszyscy	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	kto, który, który	who, which, which one	grupo	alternativoj	prononco
level	tiu	ta osoba, ta ~, ta, tam	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	ktoś, ktoś, jakiś	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	nikt, nikt, ani	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	do ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(przyrostek) ~zdolny	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	mieć nadzieję	to hope	grupo	alternativoj	prononco
level	unu	jeden	one	grupo	alternativoj	prononco
level	du	dwa	two	grupo	alternativoj	prononco
level	tri	trzy	three	grupo	alternativoj	prononco
level	kvar	cztery	four	grupo	alternativoj	prononco
level	kvin	pięć	five	grupo	alternativoj	prononco
level	ses	sześć	six	grupo	alternativoj	prononco
level	sep	siedem	seven	grupo	alternativoj	prononco
level	ok	osiem	eight	grupo	alternativoj	prononco
level	naŭ	dziewięć	nine	grupo	alternativoj	prononco
level	dek	dziesięć	ten	grupo	alternativoj	prononco
level	cent	sto	a hundred	grupo	alternativoj	prononco
level	mil	tysiąc	a thousand	grupo	alternativoj	prononco
level	-obl-	(przyrostek) dla krotności, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(przyrostek) ~th, ułamek	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	z miłości	of love	grupo	alternativoj	prononco
level	anstataŭ ~	zamiast ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(przyrostek) stać się	(suffix)  become	grupo	alternativoj	prononco
level	voli	chcieć, chcieć, chcieć	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(przyrostek) powodować, aby stać się	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	podążać	to follow	grupo	alternativoj	prononco
level	ĝoje	ochoczo	gladly	grupo	alternativoj	prononco
level	legi	czytać	to read	grupo	alternativoj	prononco
level	silenta	cichy	silent	grupo	alternativoj	prononco
level	la	the	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(przyrostek) narzędzie, metoda	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	pić (bezalkoholowy)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(przyrostek) mały, mały	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(przyrostek) duży, duży	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(przyimek) pomiędzy ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(przyrostek) powiązane zachowanie	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(przyrostek) zestaw, grupa	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(przyrostek) członek grupy	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	podziękować	to thank	grupo	alternativoj	prononco
level	-ind-	(przyrostek) wartościowy, godny	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	jeszcze więcej, dalej i tak dalej, więcej	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	jak, jak, w jaki sposób, np	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	taki, w ten sposób, w ten sposób	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(przyimek) w ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(przyimek) obok ~, obok ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(przyimek) pod, pod ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(przyimek) na ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(przyimek) czasownik nieokreślony, w, w, przez, na	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(przysłówek) jeszcze, jeszcze	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(przyimek) wokół ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	Ale	but	grupo	alternativoj	prononco
level	ie	gdzieś	somewhere	grupo	alternativoj	prononco
level	kie	gdzie, w jakim miejscu	where, at what place	grupo	alternativoj	prononco
level	silente	bezgłośnie	silently	grupo	alternativoj	prononco
level	ĉie	wszędzie, dookoła	everywhere, all about	grupo	alternativoj	prononco
level	nenie	nigdzie, w żadnym wypadku, nigdzie	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	tam, tam, tam	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	to ~	this ~	grupo	alternativoj	prononco
level	kanti	śpiewać	to sing	grupo	alternativoj	prononco
level	morti	umrzeć, przeminąć	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(przyimek) podczas ~, podczas gdy ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	naród	a nation	grupo	alternativoj	prononco
level	koni	znać (osobę), poznawać	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	wiedzieć (fakt, wiedza), wiedzieć jak	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	zawsze, kiedykolwiek	always, ever	grupo	alternativoj	prononco
level	iam	kiedyś, raz	at some time, once	grupo	alternativoj	prononco
level	tiam	Następnie	then	grupo	alternativoj	prononco
level	-em-	(przyrostek) tendencja	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	jakiś rodzaj	some kind of	grupo	alternativoj	prononco
level	sukcesi	odnieść sukces	to succeed	grupo	alternativoj	prononco
level	ĉia	wszelkiego rodzaju, wszelkiego rodzaju	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	nie, nie byle jaki, żaden	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(przyrostek) potomstwo	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	pokój, komnata	a room, a chamber	grupo	alternativoj	prononco
level	patro	ojciec	a father	grupo	alternativoj	prononco
level	porko	świnia, świnia	a pig, swine	grupo	alternativoj	prononco
level	bo-	(przedrostek) - teść, przez małżeństwo	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	Rzeczywiście	indeed	grupo	alternativoj	prononco
level	-ism-	(przyrostek) -izm	(suffix)  -ism	grupo	alternativoj	prononco
level	io	coś	something	grupo	alternativoj	prononco
level	veturi	prowadzić (pojazd)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	kogut, kura, kurczak, ptactwo	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	bezpłatny	free	grupo	alternativoj	prononco
level	lasta	ostatni	last	grupo	alternativoj	prononco
level	ĝoji	cieszyć się, cieszyć się, cieszyć się	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	brać, chwytać	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	krowa, wół, bydło	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	inny, inny, inny	another, other, else	grupo	alternativoj	prononco
level	varma	gorąco, ciepło	hot, warm	grupo	alternativoj	prononco
level	loĝi	mieszkać, żyć, mieszkać, mieszkać	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	wierzyć	to believe	grupo	alternativoj	prononco
level	glacio	miły	an ice	grupo	alternativoj	prononco
level	loko	miejsce, lokalizacja	a place, a location	grupo	alternativoj	prononco
level	ovo	jajko	an egg	grupo	alternativoj	prononco
level	multa	dużo, dużo, wiele	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	posiadanie	a possession	grupo	alternativoj	prononco
level	ŝafo	owca	a sheep	grupo	alternativoj	prononco
level	sono	dźwięk	a sound	grupo	alternativoj	prononco
level	fiŝo	ryba	a fish	grupo	alternativoj	prononco
level	bela	piękny, przystojny, ładny	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	odpowiedzieć, odpowiedzieć, odpowiedzieć	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	okazja, czas	an occasion, a time	grupo	alternativoj	prononco
level	demandi	zapytać	to ask	grupo	alternativoj	prononco
level	forta	mocny	strong	grupo	alternativoj	prononco
level	preter ~	poza ~, przeszłość ~, prosto przeszłość	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	cisza	a silence	grupo	alternativoj	prononco
level	infano	dziecko, niemowlę	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	szczęśliwy, szczęśliwy, szczęśliwy	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	łapać, chwytać, chwytać	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	pragnąć, pragnąć	to desire, to wish	grupo	alternativoj	prononco
level	longa	długi	long	grupo	alternativoj	prononco
level	mondo	świat	a world	grupo	alternativoj	prononco
level	okazi	nastąpić, wydarzyć się, nastąpić	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	pole, pole	field, a field	grupo	alternativoj	prononco
level	filo	syn	a son	grupo	alternativoj	prononco
level	montri	pokazać, wskazać, zwrócić uwagę	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	serce	a heart	grupo	alternativoj	prononco
level	knabo	chłopiec	a boy	grupo	alternativoj	prononco
level	meti	położyć, położyć, położyć	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	mąż	a husband	grupo	alternativoj	prononco
level	pako	pakiet	package	grupo	alternativoj	prononco
level	rapida	szybko, szybko, szybko	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	wydawać się, wydawać się	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	pozdrowienie, salut, pozdrowienie	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	pisać	to write	grupo	alternativoj	prononco
level	peti	prosić, prosić, prosić, błagać	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	latać	to fly	grupo	alternativoj	prononco
level	kapo	głowa, peleryna	a head, a cape	grupo	alternativoj	prononco
level	krii	krzyczeć, płakać, krzyczeć, krzyczeć	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	czerwony	red	grupo	alternativoj	prononco
level	sinjoro	pan, dżentelmen	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	trzymać, trzymać się	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	czas, czas	time, a time	grupo	alternativoj	prononco
level	tuta	całkowity, cały, cały, kompletny, ogółem	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	mężczyzna	a man	grupo	alternativoj	prononco
level	vojo	droga, droga, trasa	a way, a path, a route	grupo	alternativoj	prononco
level	movi	przenieść	to move	grupo	alternativoj	prononco
level	militi	przerwać wojnę, walczyć, prowadzić wojnę	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	kilka, kilka	a few, several	grupo	alternativoj	prononco
level	dekstra	prawo, prawo (strona, kierunek), prawa ręka	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	zamykać, zamykać	to close, to shut	grupo	alternativoj	prononco
level	okupi	zajmować, brać	to occupy, to take	grupo	alternativoj	prononco
level	levi	podnosić, podnosić, podnosić	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	bić, uderzać, uderzać, smakować, chłostać	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	potrzebować, chcieć, wymagać	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	zrozumieć, uświadomić sobie	to understand, to realise	grupo	alternativoj	prononco
level	iri	iść	to go	grupo	alternativoj	prononco
level	veni	przyjść	to come	grupo	alternativoj	prononco
level	porti	nosić, nosić	to carry, to wear	grupo	alternativoj	prononco
level	kovri	zakryć	to cover	grupo	alternativoj	prononco
level	hela	jasne, jasne i jasne	bright, clear and light	grupo	alternativoj	prononco
level	sana	zdrowy	healthy	grupo	alternativoj	prononco
level	aperi	pojawiać się, pojawiać się	to appear, to emerge	grupo	alternativoj	prononco
level	libro	książka	a book	grupo	alternativoj	prononco
level	atendi	czekać, oczekiwać, czekać	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	ręka	a hand	grupo	alternativoj	prononco
level	pentri	malować	to paint	grupo	alternativoj	prononco
level	instrui	uczyć, instruować	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	usiąść	to sit	grupo	alternativoj	prononco
level	stari	stać	to stand	grupo	alternativoj	prononco
level	afero	rzecz, przedmiot, sprawa, sprawa, sprawa	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	pełny, kompletny	full, complete	grupo	alternativoj	prononco
level	klara	jasne	clear	grupo	alternativoj	prononco
level	komenci	zacząć, zacząć	to begin, to commence	grupo	alternativoj	prononco
level	dormi	spać, spać	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	część, udział	a part, a share	grupo	alternativoj	prononco
level	mono	pieniądze	money	grupo	alternativoj	prononco
level	ricevi	otrzymać	to receive	grupo	alternativoj	prononco
level	ami	kochać	to love	grupo	alternativoj	prononco
level	devi	musieć, musi, powinien, powinien	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	móc, móc	be able to, can	grupo	alternativoj	prononco
level	labori	pracować, pracować	to work, to labor	grupo	alternativoj	prononco
level	dio	Bóg	a god	grupo	alternativoj	prononco
level	urbo	miasto, miasteczko	a city, a town	grupo	alternativoj	prononco
level	ofta	częste, często	freqent, often	grupo	alternativoj	prononco
level	soni	brzmieć, wydawać dźwięk	to sound, to make sound	grupo	alternativoj	prononco
level	tero	ziemia, ziemia, gleba	earth, land, soil	grupo	alternativoj	prononco
level	vivi	żyć, żyć	to live, to be alive	grupo	alternativoj	prononco
level	resti	zostać, pozostać	to stay, to remain	grupo	alternativoj	prononco
level	ridi	śmiać się	to laugh	grupo	alternativoj	prononco
level	homo	człowiek, mężczyzna	a human, a man	grupo	alternativoj	prononco
level	akvo	woda	water	grupo	alternativoj	prononco
level	vorto	słowo	a word	grupo	alternativoj	prononco
level	certa	pewne, jasne	certain, sure	grupo	alternativoj	prononco
level	lando	kraina, kraj	a land, a country	grupo	alternativoj	prononco
level	sama	To samo	same	grupo	alternativoj	prononco
level	ĵeti	rzucić	to throw	grupo	alternativoj	prononco
level	stelo	gwiazda	a star	grupo	alternativoj	prononco
level	domo	dom, dom	a house, a home	grupo	alternativoj	prononco
level	nomo	imię, apelacja	a name, an appellation	grupo	alternativoj	prononco
level	vidi	zobaczyć	to see	grupo	alternativoj	prononco
level	mola	miękki	soft	grupo	alternativoj	prononco
level	horo	godzina, godzina, czas	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	forma, kształt	a form, a shape	grupo	alternativoj	prononco
level	tago	dzień	a day	grupo	alternativoj	prononco
level	fumo	dym	a smoke	grupo	alternativoj	prononco
level	ĉevalo	koń	a horse	grupo	alternativoj	prononco
level	jaro	rok	a year	grupo	alternativoj	prononco
level	vojaĝi	podróżować	to travel	grupo	alternativoj	prononco
level	celo	cel, cel, cel, cel	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	rodzić, rodzić, rodzić	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	tęsknić, brakować, brakować	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	ptak	a bird	grupo	alternativoj	prononco
level	halti	zatrzymać się, zatrzymać się, zatrzymać się	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	brat	a brother	grupo	alternativoj	prononco
level	monto	Góra	a mountain	grupo	alternativoj	prononco
level	pensi	myśleć	to think	grupo	alternativoj	prononco
level	permesi	pozwolić, pozwolić	to permit, to allow	grupo	alternativoj	prononco
level	kosti	kosztować	to cost	grupo	alternativoj	prononco
level	lito	łóżko, kanapa	a bed, a couch	grupo	alternativoj	prononco
level	perdi	przegrać	to lose	grupo	alternativoj	prononco
level	miri	zaskakiwać, dziwić się, dziwić się	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	osoba	a person	grupo	alternativoj	prononco
level	diversa	różnorodny, różnorodny, różnorodny	diverse, varied, various	grupo	alternativoj	prononco
level	provi	próbować, próbować	to try, to attempt	grupo	alternativoj	prononco
level	pagi	płacić	to pay	grupo	alternativoj	prononco
level	prezenti	przedstawiać, przedstawiać	to present, to introduce	grupo	alternativoj	prononco
level	aparta	odrębny, odrębny, odrębny	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	racja, prawo	right, a right	grupo	alternativoj	prononco
level	mateno	poranek, poranek	morning, a morning	grupo	alternativoj	prononco
level	agrabla	przyjemny, przyjemny, miły	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	wieczór, wieczór	evening, an evening	grupo	alternativoj	prononco
level	muro	ściana	a wall	grupo	alternativoj	prononco
level	suno	słońce, słońce	sun, a sun	grupo	alternativoj	prononco
level	rigardi	patrzeć, patrzeć	to look, to look at	grupo	alternativoj	prononco
level	senti	czuć, odczuwać	to feel, to sense	grupo	alternativoj	prononco
