B.ro content.tsv
Level	Esperanto	ro	en-us	Grupo	Alternativoj	Pronoco
level	aperas en ~	apare în ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	un mesager instant	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ apare în mesageria instantanee	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	esti acea persoana?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	acea persoană, care dansase cu mine	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	sambata seara	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	ești acea persoană care a dansat cu mine sâmbătă seara?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	da, sunt eu	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Sunt mulțumit că ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Ma bucur ca ai venit pe site	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	iti place? (Vă place?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	da, da	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	este foarte frumos	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	pare interesant	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	este foarte frumos si pare interesant	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	nu încă ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	nu este complet gata	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	nu este încă complet gata	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	dar în curând va fi	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	înțeleg (văd)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	dar deja există multe instrumente de ajutor	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	un dicționar	a dictionary	grupo	alternativoj	prononco
level	superrigardo	o imagine de ansamblu	an overview	grupo	alternativoj	prononco
level	ekzerco	o acciza	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	cuvinte de exemplu, prezentare generală, mesagerie și exerciții	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	o privire de ansamblu asupra gramaticii	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	un mesager instant și diverse exerciții	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	este un început bun	it is a good start	grupo	alternativoj	prononco
level	pardonon	scuza-ma imi pare rau	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Trebuie să vorbesc cu ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	a vorbi cu o altă persoană	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Îmi pare rău, ar trebui să vorbesc cu altă persoană	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	un ajutor de limbaj	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Eu sunt ajutorul ei de limbaj	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	iar acum vrea să vorbească despre ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	să vorbesc despre un exercițiu	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	în curând va reveni	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Voi reveni la tine în curând	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	după câteva minute	after several minutes	grupo	alternativoj	prononco
level	finparolis	terminat de vorbit	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	acum am terminat de vorbit despre exercițiu	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	între timp, pentru o vreme	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Am citit între timp despre Esperanto	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Nu sunt sigur	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	știe destul despre ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Încă nu știu suficient despre limbă	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	un răspuns inteligent	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	O sa ma uit pe site	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	și voi încerca să învețe puțin	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	vrei să fii ajutorul meu de limbă?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	de bunăvoie!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	cu plăcere!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	nu merită un mulțumesc, dar merită un sărut	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	spune asta in esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	ce? Nu înțeleg	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	te poti uita intr-un dictionar	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	din pacate	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Trebuie să plec de pe Internet acum	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Voi reveni seara	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Cred că voi ajunge pe site până atunci	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfect!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	bine, ne vedem atunci!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	Ne vedem mai târziu!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	seara, tot la mesagerul instant	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	buna din nou! (re-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	buna din nou!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Am căutat aproape toate paginile de pe site	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	destul de bun! minunat!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Am mai multe întrebări	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Ai timp?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	da, sunt liber seara	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	deci, scrie-ti intrebarile	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Voi încerca să răspund	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Am citit că Esperanto are o cultură	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	totusi nu inteleg ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	unde pot găsi o astfel de cultură	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	vei găsi oriunde, unde este ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	orice loc unde sunt oameni care vorbesc esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	dar nimeni nu folosește Esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	dreapta!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	dar oameni care vorbesc esperanto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	deseori călătoresc şi se întâlnesc cu alţi esperantişti	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	în timpul acelor întâlniri	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	folosesc limbajul în cele mai diverse situații	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	asa ca acolo vei gasi ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	vei găsi cultura	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	va găsi cultura Esperanto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ok, muzica exista?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	muzică, literatură, teatru	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	etc	etc	grupo	alternativoj	prononco
level	same kiel ~	la fel ca ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	la fel ca și pentru alte limbi	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	cantitatea nu este atat de mare	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	la fel de mare ca în limbile naţionale	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	dar asta nu este important	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	cel putin nu pentru mine	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	dacă vrei să asculți ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	a asculta o melodie în esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	iată melodia, „Lisa pictează imagini”	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	ascultă cântecul	listens to the song	grupo	alternativoj	prononco
level	ne malbone	nu-i rău	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	și vei găsi multe cărți în esperanto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	se uită la cărți	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	destule multe	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	citesti mult in esperanto?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	da, uneori (din cand in cand)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	dacă înveți vreodată limba	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Îți voi recomanda câteva cărți bune	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	este despre ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	Cealaltă întrebare a mea este despre numele meu	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	ai spus mai devreme că ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	are o relație cu ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	a spus că are o legătură cu Esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	oh, da, despre asta	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	un om cu numele ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	a trăit odată un om cu numele ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	a fost foarte activ în mișcarea Esperanto	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	când era complet nou	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	a tradus cartea în ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	și a tradus multe cărți în esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	si asta l-a facut celebru?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	una dintre cele mai importante pentru Esperanto la acea vreme	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	și a avut multă influență asupra stilului de limbă	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	nu, cu siguranță era important și avea influență	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	cu toate acestea, a abandonat brusc mișcarea	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Îmi imaginez că ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Îmi imaginez că a fost un mare șoc pentru mulți	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	de ce a lăsat Esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Eu cred că ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	era nemulţumit de esperantişti	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	a spus ceva asemănător cu ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto trebuie învățat chiar de către esperantiști!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	ce a vrut să spună prin ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	ce a vrut sa spuna cu asta?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	este probabil ca ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	oamenii vorbeau urât esperanto	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	este probabil ca oamenii să vorbească urât	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	în anul 1911, a părăsit Esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	dar cred că ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	este mai mare	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	astăzi nivelul de limbă este mai ridicat	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	nivelul de limbă al esperantiştilor	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	dar cred că astăzi nivelul este mai ridicat	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	așa că trebuie să învăț bine limba	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	pentru a fi o persoană bună	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	și ar trebui să folosești un stil simplu	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	pentru că asta era foarte important pentru el	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	asta imi place (imi place)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	în Esperanto, există chiar și un cuvânt ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	există chiar și un cuvânt „kabei”	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	a abandona mișcarea	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	un cuvânt „kabei”, care înseamnă abandonarea mișcării	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	E interesant!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	acum știu un cuvânt în esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	nu voi uita niciodată	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	și probabil că nu o voi uita niciodată	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	într-o cafenea' după câteva săptămâni	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	a reușit să învețe Esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	și folosesc limbajul	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	a invita, o invitație	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	iată, uite, o invitație pentru IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	ce? Ee-yo-ce?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	un tânăr, un grup de tineri	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK este un Congres Internațional de Tineret	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Plănuiesc să merg pentru el	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	vrei sa mergi si tu?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	ei bine, „congresul” nu sună foarte interesant	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	dar este (interesant)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	nu vă gândiți la ceva plictisitor congres lent	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	este vorba doar despre ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	este vorba doar de întâlnirea cu tineri	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	o întâlnire cu tineri din multe țări	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 până la 400 de oameni vor fi acolo	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	probabil că vor fi 300 până la 400 de oameni acolo	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	aproape toti	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	și aproape toată lumea va vorbi esperanto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	nu vorbeste bine	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, dar nu vorbesc bine Esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	nu contează	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	este posibil să participi la ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	să participe acolo la cursurile de Esperanto	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	de obicei	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	de obicei există două niveluri	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	oameni care învățaseră deja limba	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	unul pentru incepatori	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	iar celălalt pentru cei care au învățat deja limba	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	Jes, ce?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	ai spus &quot;de obicei&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	Oh, IJK se întâmplă în fiecare an	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	de fiecare dată în altă țară	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	din acest motiv, fiecare IJK este diferit	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	dar există și programe	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programe care revin des	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	dar există și programe care revin des	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	de exemplu	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	de exemplu, este aproape întotdeauna posibil să joci sport și cărți	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	să vorbesc cu prietenii toată noaptea	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	să cânte în jurul focului și să danseze	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	să participe la concerte și așa mai departe	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	Ei bine, pot face asta și acasă	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	corect, dar	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	dar lucrul important în timpul IJK este ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	vine din multe țări diferite	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	este că participanții provin din țări diferite	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	din cauza acelui amestec de oameni diferiți	because of that mix of different people	grupo	alternativoj	prononco
