C.uk content.tsv
Level	Esperanto	uk	en-us	Grupo	Alternativoj	Pronoco
level	ol ~	ніж ~	than ~	grupo	alternativoj	prononco
level	paroli	говорити, говорити	to speak, to talk	grupo	alternativoj	prononco
level	kia	який, що за	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	такий, такий, такий	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	ледве, навряд чи, налякано	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	надіслати	to send	grupo	alternativoj	prononco
level	ĵus	щойно (хвилину тому), щойно	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(суфікс) наказовий спосіб	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	поза ~	outside ~	grupo	alternativoj	prononco
level	ge-	(префікс) обох статей, обох родів	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(суфікс) would, should, subjunktiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	скоро	soon	grupo	alternativoj	prononco
level	almenaŭ	принаймні, якщо нічого іншого	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	дис-	dis-	grupo	alternativoj	prononco
level	-uj-	(суфікс) контейнер; країна	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	вчити	to learn	grupo	alternativoj	prononco
level	ek-	(префікс) початок; раптовий початок	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	якщо, за умови, що	if, provided that	grupo	alternativoj	prononco
level	eĉ	навіть	even	grupo	alternativoj	prononco
level	amo	кохання	a love	grupo	alternativoj	prononco
level	jam	вже, так скоро, як зараз	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	тут! Ло! Ось	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	закінчувати, закінчувати, закінчувати	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	так, тоді, отже	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~завжди, (що)завжди, взагалі, -завжди	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	легко, легко	easy, facile	grupo	alternativoj	prononco
level	re-	(префікс) повторно	(prefix)  re-	grupo	alternativoj	prononco
level	granda	великий, великий, великий	big, great, large	grupo	alternativoj	prononco
level	-ist-	(суфікс) професійний	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(прийменник) через ~, завдяки ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(суфікс) лідер, бос, керівник, шеф	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	що	what	grupo	alternativoj	prononco
level	manĝi	їсти	to eat	grupo	alternativoj	prononco
level	nenio	нічого, нічого, нічого	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	молодий	young	grupo	alternativoj	prononco
level	ĉio	все	everything	grupo	alternativoj	prononco
level	riĉa	багатий, заможний, забезпечений	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	та річ, це	that thing, that	grupo	alternativoj	prononco
level	konstrui	будувати, будувати	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(префікс) головний, провідний, головний	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(прийменник) без ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(прийменник) з ~ (разом)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(прийменник) крім ~, крім ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	друг	a friend	grupo	alternativoj	prononco
level	kies	чий, який, з яких	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(прийменник) by ~ (спосіб), with ~ (інструмент)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	проти ~	against ~	grupo	alternativoj	prononco
level	el ~	з ~, з ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	сьогодні	today	grupo	alternativoj	prononco
level	hieraŭ	вчора	yesterday	grupo	alternativoj	prononco
level	nur	тільки, тільки, винятково	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	допомагати, допомагати, допомагати	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(прислівник) далеко, далеко	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ні, ні	nor, neither	grupo	alternativoj	prononco
level	malamo	ненависть	a hate	grupo	alternativoj	prononco
level	preskaŭ	майже, майже	almost, nearly	grupo	alternativoj	prononco
level	tra ~	через ~	through ~	grupo	alternativoj	prononco
level	super	понад, вище	over, above	grupo	alternativoj	prononco
level	trans ~	над ~, поперек ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	добре, добре тоді, зараз	well, well then, now	grupo	alternativoj	prononco
level	pri ~	про ~	about ~	grupo	alternativoj	prononco
level	por ~	для ~, щоб для ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	завтра	tomorrow	grupo	alternativoj	prononco
level	nun	зараз, зараз	now, at present	grupo	alternativoj	prononco
level	laŭ ~	відповідно до ~, уздовж ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	кожний, кожен, кожен, усі	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	хто, який, який	who, which, which one	grupo	alternativoj	prononco
level	tiu	та особа, той ~, той, там	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	хтось, хтось, якийсь	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ніхто, ніхто, ні	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	до ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(суфікс) ~здатний	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	сподіватися	to hope	grupo	alternativoj	prononco
level	unu	один	one	grupo	alternativoj	prononco
level	du	два	two	grupo	alternativoj	prononco
level	tri	три	three	grupo	alternativoj	prononco
level	kvar	чотири	four	grupo	alternativoj	prononco
level	kvin	п'ять	five	grupo	alternativoj	prononco
level	ses	шість	six	grupo	alternativoj	prononco
level	sep	сім	seven	grupo	alternativoj	prononco
level	ok	вісім	eight	grupo	alternativoj	prononco
level	naŭ	дев'ять	nine	grupo	alternativoj	prononco
level	dek	десять	ten	grupo	alternativoj	prononco
level	cent	сто	a hundred	grupo	alternativoj	prononco
level	mil	тисяч	a thousand	grupo	alternativoj	prononco
level	-obl-	(суфікс) для кратності, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(суфікс) ~th, дріб	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	любові	of love	grupo	alternativoj	prononco
level	anstataŭ ~	замість ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(суфікс) стати	(suffix)  become	grupo	alternativoj	prononco
level	voli	хотіти, бажати, бути готовим	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(суфікс) причина стати	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	слідувати	to follow	grupo	alternativoj	prononco
level	ĝoje	із задоволенням	gladly	grupo	alternativoj	prononco
level	legi	читати	to read	grupo	alternativoj	prononco
level	silenta	мовчазний	silent	grupo	alternativoj	prononco
level	la	в	the	grupo	alternativoj	prononco
level	ha!	га!	ha!	grupo	alternativoj	prononco
level	-il-	(суфікс) засіб, спосіб	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	пити (безалкогольне)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(суфікс) маленький, маленький	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(суфікс) великий, великий	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(прийменник) між ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(суфікс) пов’язана поведінка	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(суфікс) множина, група	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(суфікс) член групи	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	дякувати	to thank	grupo	alternativoj	prononco
level	-ind-	(суфікс) вартий, вартий	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	навіть більше, далі і так далі, більше	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	як, як, яким чином, наприклад	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	такий, таким чином, таким чином	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(прийменник) в ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(прийменник) біля ~, біля ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(прийменник) під, під ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(прийменник) на ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(прийменник) неозначений прим., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(прислівник) ще, ще	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(прийменник) навколо ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	але	but	grupo	alternativoj	prononco
level	ie	десь	somewhere	grupo	alternativoj	prononco
level	kie	де, в якому місці	where, at what place	grupo	alternativoj	prononco
level	silente	мовчки	silently	grupo	alternativoj	prononco
level	ĉie	всюди, всюди	everywhere, all about	grupo	alternativoj	prononco
level	nenie	ніде, ні в якому разі, ніде	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	там, там, там	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	це ~	this ~	grupo	alternativoj	prononco
level	kanti	співати	to sing	grupo	alternativoj	prononco
level	morti	померти, померти	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(прийменник) протягом ~, поки ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	нація	a nation	grupo	alternativoj	prononco
level	koni	знати (особу), бути знайомим	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	знати (факт, знання), знати як	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	завжди, завжди	always, ever	grupo	alternativoj	prononco
level	iam	в якийсь час, одного разу	at some time, once	grupo	alternativoj	prononco
level	tiam	потім	then	grupo	alternativoj	prononco
level	-em-	(суфікс) схильність	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	якийсь	some kind of	grupo	alternativoj	prononco
level	sukcesi	для досягнення успіху	to succeed	grupo	alternativoj	prononco
level	ĉia	всякого роду, всякого роду	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	ні, не будь-який, не будь-який	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(суфікс) потомство	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	кімната, кімната	a room, a chamber	grupo	alternativoj	prononco
level	patro	батько	a father	grupo	alternativoj	prononco
level	porko	свиня, свиня	a pig, swine	grupo	alternativoj	prononco
level	bo-	(префікс) -в законі, по шлюбу	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	дійсно	indeed	grupo	alternativoj	prononco
level	-ism-	(суфікс) -ізм	(suffix)  -ism	grupo	alternativoj	prononco
level	io	щось	something	grupo	alternativoj	prononco
level	veturi	керувати (транспортним засобом)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	півень, курка, курка, птиця	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	безкоштовно	free	grupo	alternativoj	prononco
level	lasta	останній	last	grupo	alternativoj	prononco
level	ĝoji	радіти, радіти, насолоджуватися	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	взяти, схопити	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	корова, віл, велика рогата худоба	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	інший, інший, ще	another, other, else	grupo	alternativoj	prononco
level	varma	гарячий, теплий	hot, warm	grupo	alternativoj	prononco
level	loĝi	проживати, жити, жити, мешкати	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	вірити	to believe	grupo	alternativoj	prononco
level	glacio	добре	an ice	grupo	alternativoj	prononco
level	loko	місце, розташування	a place, a location	grupo	alternativoj	prononco
level	ovo	яйце	an egg	grupo	alternativoj	prononco
level	multa	багато, багато, багато	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	володіння	a possession	grupo	alternativoj	prononco
level	ŝafo	вівця	a sheep	grupo	alternativoj	prononco
level	sono	звук	a sound	grupo	alternativoj	prononco
level	fiŝo	риба	a fish	grupo	alternativoj	prononco
level	bela	красивий, гарний, гарний	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	відповідати, відповідати, відповідати	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	нагода, час	an occasion, a time	grupo	alternativoj	prononco
level	demandi	питати	to ask	grupo	alternativoj	prononco
level	forta	сильний	strong	grupo	alternativoj	prononco
level	preter ~	за ~, мимо ~, прямо мимо	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	тиша	a silence	grupo	alternativoj	prononco
level	infano	дитина, немовля	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	щасливий, щасливий, щасливий	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	зловити, захопити, схопити	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	бажати, бажати	to desire, to wish	grupo	alternativoj	prononco
level	longa	довго	long	grupo	alternativoj	prononco
level	mondo	світ	a world	grupo	alternativoj	prononco
level	okazi	відбуватися, відбуватися, відбуватися	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	поле, поле	field, a field	grupo	alternativoj	prononco
level	filo	син	a son	grupo	alternativoj	prononco
level	montri	показати, вказати, вказати	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	серце	a heart	grupo	alternativoj	prononco
level	knabo	хлопець	a boy	grupo	alternativoj	prononco
level	meti	покласти, покласти, покласти	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	чоловік	a husband	grupo	alternativoj	prononco
level	pako	пакет	package	grupo	alternativoj	prononco
level	rapida	швидко, швидко, швидко	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	здаватися, здаватися	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	привітання, салют, привітання	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	писати	to write	grupo	alternativoj	prononco
level	peti	просити, просити, просити, благати	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	літати	to fly	grupo	alternativoj	prononco
level	kapo	голова, накидка	a head, a cape	grupo	alternativoj	prononco
level	krii	кричати, плакати, кричати, кричати	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	червоний	red	grupo	alternativoj	prononco
level	sinjoro	пан, джентльмен	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	тримати, триматися	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	час, час	time, a time	grupo	alternativoj	prononco
level	tuta	загальний, весь, цілий, повний, загальний	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	чоловік	a man	grupo	alternativoj	prononco
level	vojo	шлях, шлях, маршрут	a way, a path, a route	grupo	alternativoj	prononco
level	movi	рухатись	to move	grupo	alternativoj	prononco
level	militi	розбивати війну, воювати, вести війну	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	кілька, декілька	a few, several	grupo	alternativoj	prononco
level	dekstra	праворуч, справа (сторона, напрямок), праворуч	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	замкнути, замкнути	to close, to shut	grupo	alternativoj	prononco
level	okupi	займати, брати	to occupy, to take	grupo	alternativoj	prononco
level	levi	важіль, піднімати, піднімати	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	бити, бити, бити, чмокнути, бити	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	потребувати, хотіти, вимагати	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	розуміти, усвідомлювати	to understand, to realise	grupo	alternativoj	prononco
level	iri	йти	to go	grupo	alternativoj	prononco
level	veni	приходити	to come	grupo	alternativoj	prononco
level	porti	носити, носити	to carry, to wear	grupo	alternativoj	prononco
level	kovri	прикривати	to cover	grupo	alternativoj	prononco
level	hela	яскравий, чистий і легкий	bright, clear and light	grupo	alternativoj	prononco
level	sana	здоровий	healthy	grupo	alternativoj	prononco
level	aperi	з'явитися, виникнути	to appear, to emerge	grupo	alternativoj	prononco
level	libro	книга	a book	grupo	alternativoj	prononco
level	atendi	чекати, очікувати, чекати	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	рука	a hand	grupo	alternativoj	prononco
level	pentri	малювати	to paint	grupo	alternativoj	prononco
level	instrui	навчати, наставляти	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	сидіти	to sit	grupo	alternativoj	prononco
level	stari	стояти	to stand	grupo	alternativoj	prononco
level	afero	річ, предмет, справа, занепокоєння, матері	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	повний, повний	full, complete	grupo	alternativoj	prononco
level	klara	ясно	clear	grupo	alternativoj	prononco
level	komenci	починати, починати	to begin, to commence	grupo	alternativoj	prononco
level	dormi	спати, спати	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	частина, частка	a part, a share	grupo	alternativoj	prononco
level	mono	гроші	money	grupo	alternativoj	prononco
level	ricevi	отримати	to receive	grupo	alternativoj	prononco
level	ami	кохати	to love	grupo	alternativoj	prononco
level	devi	to have to, must, should, should	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	вміти, вміти	be able to, can	grupo	alternativoj	prononco
level	labori	працювати, працювати	to work, to labor	grupo	alternativoj	prononco
level	dio	бог	a god	grupo	alternativoj	prononco
level	urbo	місто, містечко	a city, a town	grupo	alternativoj	prononco
level	ofta	часто, часто	freqent, often	grupo	alternativoj	prononco
level	soni	звучати, звучати	to sound, to make sound	grupo	alternativoj	prononco
level	tero	земля, земля, грунт	earth, land, soil	grupo	alternativoj	prononco
level	vivi	жити, бути живим	to live, to be alive	grupo	alternativoj	prononco
level	resti	залишатися, залишатися	to stay, to remain	grupo	alternativoj	prononco
level	ridi	сміятися	to laugh	grupo	alternativoj	prononco
level	homo	людина, людина	a human, a man	grupo	alternativoj	prononco
level	akvo	води	water	grupo	alternativoj	prononco
level	vorto	слово	a word	grupo	alternativoj	prononco
level	certa	певний, певний	certain, sure	grupo	alternativoj	prononco
level	lando	земля, країна	a land, a country	grupo	alternativoj	prononco
level	sama	те саме	same	grupo	alternativoj	prononco
level	ĵeti	кидати	to throw	grupo	alternativoj	prononco
level	stelo	зірка	a star	grupo	alternativoj	prononco
level	domo	будинок, будинок	a house, a home	grupo	alternativoj	prononco
level	nomo	ім'я, найменування	a name, an appellation	grupo	alternativoj	prononco
level	vidi	бачити	to see	grupo	alternativoj	prononco
level	mola	м'який	soft	grupo	alternativoj	prononco
level	horo	година, година, час	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	форма, форма	a form, a shape	grupo	alternativoj	prononco
level	tago	день	a day	grupo	alternativoj	prononco
level	fumo	дим	a smoke	grupo	alternativoj	prononco
level	ĉevalo	кінь	a horse	grupo	alternativoj	prononco
level	jaro	рік	a year	grupo	alternativoj	prononco
level	vojaĝi	подорожувати	to travel	grupo	alternativoj	prononco
level	celo	мета, ціль, мета, мета	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	народжувати, народжувати, породжувати	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	сумувати, бракувати, бракувати	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	птах	a bird	grupo	alternativoj	prononco
level	halti	зупинятися, зупинятися, зупинятися	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	брат	a brother	grupo	alternativoj	prononco
level	monto	гора	a mountain	grupo	alternativoj	prononco
level	pensi	думати	to think	grupo	alternativoj	prononco
level	permesi	дозволяти, дозволяти	to permit, to allow	grupo	alternativoj	prononco
level	kosti	коштувати	to cost	grupo	alternativoj	prononco
level	lito	ліжко, диван	a bed, a couch	grupo	alternativoj	prononco
level	perdi	втратити	to lose	grupo	alternativoj	prononco
level	miri	здивувати, здивувати, здивувати	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	Персона	a person	grupo	alternativoj	prononco
level	diversa	різноманітний, різноманітний, різноманітний	diverse, varied, various	grupo	alternativoj	prononco
level	provi	спробувати, спробувати	to try, to attempt	grupo	alternativoj	prononco
level	pagi	заплатити	to pay	grupo	alternativoj	prononco
level	prezenti	представити, представити	to present, to introduce	grupo	alternativoj	prononco
level	aparta	окремо, окремо, окремо	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	право, право	right, a right	grupo	alternativoj	prononco
level	mateno	ранок, ранок	morning, a morning	grupo	alternativoj	prononco
level	agrabla	приємний, приємний, гарний	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	вечір, вечір	evening, an evening	grupo	alternativoj	prononco
level	muro	стіна	a wall	grupo	alternativoj	prononco
level	suno	сонце, сонечко	sun, a sun	grupo	alternativoj	prononco
level	rigardi	дивитися, дивитися	to look, to look at	grupo	alternativoj	prononco
level	senti	відчувати, відчувати	to feel, to sense	grupo	alternativoj	prononco
level	blanka	білий, порожній	white, blank	grupo	alternativoj	prononco
level	simpla	простий	simple	grupo	alternativoj	prononco
level	rimarki	помічати	to notice	grupo	alternativoj	prononco
level	lingvo	мова, язик	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	змінювати, обертати	to change, to turn	grupo	alternativoj	prononco
level	renkonti	зустрічати, зустрічати, натрапляти	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	використовувати	to use	grupo	alternativoj	prononco
level	timi	боятися, боятися	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	справжній, правдивий	real, true	grupo	alternativoj	prononco
level	sola	один, єдиний, єдиний, самотній	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	мир, мир	peace, a peace	grupo	alternativoj	prononco
level	rakonti	розповідати, розповідати, розповідати	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	колір, колір	color, a color	grupo	alternativoj	prononco
level	pura	чистий, чистий	clean, pure	grupo	alternativoj	prononco
level	aŭdi	чути	to hear	grupo	alternativoj	prononco
level	punkto	точка, крапка, пляма	a point, a dot, a spot	grupo	alternativoj	prononco
level	buŝo	рот	a mouth	grupo	alternativoj	prononco
level	araneo	павук	a spider	grupo	alternativoj	prononco
level	serĉi	шукати, шукати, шукати	to search, to look for, to seek	grupo	alternativoj	prononco
level	letero	лист	a letter	grupo	alternativoj	prononco
