C.el content.tsv
Level	Esperanto	el	en-us	Grupo	Alternativoj	Pronoco
level	tuj	αμέσως, αμέσως, αμέσως	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	σαν ~	as if ~	grupo	alternativoj	prononco
level	kiam	πότε	when	grupo	alternativoj	prononco
level	silenti	να είναι σιωπηλός, να είναι ήσυχος	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	ποτέ, ποτέ, ποτέ	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	επομένως, έτσι	therefore, so	grupo	alternativoj	prononco
level	kial	γιατί, για ποιο λόγο	why, what for	grupo	alternativoj	prononco
level	kvankam	αν και ~, ενώ, όμως	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(πρόθεση) στο ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	περισσότερο	more	grupo	alternativoj	prononco
level	plej	πλέον	most	grupo	alternativoj	prononco
level	diri	να πει, να πει	to say, to tell	grupo	alternativoj	prononco
level	ol ~	παρά ~	than ~	grupo	alternativoj	prononco
level	paroli	να μιλήσει, να μιλήσει	to speak, to talk	grupo	alternativoj	prononco
level	kia	τι είδους, τι είδους	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	τέτοια, τέτοια, τέτοια	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	μετά βίας, μετά βίας, ελάχιστα	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	να στέιλω	to send	grupo	alternativoj	prononco
level	ĵus	μόλις (πριν από μια στιγμή), μόλις τώρα	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(επίθημα) επιτακτική	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	έξω ~	outside ~	grupo	alternativoj	prononco
level	ge-	(πρόθεμα) και τα δύο φύλο, και τα δύο φύλα	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(κατάληξη) θα, πρέπει, υποτακτική	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	σύντομα	soon	grupo	alternativoj	prononco
level	almenaŭ	τουλάχιστον, αν μη τι άλλο	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	απο-	dis-	grupo	alternativoj	prononco
level	-uj-	(επίθημα) δοχείο? Χώρα	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	να μάθω	to learn	grupo	alternativoj	prononco
level	ek-	(πρόθεμα) αρχή? ξαφνική έναρξη	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	εάν, υπό τον όρο ότι	if, provided that	grupo	alternativoj	prononco
level	eĉ	ακόμη και	even	grupo	alternativoj	prononco
level	amo	μια αγάπη	a love	grupo	alternativoj	prononco
level	jam	ήδη, τόσο σύντομα, από τώρα	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Εδώ! Λοιπόν! Βλέπω	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	να τελειώσει, να τελειώσει, να τερματίσει	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	έτσι, λοιπόν, επομένως	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ ποτέ, (ό,τι) ποτέ, καθόλου, -όποτε	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	εύκολος, εύκολος	easy, facile	grupo	alternativoj	prononco
level	re-	(πρόθεμα) εκ νέου	(prefix)  re-	grupo	alternativoj	prononco
level	granda	μεγάλο, μεγάλο, μεγάλο	big, great, large	grupo	alternativoj	prononco
level	-ist-	(επίθημα) επαγγελματίας	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(πρόθεση) λόγω ~, λόγω ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(κατάληξη) αρχηγός, αφεντικό, επικεφαλής, αρχηγός	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	τι	what	grupo	alternativoj	prononco
level	manĝi	να φάω	to eat	grupo	alternativoj	prononco
level	nenio	τίποτα, κανένα, τίποτα	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	νέος	young	grupo	alternativoj	prononco
level	ĉio	τα παντα	everything	grupo	alternativoj	prononco
level	riĉa	πλούσιος, πλούσιος, ευκατάστατος	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	αυτό το πράγμα, αυτό	that thing, that	grupo	alternativoj	prononco
level	konstrui	να χτίσει, να κατασκευάσει	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(πρόθεμα) αρχηγός, επικεφαλής, κύριος	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(πρόθεση) χωρίς ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(πρόθεση) με ~ (μαζί)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(πρόθεση) εκτός από ~, εκτός από ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	ένας φίλος	a friend	grupo	alternativoj	prononco
level	kies	ποιανού, ποιας, της οποίας	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(πρόθεση) με ~ (μέθοδος), με ~ (εργαλείο)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	κατά ~	against ~	grupo	alternativoj	prononco
level	el ~	από ~, από ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	σήμερα	today	grupo	alternativoj	prononco
level	hieraŭ	εχθές	yesterday	grupo	alternativoj	prononco
level	nur	μόνο, μόνο, αποκλειστικά	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	να βοηθήσω, να βοηθήσω, να βοηθήσω	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(επίρρημα) μακριά, μακριά	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ούτε, ούτε	nor, neither	grupo	alternativoj	prononco
level	malamo	ένα μίσος	a hate	grupo	alternativoj	prononco
level	preskaŭ	σχεδόν, σχεδόν	almost, nearly	grupo	alternativoj	prononco
level	tra ~	μέσω ~	through ~	grupo	alternativoj	prononco
level	super	πάνω, πάνω	over, above	grupo	alternativoj	prononco
level	trans ~	πάνω από ~, κατά ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	καλά, τότε, τώρα	well, well then, now	grupo	alternativoj	prononco
level	pri ~	περίπου ~	about ~	grupo	alternativoj	prononco
level	por ~	για ~, προκειμένου για ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	αύριο	tomorrow	grupo	alternativoj	prononco
level	nun	τώρα, προς το παρόν	now, at present	grupo	alternativoj	prononco
level	laŭ ~	σύμφωνα με ~, κατά μήκος ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	ο καθένας, ο καθένας, ο καθένας, ο καθένας	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	ποιος, ποιος, ποιος	who, which, which one	grupo	alternativoj	prononco
level	tiu	εκείνο το πρόσωπο, εκείνο το ~, εκείνο, εκεί πέρα	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	κάποιος, κάποιος, κάποιοι	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	κανένας, κανένας, κανένας	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	να ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(επίθημα) ~ ικανός	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	να ελπίζω	to hope	grupo	alternativoj	prononco
level	unu	ένας	one	grupo	alternativoj	prononco
level	du	δύο	two	grupo	alternativoj	prononco
level	tri	τρία	three	grupo	alternativoj	prononco
level	kvar	τέσσερις	four	grupo	alternativoj	prononco
level	kvin	πέντε	five	grupo	alternativoj	prononco
level	ses	έξι	six	grupo	alternativoj	prononco
level	sep	επτά	seven	grupo	alternativoj	prononco
level	ok	οκτώ	eight	grupo	alternativoj	prononco
level	naŭ	εννέα	nine	grupo	alternativoj	prononco
level	dek	δέκα	ten	grupo	alternativoj	prononco
level	cent	εκατό	a hundred	grupo	alternativoj	prononco
level	mil	χίλια	a thousand	grupo	alternativoj	prononco
level	-obl-	(επίθημα) για πολλαπλότητα, -obble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(επίθημα) ~ ου, κλάσμα	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	απο αγάπη	of love	grupo	alternativoj	prononco
level	anstataŭ ~	αντί για ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(επίθημα) γίνομαι	(suffix)  become	grupo	alternativoj	prononco
level	voli	να θέλει, να θέλει, να είναι πρόθυμος να	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(επίθημα) αιτία να γίνει	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	ακολουθώ	to follow	grupo	alternativoj	prononco
level	ĝoje	Ευχαρίστως	gladly	grupo	alternativoj	prononco
level	legi	να διαβασω	to read	grupo	alternativoj	prononco
level	silenta	σιωπηλός	silent	grupo	alternativoj	prononco
level	la	ο	the	grupo	alternativoj	prononco
level	ha!	χα!	ha!	grupo	alternativoj	prononco
level	-il-	(επίθημα) εργαλείο, μέθοδος	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	να πίνω (χωρίς αλκοόλ)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(επίθημα) μικρός, μικρός	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(επίθημα) μεγάλος, μεγάλος	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(πρόθεση) μεταξύ ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(κατάληξη) σχετική συμπεριφορά	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(επίθημα) σύνολο, ομάδα	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(επίθημα) μέλος μιας ομάδας	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	να ευχαριστήσω	to thank	grupo	alternativoj	prononco
level	-ind-	(επίθημα) άξιος, άξιος	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	ακόμη περισσότερο, περαιτέρω, και ούτω καθεξής, περισσότερο	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	πώς, όπως, με ποιον τρόπο, όπως	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	τέτοια, με αυτόν τον τρόπο, έτσι	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(πρόθεση) σε ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(πρόθεση) δίπλα στο ~, δίπλα στο ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(πρόθεση) κάτω από, κάτω από ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(πρόθεση) στο ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(πρόθεση) απροσδιόριστος προφ., σε, σε, από, επί	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(επίρρημα) ακόμα, ακόμα	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(πρόθεση) γύρω στο ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	αλλά	but	grupo	alternativoj	prononco
level	ie	κάπου	somewhere	grupo	alternativoj	prononco
level	kie	που, σε ποιο μέρος	where, at what place	grupo	alternativoj	prononco
level	silente	σιωπηλά	silently	grupo	alternativoj	prononco
level	ĉie	παντού, όλα περίπου	everywhere, all about	grupo	alternativoj	prononco
level	nenie	πουθενά, σε καμία περίπτωση, όχι πουθενά	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	εκεί, εκεί, εκεί πέρα	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	αυτό ~	this ~	grupo	alternativoj	prononco
level	kanti	να τραγουδήσει	to sing	grupo	alternativoj	prononco
level	morti	να πεθάνει, να φύγει από τη ζωή	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(πρόθεση) κατά το ~, ενώ ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	ένα έθνος	a nation	grupo	alternativoj	prononco
level	koni	γνωρίζω (άτομο), γνωρίζω	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	to know (ένα γεγονός, γνώση), to know how	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	πάντα, πάντα	always, ever	grupo	alternativoj	prononco
level	iam	κάποια στιγμή, μια φορά	at some time, once	grupo	alternativoj	prononco
level	tiam	έπειτα	then	grupo	alternativoj	prononco
level	-em-	(επίθημα) τάση	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	καποιου είδους	some kind of	grupo	alternativoj	prononco
level	sukcesi	να επιτύχεις	to succeed	grupo	alternativoj	prononco
level	ĉia	κάθε είδους, κάθε είδους	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	όχι, ούτε κανενός είδους, ούτε κανενός είδους	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(επίθημα) γόνος	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	ένα δωμάτιο, ένα θάλαμο	a room, a chamber	grupo	alternativoj	prononco
level	patro	ένας πατέρας	a father	grupo	alternativoj	prononco
level	porko	ένα γουρούνι, χοιρινό	a pig, swine	grupo	alternativoj	prononco
level	bo-	(πρόθεμα) -συμπέθερος, με γάμο	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	πράγματι	indeed	grupo	alternativoj	prononco
level	-ism-	(επίθημα) -ισμός	(suffix)  -ism	grupo	alternativoj	prononco
level	io	κάτι	something	grupo	alternativoj	prononco
level	veturi	οδηγώ (ένα όχημα)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ένας κόκορας, μια κότα, ένα κοτόπουλο, ένα πουλί	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	Ελεύθερος	free	grupo	alternativoj	prononco
level	lasta	τελευταίος	last	grupo	alternativoj	prononco
level	ĝoji	να χαίρεσαι, να χαίρεσαι, να απολαμβάνεις	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	να πάρει, να κρατήσει	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	μια αγελάδα, ένα βόδι, βοοειδή	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	άλλο, άλλο, άλλο	another, other, else	grupo	alternativoj	prononco
level	varma	καυτό ζεστό	hot, warm	grupo	alternativoj	prononco
level	loĝi	να κατοικείς, να ζεις, να κατοικείς, να κατοικείς	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	πιστεύω	to believe	grupo	alternativoj	prononco
level	glacio	ένα ωραίο	an ice	grupo	alternativoj	prononco
level	loko	ένα μέρος, μια τοποθεσία	a place, a location	grupo	alternativoj	prononco
level	ovo	ένα αυγό	an egg	grupo	alternativoj	prononco
level	multa	πολλά, πολλά, πολλά	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	μια κατοχή	a possession	grupo	alternativoj	prononco
level	ŝafo	ένα πρόβατο	a sheep	grupo	alternativoj	prononco
level	sono	ένας ήχος	a sound	grupo	alternativoj	prononco
level	fiŝo	ένα ψάρι	a fish	grupo	alternativoj	prononco
level	bela	όμορφος, όμορφος, όμορφος	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	να απαντήσω, να απαντήσω, να απαντήσω	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	μια ευκαιρία, μια στιγμή	an occasion, a time	grupo	alternativoj	prononco
level	demandi	να ρωτήσω	to ask	grupo	alternativoj	prononco
level	forta	ισχυρός	strong	grupo	alternativoj	prononco
level	preter ~	πέρα από ~, παρελθόν ~, ευθύ παρελθόν	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	μια σιωπή	a silence	grupo	alternativoj	prononco
level	infano	ένα παιδί, ένα βρέφος	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	ευτυχισμένος, τυχερός, τυχερός	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	να πιάσει, να συλλάβει, να καταπιαστεί	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	επιθυμώ, επιθυμώ	to desire, to wish	grupo	alternativoj	prononco
level	longa	μακρύς	long	grupo	alternativoj	prononco
level	mondo	ένας κόσμος	a world	grupo	alternativoj	prononco
level	okazi	να συμβεί, να συμβεί, να προκύψει	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	χωράφι, χωράφι	field, a field	grupo	alternativoj	prononco
level	filo	Ενας γιος	a son	grupo	alternativoj	prononco
level	montri	για να δείξει, να υποδείξει, να επισημάνει	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	μια καρδιά	a heart	grupo	alternativoj	prononco
level	knabo	ένα αγόρι	a boy	grupo	alternativoj	prononco
level	meti	βάζω, τοποθετώ, ξαπλώνω	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	ένας σύζυγος	a husband	grupo	alternativoj	prononco
level	pako	πακέτο	package	grupo	alternativoj	prononco
level	rapida	γρήγορα, γρήγορα, γρήγορα	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	να φαίνεται, να φαίνεται ότι είναι	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	ένας χαιρετισμός, χαιρετισμός, χαιρετισμός	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	να γράψω	to write	grupo	alternativoj	prononco
level	peti	να ζητήσω, να ζητήσω, να ζητήσω, να ικετεύω	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	να πετάξω	to fly	grupo	alternativoj	prononco
level	kapo	ένα κεφάλι, μια κάπα	a head, a cape	grupo	alternativoj	prononco
level	krii	να φωνάξεις, να κλάψεις, να ουρλιάξεις, να φωνάξεις	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	το κόκκινο	red	grupo	alternativoj	prononco
level	sinjoro	ένας κύριος, ένας κύριος	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	να κρατάς, να κρέμεσαι	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	ώρα, ώρα	time, a time	grupo	alternativoj	prononco
level	tuta	σύνολο, όλο, ολόκληρο, πλήρες, συνολικά	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	ένας άντρας	a man	grupo	alternativoj	prononco
level	vojo	ένας τρόπος, ένα μονοπάτι, μια διαδρομή	a way, a path, a route	grupo	alternativoj	prononco
level	movi	να μετακινήσω	to move	grupo	alternativoj	prononco
level	militi	να σπάσουμε έναν πόλεμο, να πολεμήσουμε, να κάνουμε πόλεμο	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	λίγα, αρκετά	a few, several	grupo	alternativoj	prononco
level	dekstra	δεξιά, δεξιά (πλευρά, κατεύθυνση), δεξιά	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	να κλείσει, να κλείσει	to close, to shut	grupo	alternativoj	prononco
level	okupi	καταλαμβάνω, παίρνω	to occupy, to take	grupo	alternativoj	prononco
level	levi	να μοχλέψει, να σηκώσει, να σηκώσει	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	να χτυπήσει, να χτυπήσει, να χτυπήσει, να smak, να μαστιγώσει	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	να χρειάζεται, να θέλει, να απαιτεί	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	να καταλάβω, να συνειδητοποιήσω	to understand, to realise	grupo	alternativoj	prononco
level	iri	να πάω	to go	grupo	alternativoj	prononco
level	veni	να έρθω	to come	grupo	alternativoj	prononco
level	porti	να κουβαλάς, να φοράς	to carry, to wear	grupo	alternativoj	prononco
level	kovri	να καλύψω	to cover	grupo	alternativoj	prononco
level	hela	φωτεινό, καθαρό και ελαφρύ	bright, clear and light	grupo	alternativoj	prononco
level	sana	υγιής	healthy	grupo	alternativoj	prononco
level	aperi	να εμφανιστεί, να αναδυθεί	to appear, to emerge	grupo	alternativoj	prononco
level	libro	ένα βιβλίο	a book	grupo	alternativoj	prononco
level	atendi	να περιμένει, να περιμένει, να περιμένει	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	ένα χέρι	a hand	grupo	alternativoj	prononco
level	pentri	να ζωγραφίσει	to paint	grupo	alternativoj	prononco
level	instrui	να διδάξει, να διδάξει	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	να καθίσει	to sit	grupo	alternativoj	prononco
level	stari	στέκομαι	to stand	grupo	alternativoj	prononco
level	afero	ένα πράγμα, ένα αντικείμενο, μια υπόθεση, μια ανησυχία, ένα θέμα	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	πλήρης, πλήρης	full, complete	grupo	alternativoj	prononco
level	klara	Σαφή	clear	grupo	alternativoj	prononco
level	komenci	να αρχίσει, να ξεκινήσει	to begin, to commence	grupo	alternativoj	prononco
level	dormi	να κοιμηθεί, να κοιμηθεί	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	ένα μέρος, ένα μερίδιο	a part, a share	grupo	alternativoj	prononco
level	mono	χρήματα	money	grupo	alternativoj	prononco
level	ricevi	να λάβω	to receive	grupo	alternativoj	prononco
level	ami	Ν 'αγαπάς	to love	grupo	alternativoj	prononco
level	devi	πρέπει, πρέπει, πρέπει, πρέπει	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	μπορεί, μπορεί	be able to, can	grupo	alternativoj	prononco
level	labori	να δουλεύω, να δουλεύω	to work, to labor	grupo	alternativoj	prononco
level	dio	ένας Θεός	a god	grupo	alternativoj	prononco
level	urbo	μια πόλη, μια πόλη	a city, a town	grupo	alternativoj	prononco
level	ofta	συχνά, συχνά	freqent, often	grupo	alternativoj	prononco
level	soni	να ακούγεται, να βγάζει ήχο	to sound, to make sound	grupo	alternativoj	prononco
level	tero	γη, γη, χώμα	earth, land, soil	grupo	alternativoj	prononco
level	vivi	να ζεις, να ζεις	to live, to be alive	grupo	alternativoj	prononco
level	resti	να μείνει, να παραμείνει	to stay, to remain	grupo	alternativoj	prononco
level	ridi	γελώ	to laugh	grupo	alternativoj	prononco
level	homo	ένας άνθρωπος, ένας άνθρωπος	a human, a man	grupo	alternativoj	prononco
level	akvo	νερό	water	grupo	alternativoj	prononco
level	vorto	μια λέξη	a word	grupo	alternativoj	prononco
level	certa	σίγουρα, σίγουρα	certain, sure	grupo	alternativoj	prononco
level	lando	μια χώρα, μια χώρα	a land, a country	grupo	alternativoj	prononco
level	sama	ίδιο	same	grupo	alternativoj	prononco
level	ĵeti	να πετάξουν	to throw	grupo	alternativoj	prononco
level	stelo	ένα αστέρι	a star	grupo	alternativoj	prononco
level	domo	ένα σπίτι, ένα σπίτι	a house, a home	grupo	alternativoj	prononco
