A.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	-anta, -anto	-anta, -anto	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	lernanto, lerninto	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	mi estas lernanto	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ estas mia amiko	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	li, ŝi	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sidi, sidas	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sidanta, sidinta, sidonta	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	li sidas kaj ŝi lernas	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ĉambro	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	lernas en ĉambro	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	lernanto kaj sportisto	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sporto kaj sportisto	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	sportisto nun sportas	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	li estas lernanto	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	estas lernanto kaj sportisto	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	li nun sidas	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	kaj nun lernas	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sidas kaj lernas	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	nun en ĉambro	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	estas sur tablo	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	papero kaj paperoj	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	tablo kaj tabloj	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	libro kaj libroj	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	la paperoj kaj libroj	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	ĝi estas sur tablo	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	skribas sur la skribotablo	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	la libroj estas ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	sur la tablo	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	lernolibro kaj la lernolibroj	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	sur la tablo estas ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	patro kaj patrino	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	la patro kaj la patrino	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	la patrino de mia amiko	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	en la ĉambro	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	ne estas en la ĉambro	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ili nun laboras	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	lia patro estas laboristo	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	li laboras en hotelo	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	la patrino instruas	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ŝi estas instruistino	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	ĉu ŝi estas patrino?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ne, ŝi estas hotelisto	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ne, mi ne laboras	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	kio estas ŝia nomo?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	kiu nun respondas?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	la lingvo de ilia patrino	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	ĉu via nomo estas ~ ?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	ni sidas kaj respondas	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	ŝia labora seĝo	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	ĝia nomo ne estas ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	ŝia lingvo estas ilia lingvo	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	nia patro kaj patrino	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	via lernanto, viaj lernantoj	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	ĉu ili estas viaj lernantoj?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	ĉu vi estas lernanto?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	ĉu vi estas en la ĉambro?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	mi ne estas ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	esperantisto kaj esperantistino	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	enskribis por la hotelĉambro	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	lingvisto kaj laboristino	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	lia amikino estas ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	lernantoj kaj sportistoj	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	mia familia nomo estas ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	kiu estas ŝi?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	estas via amikino	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	ĉu via amiko estas ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	skribas nun en la ĉambro	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	ĉu la amiko de via patro ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	laboras en hotelo	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	kio estas sur la tablo?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	sur la tablo en nia ĉambro	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	ĉu la lernolibro de Esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	estas sur via tablo	is on your table	grupo	alternativoj	prononco
level	havas amikinon	havas amikinon	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	ŝia nomo estas ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	juna kaj bela	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	estas juna kaj bela	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	junaj kaj belaj amikoj	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	estas geamikoj	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	hejmo de ŝia instruisto	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	venis al la hejmo	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	la hejmo de ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	bonvolu eniri	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	saluton! kion vi faras?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	kion vi faras?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	sed nun mi volas ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	mi volas paroli	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	kun tri geamikoj	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	parolis kun vi	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	volas paroli kun vi	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	ĉu vi havas geamikojn?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	li havas libron	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	havas bonan libron	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	jes, mi havas	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	ili ŝatas ĝin	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ŝi legis libron	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	ŝatas legi librojn	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	nur bona libro	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	multaj bonaj libroj	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	legis nur bonajn librojn	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	ŝatas legi bonajn librojn	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	ĉu vi volas legi?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	la junulo trinkis kafon	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	volas trinki akvon	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	patro kaj patrino, gepatroj	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	frato kaj fratino, gefratoj	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	viaj gepatroj kaj gefratoj	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	estas en via hejmo	is in your home	grupo	alternativoj	prononco
level	jen la kafo	jen la kafo	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ankoraŭ ne trinkis	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	estas ankoraŭ varma	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	hieraŭ kuiris ĝin	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	mi nun kuiris	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	dankon. tiel li diris	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	povas trinki kaj manĝi	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	trinkis malvarman kafon	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	ankaŭ varma kafo	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	trinkas ankaŭ malvarman kafon	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	povas trinki ankaŭ malvarman kafon	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	rigardas ŝian okulon	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	la plej bela okulo	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	la belaj okuloj	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	rigardis la belajn okulojn	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	la belaj okuloj de ŝi	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	vidas kaj komprenas	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	mi vidas, ke ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	ke li amas ŝin	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	ŝi sentis, ke li amas ŝin	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	demandas, ĉu tio estis granda	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	pri facila demando	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	diris pri nova mono	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	tre belaj okuloj	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	rigardis la grandan fraton	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	malgranda fratino forgesis ĝin	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	akuzativo	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	ne forgesu akuzativon	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	kiun vi vidas?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	mi vidas amikon	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	havas bonajn geamikojn	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	ili laboras pri la malnova domo	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	laboras, laboris, laboros	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	vidas, ke mi manĝas	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	diris, ke li iros	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	malbela kaj malbona	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	kion ŝi diris?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	kion vi atendas?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	eniris en la ĉambron	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	enhavo estis tre malfacila	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	alvenis al la kunsido	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	bonvenon, al la kunveno	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	maljuna viro donis trinkmonon	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	alvenis kaj estis bonvena	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	ili malamas sed kunlaboras.	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	iris al la hotelo	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	havas facilajn lernolibrojn	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	kia estis via patrino?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	via malnova hejmo	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	kiujn librojn vi legis?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	ĉu ili estis bonaj?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	kion faris hieraŭ?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	en la malgranda ĉambro	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	tre longe parolis	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	antaŭ la lernejo	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	parolis antaŭ la lernejo	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	poste parolis pri la libro	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	ĝoje iris al la lernejo	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	tra la strato	through the street	grupo	alternativoj	prononco
level	iris tra la strato	iris tra la strato	went through the street	grupo	alternativoj	prononco
level	estis varma tago	estis varma tago	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	ili vidis kafejon	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	vidis ruĝajn kukojn	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	vidis kukojn en ĝi	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	vidis kafejon kaj en ĝi kukojn	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	eniru kaj manĝu!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	ni eniru kaj manĝu	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	havas sufiĉan monon	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	ĉu vi havas sufiĉan monon?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	ĉu vi komprenas?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	kompreneble!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	tio ne sufiĉas	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	cent dolaroj sufiĉas	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	dolaro, dolaroj, dolarojn	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	havas cent dolarojn	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	kompreneble, mi havas	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	ho! vi estas riĉa!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	kelnero, kelnerino	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	kelnero portas menuon	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	portis tion al ni, alportis tion	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	kelnero alportis multajn kukojn	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	ili manĝis iom	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	post la manĝo	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nova, denove	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	la kelnero denove venis	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	en iu loko	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	serĉis en iu loko	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	serĉis en alia loko	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	lia vizaĝo estis ĝoja	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	ŝi estis malĝoja	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	fine kaj finfine	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	via forta voĉo	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	en malforta voĉo	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	ne havas monon	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	kio okazis tie?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	akcidento okazis poste	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	ĉu vi scias, kiam ĝi okazis?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	scias pri la afero	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	ankoraŭ unu afero restas	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	vi aŭ ŝi, ajna homo	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	kiel kantisto	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	kantis kiel profesia kantisto	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	tie, kie ŝi loĝis	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	kiel vi scias pri la aŭto?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	nu, vidu la rapidan aŭton	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	suko sen sukero	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	li havis rapidan veturilon	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	tro forte	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	li tro forte malfermis	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	veturis tro rapide	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	manĝis per kulero	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	ni forte dubas	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	vera letero de li	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	amletero kun kvin fotoj	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	revenis, revenintoj	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	ankaŭ ses leteroj revenis	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	volis vidi la foton	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	revenis el la lernejo	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	kiam revenos la fratino?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	volis legi denove	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	faris, fariĝis	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	rapide fariĝis ruĝa	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	en ĉambro, en ĉambron	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	staris kaj sidis	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	tie staris antaŭ la foto	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	mi havas tion	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	kion vi havas en via mano?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	antaŭ aŭ malantaŭ?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	antaŭ aŭ post?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	tie malantaŭ la pordo	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	aliaj, aliaj homoj	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	leteroj de aliaj	letters from others	grupo	alternativoj	prononco
