A.ur content.tsv
Level	Esperanto	ur	en-us	Grupo	Alternativoj	Pronoco
level	lerni ~, lerno	سیکھنا، سیکھنا	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	دیکھ رہا ہے، تماشائی	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	سیکھ رہا ہے، ایک طالب علم (ایک سیکھنے والا شخص)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing، ایک شخص جو کر رہا ہے	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	ایک طالب علم، ایک شخص جس نے سیکھا ہے۔	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	میں نے ایک طالب علم ہوں.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ میرا دوست ہے۔	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	وہ	he, she	grupo	alternativoj	prononco
level	sidi, sidas	بیٹھنا، بیٹھنا	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	بیٹھا ہے، بیٹھا ہے، بیٹھا رہے گا۔	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	وہ بیٹھا ہے اور وہ سیکھ رہی ہے۔	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ایک کمرہ	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	ایک کمرے میں سیکھتا ہے۔	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	ایک طالب علم اور ایک کھلاڑی	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	کھیل اور ایک کھلاڑی	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	ایک کھلاڑی کھیل رہا ہے۔	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	وہ ایک طالب علم ہے	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	وہ ایک طالب علم اور ایک کھلاڑی ہے	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	وہ اب بیٹھا ہے	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	اور اب سیکھ رہا ہے	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	بیٹھا ہے اور سیکھ رہا ہے۔	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	اب ایک کمرے میں	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	ایک میز پر ہے	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ایک کاغذ اور کاغذات	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	ایک میز اور میزیں	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	ایک کتاب اور کتابیں	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	کاغذات اور کتابیں	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	یہ ایک میز پر ہے.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	لکھنے کی میز پر لکھ رہا ہے۔	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	کتابیں ہیں ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	میز پر	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	ایک نصابی کتاب اور درسی کتابیں	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	میز پر ~ ہے	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	ایک باپ اور ایک ماں	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	باپ اور ماں	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	میرے دوست کی ماں	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	کمرے میں	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	کمرے میں نہیں ہے؟	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	وہ اب کام کر رہے ہیں	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	اس کے والد ایک مزدور ہیں	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	وہ ایک ہوٹل میں کام کرتا ہے۔	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	ماں سکھاتی ہے	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	وہ ایک استاد ہے	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	کیا وہ ماں ہے؟	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	نہیں، وہ ایک ہوٹل والا ہے۔	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	نہیں، میں کام نہیں کرتا	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	اس کا نام کیا ہے	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	اب کون جواب دے رہا ہے	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	ان کی ماں کی زبان	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	کیا آپ کا نام ~ ہے ؟	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	ہم بیٹھے جواب دے رہے ہیں۔	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	اس کی ورکنگ کرسی	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	اس کا نام ~ نہیں ہے۔	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	اس کی زبان ان کی زبان ہے۔	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	ہمارے والد اور ماں	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	آپ کا طالب علم، آپ کے طالب علم	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	کیا وہ آپ کے طالب علم ہیں؟	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	کیا آپ طالب علم ہیں؟	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	کیا آپ کمرے میں ہیں؟	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	میں ~ نہیں ہوں۔	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	ایک اسپرنٹسٹ اور ایک خاتون اسپرنٹسٹ	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	ہوٹل کے کمرے میں چیک ان کیا۔	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	ایک ماہر لسانیات اور ایک خاتون کارکن	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	اس کی گرل فرینڈ ہے ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	طلباء اور کھلاڑی	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	میرا خاندانی نام ~ ہے۔	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	وہ کون ہے؟ وہ کون سی ہے؟	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	آپ کی گرل فرینڈ ہے؟	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	کیا آپ کا دوست ہے ~	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	ابھی کمرے میں لکھ رہا ہے۔	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	کیا آپ کے والد کے دوست ہیں ~	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	ایک ہوٹل میں کام کرتا ہے۔	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	میز پر کیا ہے؟	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	ہمارے کمرے میں میز پر	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	کیا ایسپرانٹو نصابی کتاب ہے ~ ؟	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	آپ کی میز پر ہے۔	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ایک دوست ہے؟	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	اس کا نام ~ ہے۔	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	جوان اور خوبصورت	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	جوان اور خوبصورت ہے	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	نوجوان اور خوبصورت دوست	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	مرد اور عورت دوست ہیں۔	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	اس کے استاد کا گھر	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	گھر آیا	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ کا گھر	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	اندر آئیے	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	ہیلو تم کیا کر رہے؟	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	آپ کیا کرتے ہیں؟ تم کیا کر رہے ہو؟	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	لیکن اب میں چاہتا ہوں ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	میں بولنا چاہتا ہوں۔	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	تین مرد اور خواتین دوستوں کے ساتھ	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	آپ سے بات کی	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	آپ سے بات کرنا چاہتا ہے۔	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	کیا آپ کے مرد اور عورت دوست ہیں؟	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	اس کے پاس ایک کتاب ہے	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	ایک اچھی کتاب ہے	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	ہاں میرے پاس ہے	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	وہ اسے پسند کرتے ہیں	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	اس نے ایک کتاب پڑھی۔	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	کتابیں پڑھنا پسند کرتے ہیں؟	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	صرف ایک اچھی کتاب	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	بہت سی اچھی کتابیں	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	صرف اچھی کتابیں پڑھیں	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	اچھی کتابیں پڑھنا پسند کرتے ہیں۔	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	کیا آپ پڑھنا چاہتے ہیں؟	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	نوجوان نے کافی پی	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	پانی پینا چاہتا ہے؟	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	ایک باپ اور ایک ماں؛ والدین	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	ایک پریشانی اور ایک بہن، بہن بھائی	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	آپ کے والدین اور بہن بھائی	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	آپ کے گھر میں ہے	is in your home	grupo	alternativoj	prononco
level	jen la kafo	یہاں کافی ہے	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ابھی تک نہیں پیا؟	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	اب بھی گرم ہے	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	کل اسے پکایا	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	اب میں نے پکایا ہے۔	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	شکریہ تو اس نے کہا.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	پی سکتے ہیں اور کھا سکتے ہیں۔	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	کولڈ کافی پیی	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	اب بھی گرم کافی	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	کولڈ کافی بھی پیتے ہیں	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	کولڈ کافی بھی پی سکتے ہیں۔	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	اس کی آنکھ کو دیکھتا ہے	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	سب سے خوبصورت آنکھ	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	خوبصورت آنکھیں	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	خوبصورت آنکھوں کو دیکھا	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	اس کی خوبصورت آنکھیں	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	دیکھتا اور سمجھتا ہے۔	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	میں دیکھ رہا ہوں کہ ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	کہ وہ اس سے محبت کرتا ہے	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	اسے لگتا ہے کہ وہ اس سے محبت کرتا ہے۔	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	پوچھتا ہے کہ کیا یہ بڑا تھا؟	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	ایک آسان سوال کے بارے میں	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	ایک نئے پیسے کے بارے میں کہا	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	بہت خوبصورت آنکھیں	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	بڑے بھائی کو دیکھا	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	ایک چھوٹی بہن بھول گئی۔	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	ایک الزام لگانے والا (مقصد)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	الزامی اختتام کو مت بھولنا	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	تم کس کو دیکھ رہے ہو؟ آپ کون سا دیکھتے ہیں؟	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	میں ایک دوست کو دیکھتا ہوں۔	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	اچھے مرد اور خواتین دوست ہیں۔	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	وہ پرانے گھر کے بارے میں کام کر رہے ہیں۔	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	کام کرتا ہے، کام کرتا ہے، کام کرے گا۔	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	دیکھتا ہوں، کہ میں کھاتا ہوں۔	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	کہا، وہ جائے گا۔	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	بدصورت اور برا	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	اس نے کیا کہا؟	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	آپ کس چیز کا انتظار کر رہے ہیں	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	کمرے میں چلا گیا	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	ایک مواد بہت مشکل ہے	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	میٹنگ میں پہنچے	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	اجلاس میں خوش آمدید	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	ایک بوڑھے نے مشورہ دیا۔	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	پہنچے اور استقبال کیا گیا۔	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	وہ نفرت کرتے ہیں لیکن تعاون کرتے ہیں۔	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	ہوٹل چلا گیا	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	آسان نصابی کتابیں ہیں۔	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	تمہاری ماں کیسی تھی؟	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	آپ کا پرانا گھر	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	آپ نے کون سی کتابیں پڑھی ہیں؟	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	کیا وہ اچھے تھے؟	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	کل کیا کیا؟	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	چھوٹے کمرے میں	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	بہت دیر تک بولا	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	اسکول کے سامنے، اسکول کے سامنے	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	اسکول کے سامنے بات کی	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	بعد میں کتاب کے بارے میں بات کی۔	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	خوشی سے سکول چلا گیا۔	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	گلی کے ذریعے	through the street	grupo	alternativoj	prononco
level	iris tra la strato	گلی سے گزرا	went through the street	grupo	alternativoj	prononco
level	estis varma tago	ایک گرم دن تھا	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	انہوں نے ایک کیفے دیکھا	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	سرخ کوکیز دیکھا	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	اس میں کوکیز دیکھی	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	ایک کیفے دیکھا' اور اس میں کوکیز	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	اندر جاؤ اور کھاؤ!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	چلو اندر آ کر کھانا کھاتے ہیں۔	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	کافی رقم ہے	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	کیا آپ کے پاس کافی رقم ہے؟	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	کیا تم سمجھ گئے ہو؟	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	بلکل!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	یہ کافی نہیں ہے	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	ایک سو ڈالر کافی ہے	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	ڈالر، ڈالر، ڈالر (کثرت مقصد)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	ایک سو ڈالر ہے	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	یقینا، میرے پاس ہے	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	اوہ! تم امیر ہو!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	ایک پانی، ایک ویٹریس	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	ایک ویٹر ایک مینو لاتا ہے۔	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	وہ ہمارے پاس لایا، وہ لایا	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	ایک ویٹر بہت سی کوکیز لایا	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	انہوں نے کچھ کھایا (تھوڑا سا)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	کھانے کے بعد (کھانا)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	نیا، دوبارہ	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	ویٹر دوبارہ آیا	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	کسی جگہ	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	کسی جگہ تلاش کیا تھا۔	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	دوسری جگہ تلاش کیا۔	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	اس کے چہرے پر خوشی تھی	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	وہ اداس تھا	she was sad	grupo	alternativoj	prononco
