A.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	revido, revidon	เห็นอีกครั้งเห็นอีกครั้ง (วัตถุประสงค์)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	แล้วพบกันอีก!	see you again!	grupo	alternativoj	prononco
level	dankon	ขอบคุณ	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	ขอบคุณและพบกันใหม่!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	ถึง ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	สำหรับคุณสำหรับฉัน	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(ปัจจุบัน) ขอบคุณ (อดีต) ขอบคุณ	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	ฉันขอขอบคุณคุณ	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	ใช่ไม่ใช่	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ใช่ ขอบคุณ	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	กินก็จะกิน	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	ฉันไม่กิน	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ไม่ ฉันไม่กิน	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	สวยงามสวยงาม	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	คุ้มค่า (จบ)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	น่าชื่นชมและคุ้มค่าที่จะขอบคุณ	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	ทั้งหมดโดยรวม	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	ทั้งหมด (วัตถุประสงค์) ทั้งหมด	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	ไม่เลย ยินดีด้วย	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	ไม่เลย	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	การให้อภัย การให้อภัย	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	การให้อภัยแก่ฉัน	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	ฉันเสียใจ! (ยกโทษให้ฉัน)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	ฉันขอโทษ ได้โปรด	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	สวัสดีตอนเช้า	a good morning	grupo	alternativoj	prononco
level	bonan matenon	สวัสดีตอนเช้า	good morning	grupo	alternativoj	prononco
level	bonan nokton	ราตรีสวัสดิ์	good night	grupo	alternativoj	prononco
level	bonan sonĝon	ฝันหวาน	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(มี) การเดินทางที่ดีกับคุณ	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	ขอให้เป็นวันที่ดี!	good day!	grupo	alternativoj	prononco
level	ĉu ~	มันคือ ~ ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	คุณสบายดีไหม? (คุณเป็นอย่างไร?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	ใช่ฉันสบายดี	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ไม่เลย	no, not at all	grupo	alternativoj	prononco
level	tre, tro	มาก มากเกินไป	very, too much	grupo	alternativoj	prononco
level	granda, grande	ใหญ่, ส่วนใหญ่	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	ใหญ่มาก ใหญ่เกินไป	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	คุณทำได้ดีมาก	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ไม่ค่อยดีนัก	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	การเรียนรู้การเรียนรู้	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	กำลังมองหาผู้ชม	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	คือการเรียนรู้ นักเรียน (ผู้เรียนรู้)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	คือ -ing บุคคลที่กำลังทำ	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	นักเรียนบุคคลที่ได้เรียนรู้	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	ฉันเป็นนักเรียน.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ เป็นเพื่อนของฉัน	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	เขาเธอ	he, she	grupo	alternativoj	prononco
level	sidi, sidas	นั่งนั่ง	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	กำลังนั่ง กำลังนั่ง กำลังจะนั่ง	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	เขากำลังนั่งอยู่และเธอกำลังเรียนรู้	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ห้อง	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	เรียนรู้ในห้อง	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	นักเรียนและนักกีฬา	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	กีฬาและนักกีฬา	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	นักกีฬากำลังเล่นกีฬา	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	เขาเป็นนักเรียน	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	เขาเป็นนักเรียนและเป็นนักกีฬา	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	ตอนนี้เขากำลังนั่งอยู่	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	และตอนนี้กำลังเรียนรู้อยู่	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	กำลังนั่งและกำลังเรียนรู้	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	ตอนนี้อยู่ในห้อง	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	อยู่บนโต๊ะ	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	กระดาษและเอกสาร	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	โต๊ะและโต๊ะ	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	หนังสือและหนังสือ	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	เอกสารและหนังสือ	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	มันอยู่บนโต๊ะ	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	กำลังเขียนอยู่บนโต๊ะเขียน	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	หนังสือคือ ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	บนโต๊ะ	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	หนังสือเรียนและหนังสือเรียน	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	บนโต๊ะมี~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	พ่อและแม่	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	พ่อและแม่	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	แม่ของเพื่อนของฉัน	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	ในห้อง	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	ไม่ได้อยู่ในห้อง	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ตอนนี้พวกเขากำลังทำงานอยู่	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	พ่อของเขาเป็นคนงาน	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	เขาทำงานในโรงแรม	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	แม่สอน	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	เธอเป็นครู	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	เธอเป็นแม่หรือเปล่า?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ไม่ เธอเป็นพนักงานโรงแรม	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ไม่ ฉันไม่ได้ทำงาน	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	เธอชื่ออะไร?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	ตอนนี้ใครกำลังตอบอยู่?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	ภาษาของแม่ของพวกเขา	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	คุณชื่อ ~ ?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	เรากำลังนั่งตอบอยู่	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	เก้าอี้ทำงานของเธอ	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	ไม่ใช่ชื่อของมัน~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	ภาษาของเธอคือภาษาของพวกเขา	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	พ่อและแม่ของเรา	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	นักเรียนของคุณ นักเรียนของคุณ	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	พวกเขาเป็นนักเรียนของคุณหรือเปล่า?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	คุณเป็นนักเรียนหรือเปล่า?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	คุณอยู่ในห้องหรือเปล่า?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	ฉันไม่~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	นักภาษาเอสเปรันติสต์และนักภาษาเอสเปรันติสต์หญิง	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	เช็คอินเข้าห้องพักในโรงแรม	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	นักภาษาศาสตร์และคนงานหญิง	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	เพื่อนสาวของเขาคือ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	นักเรียนและนักกีฬา	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	ชื่อครอบครัวของฉันคือ ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	เธอเป็นใคร? เธอคือใคร?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	เป็นเพื่อนสาวของคุณ	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	เพื่อนของคุณ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	ตอนนี้กำลังเขียนอยู่ในห้อง	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	เพื่อนของพ่อเหรอ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	ทำงานในโรงแรม	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	อะไรอยู่บนโต๊ะ?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	บนโต๊ะในห้องของเรา	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	หนังสือเรียนภาษาเอสเปรันโตคือ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	อยู่บนโต๊ะของคุณ	is on your table	grupo	alternativoj	prononco
level	havas amikinon	มีเพื่อน	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	เธอชื่อ ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	สาวและสวย	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	ยังเด็กและสวยงาม	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	เพื่อนที่อายุน้อยและสวยงาม	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	เป็นเพื่อนชายและหญิง	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	บ้านของครูของเธอ	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	มาที่บ้าน	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	บ้านของ ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	กรุณาเข้ามา	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	สวัสดีคุณกำลังทำอะไรอยู่?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	คุณทำงานอะไร? คุณกำลังทำอะไร?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	แต่ตอนนี้ฉันต้องการ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	ฉันต้องการที่จะพูด	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	กับเพื่อนชายและหญิงสามคน	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	พูดคุยกับคุณ	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	ต้องการพูดคุยกับคุณ	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	คุณมีเพื่อนชายและหญิงไหม	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	เขามีหนังสือ	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	มีหนังสือดีๆ สักเล่ม	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	ใช่ฉันมี	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	พวกเขาชอบมัน	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	เธออ่านหนังสือ	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	ชอบอ่านหนังสือ	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	หนังสือดีๆ สักเล่มเท่านั้น	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	หนังสือดีๆมากมาย	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	อ่านหนังสือดีๆ เท่านั้น	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	ชอบอ่านหนังสือดีๆ	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	คุณอยากอ่านไหม?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	เจ้าหนูดื่มกาแฟ	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	อยากดื่มน้ำ	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	พ่อและแม่; ผู้ปกครอง	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	ความรำคาญและน้องสาวพี่น้อง	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	พ่อแม่และพี่น้องของคุณ	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	อยู่ในบ้านของคุณ	is in your home	grupo	alternativoj	prononco
level	jen la kafo	นี่คือกาแฟ	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ยังไม่ได้ดื่ม	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	ยังอบอุ่นอยู่	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	ปรุงมันเมื่อวานนี้	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	ตอนนี้ฉันปรุงสุกแล้ว	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	ขอบคุณ. ดังนั้นเขาจึงพูด	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	สามารถดื่มและกินได้	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	ดื่มกาแฟเย็น	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	กาแฟอุ่นๆยังอยู่	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	ดื่มกาแฟเย็นด้วย	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	สามารถดื่มกาแฟเย็นได้	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	มองตาเธอ	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	ดวงตาที่สวยที่สุด	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	ดวงตาที่สวยงาม	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	มองดวงตาที่สวยงาม	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	ดวงตาที่สวยงามของเธอ	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	มองเห็นและเข้าใจ	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	ฉันเห็นแล้ว~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	ว่าเขารักเธอ	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	เธอรู้สึกว่าเขารักเธอ	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	ถามว่ามันใหญ่ไหม	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	เกี่ยวกับคำถามง่ายๆ	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	กล่าวถึงเงินใหม่	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	ดวงตาที่สวยงามมาก	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	มองไปที่พี่ใหญ่	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	น้องสาวคนเล็กลืมมันไป	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	ข้อกล่าวหา (วัตถุประสงค์)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	อย่าลืมตอนจบแบบกล่าวหา	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	คุณเห็นใครอยู่? คุณเห็นอันไหน?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	ฉันเห็นเพื่อนคนหนึ่ง	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	มีเพื่อนชายและหญิงที่ดี	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	พวกเขากำลังทำงานเกี่ยวกับบ้านหลังเก่า	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	ทำงาน ทำงาน จะทำงาน	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	เห็นว่าฉันกิน	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	บอกว่าจะไป	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	น่าเกลียดและไม่ดี	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	เธอพูดอะไร?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	คุณกำลังรออะไรอยู่?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	เข้าไปในห้อง	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	เนื้อหาเป็นเรื่องยากมาก	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	มาถึงที่ประชุมแล้ว	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	ยินดีต้อนรับสู่การประชุม	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	ชายชราคนหนึ่งให้คำแนะนำ	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	มาถึงก็ได้รับการต้อนรับ	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	พวกเขาเกลียดแต่ก็ให้ความร่วมมือ	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	ไปที่โรงแรม	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	มีตำราเรียนง่ายๆ	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	แม่ของคุณเป็นอย่างไรบ้าง?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	บ้านเก่าของคุณ	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	คุณอ่านหนังสือไหน?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	พวกเขาสบายดีไหม?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	เมื่อวานทำอะไร?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	ในห้องเล็กๆ	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	พูดนานมากแล้ว	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	หน้าโรงเรียน, ก่อนโรงเรียน	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	พูดต่อหน้าโรงเรียน	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	ต่อมาก็พูดถึงหนังสือเล่มนี้	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	ไปโรงเรียนด้วยความยินดี	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	ผ่านถนน	through the street	grupo	alternativoj	prononco
level	iris tra la strato	เดินผ่านถนน	went through the street	grupo	alternativoj	prononco
level	estis varma tago	เป็นวันที่อบอุ่น	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	พวกเขาเห็นร้านกาแฟ'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	เห็นคุกกี้สีแดง	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	เห็นคุกกี้อยู่ในนั้น	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	เห็นร้านกาแฟแล้วมีคุกกี้อยู่ในนั้น	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	เข้าไปกิน!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	เข้ามาทานอาหารกันเถอะ	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	มีเงินเพียงพอ	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	คุณมีเงินเพียงพอหรือไม่?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	คุณเข้าใจไหม?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	แน่นอน!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	นั่นยังไม่เพียงพอ	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	หนึ่งร้อยเหรียญก็เพียงพอแล้ว	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	ดอลลาร์ ดอลลาร์ ดอลลาร์ (พหูพจน์วัตถุประสงค์)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	มีหนึ่งร้อยเหรียญ	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	แน่นอนฉันมี	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	โอ้! คุณรวย!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	น้ำ พนักงานเสิร์ฟ	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	พนักงานเสิร์ฟนำเมนูมา	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	นำสิ่งนั้นมาให้เรา นำสิ่งนั้นมา	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	บริกรนำคุกกี้มามากมาย	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	พวกเขากินไปบ้าง (เล็กน้อย)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	หลังรับประทานอาหาร (มื้อ)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	ใหม่อีกครั้ง	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	พนักงานเสิร์ฟมาอีกครั้ง	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	ในบางแห่ง	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	ได้ค้นหาสถานที่แห่งหนึ่ง	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	ค้นหาในที่อื่น	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	ใบหน้าของเขาร่าเริง	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	เธอเศร้า	she was sad	grupo	alternativoj	prononco
