A.uk content.tsv
Level	Esperanto	uk	en-us	Grupo	Alternativoj	Pronoco
level	tuta, tute	весь, як ціле	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	весь, (об'єктивний) весь	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	зовсім ні, будь ласка	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	абсолютно ні	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	прощати, прощаючий	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	прощення для мене	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	мені шкода! (Вибач мені)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Вибач, будь ласка	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	доброго ранку	a good morning	grupo	alternativoj	prononco
level	bonan matenon	добрий ранок	good morning	grupo	alternativoj	prononco
level	bonan nokton	Надобраніч	good night	grupo	alternativoj	prononco
level	bonan sonĝon	солодкий сон	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(маю) гарної дороги, тобі	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	хороший день!	good day!	grupo	alternativoj	prononco
level	ĉu ~	це ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	у тебе все добре? (як справи?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	так, я в порядку	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ні, зовсім ні	no, not at all	grupo	alternativoj	prononco
level	tre, tro	дуже, занадто багато	very, too much	grupo	alternativoj	prononco
level	granda, grande	великий, значною мірою	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	Дуже добре, занадто великий	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	у тебе все дуже добре	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	не дуже добре	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	вчитися, навчання	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	дивиться, глядач	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	навчається, студент (людина, що навчається)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, людина, яка робить	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	учень, людина, яка навчилася	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Я студент.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ мій друг	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	він, вона	he, she	grupo	alternativoj	prononco
level	sidi, sidas	сидіти, сидить	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	сидить, сидів, буде сидіти	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	він сидить, а вона вчиться	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	кімната	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	вчиться в кімнаті	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	студент і спортсмен	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	спорт і спортсмен	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	спортсмен спортивний	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	він студент	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	він студент і спортсмен	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	він зараз сидить	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	а зараз вчиться	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	сидить і вчиться	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	зараз в кімнаті	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	знаходиться на столі	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	папір і папери	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	стіл і столи	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	книга і книги	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	папери і книги	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	це на столі.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	пише на письмовому столі	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	книги ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	на столі	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	підручник і підручники	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	на столі є ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	батько і мати	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	батько і мати	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	мати мого друга	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	в кімнаті	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	немає в кімнаті	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	вони зараз працюють	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	його батько робітник	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	він працює в готелі	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	мати навчає	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	вона Учитель	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	вона мати?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ні, вона готельєр	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ні, я не працюю	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	як її звати?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	хто зараз відповідає?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	мовою своєї матері	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	твоє ім'я ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	ми сидимо і відповідаємо	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	її робоче крісло	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	його назва не ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	її мова - це їхня мова	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	наші батько й мати	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	ваш учень, ваші учні	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	вони твої студенти?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	ти студент?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	ти в кімнаті?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Я не ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	есперантист і есперантистка	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	заселився в готельний номер	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	мовознавець і працівниця	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	його подруга ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	студенти та спортсмени	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	моє сімейне ім'я ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	хто вона? яка вона?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	твоя подруга	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	твій друг ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	зараз пише в кімнаті	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	це друг твого батька ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	працює в готелі	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	що на столі?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	на столі в нашій кімнаті	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	це підручник есперанто ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	є на вашому столі	is on your table	grupo	alternativoj	prononco
level	havas amikinon	має друга	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	її ім'я ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	молода і красива	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	молода і красива	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	молодих і красивих друзів	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	є друзями чоловіка та жінки	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	будинок її вчителя	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	прийшов додому	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	дім ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	будь ласка, приходьте в	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Привіт, що ти робиш?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	що ти робиш? що ви робите?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	але зараз я хочу ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Я хочу говорити	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	з трьома друзями	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	говорив з вами	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	хоче поговорити з тобою	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	у тебе є друзі і друзі?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	у нього є книга	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	має хорошу книгу	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	так, у мене є	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	їм це подобається	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	вона читала книгу	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	любить читати книги	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	тільки хороша книга	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	багато хороших книг	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	читати тільки хороші книги	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	любить читати хороші книги	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	ти хочеш почитати?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	хлопець пив каву	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	хоче пити воду	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	батько і мати; батьки	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	клопіт і сестра, брати і сестри	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	ваших батьків і братів і сестер	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	знаходиться у вашому домі	is in your home	grupo	alternativoj	prononco
level	jen la kafo	ось кава	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ще не пив	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	ще теплий	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	вчора готувала	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Я зараз приготувала	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Дякую тобі. так він сказав.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	можна пити і їсти	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	пив холодну каву	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	ще тепла кава	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	теж п'є холодну каву	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	також можна пити холодну каву	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	дивиться їй в очі	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	найкрасивіше око	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	красиві очі	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	подивилася красивими очима	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	її гарні очі	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	бачить і розуміє	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Я бачу, що ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	що він любить її	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	вона відчуває, що він любить її	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	питає, чи це було велико	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	про легке питання	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	сказав про нові гроші	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	дуже красиві очі	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	подивився старший брат	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	маленька сестра забула	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	акузатив (об'єкт)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	не забувайте про знахідний відмінок	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	з ким ти бачишся? який ти бачиш?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Я бачу друга	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	має хороших друзів	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	вони працюють над старим будинком	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	працює, працював, працюватиме	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	бачить, що я їм	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	сказав, що піде	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	потворний і поганий	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	що вона сказала?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	на що ти чекаєш?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	зайшла в кімнату	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	зміст дуже складний	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	прибув на зустріч	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	Ласкаво просимо на зустріч	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	підказав старий чоловік	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	прибув і його зустріли	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	вони ненавидять, але співпрацюють	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	пішли в готель	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	має легкі підручники	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	як твоя мама?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	ваш старий будинок	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	які книги ти читав?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	вони були хороші?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	робив що вчора?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	в маленькій кімнаті	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	говорив дуже довго	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	перед школою, перед школою	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	говорив перед школою	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	пізніше говорив про книгу	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	із задоволенням ходив до школи	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	через вул	through the street	grupo	alternativoj	prononco
level	iris tra la strato	пройшов вулицею	went through the street	grupo	alternativoj	prononco
level	estis varma tago	був теплий день	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	вони побачили кафе&quot;	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	побачив червоне печиво	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	побачив у ньому печиво	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	побачив кафе' і в ньому печиво	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	заходь і їж!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	давай зайдемо і поїмо	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	має достатньо грошей	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	у вас достатньо грошей?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	ти розумієш?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	звичайно!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	цього недостатньо	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	ста доларів достатньо	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	долар, долари, долари (мета множини)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	має сто доларів	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	звичайно, маю	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	о! ти багатий!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	вода, офіціантка	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	офіціант приносить меню	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	приніс це нам, приніс те	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	офіціант приніс багато печива	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	вони з'їли (трохи)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	після їжі (їди)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	новий, знову	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	знову прийшов офіціант	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	в якомусь місці	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	десь шукав	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	шукали в іншому місці	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	обличчя його було радісне	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	їй було сумно	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	в кінці і нарешті нарешті	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	твій сильний голос	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	слабким голосом	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	не має грошей	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	що там сталося?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	пізніше сталася аварія	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	ти знаєш коли це сталося?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	знає про справу	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	ще одне залишається	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	ти чи вона, будь-яка особа	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	як співак, як підписувач	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	співав як професійний співак	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	місце, де вона жила	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	звідки ти знаєш про машину?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	ну подивіться на швидку машину	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	сік без цукру	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	у нього швидкий автомобіль	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	занадто сильно	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	він відкрився надто важко	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	їхав (їхав) надто швидко	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	їв ложкою	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	сильно сумніваємось	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	справжній лист від нього	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	любовний лист із п'ятьма фотографіями	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	повернулися, люди, які повернулися	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	також повернуто шість листів	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	хотіла подивитись фото	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	повернувся зі школи	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	коли повернеться сестра?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	захотів перечитати ще раз	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	зробив (зробив), став	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	швидко почервоніла	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	в кімнату, в кімнату	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	стояв і сидів	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	там стояв перед фото	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	У мене це є	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	що у тебе в руці?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	спереду чи ззаду?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	до чи після?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	там за дверима	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	інші, інші люди	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	листи від ін	letters from others	grupo	alternativoj	prononco
level	falis el la mano	випала з руки	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	на стіл, на стіл	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	воно впало на стіл	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	просив вибачення	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	шукав п'ять книг	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	вибачте, я шукав свою книгу.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	але ти добре знаєш	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	немає на моєму столі	is not on my table	grupo	alternativoj	prononco
