B.km content.tsv
Level	Esperanto	km	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vi estas tiu?	តើអ្នកជាមនុស្សនោះ?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	បុគ្គលនោះ ដែលបានរាំជាមួយខ្ញុំ	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	យប់ថ្ងៃសៅរ៍	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	តើ​អ្នក​នោះ​ជា​អ្នក​ដែល​បាន​រាំ​ជាមួយ​ខ្ញុំ​យប់​ថ្ងៃ​សៅរ៍​?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	បាទវាគឺជាខ្ញុំ	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	ខ្ញុំ​រីក​រាយ​ណាស់​ដែល ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	ខ្ញុំរីករាយដែលអ្នកបានមកកាន់គេហទំព័រ	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	តើវាពេញចិត្តអ្នកទេ? (តើ​អ្នក​ចូលចិត្ត​វា​ទេ?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	បាទ បាទ	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	វា​គឺ​ស្អាត​ណាស់	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	ហាក់ដូចជាគួរឱ្យចាប់អារម្មណ៍	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	វាស្អាតណាស់ ហើយមើលទៅគួរអោយចាប់អារម្មណ៍	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	មិនទាន់ ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	មិនទាន់រួចរាល់ទាំងស្រុង	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	វាមិនទាន់រួចរាល់ទាំងស្រុងនៅឡើយទេ	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ប៉ុន្តែឆាប់ៗនេះវានឹងមាន	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	ខ្ញុំយល់ (ខ្ញុំឃើញ)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ប៉ុន្តែមានឧបករណ៍ជំនួយជាច្រើនរួចទៅហើយ	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	វចនានុក្រម	a dictionary	grupo	alternativoj	prononco
level	superrigardo	ទិដ្ឋភាព​ទូទៅ	an overview	grupo	alternativoj	prononco
level	ekzerco	excise មួយ។	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	ឧទាហរណ៍ពាក្យ ទិដ្ឋភាពទូទៅ អ្នកនាំសារ និងការអនុវត្ត	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	ទិដ្ឋភាពទូទៅនៃវេយ្យាករណ៍	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	កម្មវិធីផ្ញើសារភ្លាមៗ និងលំហាត់ផ្សេងៗ	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	វាគឺជាការចាប់ផ្តើមដ៏ល្អ	it is a good start	grupo	alternativoj	prononco
level	pardonon	អត់ទោសឱ្យខ្ញុំ ខ្ញុំសុំទោស	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	ខ្ញុំត្រូវតែនិយាយជាមួយ ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	ដើម្បីនិយាយជាមួយមនុស្សម្នាក់ទៀត។	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	ខ្ញុំសុំទោស ខ្ញុំគួរតែនិយាយជាមួយអ្នកផ្សេង	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	អ្នកជំនួយភាសា	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	ខ្ញុំជាអ្នកជំនួយភាសារបស់នាង	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	ហើយឥឡូវនេះនាងចង់និយាយអំពី ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	ដើម្បីនិយាយអំពីលំហាត់	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	ឆាប់ៗនេះនឹងត្រលប់មកវិញ	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	ខ្ញុំនឹងត្រលប់មកអ្នកវិញក្នុងពេលឆាប់ៗនេះ	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	បន្ទាប់ពីប៉ុន្មាននាទី	after several minutes	grupo	alternativoj	prononco
level	finparolis	និយាយចប់	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	ឥឡូវនេះយើងបានបញ្ចប់ការនិយាយអំពីលំហាត់	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	ក្នុងពេលនេះ មួយរយៈ	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	ខ្ញុំបានអានអំពី Esperanto ក្នុងពេលនោះ។	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	ខ្ញុំមិនប្រាកដទេ។	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	ដឹងគ្រប់គ្រាន់អំពី ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	ខ្ញុំមិនទាន់ចេះភាសាគ្រប់គ្រាន់នៅឡើយទេ	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	ចម្លើយដ៏ឆ្លាតវៃ	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	ខ្ញុំនឹងរកមើលនៅលើគេហទំព័រ	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	ហើយនឹងព្យាយាមរៀនបន្តិច	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	តើអ្នកចង់ក្លាយជាអ្នកជំនួយភាសារបស់ខ្ញុំទេ?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	ដោយ​ស្ម័គ្រ​ចិត្ត!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	កុំ​គួរសម​អី!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	មិន​សម​នឹង​ការ​អរគុណ ប៉ុន្តែ​គួរ​ឱ្យ​ថើប	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	និយាយ​ថា​នៅ​ក្នុង​ភាសា Esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	អ្វី? ខ្ញុំមិនយល់ទេ។	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	អ្នកអាចមើលក្នុងវចនានុក្រម	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	ជាអកុសល	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	ខ្ញុំត្រូវតែចេញពីអ៊ីនធឺណិតឥឡូវនេះ	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	ខ្ញុំនឹងត្រលប់មកវិញនៅពេលល្ងាច	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	ខ្ញុំ​គិត​ថា​ខ្ញុំ​នឹង​នៅ​កន្លែង​នោះ​នៅ​ពេល​នោះ។	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	ល្អឥតខ្ចោះ!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	អញ្ចឹងជួបគ្នា!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	ជួប​គ្នា​ពេល​ក្រោយ!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	នៅពេលល្ងាចក៏នៅអ្នកនាំសារភ្លាមៗដែរ។	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	ជំរាបសួរ​ជា​ថ្មី​ម្តង​ទៀត! (ឡើងវិញ-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	ជំរាបសួរ​ជា​ថ្មី​ម្តង​ទៀត!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	ខ្ញុំបានមើលទំព័រស្ទើរតែទាំងអស់ពីគេហទំព័រ	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	ល្អណាស់! អស្ចារ្យមែន!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	ខ្ញុំមានសំណួរជាច្រើន។	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	តើ​អ្នក​មាន​ពេលទំនេរ​ទេ?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	បាទ ខ្ញុំទំនេរនៅពេលល្ងាច	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	ដូច្នេះ សរសេរសំណួររបស់អ្នក។	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	ខ្ញុំនឹងព្យាយាមឆ្លើយ	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	ខ្ញុំបានអានថា Esperanto មានវប្បធម៌មួយ។	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	ទោះ​ជា​យ៉ាង​ណា​ខ្ញុំ​មិន​យល់ ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	កន្លែងដែលខ្ញុំអាចរកឃើញវប្បធម៌បែបនេះ	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	អ្នក​នឹង​រក​ឃើញ​គ្រប់​ទី​កន្លែង, where ~ is	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	កន្លែងណាក៏ដោយដែលជាមនុស្សដែលនិយាយភាសា Esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ប៉ុន្តែគ្មានមនុស្សប្រើ Esperanto ទេ។	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	ត្រូវហើយ!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ប៉ុន្តែ​មនុស្ស​ដែល​និយាយ​ភាសា​អេ​ស្ប៉ា​រ៉ា​តូ	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	ជាញឹកញាប់ធ្វើដំណើរ និងជួប Esperantists ផ្សេងទៀត។	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	ក្នុងអំឡុងពេលកិច្ចប្រជុំទាំងនោះ	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	ពួកគេប្រើភាសាក្នុងស្ថានភាពផ្សេងៗ	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	ដូច្នេះអ្នកនឹងរកឃើញ ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	អ្នកនឹងរកឃើញវប្បធម៌	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	នឹងរកឃើញវប្បធម៌របស់ Esperanto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	មិនអីទេ តើតន្ត្រីមានទេ?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	តន្ត្រី អក្សរសាស្ត្រ ល្ខោន	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	ល។	etc	grupo	alternativoj	prononco
level	same kiel ~	ដូចគ្នានឹង ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	ដូចគ្នានឹងភាសាផ្សេងទៀតដែរ។	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	បរិមាណមិនធំប៉ុន្មានទេ។	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	ធំដូចភាសាជាតិ	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ប៉ុន្តែវាមិនសំខាន់ទេ។	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	យ៉ាងហោចណាស់មិនមែនសម្រាប់ខ្ញុំទេ។	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	ប្រសិនបើអ្នកចង់ស្តាប់ ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	ដើម្បីស្តាប់បទចម្រៀងជាភាសា Esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	នេះជាបទចម្រៀង &quot;Lisa គូររូប&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	ស្តាប់បទចម្រៀង	listens to the song	grupo	alternativoj	prononco
level	ne malbone	មិនអាក្រក់​ទេ	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	ហើយអ្នកនឹងឃើញសៀវភៅជាច្រើននៅក្នុង Esperanto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	មើលសៀវភៅ	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	គ្រប់គ្រាន់	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	តើអ្នកអានច្រើនជាភាសា Esperanto ទេ?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	បាទ ពេលខ្លះ (ពីពេលមួយទៅពេលមួយ)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	ប្រសិនបើអ្នកធ្លាប់រៀនភាសា	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	ខ្ញុំនឹងណែនាំអ្នកនូវសៀវភៅល្អៗមួយចំនួន	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	គឺអំពី ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	សំណួរមួយទៀតរបស់ខ្ញុំគឺអំពីឈ្មោះរបស់ខ្ញុំ	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	អ្នកបាននិយាយមុននេះ ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	មានទំនាក់ទំនងជាមួយ ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	បាននិយាយថាវាមានទំនាក់ទំនងជាមួយ Esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	អូ បាទ អំពីរឿងនោះ។	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	បុរសដែលមានឈ្មោះ ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	ធ្លាប់​មាន​បុរស​ម្នាក់​ឈ្មោះ ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	គាត់សកម្មខ្លាំងណាស់នៅក្នុងចលនា Esperanto	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	នៅពេលដែលវាថ្មីទាំងស្រុង	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	បានបកប្រែសៀវភៅទៅជា ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	ហើយបានបកប្រែសៀវភៅជាច្រើនទៅជាភាសា Esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	ហើយ​ដែល​ធ្វើ​ឱ្យ​គាត់​ល្បី​?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	មួយដ៏សំខាន់បំផុតសម្រាប់ Esperanto នៅពេលនោះ។	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	ហើយគាត់មានឥទ្ធិពលយ៉ាងខ្លាំងលើរចនាប័ទ្មភាសា	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	ទេ គាត់ពិតជាសំខាន់ និងមានឥទ្ធិពល	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	ទោះយ៉ាងណាក៏ដោយភ្លាមៗនោះគាត់បានបោះបង់ចោលចលនា	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	ខ្ញុំស្រមៃថា ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	ខ្ញុំ​ស្រមៃ​ថា​វា​ជា​ការ​ភ្ញាក់ផ្អើល​ដ៏​ធំ​មួយ​សម្រាប់​មនុស្ស​ជា​ច្រើន​	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	ហេតុអ្វីបានជាគាត់ចាកចេញពី Esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	ខ្ញុំជឿថា ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	គាត់មិនពេញចិត្តនឹងពួក Esperantists	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	គាត់បាននិយាយអ្វីមួយស្រដៀងនឹង ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto ត្រូវតែរៀនដោយ Esperantist ខ្លួនឯង!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	តើគាត់ចង់និយាយអ្វីដោយ ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	តើគាត់ចង់និយាយអ្វី?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	វាទំនងជាថា ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	មនុស្សនិយាយភាសា Esperanto អាក្រក់	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	វាទំនងជាថាមនុស្សនិយាយអាក្រក់	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	នៅឆ្នាំ 1911 គាត់បានចាកចេញពី Esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	ប៉ុន្តែខ្ញុំគិតថា ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	គឺខ្ពស់ជាង	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	សព្វថ្ងៃនេះកម្រិតភាសាគឺខ្ពស់ជាង	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	កម្រិតភាសារបស់ពួក Esperantists	the language level of the Esperantists	grupo	alternativoj	prononco
