A.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	jes, ne	Ja Nej	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ja tak	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	spiser, vil spise	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Jeg spiser ikke	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	nej, jeg spiser ikke	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	smuk, smuk	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	værd (afslutning)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	værdsat, værd at takke	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	helhed, som helhed	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	alle, (objektive) alle	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	slet ikke, du er velkommen	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	helt nej	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	at tilgive, en tilgivende	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	en tilgivelse for mig	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Undskyld! (undskyld mig)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Jeg er ked af det	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	en god morgen	a good morning	grupo	alternativoj	prononco
level	bonan matenon	god morgen	good morning	grupo	alternativoj	prononco
level	bonan nokton	godnat	good night	grupo	alternativoj	prononco
level	bonan sonĝon	drøm sødt	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(hav) en god tur til dig	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	god dag!	good day!	grupo	alternativoj	prononco
level	ĉu ~	er det ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	har du det godt? (Hvordan har du det?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Ja jeg har det fint	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Nej slet ikke	no, not at all	grupo	alternativoj	prononco
level	tre, tro	meget, for meget	very, too much	grupo	alternativoj	prononco
level	granda, grande	stort, stort set	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	meget god, for stor	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	du har det meget godt	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	ikke særlig godt	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	at lære, en læring	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	kigger, en tilskuer	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	er at lære, en studerende (en lærende person)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	er -ing, en person, der gør	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	en elev, en person, der har lært	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Jeg er studerende.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ er min ven	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	han hun	he, she	grupo	alternativoj	prononco
level	sidi, sidas	at sidde, sidder	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sidder, sad, vil sidde	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	han sidder og hun lærer	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	et værelse	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	lærer i et rum	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	en studerende og en sportsmand	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport og en sportsmand	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	en sportsmand dyrker sport	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	Han er studerende	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	han er studerende og sportsmand	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	han sidder nu	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	og lærer nu	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sidder og lærer	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	nu i et værelse	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	er på et bord	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	et papir og papirer	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	et bord og borde	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	en bog og bøger	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	papirerne og bøgerne	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	den står på et bord.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	skriver på et skrivebord	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	bøgerne er ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	på bordet	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	en lærebog og lærebøgerne	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	på bordet er der ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	en far og en mor	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	faderen og moderen	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	min vens mor	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	på værelset	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	er ikke i rummet	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	de arbejder nu	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	hans far er arbejder	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	han arbejder på et hotel	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	moderen underviser	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	Hun er lærer	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	er hun mor?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	nej, hun er hotelejer	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	nej, jeg arbejder ikke	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	hvad er hendes navn?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	hvem svarer nu?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	deres mors sprog	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	er dit navn ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	vi sidder og svarer	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	hendes arbejdsstol	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	dens navn er ikke ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	hendes sprog er deres sprog	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	vores far og mor	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	din elev, dine elever	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	er de dine elever?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	er du studerende?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	er du på værelset?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Jeg er ikke ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	en esperantist og en kvindelig esperantist	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	tjekket ind på hotelværelset	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	en sprogforsker og en kvindelig arbejder	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	hans kæreste er ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studerende og sportsudøvere	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	mit familienavn er ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	hvem er hun? hvilken er hun?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	er din kæreste	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	er din ven ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	skriver nu i rummet	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	er din ven far ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	arbejder på et hotel	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	hvad er der på bordet?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	på bordet på vores værelse	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	er lærebogen i esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	er på dit bord	is on your table	grupo	alternativoj	prononco
level	havas amikinon	har en ven	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	hun hedder ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	ung og smuk	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	er ung og smuk	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	unge og smukke venner	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	er mandlige og kvindelige venner	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	et hjem for hendes lærer	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	kom til hjemmet	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	hjemmet til ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	kom endelig ind	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Hej hvad laver du?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	hvad laver du? hvad laver du?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	men nu vil jeg ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Jeg vil gerne tale	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	med tre mandlige og kvindelige venner	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	talte med dig	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	ønsker at tale med dig	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	har du mandlige og kvindelige venner	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	han har en bog	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	har en god bog	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ja jeg har	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	de kan lide det	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	hun læste en bog	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	kan lide at læse bøger	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	kun en god bog	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	mange gode bøger	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	læs kun gode bøger	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	kan lide at læse gode bøger	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	vil du læse?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	den unge drak kaffe	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	ønsker at drikke vand	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	en far og en mor; forældre	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	en plage og en søster, søskende	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	dine forældre og søskende	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	er i dit hjem	is in your home	grupo	alternativoj	prononco
level	jen la kafo	her er kaffen	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ikke drukket endnu	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	er stadig varm	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	kogte den i går	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Jeg har nu lavet mad	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	tak skal du have. så sagde han.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	kan drikke og spise	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	drak kold kaffe	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	stadig varm kaffe	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	drikker også kold kaffe	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	kan også drikke kold kaffe	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	ser på hendes øje	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	det smukkeste øje	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	de smukke øjne	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	så de smukke øjne	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	hendes smukke øjne	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	ser og forstår	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Jeg kan se at ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	at han elsker hende	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	hun føler, at han elsker hende	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	spørger, om det var stort	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	om et let spørgsmål	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	sagde om en ny penge	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	meget smukke øjne	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	så storebroren ud	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	en lillesøster glemte det	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	en akkusativ (objektiv)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	glem ikke den akkusative slutning	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	hvem ser du? hvilken ser du?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Jeg ser en ven	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	har gode mandlige og kvindelige venner	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	de arbejder på det gamle hus	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	virker, virkede, vil virke	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	ser, at jeg spiser	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	sagde, at han vil gå	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	grimt og dårligt	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	Hvad sagde hun?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	hvad venter du på?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	gik ind i rummet	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	et indhold er meget svært	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	ankom til mødet	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	velkommen til mødet	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	en gammel mand gav et tip	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	ankom og blev budt velkommen	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	de hader, men samarbejder	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	gik til hotellet	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	har nemme lærebøger	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	hvordan var din mor?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	dit gamle hjem	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	hvilke bøger læste du?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	var de gode?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	gjorde hvad i går?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	i det lille rum	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	talte meget længe	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	foran skolen, før skolen	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	talte før skolen	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	senere talte om bogen	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	gik gerne i skolen	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	gennem gaden	through the street	grupo	alternativoj	prononco
level	iris tra la strato	gik gennem gaden	went through the street	grupo	alternativoj	prononco
level	estis varma tago	var en varm dag	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	de så en cafe'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	så røde småkager	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	så småkager i den	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	så en cafe' og i den småkager	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	gå ind og spis!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	lad os komme ind og spise	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	har penge nok	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	har du penge nok?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	forstår du?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	selvfølgelig!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	det er ikke nok	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	hundrede dollars er nok	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	en dollar, dollars, dollars (flertalsmål)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	har hundrede dollars	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	selvfølgelig har jeg	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	åh! du er rig!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	et vand, en servitrice	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	en tjener medbringer en menu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	bragte det til os, bragte det	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	en tjener bragte en masse småkager	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	de spiste lidt (lidt)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	efter spisning (måltid)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nyt, igen	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	tjeneren kom igen	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	et eller andet sted	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	havde søgt et sted	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	søgt et andet sted	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	hans ansigt var glad	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	hun var ked af det	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	til sidst og til sidst	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	din stærke stemme	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	med svag stemme	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	ikke har penge	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	hvad skete der der?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	en ulykke skete senere	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	ved du hvornår det skete?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	kender til sagen	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	stadig én ting er tilbage	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	dig eller hun, enhver person	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	som en sanger, som en underskriver	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	sang som en professionel sanger	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	et sted, hvor hun boede	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	hvordan ved du om bilen?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	godt, se på den hurtige bil	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	en juice uden sukker	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	han har et hurtigt køretøj	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	for stærkt	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	han åbnede for hårdt	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	kørte (rejste) for stærkt	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	spiste med en ske	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	tvivler vi stærkt på	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	et rigtigt brev fra ham	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	et kærlighedsbrev med fem billeder	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	vendte tilbage, de mennesker, der vendte tilbage	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	også seks breve returneret	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	ville se billedet	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	kom tilbage fra skolen	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	hvornår vender søsteren tilbage?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	ville læse igen	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	gjorde (gjorde), blev	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	blev hurtigt rød	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	i et rum, ind i et rum	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	stod og sad	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	der stod foran billedet	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	Det har jeg	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	hvad har du i hånden?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	foran eller bagved?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	før eller efter?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	der bag døren	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	andre, andre mennesker	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	breve fra andre	letters from others	grupo	alternativoj	prononco
level	falis el la mano	faldt ud af hånden	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	på bordet, på bordet	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	den faldt på bordet	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	bad om undskyldning	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	ledte efter fem bøger	was searching for five books	grupo	alternativoj	prononco
