A.my content.tsv
Level	Esperanto	my	en-us	Grupo	Alternativoj	Pronoco
level	dankon kaj ĝis revido!	ကျေးဇူးတင်ပြီး ပြန်တွေ့မယ်!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	မင်းအတွက်၊ ငါ့အတွက်	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(ပစ္စုပ္ပန်) ကျေးဇူး၊ (အတိတ်) ကျေးဇူး	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	မင်းကို ငါတန်ဖိုးထားတယ်။	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	ဟုတ်တယ်မဟုတ်ဘူး	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ဟုတ်ကဲ့ ကျေးဇူးတင်ပါတယ်	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	စားမယ်၊ စားမယ်။	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	ငါမစားဘူး။	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	မဟုတ်ဘူး၊ ငါမစားဘူး။	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	လှတယ်၊ လှတယ်။	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	တန်ဖိုးရှိ (အဆုံး)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	ကျေးဇူးတင်ထိုက်၊ ကျေးဇူးတင်ထိုက်ပါတယ်။	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	တစ်ခုလုံး၊ တစ်ခုလုံး	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	အားလုံး (ရည်ရွယ်ချက်) အားလုံး	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	လုံးဝမဟုတ်ပါဘူး၊ ကြိုဆိုပါတယ်။	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	လုံးဝမရှိပါ။	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	ခွင့်လွှတ်ရန်၊ ခွင့်လွှတ်ပါ။	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	ငါ့ကို ခွင့်လွှတ်ပါ။	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	တောင်းပန်ပါတယ်! (ခွင့်လွှတ်ပါ)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	ကျေးဇူးပြုပြီး တောင်းပန်ပါတယ်။	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	ကောင်းသောနံနက်	a good morning	grupo	alternativoj	prononco
level	bonan matenon	မင်္ဂလာနံနက်ခင်းပါ	good morning	grupo	alternativoj	prononco
level	bonan nokton	ကောင်းသောညပါ	good night	grupo	alternativoj	prononco
level	bonan sonĝon	အိပ်မက်လှလှမက်ပါစေ	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(၎) ကောင်းသောခရီးဖြစ်ပါစေ၊	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	ကောင်းသောနေ့!	good day!	grupo	alternativoj	prononco
level	ĉu ~	ဟုတ်လား ~	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	မင်းနေကောင်းလား (နေကောင်းလား?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	ဟုတ်တယ်၊ ငါအဆင်ပြေပါတယ်။	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	မဟုတ်ဘူး၊ လုံးဝမဟုတ်ဘူး။	no, not at all	grupo	alternativoj	prononco
level	tre, tro	အရမ်းများလွန်းတယ်။	very, too much	grupo	alternativoj	prononco
level	granda, grande	အကြီးကြီး	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	အရမ်းကောင်းလွန်းတယ်	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	မင်းက အရမ်းကောင်းနေတယ်။	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	သိပ်မကောင်းဘူး	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	လေ့လာရန်၊ သင်ယူရန်	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	ကြည့်နေတယ်၊ ပရိသတ်	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	သင်ယူနေသည်၊ ကျောင်းသား (သင်ယူသူ)၊	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, လုပ်နေတဲ့ပုဂ္ဂိုလ်	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	ကျောင်းသား၊ သင်ယူဖူးသူ	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	ကျွန်တော်ကျောင်းသားပါ။	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ ငါ့သူငယ်ချင်း	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	သူ၊ သူမ	he, she	grupo	alternativoj	prononco
level	sidi, sidas	ထိုင်ရန်၊ ထိုင်ရန်	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	ထိုင်သည်၊ ထိုင်သည်၊ ထိုင်လိမ့်မည်။	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	သူထိုင်ပြီး သင်ယူနေတယ်။	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	အခန်းတစ်ခန်း	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	အခန်းထဲမှာ သင်ယူတယ်။	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	ကျောင်းသားနှင့် အားကစားသမား	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	အားကစားနှင့် အားကစားသမား	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	အားကစားသမားက အားကစားလုပ်တယ်။	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	သူကကျောင်းသားတစ်ယောက်ပါ	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	သူက ကျောင်းသား၊ အားကစားသမား	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	အခုထိုင်နေတယ်။	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	အခု သင်ယူနေပါတယ်။	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	ထိုင်ပြီး သင်ယူနေတယ်။	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	အခု အခန်းထဲမှာ	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	စားပွဲပေါ်တွင်ရှိသည်။	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	စာရွက်နှင့် စာရွက်များ	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	စားပွဲတစ်လုံးနှင့် စားပွဲများ	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	စာအုပ်တစ်အုပ်နှင့် စာအုပ်များ	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	စာရွက်များနှင့် စာအုပ်များ	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	စားပွဲပေါ်မှာ ရှိတယ်။	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	စာရေးစားပွဲပေါ်မှာ ရေးနေတယ်။	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	စာအုပ်တွေက ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	စားပွဲပေါ်မှာ	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	ကျောင်းသုံးစာအုပ်နှင့် ပြဋ္ဌာန်းစာအုပ်များ	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	စားပွဲပေါ်မှာ ~ ရှိတယ်။	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	အဖေနှင့်အမေ	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	အဖေနှင့်အမေ	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	ငါ့သူငယ်ချင်းရဲ့အမေ	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	အခန်းထဲမှာ	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	အခန်းထဲမှာ မဟုတ်ဘူး။	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	သူတို့ အခု အလုပ်လုပ်နေတယ်။	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	သူ့အဖေက အလုပ်သမား	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	သူက ဟိုတယ်တစ်ခုမှာ အလုပ်လုပ်တယ်။	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	အမေက သင်ပေးတယ်။	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	သူမသည် ဆရာတစ်ဦးဖြစ်သည်။	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	သူမအမေလား?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	မဟုတ်ဘူး၊ သူက ဟိုတယ်လုပ်ငန်းရှင်	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	မဟုတ်ဘူး၊ ငါအလုပ်မလုပ်ဘူး။	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	သူမနာမည်ကဘာလဲ?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	အခု ဘယ်သူက ဖြေတာလဲ။	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	သူတို့မိခင်ဘာသာစကား	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	မင်းနာမည်က~	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	ငါတို့ထိုင်ပြီးဖြေတယ်။	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	သူမ၏အလုပ်ထိုင်ခုံ	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	သူ့နာမည်က ~ မဟုတ်ဘူး။	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	သူ့ဘာသာစကားသည် သူတို့၏ဘာသာစကားဖြစ်သည်။	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	ငါတို့အဖေနဲ့အမေ	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	မင်းရဲ့ကျောင်းသား၊ မင်းရဲ့ကျောင်းသား	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	သူတို့က မင်းရဲ့တပည့်တွေလား။	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	သင်ကျောင်းသားတစ်ယောက်လား?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	မင်းအခန်းထဲမှာလား	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	ငါမဟုတ်ဘူး~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	Esperantist တစ်ဦးနှင့် Esperantist အမျိုးသမီးတစ်ဦး	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	ဟိုတယ်အခန်းကို check in ဝင်တယ်။	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	ဘာသာဗေဒပညာရှင်နှင့် အမျိုးသမီးအလုပ်သမားတစ်ဦး	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	သူ့သူငယ်ချင်းက ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	ကျောင်းသားများနှင့် အားကစားသမားများ	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	ငါ့မိသားစုနာမည်က ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	သူမဘယ်သူလဲ? သူမ ဘယ်ဟာလဲ?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	မင်းရဲ့ကောင်မလေးသူငယ်ချင်းလား။	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	မင်းသူငယ်ချင်းလား~	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	အခု အခန်းထဲမှာ စာရေးနေတယ်။	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	မင်းအဖေရဲ့သူငယ်ချင်းလား~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	ဟိုတယ်တစ်ခုမှာ အလုပ်လုပ်တယ်။	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	စားပွဲပေါ်မှာ ဘာရှိလဲ။	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	ငါတို့အခန်းထဲက စားပွဲပေါ်မှာ	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	Esperanto ကျောင်းသုံးစာအုပ်က ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	သင့်စားပွဲပေါ်တွင်ရှိသည်။	is on your table	grupo	alternativoj	prononco
level	havas amikinon	သူငယ်ချင်းတစ်ယောက်ရှိတယ်။	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	သူ့နာမည်က ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	နုပျိုလှပသည်။	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	နုပျိုလှပသည်။	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	ငယ်ရွယ်လှသော သူငယ်ချင်းများ	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	အမျိုးသားရော အမျိုးသမီးပါ သူငယ်ချင်းများဖြစ်ကြသည်	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	သူ့ဆရာအိမ်	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	အိမ်သို့လာခဲ့သည်။	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ အိမ်	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	ကျေးဇူးပြု၍ ဝင်ပါ။	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	ဟယ်လို မင်းဘာလုပ်နေတာလဲ	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	သင်ဘာလုပ်ပါသလဲ? သင်ဘာလုပ်နေပါလဲ?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ဒါပေမယ့် အခု ငါလိုချင်တယ်။	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	စကားပြောချင်တယ်	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	ယောက်ျားလေး သူငယ်ချင်း သုံးယောက်	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	မင်းနဲ့စကားပြောတယ်။	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	မင်းနဲ့စကားပြောချင်တယ်။	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	မင်းမှာ ယောက်ျားနဲ့ မိန်းမ သူငယ်ချင်း ရှိလား။	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	သူ့မှာ စာအုပ်ရှိတယ်။	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	စာအုပ်ကောင်းတစ်အုပ်ရှိတယ်။	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	ဟုတ်တယ်၊ ငါရှိတယ်။	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	သူတို့ကြိုက်တယ်။	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	သူမ စာအုပ်ဖတ်တယ်။	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	စာအုပ်ဖတ်ရတာ ကြိုက်တယ်။	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	စာအုပ်ကောင်းတစ်အုပ်သာ	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	စာအုပ်ကောင်းများစွာ	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	စာအုပ်ကောင်းများသာဖတ်ပါ။	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	စာအုပ်ကောင်းတွေဖတ်ရတာ ကြိုက်တယ်။	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	ဖတ်ချင်လား	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	ကောင်လေးက ကော်ဖီသောက်တယ်။	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	ရေသောက်ချင်တယ်။	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	အဖေနှင့်အမေ၊ မိဘများ	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	နှမ နှမ၊	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	မင်းရဲ့မိဘတွေနဲ့ မောင်နှမတွေ	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	မင်းအိမ်မှာရှိတယ်။	is in your home	grupo	alternativoj	prononco
level	jen la kafo	ဒီမှာ ကော်ဖီ	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	မသောက်ရသေးဘူး။	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	နွေးနေတုန်းပဲ။	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	မနေ့က ချက်ထားတာ	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	ငါအခုချက်ပြီးသား	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	ကျေးဇူးတင်ပါသည်။ ဒါကြောင့်သူကပြောပါတယ်။	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	စားသောက်နိုင်သည်။	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	ကော်ဖီအေးသောက်တယ်။	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	ကော်ဖီပူတုန်း	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	ကော်ဖီအေးလည်း သောက်တယ်။	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	ကော်ဖီအေးလည်း သောက်နိုင်ပါတယ်။	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	သူမ၏မျက်လုံးကိုကြည့်	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	အလှဆုံးမျက်လုံး	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	လှပသောမျက်လုံးများ	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	လှပသော မျက်လုံးများကို ကြည့်လိုက်သည်။	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	သူမ၏လှပသောမျက်လုံးများ	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	မြင်ပြီး နားလည်သည်။	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	ငါမြင်တယ် ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	သူမကိုချစ်တယ်။	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	သူ့ကို ချစ်တယ်လို့ ခံစားရတယ်။	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	ကြီးသလားလို့ မေးတယ်။	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	လွယ်ကူသောမေးခွန်းတစ်ခုအကြောင်း	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	ငွေအသစ်တစ်ခုအကြောင်းပြောခဲ့သည်။	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	အလွန်လှပသောမျက်လုံးများ	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	အကိုကြီးကိုကြည့်တယ်။	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	ညီမငယ်တစ်ယောက် မေ့သွားတယ်။	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	အပြစ်တင်ခြင်း (ရည်ရွယ်ချက်)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	စွပ်စွဲခြင်းအဆုံးသတ်ကိုမမေ့ပါနှင့်	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	မင်းဘယ်သူ့ကိုတွေ့တာလဲ။ ဘယ်ဟာမြင်လဲ	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	သူငယ်ချင်းတစ်ယောက်တွေ့တယ်။	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	ယောက်ျားလေး သူငယ်ချင်းကောင်းတွေရှိတယ်။	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	အိမ်ဟောင်းအကြောင်း လုပ်နေကြတယ်။	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	အလုပ်လုပ်တယ်၊ အလုပ်လုပ်တယ်၊ အလုပ်လုပ်မယ်။	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	ငါစားတာကို မြင်တယ်။	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	သွားမယ်၊	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	ရုပ်ဆိုးပြီး ဆိုးတယ်။	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	သူမဘာပြောလဲ?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	မင်းဘာစောင့်နေတာလဲ?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	အခန်းထဲသို့ဝင်သွားသည်။	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	အကြောင်းအရာတစ်ခုသည် အလွန်ခက်ခဲသည်။	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	အစည်းအဝေးသို့ ရောက်ရှိလာသည်။	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	အစည်းအဝေးမှကြိုဆိုပါတယ်။	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	အဘိုးကြီးတစ်ယောက်က အကြံတစ်ခုပေးတယ်။	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	ရောက်လာပြီး ကြိုဆိုတယ်။	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	မုန်းတီးသော်လည်း ပူးပေါင်းဆောင်ရွက်ကြသည်။	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	ဟိုတယ်ကိုသွားတယ်။	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	လွယ်ကူသောသင်ရိုးစာအုပ်များရှိသည်။	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	မင်းအမေ နေကောင်းလား	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	မင်းရဲ့အိမ်ဟောင်း	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	ဘယ်စာအုပ်တွေဖတ်ခဲ့လဲ။	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	သူတို့ နေကောင်းလား	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	မနေ့က ဘာလုပ်ခဲ့လဲ။	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	အခန်းငယ်လေးထဲမှာ	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	စကားပြောတာ တော်တော်ကြာတယ်။	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	ကျောင်းရှေ့မှာ၊ ကျောင်းရှေ့မှာ	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	ကျောင်းရှေ့မှာ စကားပြောတယ်။	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	နောက်တော့ စာအုပ်အကြောင်းပြောလာတယ်။	later spoke about the book	grupo	alternativoj	prononco
