C.zh-cn content.tsv
Level	Esperanto	zh-cn	en-us	Grupo	Alternativoj	Pronoco
level	-ant-	<词尾>主动现在，正在〜ing，正在〜ing的人	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	<词尾>活跃的过去，was ~ing	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	<词尾>积极的未来，将会~ing	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	和	and	grupo	alternativoj	prononco
level	aŭ	或者	or	grupo	alternativoj	prononco
level	alta	高，高	high, tall	grupo	alternativoj	prononco
level	jes	是的	yes	grupo	alternativoj	prononco
level	ne	不，不	not, no	grupo	alternativoj	prononco
level	tiom	那么多 那么多 那么多	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	好的	good	grupo	alternativoj	prononco
level	kiom	多少多少	how much, how many	grupo	alternativoj	prononco
level	ofte	经常频繁	often, frequently	grupo	alternativoj	prononco
level	iom	一点，相当，一些，有点	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	新的，新颖的	new, novel	grupo	alternativoj	prononco
level	-at-	<词尾>被动现在分词	<suffix> passive present participle	grupo	alternativoj	prononco
level	-it-	<词尾>被动过去分词	<suffix> passive past participle	grupo	alternativoj	prononco
level	-ot-	<词尾>被动将来分词	<suffix> passive future participle	grupo	alternativoj	prononco
level	tre	非常、相当、非常	very, quite, very much	grupo	alternativoj	prononco
level	tro	太多，太多，太多	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	然而，尽管如此，但是，尽管如此	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	哦！嗬！	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	那个~	that ~	grupo	alternativoj	prononco
level	ĉar ~	因为~	because ~	grupo	alternativoj	prononco
level	ĉu	是否~	whether ~	grupo	alternativoj	prononco
level	-ej-	<词尾>地方	<suffix> place	grupo	alternativoj	prononco
level	-ec-	<词尾>质量的抽象名称	<suffix> abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	两者都有~	both ~	grupo	alternativoj	prononco
level	tuj	立即，立即，马上	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	好像~	as if ~	grupo	alternativoj	prononco
level	kiam	什么时候	when	grupo	alternativoj	prononco
level	silenti	保持沉默，保持安静	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	从来没有，从来没有，从来没有	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	因此，所以	therefore, so	grupo	alternativoj	prononco
level	kial	为什么，为什么	why, what for	grupo	alternativoj	prononco
level	kvankam	虽然〜，同时，虽然	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	<前置词>在〜	<preposition> at ~	grupo	alternativoj	prononco
level	pli	更多的	more	grupo	alternativoj	prononco
level	plej	最多	most	grupo	alternativoj	prononco
level	diri	说，告诉	to say, to tell	grupo	alternativoj	prononco
level	ol ~	比~	than ~	grupo	alternativoj	prononco
level	paroli	说话，说话	to speak, to talk	grupo	alternativoj	prononco
level	kia	什么样的，什么样的	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	这样的，那样的，这样的	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	勉强，勉强，勉强	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	发送	to send	grupo	alternativoj	prononco
level	ĵus	就在（刚才），就在现在	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	<词尾>至关重要的	<suffix> imperative	grupo	alternativoj	prononco
level	ekster ~	外面~	outside ~	grupo	alternativoj	prononco
level	ge-	<字首>男女皆宜，男女皆宜	<prefix> both sex, both gender	grupo	alternativoj	prononco
level	-us	<词尾>将会、应该、虚拟语气	<suffix> would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	很快	soon	grupo	alternativoj	prononco
level	almenaŭ	至少，如果没有别的事的话	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	分散前缀	dis-	grupo	alternativoj	prononco
level	-uj-	<词尾>容器;国家	<suffix> container; country	grupo	alternativoj	prononco
level	lerni	学习	to learn	grupo	alternativoj	prononco
level	ek-	<字首>开始;突然开始	<prefix> beginning; sudden start	grupo	alternativoj	prononco
level	se	如果，前提是	if, provided that	grupo	alternativoj	prononco
level	eĉ	甚至	even	grupo	alternativoj	prononco
level	amo	爱情	a love	grupo	alternativoj	prononco
level	jam	已经，这么快，到目前为止	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	这里！瞧！看哪	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	结束，完成，终止	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	那么，那么，因此	so, then, therefore	grupo	alternativoj	prononco
level	ajn	〜曾经，（什么）曾经，根本，-soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	容易的，轻而易举的	easy, facile	grupo	alternativoj	prononco
level	re-	<字首>关于-	<prefix> re-	grupo	alternativoj	prononco
level	granda	大，伟大，大	big, great, large	grupo	alternativoj	prononco
level	-ist-	<词尾>专业的	<suffix> professional	grupo	alternativoj	prononco
level	pro ~	<前置词>因为～，由于～	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	<词尾>领导者, 老板, 首领, 酋长	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	什么	what	grupo	alternativoj	prononco
level	manĝi	去吃	to eat	grupo	alternativoj	prononco
level	nenio	什么都没有，没有，什么都没有	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	年轻的	young	grupo	alternativoj	prononco
level	ĉio	一切	everything	grupo	alternativoj	prononco
level	riĉa	有钱的，有钱的，富裕的	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	那件事，那个	that thing, that	grupo	alternativoj	prononco
level	konstrui	建造，建造	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	<字首>主要的, 领导的, 主要的	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	<前置词>没有~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	<前置词>与〜（一起）	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	<前置词>除了~，除了~	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	一个朋友	a friend	grupo	alternativoj	prononco
level	kies	谁的，哪个的，其中的	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	<前置词>通过〜（方法），用〜（工具）	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	反对~	against ~	grupo	alternativoj	prononco
level	el ~	从～，从～	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	今天	today	grupo	alternativoj	prononco
level	hieraŭ	昨天	yesterday	grupo	alternativoj	prononco
level	nur	仅仅、仅仅、唯一	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	帮助，帮助，协助	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	<adv>离这很远	<adverb> far, away	grupo	alternativoj	prononco
level	nek	也不，也不	nor, neither	grupo	alternativoj	prononco
level	malamo	一个恨	a hate	grupo	alternativoj	prononco
level	preskaŭ	几乎，几乎	almost, nearly	grupo	alternativoj	prononco
level	tra ~	通过~	through ~	grupo	alternativoj	prononco
level	super	超过，上面	over, above	grupo	alternativoj	prononco
level	trans ~	越过～，穿过～	over ~, accross ~	grupo	alternativoj	prononco
level	nu	好吧，那么，现在	well, well then, now	grupo	alternativoj	prononco
level	pri ~	关于~	about ~	grupo	alternativoj	prononco
level	por ~	为了〜，为了〜	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	明天	tomorrow	grupo	alternativoj	prononco
level	nun	现在，目前	now, at present	grupo	alternativoj	prononco
level	laŭ ~	根据~，沿着~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	每个，每个，每个人，所有的	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	谁，哪一个，哪一个	who, which, which one	grupo	alternativoj	prononco
level	tiu	那个人，那个～，那个，那边	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	某人，某人，一些	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	没有人，没有人，也没有	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	到~	to ~	grupo	alternativoj	prononco
level	-ebl-	<词尾>〜可以	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	希望	to hope	grupo	alternativoj	prononco
level	unu	一	one	grupo	alternativoj	prononco
level	du	二	two	grupo	alternativoj	prononco
level	tri	三	three	grupo	alternativoj	prononco
level	kvar	四	four	grupo	alternativoj	prononco
level	kvin	五	five	grupo	alternativoj	prononco
level	ses	六	six	grupo	alternativoj	prononco
level	sep	七	seven	grupo	alternativoj	prononco
level	ok	八	eight	grupo	alternativoj	prononco
level	naŭ	九	nine	grupo	alternativoj	prononco
level	dek	十	ten	grupo	alternativoj	prononco
level	cent	一百	a hundred	grupo	alternativoj	prononco
level	mil	一千	a thousand	grupo	alternativoj	prononco
level	-obl-	<词尾>对于多重性，-oble，-fold	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	<词尾>~th, 分数	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	爱的	of love	grupo	alternativoj	prononco
level	anstataŭ ~	而不是~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	<词尾>变得	<suffix> become	grupo	alternativoj	prononco
level	voli	想要、愿意、愿意	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	<词尾>导致成为	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	跟随	to follow	grupo	alternativoj	prononco
level	ĝoje	乐意	gladly	grupo	alternativoj	prononco
level	legi	读书	to read	grupo	alternativoj	prononco
level	silenta	沉默的	silent	grupo	alternativoj	prononco
level	la	这	the	grupo	alternativoj	prononco
level	ha!	哈！	ha!	grupo	alternativoj	prononco
level	-il-	<词尾>工具、方法	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	喝酒（不含酒精）	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	<词尾>小，小	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	<词尾>大大	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	<前置词>之间~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	<词尾>相关行为	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	<词尾>集合，组	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	<词尾>团体成员	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	感谢	to thank	grupo	alternativoj	prononco
level	-ind-	<词尾>值得的，值得的	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	甚至更多，进一步，等等，更多	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	怎么样，比如，以什么方式，例如	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	这样，这样，这样	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	<前置词>在〜	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	<前置词>旁边～，旁边～	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	<前置词>下，下~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	<前置词>上~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	<前置词>不定的准备，在，在，在，之前	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	<adv>仍然，还	<adverb> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	<前置词>周围~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	但	but	grupo	alternativoj	prononco
level	ie	某处	somewhere	grupo	alternativoj	prononco
level	kie	哪里，在什么地方	where, at what place	grupo	alternativoj	prononco
level	silente	默默	silently	grupo	alternativoj	prononco
level	ĉie	到处，所有关于	everywhere, all about	grupo	alternativoj	prononco
level	nenie	无处，无论如何，不在任何地方	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	那里，那边，那边	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	这个~	this ~	grupo	alternativoj	prononco
level	kanti	唱歌	to sing	grupo	alternativoj	prononco
level	morti	死去，去世	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	<前置词>期间~，同时~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	一个国家	a nation	grupo	alternativoj	prononco
level	koni	认识（一个人），熟悉	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	知道（事实、知识），知道如何	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	永远，永远	always, ever	grupo	alternativoj	prononco
level	iam	在某个时候，一次	at some time, once	grupo	alternativoj	prononco
level	tiam	然后	then	grupo	alternativoj	prononco
level	-em-	<词尾>倾向	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	一些	some kind of	grupo	alternativoj	prononco
level	sukcesi	成功	to succeed	grupo	alternativoj	prononco
level	ĉia	各种的，各种的	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	不，不是任何种类，不是任何	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	<词尾>后代	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	一个房间，一个房间	a room, a chamber	grupo	alternativoj	prononco
level	patro	一位父亲	a father	grupo	alternativoj	prononco
level	porko	一头猪，猪	a pig, swine	grupo	alternativoj	prononco
level	bo-	<字首>姻亲、姻亲	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	的确	indeed	grupo	alternativoj	prononco
level	-ism-	<词尾>主义	<suffix> -ism	grupo	alternativoj	prononco
level	io	某物	something	grupo	alternativoj	prononco
level	veturi	驾驶（车辆）	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	一只公鸡，一只母鸡，小鸡，家禽	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	自由的	free	grupo	alternativoj	prononco
level	lasta	最后的	last	grupo	alternativoj	prononco
level	ĝoji	高兴、高兴、享受	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	抓住，抓住	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	一头牛，一头牛，牛科动物	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	另一个，其他，其他	another, other, else	grupo	alternativoj	prononco
level	varma	温热	hot, warm	grupo	alternativoj	prononco
level	loĝi	居住，居住，居住，居住	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	相信	to believe	grupo	alternativoj	prononco
level	glacio	一个不错的	an ice	grupo	alternativoj	prononco
level	loko	一个地方，一个地点	a place, a location	grupo	alternativoj	prononco
level	ovo	一个鸡蛋	an egg	grupo	alternativoj	prononco
level	multa	很多很多很多	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	财产	a possession	grupo	alternativoj	prononco
level	ŝafo	一只羊	a sheep	grupo	alternativoj	prononco
level	sono	一个声音	a sound	grupo	alternativoj	prononco
level	fiŝo	一条鱼	a fish	grupo	alternativoj	prononco
level	bela	美丽、英俊、漂亮	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	回答，回应，答复	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	一个场合，一个时间	an occasion, a time	grupo	alternativoj	prononco
level	demandi	询问	to ask	grupo	alternativoj	prononco
level	forta	强的	strong	grupo	alternativoj	prononco
level	preter ~	超越〜，过去〜，直接过去	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	沉默	a silence	grupo	alternativoj	prononco
level	infano	一个孩子，一个婴儿	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	幸福、幸运、幸运	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	抓住、捕获、擒抱	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	渴望，希望	to desire, to wish	grupo	alternativoj	prononco
level	longa	长的	long	grupo	alternativoj	prononco
level	mondo	一个世界	a world	grupo	alternativoj	prononco
level	okazi	发生，发生，发生	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	田野，一片田野	field, a field	grupo	alternativoj	prononco
level	filo	一个儿子	a son	grupo	alternativoj	prononco
level	montri	表明，表明，指出	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	一个心脏	a heart	grupo	alternativoj	prononco
level	knabo	一个男孩	a boy	grupo	alternativoj	prononco
level	meti	放置、放置、放下	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	一位丈夫	a husband	grupo	alternativoj	prononco
level	pako	包裹	package	grupo	alternativoj	prononco
level	rapida	快，快，快	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	看来，看来是	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	问候、致敬、敬意	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	来写	to write	grupo	alternativoj	prononco
level	peti	要求、要求、请求、恳求	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	飞翔	to fly	grupo	alternativoj	prononco
level	kapo	一个头，一个斗篷	a head, a cape	grupo	alternativoj	prononco
level	krii	喊叫、哭泣、尖叫、喊叫	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	红色的	red	grupo	alternativoj	prononco
level	sinjoro	一位先生，一位绅士	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	抓住，抓住	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	一次，一次	time, a time	grupo	alternativoj	prononco
level	tuta	总计、全部、全部、完整、总体	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	一个男人	a man	grupo	alternativoj	prononco
level	vojo	一条路，一条路，一条路线	a way, a path, a route	grupo	alternativoj	prononco
level	movi	移动	to move	grupo	alternativoj	prononco
level	militi	打破战争、战斗、发动战争	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	几个，几个	a few, several	grupo	alternativoj	prononco
level	dekstra	右，右（侧面，方向），右手	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	关闭，关闭	to close, to shut	grupo	alternativoj	prononco
level	okupi	占据，占据	to occupy, to take	grupo	alternativoj	prononco
level	levi	举起, 举起, 举起	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	殴打、殴打、击打、殴打、鞭打	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	需要、想要、要求	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	去理解、去领悟	to understand, to realise	grupo	alternativoj	prononco
level	iri	去	to go	grupo	alternativoj	prononco
level	veni	来	to come	grupo	alternativoj	prononco
level	porti	携带、佩戴	to carry, to wear	grupo	alternativoj	prononco
level	kovri	覆盖	to cover	grupo	alternativoj	prononco
level	hela	明亮、清晰、轻盈	bright, clear and light	grupo	alternativoj	prononco
level	sana	健康	healthy	grupo	alternativoj	prononco
level	aperi	出现，出现	to appear, to emerge	grupo	alternativoj	prononco
level	libro	一本书	a book	grupo	alternativoj	prononco
level	atendi	等待、期待、等待	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	一只手	a hand	grupo	alternativoj	prononco
level	pentri	作画	to paint	grupo	alternativoj	prononco
level	instrui	教导，指导	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	坐	to sit	grupo	alternativoj	prononco
level	stari	站立	to stand	grupo	alternativoj	prononco
level	afero	一件事情、一件物品、一个案例、一个问题、一件事情	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	完整的，完整的	full, complete	grupo	alternativoj	prononco
level	klara	清除	clear	grupo	alternativoj	prononco
level	komenci	开始，开始	to begin, to commence	grupo	alternativoj	prononco
level	dormi	睡觉，睡觉	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	一部分，一份	a part, a share	grupo	alternativoj	prononco
level	mono	钱	money	grupo	alternativoj	prononco
level	ricevi	受到	to receive	grupo	alternativoj	prononco
level	ami	去爱	to love	grupo	alternativoj	prononco
level	devi	必须、必须、应该、应该	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	能够，能够	be able to, can	grupo	alternativoj	prononco
level	labori	去工作，去劳动	to work, to labor	grupo	alternativoj	prononco
level	dio	一个神	a god	grupo	alternativoj	prononco
level	urbo	一座城市，一座城镇	a city, a town	grupo	alternativoj	prononco
level	ofta	经常，经常	freqent, often	grupo	alternativoj	prononco
level	soni	发出声音，发出声音	to sound, to make sound	grupo	alternativoj	prononco
level	tero	地球、土地、土壤	earth, land, soil	grupo	alternativoj	prononco
level	vivi	活着，活着	to live, to be alive	grupo	alternativoj	prononco
level	resti	留下来，留下来	to stay, to remain	grupo	alternativoj	prononco
level	ridi	笑	to laugh	grupo	alternativoj	prononco
level	homo	一个人，一个男人	a human, a man	grupo	alternativoj	prononco
level	akvo	水	water	grupo	alternativoj	prononco
level	vorto	一个字	a word	grupo	alternativoj	prononco
level	certa	确定的，肯定的	certain, sure	grupo	alternativoj	prononco
level	lando	一块土地，一个国家	a land, a country	grupo	alternativoj	prononco
level	sama	相同的	same	grupo	alternativoj	prononco
level	ĵeti	扔	to throw	grupo	alternativoj	prononco
level	stelo	一个明星	a star	grupo	alternativoj	prononco
level	domo	一个房子，一个家	a house, a home	grupo	alternativoj	prononco
level	nomo	一个名字，一个称谓	a name, an appellation	grupo	alternativoj	prononco
level	vidi	查看	to see	grupo	alternativoj	prononco
level	mola	柔软的	soft	grupo	alternativoj	prononco
level	horo	一个小时，一点，时间	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	一种形式，一种形状	a form, a shape	grupo	alternativoj	prononco
level	tago	一天	a day	grupo	alternativoj	prononco
level	fumo	一支烟	a smoke	grupo	alternativoj	prononco
level	ĉevalo	一匹马	a horse	grupo	alternativoj	prononco
level	jaro	一年	a year	grupo	alternativoj	prononco
level	vojaĝi	去旅行	to travel	grupo	alternativoj	prononco
level	celo	一个目标，一个目标，一个目的，一个目标	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	产生、承担、产生	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	错过、缺少、缺失	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	一只鸟	a bird	grupo	alternativoj	prononco
level	halti	停下来，停下来，停下来	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	一个兄弟	a brother	grupo	alternativoj	prononco
level	monto	一座山	a mountain	grupo	alternativoj	prononco
level	pensi	思考	to think	grupo	alternativoj	prononco
level	permesi	允许，允许	to permit, to allow	grupo	alternativoj	prononco
level	kosti	花费	to cost	grupo	alternativoj	prononco
level	lito	一张床，一张沙发	a bed, a couch	grupo	alternativoj	prononco
level	perdi	失去	to lose	grupo	alternativoj	prononco
level	miri	使惊讶，使惊讶，使惊讶	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	一个人	a person	grupo	alternativoj	prononco
level	diversa	多种多样的，各种各样的，各种各样的	diverse, varied, various	grupo	alternativoj	prononco
level	provi	尝试，尝试	to try, to attempt	grupo	alternativoj	prononco
level	pagi	支付	to pay	grupo	alternativoj	prononco
level	prezenti	呈现，介绍	to present, to introduce	grupo	alternativoj	prononco
level	aparta	分开的，特别的，分开的	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	对，一个权利	right, a right	grupo	alternativoj	prononco
level	mateno	早上，一个早晨	morning, a morning	grupo	alternativoj	prononco
level	agrabla	愉快的, 令人愉快的, 好的	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	晚上，一个晚上	evening, an evening	grupo	alternativoj	prononco
level	muro	一堵墙	a wall	grupo	alternativoj	prononco
level	suno	太阳，一个太阳	sun, a sun	grupo	alternativoj	prononco
level	rigardi	看看，看看	to look, to look at	grupo	alternativoj	prononco
level	senti	去感觉，去感知	to feel, to sense	grupo	alternativoj	prononco
level	blanka	白色、空白	white, blank	grupo	alternativoj	prononco
level	simpla	简单的	simple	grupo	alternativoj	prononco
level	rimarki	通知	to notice	grupo	alternativoj	prononco
level	lingvo	一种语言，舌头	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	改变、转向	to change, to turn	grupo	alternativoj	prononco
level	renkonti	遇见，遇见，遇见	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	使用	to use	grupo	alternativoj	prononco
level	timi	害怕，害怕	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	真实的，真实的	real, true	grupo	alternativoj	prononco
level	sola	单独、唯一、唯一、单独	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	和平，和平	peace, a peace	grupo	alternativoj	prononco
level	rakonti	叙述、讲述、联系	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	颜色，一种颜色	color, a color	grupo	alternativoj	prononco
level	pura	干净、纯粹	clean, pure	grupo	alternativoj	prononco
level	aŭdi	听到	to hear	grupo	alternativoj	prononco
level	punkto	一个点，一个点，一点	a point, a dot, a spot	grupo	alternativoj	prononco
level	buŝo	一张嘴	a mouth	grupo	alternativoj	prononco
level	araneo	蜘蛛	a spider	grupo	alternativoj	prononco
level	serĉi	寻找，寻找，寻求	to search, to look for, to seek	grupo	alternativoj	prononco
level	letero	一封信	a letter	grupo	alternativoj	prononco
level	frua	早的，过早的	early, premature	grupo	alternativoj	prononco
level	grava	重要的，严肃的	important, serious	grupo	alternativoj	prononco
level	nigra	黑色的	black	grupo	alternativoj	prononco
level	trankvila	平静的，平静的	tranquil, calm	grupo	alternativoj	prononco
level	flanko	在旁边	a side	grupo	alternativoj	prononco
level	libroj	图书	books	grupo	alternativoj	prononco
level	kuri	跑步	to run	grupo	alternativoj	prononco
level	dolĉa	甜的	sweet	grupo	alternativoj	prononco
level	popolo	人民、民间、民族	people, folk, nation	grupo	alternativoj	prononco
