A.hu content.tsv
Level	Esperanto	hu	en-us	Grupo	Alternativoj	Pronoco
level	revidis, revidos	újra láttam, újra látni fogom	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	újralátni, újra látni (objektív)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	Viszlát!	see you again!	grupo	alternativoj	prononco
level	dankon	köszönöm	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	köszönöm és viszontlátásra!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	hogy ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	neked, nekem	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(jelen) köszönöm, (múlt) megköszönte	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	nagyra értékelem neked	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	igen nem	yes, no	grupo	alternativoj	prononco
level	jes, dankon	igen, köszönöm	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	eszik, eszik	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	nem eszem	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	nem, nem eszem	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	gyönyörűen, szépen	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	érdemes (vége)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	hálás, érdemes megköszönni	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	egész, mint egész	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	mind, (objektív) minden	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	egyáltalán nem, szívesen	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	teljesen nem	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	megbocsátani, megbocsátó	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	megbocsátó számomra	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Sajnálom! (elnézést)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Elnézést kérek	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	jó reggelt	a good morning	grupo	alternativoj	prononco
level	bonan matenon	jó reggelt kívánok	good morning	grupo	alternativoj	prononco
level	bonan nokton	jó éjszakát	good night	grupo	alternativoj	prononco
level	bonan sonĝon	édes álom	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	() jó utat neked	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	jó nap!	good day!	grupo	alternativoj	prononco
level	ĉu ~	ez ~ ?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	jól csinálod? (hogy vagy?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Igen jól vagyok	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Nem, egyáltalán nem	no, not at all	grupo	alternativoj	prononco
level	tre, tro	nagyon, túl sok	very, too much	grupo	alternativoj	prononco
level	granda, grande	nagy, nagyrészt	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	nagyon jó, túl nagy	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	nagyon jól csinálod	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	nem nagyon jól	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	tanulni, tanulás	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	néz, egy néző	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	tanul, tanuló (tanuló személy)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, egy személy, aki csinál	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	diák, ember, aki tanult	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Tanuló vagyok.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ a barátom	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	ő ő	he, she	grupo	alternativoj	prononco
level	sidi, sidas	ülni, ül	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	ül, ült, ülni fog	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	ő ül, ő pedig tanul	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	szoba	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	szobában tanul	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	diák és sportoló	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport és sportoló	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	egy sportoló sportol	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	ő egy diák	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	diák és sportoló	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	most ül	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	és most tanul	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	ül és tanul	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	most egy szobában	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	asztalon van	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	egy papír és papírok	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	egy asztal és asztalok	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	egy könyvet és könyveket	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	a papírokat és a könyveket	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	asztalon van.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	íróasztalra ír	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	a könyvek ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	az asztalon	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	egy tankönyv és a tankönyvek	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	az asztalon ~ van	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	egy apa és egy anya	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	az apa és az anya	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	a barátom anyja	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	a szobában	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	nincs a szobában	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	most dolgoznak	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	az apja munkás	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	szállodában dolgozik	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	tanítja az anya	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ő egy tanár	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	ő anya?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	nem, ő egy szállodavezető	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	nem, nem dolgozom	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	mi a neve?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	most ki válaszol?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	az anyjuk nyelve	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	~ a neved?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	ülünk és válaszolunk	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	a munkaszékét	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	a neve nem ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	az ő nyelve az ő nyelvük	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	apánk és anyánk	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	tanítványod, tanítványaid	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	ők a tanítványaid?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	Tanuló vagy?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	a szobában vagy?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Nem vagyok ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	egy eszperantista és egy női eszperantista	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	bejelentkezett a szállodai szobába	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	nyelvész és női munkás	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	barátnője ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	diákok és sportolók	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	a családi nevem ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	ki ő? melyik ő?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	a barátnőd	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	a barátod ~ ?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	most a szobában ír	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	a barátod apád ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	szállodában dolgozik	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	mi van az asztalon?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	a szobánk asztalán	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	az eszperantó tankönyv ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	az asztalodon van	is on your table	grupo	alternativoj	prononco
level	havas amikinon	van egy barátja	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	a neve ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	fiatal és gyönyörű	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	fiatal és szép	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	fiatal és gyönyörű barátok	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	férfi és nő barátok	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	tanára otthona	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	hazajött	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ otthona	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	kérlek fáradj be	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Hello mit csinálsz?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	mit csinálsz? mit csinálsz?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	de most akarok ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	beszélni akarok	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	három férfi és nő barátjával	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	beszélt veled	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	beszélni akar veled	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	vannak-e férfi-női barátaid	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	könyve van	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	van egy jó könyve	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	igen van	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	tetszik nekik	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	könyvet olvasott	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	szeret könyveket olvasni	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	csak egy jó könyv	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	sok jó könyv	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	csak jó könyveket olvasni	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	szeret jó könyveket olvasni	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	akarsz olvasni?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	az ifjú kávét ivott	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	vizet akar inni	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	apa és anya; szülők	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	egy bajló és egy nővér, testvérek	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	a szüleid és a testvéreid	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	az Ön otthonában van	is in your home	grupo	alternativoj	prononco
level	jen la kafo	itt a kávé	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	még nem ivott	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	még meleg van	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	tegnap főztem	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	most főztem	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	köszönöm. így mondta.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	tud inni és enni	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	hideg kávét ivott	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	még meleg kávét	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	hideg kávét is iszik	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	hideg kávét is ihat	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	a szemébe néz	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	a legszebb szem	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	a gyönyörű szemek	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	nézte a gyönyörű szemeit	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	a gyönyörű szemeit	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	lát és ért	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Látom, hogy ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	hogy szereti	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	érzi, hogy szereti	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	megkérdezi, hogy nagy volt-e	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	egy könnyű kérdésről	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	új pénzről szólt	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	nagyon szép szemek	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	nézett a nagy testvér	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	egy kistestvér elfelejtette	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	akuzatívus (objektív)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	ne felejtsd el az akuzatív befejezést	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	kit látsz? melyiket látod?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	látok egy barátot	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	jó férfi-női barátai vannak	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	a régi házon dolgoznak	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	működik, dolgozott, működni fog	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	látja, hogy eszem	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	mondta, hogy elmegy	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	csúnya és rossz	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	mit mondott?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	mire vársz?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	bement a szobába	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	egy tartalom nagyon nehéz	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	megérkezett az ülésre	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	üdvözlöm a találkozón	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	egy öregember adott egy borravalót	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	megérkezett és szívesen fogadták	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	utálnak, de együttműködnek	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	elment a szállodába	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	könnyű tankönyvei vannak	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	hogy volt anyád?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	a régi otthonod	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	milyen könyveket olvastál?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	jók voltak?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	mit csinált tegnap?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	a kis szobában	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	nagyon sokáig beszélt	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	az iskola előtt, az iskola előtt	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	beszélt az iskola előtt	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	később beszélt a könyvről	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	szívesen ment az iskolába	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	az utcán keresztül	through the street	grupo	alternativoj	prononco
level	iris tra la strato	átment az utcán	went through the street	grupo	alternativoj	prononco
level	estis varma tago	meleg nap volt	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	láttak egy kávézót'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	piros sütiket látott	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	sütiket látott benne	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	láttam egy kávézót és benne sütiket	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	menj be és egyél!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	gyerünk be és együnk	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	van elegendő pénze	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	van elég pénzed?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	érted?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	természetesen!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	ez nem elég	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	száz dollár is elég	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	egy dollár, dollár, dollár (többes szám)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	száz dollárja van	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	természetesen van	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	ó! gazdag vagy!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	egy víz, egy pincérnő	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	pincér hoz egy menüt	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	ezt hozta nekünk, hozta azt	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	egy pincér sok sütit hozott	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	ettek egy kicsit (kicsit)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	étkezés (étkezés) után	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	új, megint	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	újra jött a pincér	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	valami helyen	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	keresett valahol	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	más helyen keresték	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	az arca örömteli volt	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	szomorú volt	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	a végén és végül végre	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	erős hangod	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	gyenge hangon	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	nincs pénze	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	mi történt ott?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	később baleset történt	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	tudod mikor történt?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	tud a dologról	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	egy dolog még hátra van	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	te vagy ő, bárki	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	mint egy énekes, mint egy aláíró	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	úgy énekelt, mint egy profi énekes	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	a hely, ahol élt	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	honnan tudsz az autóról?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	nos, nézd a gyors autót	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	egy gyümölcslé cukor nélkül	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	gyors járműve van	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	túl erősen	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	túl keményen nyitott ki	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	túl gyorsan vezetett (utazott).	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	kanállal evett	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	erősen kételkedünk	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	igaz levél tőle	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	egy szerelmes levél öt fényképpel	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	visszatértek, az emberek, akik visszatértek	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	szintén hat levél érkezett vissza	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	látni akarta a fényképet	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	jött vissza az iskolából	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	mikor jön vissza a nővér?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	újra akart olvasni	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	készült (csinált), lett	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	gyorsan vörös lett	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	egy szobába, egy szobába	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	állt és ült	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	ott állt a fénykép előtt	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	megvan	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	mi van a kezedben?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	elöl vagy hátul?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	előtte vagy utána?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	ott az ajtó mögött	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	mások, más emberek	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	mások levelei	letters from others	grupo	alternativoj	prononco
level	falis el la mano	kiesett a kézből	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	az asztalra, az asztalra	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	az asztalra esett	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	bocsánatot kért	asked for pardon	grupo	alternativoj	prononco
