B.lv content.tsv
Level	Esperanto	lv	en-us	Grupo	Alternativoj	Pronoco
level	mi ne sciis, ke ~	Es nezināju, ka ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	bet es nezināju, ka mans vārds ir saistīts ar to	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	patiesībā	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	kā iet ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	kā ir attiecības?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ak!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	tas ir garš stāsts	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	pateiks tev	will tell you	grupo	alternativoj	prononco
level	se vi volas	Ja tu vēlies	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Es jums pastāstīšu vēlāk, ja vēlaties	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	šajā vietā (šajā vietā)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	pārāk daudz trokšņa	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	šajā vietā ir pārāk daudz trokšņa	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Jā tev taisnība	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	Varbūt padejosim?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	laba ideja!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	paldies par jauko vakaru	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	paldies (tev)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	tas bija ļoti labi	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	mūzika ir patīkama ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	mūzika mani ļoti iepriecināja	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	arī man	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	dejot ir ļoti smieklīgi	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	dejot ar tevi	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	bija ļoti smieklīgi ar tevi dejot	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	šeit ir mana vārda kartīte	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	ja tu to vēlies	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	šeit ir mana karte, ja vēlaties	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	uz tā ir arī ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	uz tā ir arī adrese	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	tur ir vietnes adrese	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	adrese vietnei ar espernato kursu	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Paldies	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Es jums nosūtīšu e-pastu	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Labi!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	tiekamies atkal un ar labu nakti!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	uz redzēšanos!	see you!	grupo	alternativoj	prononco
level	aperas en ~	parādās ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	tūlītējais sūtnis	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ parādās tūlītējās ziņojumapmaiņas programmā	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	vai tu esi tas cilvēks?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	tas cilvēks, kurš bija dejojis ar mani	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Sestdienas nakts	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	vai tu esi tas cilvēks, kurš dejoja ar mani sestdienas vakarā?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	jā, tas esmu es	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Es priecājos, ka ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Es priecājos, ka atnācāt uz vietni	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	vai tas tev patīk? (vai tev tas patīk?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	jā, jā	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	tas ir ļoti skaisti	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	šķiet interesanti	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	tas ir ļoti skaisti un šķiet interesanti	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	vēl nav ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	nav pilnībā gatavs	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	tas vēl nav pilnībā gatavs	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	bet drīz būs	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Es saprotu (es redzu)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	taču jau ir daudz palīdzības rīku	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	vārdnīca	a dictionary	grupo	alternativoj	prononco
level	superrigardo	pārskats	an overview	grupo	alternativoj	prononco
level	ekzerco	attaisnojums	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	vārdu piemēri, pārskats, sūtnis un uzdevumi	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	gramatikas pārskats	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	tūlītējais kurjers un dažādi vingrinājumi	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	tas ir labs sākums	it is a good start	grupo	alternativoj	prononco
level	pardonon	piedod, es atvainojos	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Man jārunā ar ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	runāt ar citu cilvēku	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Es atvainojos, man vajadzētu runāt ar citu cilvēku	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	valodas palīgs	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Es esmu viņas valodas palīgs	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	un tagad viņa vēlas runāt par ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	runāt par vingrinājumu	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	drīz atgriezīsies	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Es drīz atgriezīšos pie jums	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	pēc vairākām minūtēm	after several minutes	grupo	alternativoj	prononco
level	finparolis	beidza runāt	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	tagad mēs beigām runāt par vingrinājumu	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	pa to laiku, kādu laiku	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Pa to laiku es lasīju par esperanto valodu	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Es neesmu pārliecināts	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	zina pietiekami daudz par ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Es vēl nezinu pietiekami daudz par valodu	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	gudra atbilde	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Es paskatīšos vietnē	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	un mēģināšu mazliet mācīties	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	vai vēlaties būt mans valodas palīgs?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	labprātīgi!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	nav par ko!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	nav pateicības vērts, bet skūpsta vērts	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	saka, ka esperanto valodā	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	kas? es nesaprotu	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	varat meklēt vārdnīcā	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	diemžēl	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Man tagad jāatsakās no interneta	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Es atgriezīšos vakarā	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Domāju, ka līdz tam laikam būšu vietā	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	ideāls!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	nu tad tiekamies!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	tiksimies vēlāk!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	vakarā arī pie tūlītējās vēstneses	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Sveiks atkal! (atkārtoti)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Sveiks atkal!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Es apskatīju gandrīz visas vietnes lapas	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	diezgan labi! satriecošs!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Man ir vairāki jautājumi	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Vai tev ir laiks?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	jā, es esmu brīvs vakarā	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	tāpēc rakstiet savus jautājumus	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Es mēģināšu atbildēt	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Es lasīju, ka esperanto ir kultūra	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	tomēr es nesaprotu ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	kur es varu atrast šādu kultūru	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	jūs atradīsit visur, kur ir ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	jebkurā vietā, kur ir cilvēki, kas runā esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	bet neviens nelieto esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	pa labi!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	bet cilvēki, kas runā esperanto valodā	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	bieži ceļo un satiek citus esperantistus	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	šo sanāksmju laikā	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	viņi lieto valodu visdažādākajās situācijās	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	tāpēc tur jūs atradīsit ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	jūs atradīsit kultūru	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	atklās esperanto kultūru	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	labi, vai mūzika pastāv?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	mūzika, literatūra, teātris	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	utt	etc	grupo	alternativoj	prononco
level	same kiel ~	tāds pats kā ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	tādas pašas kā citām valodām	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	daudzums nav tik liels	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	tikpat liels kā valsts valodās	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	bet tas nav svarīgi	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	vismaz ne man	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	ja vēlaties klausīties ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	klausīties dziesmu esperanto valodā	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	šeit ir dziesma &quot;Lisa glezno attēlus&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	klausās dziesmu	listens to the song	grupo	alternativoj	prononco
level	ne malbone	nav slikti	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	un jūs atradīsiet daudzas grāmatas esperanto valodā	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	izskatās grāmatas	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	pietiekami daudz	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	vai tu daudz lasi esperanto valodā?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	jā, dažreiz (laiku pa laikam)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	ja kādreiz iemācīsies valodu	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Es jums ieteikšu dažas labas grāmatas	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	ir aptuveni ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	mans otrs jautājums ir par manu vārdu	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	jūs iepriekš teicāt, ka ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	ir saistība ar ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	teica, ka tas ir saistīts ar esperanto valodu	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ak, jā, par to	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	vīrietis ar vārdu ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	reiz dzīvoja vīrietis ar vārdu ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	viņš ļoti aktīvi darbojās esperanto kustībā	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	kad tas bija pilnīgi jauns	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	tulkoja grāmatu valodā ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	un tulkojis daudzas grāmatas esperanto valodā	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	un tas viņu padarīja slavenu?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	viens no svarīgākajiem esperanto valodā tajā laikā	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	un viņam bija liela ietekme uz valodas stilu	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	nē, viņš noteikti bija svarīgs un viņam bija ietekme	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	tomēr viņš pēkšņi pameta kustību	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Es iedomājos, ka ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Iedomājos, ka daudziem tas bija liels šoks	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	kāpēc viņš pameta esperanto valodu?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Es uzskatu, ka ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	viņš bija neapmierināts ar esperantistiem	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	viņš teica kaut ko līdzīgu ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto jāmācās pašiem esperantistiem!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	ko viņš gribēja pateikt ar ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	ko viņš ar to gribēja pateikt?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	visticamāk, ka ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	cilvēki slikti runāja esperanto valodā	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	iespējams, ka cilvēki runāja slikti	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	1911. gadā viņš pameta esperanto valodu	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	bet es domāju, ka ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	ir augstāks	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	šodien valodas līmenis ir augstāks	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	esperantistu valodas līmenis	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	bet domāju, ka šodien līmenis ir augstāks	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	tāpēc man labi jāmācās valoda	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	par to, ka esmu labs cilvēks	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	un jums vajadzētu izmantot vienkāršu stilu	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	jo tas viņam bija ļoti svarīgi	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	tas mani iepriecina (man tas patīk)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	esperanto valodā ir pat vārds ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	ir pat vārds &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	atteikties no kustības	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	vārds &quot;kabei&quot;, kas nozīmē kustības pamešanu	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	tas ir interesanti!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	tagad es zinu vienu vārdu esperanto valodā	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	nekad neaizmirsīšu	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	un droši vien es to nekad neaizmirsīšu	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	kafejnīcā” pēc vairākām nedēļām	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	viņam izdevās iemācīties esperanto valodu	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	un viņi lieto valodu	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	uzaicināt, ielūgums	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	lūk, lūk, ielūgums uz IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	kas? Ee-yo-ko?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	jaunietis, jauniešu grupa	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK ir starptautisks jaunatnes kongress	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Es plānoju doties uz to	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	vai tu arī gribi iet?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	nu &quot;kongress&quot; neizklausās īpaši interesanti	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	bet tas ir (interesanti)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	nedomā kaut ko garlaicīgu gausu kongresu	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	runa ir tikai par ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	runa ir tikai par tikšanos ar jauniešiem	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	tikšanās ar jauniešiem no daudzām valstīm	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Tajā būs 300 līdz 400 cilvēku	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	tur droši vien būs 300 līdz 400 cilvēku	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	gandrīz visi	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	un gandrīz visi runās esperanto valodā	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	labi nerunā	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	labi, bet es nerunāju labi esperanto valodā	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	tam nav nozīmes	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	iespējams piedalīties ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	piedalīties tur esperanto kursos	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	parasti	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	parasti ir divi līmeņi	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	cilvēki, kuri jau bija iemācījušies valodu	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	viens iesācējiem	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	un otrs tiem, kas jau iemācījušies valodu	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jes, ko?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	tu teici &quot;parasti&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	ak, IJK notiek katru gadu	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	katru reizi citā valstī	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	šī iemesla dēļ katrs IJK ir atšķirīgs	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	bet ir arī programmas	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programmas, kas bieži atgriežas	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	bet ir arī programmas, kas bieži atgriežas	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	piemēram	for example	grupo	alternativoj	prononco
