B.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	kia estas la rilato?	ความสัมพันธ์เป็นยังไงบ้าง?	how is the relation?	grupo	alternativoj	prononco
level	ho!	โอ้!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	นั่นเป็นเรื่องยาว	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	จะบอกคุณ	will tell you	grupo	alternativoj	prononco
level	se vi volas	ถ้าคุณต้องการ	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	ฉันจะบอกคุณทีหลังถ้าคุณต้องการ	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	ในที่นี้ (ในที่นี้)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	เสียงดังเกินไป	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	ในที่นี้มีเสียงรบกวนมากเกินไป	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	ใช่คุณพูดถูก	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	เราจะเต้นรำไหม?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	ความคิดที่ดี!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	ขอบคุณสำหรับตอนเย็นที่น่ารื่นรมย์	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	ขอบคุณ (ถึงคุณ)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	มันดีมาก	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	เพลงก็น่าฟัง~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	ดนตรีถูกใจฉันมาก	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	สำหรับฉันด้วย	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	การเต้นรำเป็นเรื่องตลกมาก	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	ที่จะเต้นรำกับคุณ	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	มันตลกมากที่ได้เต้นรำกับคุณ	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	นี่คือนามบัตรของฉัน	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	ถ้าคุณต้องการมัน	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	นี่คือบัตรของฉัน ถ้าคุณต้องการ	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	มี ~ อยู่ด้วย	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	มีที่อยู่อยู่ด้วย	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	มีที่อยู่ของเว็บไซต์	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	ที่อยู่ของไซต์ที่มีหลักสูตรภาษาเอสเพอร์นาโต	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	ขอบคุณ	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	ฉันจะส่งอีเมลถึงคุณ	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	ตกลง!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	แล้วพบกันใหม่ และราตรีสวัสดิ์!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	พบกันใหม่!	see you!	grupo	alternativoj	prononco
level	aperas en ~	ปรากฏใน ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	ผู้ส่งสารทันที	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ ปรากฏในโปรแกรมส่งข้อความโต้ตอบแบบทันที	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	คุณคือคนนั้นหรือเปล่า?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	คนนั้นที่ได้เต้นรำกับฉัน	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	คืนวันเสาร์	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	เธอคือคนที่เต้นรำกับฉันคืนวันเสาร์หรือเปล่า?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	ใช่มันคือฉัน	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	ดีใจจังเลย~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	ฉันดีใจที่คุณมาที่ไซต์	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	มันทำให้คุณพอใจหรือเปล่า? (คุณชอบมันไหม?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ใช่ ใช่	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	มันสวยมาก	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	ดูเหมือนน่าสนใจ	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	มันสวยงามมากและดูน่าสนใจ	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ยังไม่ได้ ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	ยังไม่พร้อมอย่างสมบูรณ์	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	มันยังไม่พร้อมโดยสิ้นเชิง	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	แต่อีกไม่นานก็จะเป็นเช่นนั้น	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	ฉันเข้าใจ (ฉันเห็น)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	แต่มีเครื่องมือช่วยเหลือมากมายอยู่แล้ว	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	พจนานุกรม	a dictionary	grupo	alternativoj	prononco
level	superrigardo	ภาพรวม	an overview	grupo	alternativoj	prononco
level	ekzerco	ภาษีสรรพสามิต	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	ตัวอย่างคำ ภาพรวม ผู้ส่งสาร และแบบฝึกหัด	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	ภาพรวมของไวยากรณ์	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	โปรแกรมส่งข้อความด่วนและแบบฝึกหัดต่างๆ	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	มันเป็นการเริ่มต้นที่ดี	it is a good start	grupo	alternativoj	prononco
level	pardonon	ขออภัย ฉันขอโทษ	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	ต้องคุยกับ~.	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	เพื่อพูดคุยกับบุคคลอื่น	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	ฉันขอโทษ ฉันควรจะคุยกับคนอื่น	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	ผู้ช่วยด้านภาษา	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	ฉันเป็นผู้ช่วยเหลือด้านภาษาของเธอ	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	และตอนนี้เธออยากจะพูดถึง ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	เพื่อพูดคุยเกี่ยวกับการออกกำลังกาย	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	เร็ว ๆ นี้จะกลับมา	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	ฉันจะกลับมาหาคุณเร็ว ๆ นี้	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	หลังจากผ่านไปหลายนาที	after several minutes	grupo	alternativoj	prononco
level	finparolis	พูดเสร็จแล้ว	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	ตอนนี้เราพูดถึงการออกกำลังกายเสร็จแล้ว	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	ในระหว่างนี้ชั่วระยะเวลาหนึ่ง	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	ฉันอ่านเกี่ยวกับภาษาเอสเปรันโตในระหว่างนี้	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	ฉันไม่แน่ใจ	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	รู้เรื่อง~.	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	ฉันยังไม่รู้ภาษามากพอ	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	คำตอบที่ชาญฉลาด	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	ฉันจะดูในเว็บไซต์	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	และจะพยายามเรียนรู้สักหน่อย	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	คุณอยากเป็นผู้ช่วยภาษาของฉันไหม?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	เต็มใจ!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	ด้วยความยินดี!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	ไม่คุ้มค่ากับการขอบคุณ แต่คุ้มค่ากับการจูบ	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	บอกว่าเป็นภาษาเอสเปรันโต	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	อะไร? ฉันไม่เข้าใจ	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	คุณสามารถดูในพจนานุกรมได้	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	น่าเสียดาย	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	ฉันคงต้องออกจากอินเตอร์เน็ตแล้ว	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	ฉันจะกลับมาตอนเย็น	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	ฉันคิดว่าฉันจะถึงสถานที่นั้นเมื่อถึงเวลานั้น	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	สมบูรณ์แบบ!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	แล้วเจอกัน!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	แล้วพบกันใหม่!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	ในตอนเย็นยังส่งสารทันที	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	สวัสดีอีกครั้ง! (อีกครั้ง-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	สวัสดีอีกครั้ง!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	ฉันดูเกือบทุกหน้าจากเว็บไซต์	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	ค่อนข้างดี! สุดยอด!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	ฉันมีคำถามหลายข้อ	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	คุณมีเวลาไหม?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ใช่ ตอนเย็นฉันว่าง	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	ดังนั้นเขียนคำถามของคุณ	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	ฉันจะพยายามตอบ	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	ฉันอ่านเจอว่าภาษาเอสเปรันโตมีวัฒนธรรม	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	แต่ฉันไม่เข้าใจ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	ฉันสามารถหาวัฒนธรรมแบบนี้ได้ที่ไหน	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	คุณจะพบทุกที่ที่ ~ อยู่	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	สถานที่ใดก็ตามที่มีผู้พูดภาษาเอสเปรันโต	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	แต่ไม่มีใครใช้ภาษาเอสเปรันโต	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	ขวา!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	แต่คนที่พูดภาษาเอสเปรันโต	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	มักจะเดินทางและพบปะกับชาวเอสเปรันติสต์คนอื่นๆ	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	ในระหว่างการประชุมเหล่านั้น	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	พวกเขาใช้ภาษาในสถานการณ์ต่างๆ ส่วนใหญ่	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	แล้วคุณจะพบ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	คุณจะพบกับวัฒนธรรม	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	จะพบกับวัฒนธรรมของภาษาเอสเปรันโต	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	โอเค มีดนตรีไหม?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	ดนตรี วรรณกรรม ละคร	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	ฯลฯ	etc	grupo	alternativoj	prononco
level	same kiel ~	เช่นเดียวกับ ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	เช่นเดียวกับภาษาอื่นๆ	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	ปริมาณไม่มาก	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	ใหญ่โตเท่ากับภาษาประจำชาติ	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	แต่นั่นไม่สำคัญ	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	อย่างน้อยก็ไม่ใช่สำหรับฉัน	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	ถ้าอยากฟัง~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	เพื่อฟังเพลงในภาษาเอสเปรันโต	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	นี่คือเพลง &quot;ลิซ่าวาดภาพ&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	ฟังเพลง	listens to the song	grupo	alternativoj	prononco
level	ne malbone	ไม่เลว	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	และคุณจะพบหนังสือภาษาเอสเปรันโตมากมาย	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	ดูหนังสือ	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	มากมายเพียงพอ	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	คุณอ่านภาษาเอสเปรันโตมากไหม?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ใช่ บางครั้ง (เป็นครั้งคราว)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	ถ้าคุณเคยเรียนภาษา	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	ฉันจะแนะนำหนังสือดีๆให้คุณ	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	เป็นเรื่องเกี่ยวกับ ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	คำถามอื่นของฉันเกี่ยวกับชื่อของฉัน	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	คุณพูดก่อนหน้านี้ว่า ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	มีความสัมพันธ์กับ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	บอกว่ามีความเกี่ยวข้องกับภาษาเอสเปรันโต	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	โอ้ ใช่ เกี่ยวกับเรื่องนั้น	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	ผู้ชายที่ชื่อ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	ครั้งหนึ่งเคยมีชายชื่อ ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	เขามีความกระตือรือร้นอย่างมากในขบวนการภาษาเอสเปรันโต	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	เมื่อมันเป็นเรื่องใหม่ทั้งหมด	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	แปลหนังสือเป็น ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	และแปลหนังสือหลายเล่มเป็นภาษาเอสเปรันโต	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	และนั่นทำให้เขาโด่งดังเหรอ?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	หนึ่งในสิ่งที่สำคัญที่สุดสำหรับภาษาเอสเปรันโตในขณะนั้น	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	และเขามีอิทธิพลอย่างมากต่อรูปแบบภาษา	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	ไม่ แน่นอนว่าเขามีความสำคัญและมีอิทธิพล	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	อย่างไรก็ตาม จู่ๆ เขาก็ละทิ้งการเคลื่อนไหว	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	ฉันจินตนาการแบบนั้น~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	ฉันคิดว่ามันเป็นเรื่องที่น่าตกใจมากสำหรับหลาย ๆ คน	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	ทำไมเขาถึงออกจากภาษาเอสเปรันโต?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	ฉันเชื่ออย่างนั้น~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	เขาไม่พอใจกับพวกเอสเปรันติสต์	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	เขาพูดบางอย่างคล้ายกับ ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	ชาวเอสเปรันโตจะต้องเรียนรู้ภาษาเอสเปรันโตด้วยตัวเอง!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	เขาหมายความว่ายังไง~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	เขาหมายความว่าอย่างไรที่พูดแบบนั้น?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	มีแนวโน้มว่า ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	ผู้คนพูดภาษาเอสเปรันโตได้ไม่ดี	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	มีแนวโน้มว่าผู้คนจะพูดจาไม่ดี	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	ในปี พ.ศ. 2454 เขาออกจากภาษาเอสเปรันโต	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	แต่ฉันคิดว่าอย่างนั้น~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	สูงกว่า	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	วันนี้ระดับภาษาสูงขึ้น	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	ระดับภาษาของชาวเอสเปรันติสต์	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	แต่ผมคิดว่าวันนี้ระดับมันสูงขึ้นแล้ว	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	ฉันจึงต้องเรียนภาษาให้ดี	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	สำหรับการเป็นคนดี	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	และคุณควรใช้สไตล์เรียบง่าย	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	เพราะนั่นสำคัญมากสำหรับเขา	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	นั่นทำให้ฉันพอใจ (ฉันชอบแบบนั้น)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	ในภาษาเอสเปรันโตก็มีคำว่า ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	มีคำว่าคาเบะด้วยซ้ำ	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	ที่จะละทิ้งความเคลื่อนไหว	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	คำว่า กะเบ แปลว่า ละทิ้งการเคลื่อนไหว	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	นั่นดูน่าสนใจ!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	ตอนนี้ฉันรู้คำเดียวในภาษาเอสเปรันโต	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	จะไม่ลืม	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	และฉันคงจะไม่มีวันลืมมัน	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	ในร้านกาแฟหลังจากผ่านไปหลายสัปดาห์	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	เขาสามารถเรียนรู้ภาษาเอสเปรันโตได้	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	และพวกเขากำลังใช้ภาษา	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	เพื่อเชิญคำเชิญ	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	ดูสิ คำเชิญสำหรับ IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	อะไร? อีโย-อะไรนะ?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	คนหนุ่มสาว, กลุ่มคนหนุ่มสาว	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK คือการประชุมเยาวชนนานาชาติ	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	ฉันกำลังวางแผนที่จะไปเพื่อมัน	I am planning to go for it	grupo	alternativoj	prononco
