A.bn content.tsv
Level	Esperanto	bn	en-us	Grupo	Alternativoj	Pronoco
level	dankon	ধন্যবাদ	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	আপনাকে ধন্যবাদ এবং আবার দেখা হবে!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	থেকে ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	তোমার কাছে, আমার কাছে	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(বর্তমান) ধন্যবাদ, (অতীত) ধন্যবাদ	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	আমি আপনার প্রশংসা করি	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	হ্যাঁ না	yes, no	grupo	alternativoj	prononco
level	jes, dankon	হ্যাঁ, থাইঙ্ক	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	খায়, খাবে	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	আমি খাই না	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	না, আমি খাই না	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	সুন্দর, সুন্দরভাবে	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	সার্থক (শেষ)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	প্রশংসাযোগ্য, ধন্যবাদ দেওয়া সার্থক	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	সমগ্র, সামগ্রিকভাবে	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	all, (উদ্দেশ্য) সব	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	মোটেও না, আপনাকে স্বাগতম	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	সম্পূর্ণ না	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	ক্ষমা করা, ক্ষমাশীল	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	আমার কাছে ক্ষমাশীল	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	আমি দুঃখিত! (আমাকে ক্ষমা কর)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	আমি দুঃখিত, দয়া করে	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	একটি শুভ সকাল	a good morning	grupo	alternativoj	prononco
level	bonan matenon	সুপ্রভাত	good morning	grupo	alternativoj	prononco
level	bonan nokton	শুভ রাত্রি	good night	grupo	alternativoj	prononco
level	bonan sonĝon	সুন্দর স্বপ্ন দেখো	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	আপনার জন্য একটি ভাল ভ্রমণ আছে	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	শুভ দিন!	good day!	grupo	alternativoj	prononco
level	ĉu ~	এটা কি ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	আপনি কি ভাল করছেন? (আপনি কেমন আছেন?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	হ্যা আমি ভালো আছি	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	একদম না	no, not at all	grupo	alternativoj	prononco
level	tre, tro	খুব, খুব বেশি	very, too much	grupo	alternativoj	prononco
level	granda, grande	বড়, ব্যাপকভাবে	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	খুব ভাল, খুব বড়	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	তুমি খুব ভালো করছো	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	খুব ভাল না	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	শেখার জন্য, একটি শিক্ষা	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	তাকিয়ে আছে, দর্শক	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	শিখছেন, একজন ছাত্র (একজন শেখার ব্যক্তি)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, একজন ব্যক্তি যিনি করছেন	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	একজন ছাত্র, একজন ব্যক্তি যিনি শিখেছেন	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	আমি একজন ছাত্র.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ আমার বন্ধু	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	তিনি তিনি	he, she	grupo	alternativoj	prononco
level	sidi, sidas	বসতে, বসে	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	বসে আছে, বসে আছে, বসে থাকবে	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	সে বসে আছে এবং সে শিখছে	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	একটি কক্ষ	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	একটি ঘরে শেখে	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	একজন ছাত্র এবং একজন ক্রীড়াবিদ	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	খেলাধুলা এবং একজন ক্রীড়াবিদ	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	একজন ক্রীড়াবিদ খেলাধুলা করছেন	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	সে একজন ছাত্র	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	তিনি একজন ছাত্র এবং একজন ক্রীড়াবিদ	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	তিনি এখন বসে আছেন	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	এবং এখন শিখছে	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	বসে আছে এবং শিখছে	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	এখন একটি রুমে	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	একটি টেবিলে আছে	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	একটি কাগজ এবং কাগজপত্র	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	একটি টেবিল এবং টেবিল	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	একটি বই এবং বই	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	কাগজপত্র এবং বই	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	এটা একটা টেবিলে আছে।	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	লেখার টেবিলে লিখছে	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	বই ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	টেবিলের উপর	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	একটি পাঠ্যপুস্তক এবং পাঠ্যপুস্তক	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	টেবিলে আছে ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	একজন বাবা এবং একজন মা	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	বাবা এবং মা	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	আমার বন্ধুর মা	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	রুমে	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	রুমে নেই	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	তারা এখন কাজ করছে	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	তার বাবা একজন শ্রমিক	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	তিনি একটি হোটেলে কাজ করেন	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	মা শেখায়	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	সে একজন শিক্ষিকা	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	সে কি মা?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	না, সে একজন হোটেল মালিক	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	না, আমি কাজ করি না	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	তার নাম কি?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	এখন কে উত্তর দিচ্ছে?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	তাদের মায়ের ভাষা	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	তোমার নাম কি ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	আমরা বসে উত্তর দিচ্ছি	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	তার কাজের চেয়ার	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	এর নাম ~ নয়	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	তার ভাষা তাদের ভাষা	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	আমাদের বাবা এবং মা	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	আপনার ছাত্র, আপনার ছাত্র	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	তারা কি আপনার ছাত্র?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	তুমি কি একজন ছাত্র?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	আপনি কি রুমে আছেন?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	আমি ~ নই	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	একজন এস্পের্যান্টিস্ট এবং একজন মহিলা এস্পের্যান্টিস্ট	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	হোটেল রুমের জন্য চেক ইন	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	একজন ভাষাবিদ এবং একজন মহিলা কর্মী	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	তার গার্ল ফ্রেন্ড হল ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	ছাত্র এবং ক্রীড়াবিদ	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	আমার পরিবারের নাম ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	সে কে? সে কোনটি?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	আপনার বান্ধবী	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	তোমার বন্ধু কি ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	এখন রুমে লিখছি	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	তোমার বাবা কি বন্ধু ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	একটি হোটেলে কাজ করে	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	টেবিলের উপরে কী আছে?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	আমাদের রুমের টেবিলে	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	এস্পেরান্তো পাঠ্যপুস্তক ~?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	আপনার টেবিলে আছে	is on your table	grupo	alternativoj	prononco
level	havas amikinon	একটি বন্ধু আছে	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	তার নাম ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	তরুণ এবং সুন্দর	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	তরুণ এবং সুন্দর	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	তরুণ এবং সুন্দর বন্ধু	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	তারা পুরুষ এবং মহিলা বন্ধু	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	তার শিক্ষকের বাড়ি	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	বাড়িতে এসেছিল	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ এর বাড়ি	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	অনুগ্রহ করে ভিতরে আসুন	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	ওহে তুমি কি কর?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	আপনি কি করেন? তুমি কি করছো?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	কিন্তু এখন আমি চাই ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	আমি কথা বলতে চাই	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	তিনজন পুরুষ ও মহিলা বন্ধুর সাথে	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	তোমার সাথে কথা বলেছি	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	তোমার সাথে কথা বলতে চায়	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	আপনার কি পুরুষ এবং মহিলা বন্ধু আছে?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	তার একটি বই আছে	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	একটি ভাল বই আছে	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	হ্যাঁ আমার আছে	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	তারা এটা পছন্দ করে	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	সে একটি বই পড়ে	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	বই পড়তে পছন্দ করে	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	শুধুমাত্র একটি ভাল বই	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	অনেক ভাল বই	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	শুধুমাত্র ভাল বই পড়ুন	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	ভালো বই পড়তে পছন্দ করে	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	তুমি কি পড়তে চাও?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	যুবক কফি পান	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	পানি খেতে চায়	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	একজন বাবা এবং একজন মা; পিতামাতা	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	একটি বিরক্ত এবং একটি বোন, ভাইবোন	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	আপনার বাবা-মা এবং ভাইবোনরা	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	আপনার বাড়িতে আছে	is in your home	grupo	alternativoj	prononco
level	jen la kafo	এখানে কফি	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	এখনো পান করেননি	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	এখনও উষ্ণ	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	গতকাল রান্না করেছি	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	আমি এখন রান্না করেছি	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	ধন্যবাদ. তাই তিনি বলেন.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	পান এবং খেতে পারেন	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	ঠান্ডা কফি পান	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	এখনও উষ্ণ কফি	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	কোল্ড কফিও খায়	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	কোল্ড কফিও পান করতে পারেন	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	তার চোখের দিকে তাকায়	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	সবচেয়ে সুন্দর চোখ	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	সুন্দর চোখ	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	সুন্দর চোখ দেখলাম	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	তার সুন্দর চোখ	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	দেখে এবং বোঝে	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	আমি দেখতে পাচ্ছি ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	যে সে তাকে ভালবাসে	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	সে অনুভব করে যে সে তাকে ভালবাসে	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	এটা বড় ছিল কিনা জিজ্ঞাসা	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	একটি সহজ প্রশ্ন সম্পর্কে	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	একটি নতুন টাকা সম্পর্কে বলেন	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	খুব সুন্দর চোখ	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	বড় ভাইয়ের দিকে তাকাল	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	একটি ছোট বোন এটা ভুলে গেছে	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	একটি অভিযুক্ত (উদ্দেশ্য)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	অভিযুক্ত সমাপ্তি ভুলবেন না	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	তুমি কাকে দেখছ? আপনি কোনটি দেখতে পাচ্ছেন?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	আমি একটি বন্ধু দেখতে	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	ভাল পুরুষ এবং মহিলা বন্ধু আছে	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	তারা পুরোনো বাড়ি নিয়ে কাজ করছে	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	কাজ করে, কাজ করে, কাজ করবে	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	দেখি, আমি খাই	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	বলল, সে যাবে	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	কুৎসিত এবং খারাপ	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	সে কি বলেছে?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	তুমি কিসের জন্য অপেক্ষা করছো?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	রুমে গেল	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	একটি বিষয়বস্তু খুব কঠিন	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	সভায় পৌঁছেছেন	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	সভায় স্বাগতম	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	একজন বৃদ্ধ একটি টিপ দিলেন	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	এসেছিলেন এবং স্বাগত জানানো হয়েছিল	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	তারা ঘৃণা করে কিন্তু সহযোগিতা করে	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	হোটেলে গিয়েছিলাম	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	সহজ পাঠ্যপুস্তক আছে	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	তোমার মা কেমন ছিল?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	আপনার পুরানো বাড়ি	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	আপনি কোন বই পড়েছেন?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	তারা কি ভাল ছিল?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	গতকাল কি করেছিল?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	ছোট ঘরে	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	অনেকক্ষণ কথা বলেছেন	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	স্কুলের সামনে, স্কুলের সামনে	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	বিদ্যালয়ের সামনে বক্তব্য রাখেন	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	পরে বই সম্পর্কে কথা বলেছেন	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	খুশি হয়ে স্কুলে গেল	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	রাস্তার মধ্য দিয়ে	through the street	grupo	alternativoj	prononco
level	iris tra la strato	রাস্তা দিয়ে গেল	went through the street	grupo	alternativoj	prononco
level	estis varma tago	একটি উষ্ণ দিন ছিল	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	তারা একটি ক্যাফে দেখেছে	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	লাল কুকিজ দেখেছি	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	এটা কুকিজ দেখেছি	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	একটি ক্যাফে দেখেছি' এবং তাতে কুকিজ	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	ভিতরে গিয়ে খাও!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	চল ভিতরে এসে খাই	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	পর্যাপ্ত টাকা আছে	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	আপনার কি পর্যাপ্ত টাকা আছে?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	তুমি কি বুঝতে পেরেছো?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	অবশ্যই!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	ওতে হবে না	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	একশ ডলার যথেষ্ট	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	একটি ডলার, ডলার, ডলার (বহুবচন উদ্দেশ্য)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	একশ ডলার আছে	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	অবশ্যই আমার আছে	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	উহু! তুমি ধনী!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	একটি জল, একটি পরিচারিকা	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	একজন ওয়েটার একটি মেনু নিয়ে আসে	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	এটা আমাদের কাছে এনেছে, সেটা নিয়ে এসেছে	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	একজন ওয়েটার অনেক কুকি নিয়ে এসেছে	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	তারা কিছু খেয়েছে (একটু)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	খাওয়ার পর (খাওয়া)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	নতুন, আবার	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	ওয়েটার আবার এলো	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	কিছু জায়গায়	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	কিছু জায়গায় অনুসন্ধান ছিল	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	অন্য জায়গায় অনুসন্ধান করা হয়েছে	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	তার মুখ আনন্দিত ছিল	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	তার মন খারাপ ছিল	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	শেষে এবং অবশেষে শেষ পর্যন্ত	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	আপনার শক্তিশালী কণ্ঠস্বর	your strong voice	grupo	alternativoj	prononco
