C.zh-tw content.tsv
Level	Esperanto	zh-tw	en-us	Grupo	Alternativoj	Pronoco
level	ĉef-	&lt;字首&gt;主要的, 領導的, 主要的	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	&lt;前置詞&gt;沒有~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	&lt;前置詞&gt;與〜（一起）	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	&lt;前置詞&gt;除了~，除了~	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	一個朋友	a friend	grupo	alternativoj	prononco
level	kies	誰的，哪個的，其中的	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	&lt;前置詞&gt;透過〜（方法），用〜（工具）	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	反對~	against ~	grupo	alternativoj	prononco
level	el ~	從～，從～	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	今天	today	grupo	alternativoj	prononco
level	hieraŭ	昨天	yesterday	grupo	alternativoj	prononco
level	nur	僅僅、僅僅、唯一	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	幫助，幫助，協助	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	<adv>離這很遠	<adverb> far, away	grupo	alternativoj	prononco
level	nek	也不，也不	nor, neither	grupo	alternativoj	prononco
level	malamo	一個恨	a hate	grupo	alternativoj	prononco
level	preskaŭ	幾乎，幾乎	almost, nearly	grupo	alternativoj	prononco
level	tra ~	通過~	through ~	grupo	alternativoj	prononco
level	super	超過，上面	over, above	grupo	alternativoj	prononco
level	trans ~	越過～，穿過～	over ~, accross ~	grupo	alternativoj	prononco
level	nu	好吧，那麼，現在	well, well then, now	grupo	alternativoj	prononco
level	pri ~	關於~	about ~	grupo	alternativoj	prononco
level	por ~	為了〜，為了〜	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	明天	tomorrow	grupo	alternativoj	prononco
level	nun	現在，目前	now, at present	grupo	alternativoj	prononco
level	laŭ ~	根據~，沿著~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	每個，每個，每個人，所有的	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	誰，哪一個，哪一個	who, which, which one	grupo	alternativoj	prononco
level	tiu	那個人，那個～，那個，那邊	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	某人，某人，一些	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	沒有人，沒有人，也沒有	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	到~	to ~	grupo	alternativoj	prononco
level	-ebl-	&lt;詞尾&gt;〜可以	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	希望	to hope	grupo	alternativoj	prononco
level	unu	一	one	grupo	alternativoj	prononco
level	du	二	two	grupo	alternativoj	prononco
level	tri	三	three	grupo	alternativoj	prononco
level	kvar	四	four	grupo	alternativoj	prononco
level	kvin	五	five	grupo	alternativoj	prononco
level	ses	六	six	grupo	alternativoj	prononco
level	sep	七	seven	grupo	alternativoj	prononco
level	ok	八	eight	grupo	alternativoj	prononco
level	naŭ	九	nine	grupo	alternativoj	prononco
level	dek	十	ten	grupo	alternativoj	prononco
level	cent	一百	a hundred	grupo	alternativoj	prononco
level	mil	一千	a thousand	grupo	alternativoj	prononco
level	-obl-	&lt;詞尾&gt;對於多重性，-oble，-fold	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	&lt;詞尾&gt;~th, 分數	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	愛的	of love	grupo	alternativoj	prononco
level	anstataŭ ~	而不是~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	&lt;詞尾&gt;變得	<suffix> become	grupo	alternativoj	prononco
level	voli	想要、願意、願意	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	&lt;詞尾&gt;導致成為	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	跟隨	to follow	grupo	alternativoj	prononco
level	ĝoje	樂意	gladly	grupo	alternativoj	prononco
level	legi	讀書	to read	grupo	alternativoj	prononco
level	silenta	沉默的	silent	grupo	alternativoj	prononco
level	la	這	the	grupo	alternativoj	prononco
level	ha!	哈！	ha!	grupo	alternativoj	prononco
level	-il-	&lt;詞尾&gt;工具、方法	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	喝酒（不含酒精）	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	&lt;詞尾&gt;小，小	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	&lt;詞尾&gt;大	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	&lt;前置詞&gt;之間~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	&lt;詞尾&gt;相關行為	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	&lt;詞尾&gt;集合，組	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	&lt;詞尾&gt;團體成員	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	感謝	to thank	grupo	alternativoj	prononco
level	-ind-	&lt;詞尾&gt;值得的，值得的	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	甚至更多，進一步，等等，更多	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	怎麼樣，例如，以什麼方式，例如	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	這樣，這樣，這樣	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	&lt;前置字&gt;在〜	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	&lt;前置詞&gt;旁邊～，旁邊～	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	&lt;前置詞&gt;下，下~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	&lt;前置詞&gt;上~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	&lt;前置詞&gt;不定的準備，在，在，在，之前	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	<adv>仍然，還	<adverb> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	&lt;前置詞&gt;周圍~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	但	but	grupo	alternativoj	prononco
level	ie	某處	somewhere	grupo	alternativoj	prononco
level	kie	哪裡，在什麼地方	where, at what place	grupo	alternativoj	prononco
level	silente	默默	silently	grupo	alternativoj	prononco
level	ĉie	到處，所有關於	everywhere, all about	grupo	alternativoj	prononco
level	nenie	無處，無論如何，不在任何地方	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	那裡，那邊，那邊	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	這個~	this ~	grupo	alternativoj	prononco
level	kanti	唱歌	to sing	grupo	alternativoj	prononco
level	morti	死去，去世	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	&lt;前置詞&gt;期間~，同時~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	一個國家	a nation	grupo	alternativoj	prononco
level	koni	認識（一個人），熟悉	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	知道（事實、知識），知道如何	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	永遠，永遠	always, ever	grupo	alternativoj	prononco
level	iam	在某個時候，一次	at some time, once	grupo	alternativoj	prononco
level	tiam	然後	then	grupo	alternativoj	prononco
level	-em-	&lt;詞尾&gt;傾向	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	一些	some kind of	grupo	alternativoj	prononco
level	sukcesi	成功	to succeed	grupo	alternativoj	prononco
level	ĉia	各種的，各種的	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	不，不是任何種類，不是任何	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	&lt;詞尾&gt;後代	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	一個房間，一個房間	a room, a chamber	grupo	alternativoj	prononco
level	patro	一位父親	a father	grupo	alternativoj	prononco
level	porko	一頭豬，豬	a pig, swine	grupo	alternativoj	prononco
level	bo-	&lt;字首&gt;姻親、姻親	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	的確	indeed	grupo	alternativoj	prononco
level	-ism-	&lt;詞尾&gt;主義	<suffix> -ism	grupo	alternativoj	prononco
level	io	某物	something	grupo	alternativoj	prononco
level	veturi	駕駛（車輛）	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	一隻公雞，一隻母雞，小雞，家禽	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	自由的	free	grupo	alternativoj	prononco
level	lasta	最後的	last	grupo	alternativoj	prononco
level	ĝoji	高興、高興、享受	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	抓住，抓住	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	一頭牛，一頭牛，牛科動物	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	另一個，其他，其他	another, other, else	grupo	alternativoj	prononco
level	varma	溫熱	hot, warm	grupo	alternativoj	prononco
level	loĝi	居住，居住，居住，居住	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	相信	to believe	grupo	alternativoj	prononco
level	glacio	一個不錯的	an ice	grupo	alternativoj	prononco
level	loko	一個地方，一個地點	a place, a location	grupo	alternativoj	prononco
level	ovo	一個雞蛋	an egg	grupo	alternativoj	prononco
level	multa	很多很多很多	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	財產	a possession	grupo	alternativoj	prononco
level	ŝafo	一隻羊	a sheep	grupo	alternativoj	prononco
level	sono	一個聲音	a sound	grupo	alternativoj	prononco
level	fiŝo	一條魚	a fish	grupo	alternativoj	prononco
level	bela	美麗、英俊、漂亮	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	回答，回應，答复	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	一個場合，一個時間	an occasion, a time	grupo	alternativoj	prononco
level	demandi	詢問	to ask	grupo	alternativoj	prononco
level	forta	強的	strong	grupo	alternativoj	prononco
level	preter ~	超越〜，過去〜，直接過去	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	沉默	a silence	grupo	alternativoj	prononco
level	infano	一個孩子，一個嬰兒	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	幸福、幸運、幸運	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	抓住、捕捉、擒抱	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	渴望，希望	to desire, to wish	grupo	alternativoj	prononco
level	longa	長的	long	grupo	alternativoj	prononco
level	mondo	一個世界	a world	grupo	alternativoj	prononco
level	okazi	發生，發生，發生	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	田野，一片田野	field, a field	grupo	alternativoj	prononco
level	filo	一個兒子	a son	grupo	alternativoj	prononco
level	montri	表明，表明，指出	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	一個心臟	a heart	grupo	alternativoj	prononco
level	knabo	一個男孩	a boy	grupo	alternativoj	prononco
level	meti	放置、放置、放下	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	一位丈夫	a husband	grupo	alternativoj	prononco
level	pako	包裹	package	grupo	alternativoj	prononco
level	rapida	快，快，快	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	看來，看來是	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	問候、致敬、敬意	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	來寫	to write	grupo	alternativoj	prononco
level	peti	要求、要求、請求、懇求	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	飛翔	to fly	grupo	alternativoj	prononco
level	kapo	一個頭，一個斗篷	a head, a cape	grupo	alternativoj	prononco
level	krii	喊叫、哭泣、尖叫、喊叫	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	紅色的	red	grupo	alternativoj	prononco
level	sinjoro	一位先生，一位紳士	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	抓住，抓住	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	一次，一次	time, a time	grupo	alternativoj	prononco
level	tuta	總計、全部、全部、完整、總體	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	一個男人	a man	grupo	alternativoj	prononco
level	vojo	一條路，一條路，一條路線	a way, a path, a route	grupo	alternativoj	prononco
level	movi	移動	to move	grupo	alternativoj	prononco
level	militi	打破戰爭、戰鬥、發動戰爭	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	幾個，幾個	a few, several	grupo	alternativoj	prononco
level	dekstra	右，右（側面，方向），右手	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	關閉，關閉	to close, to shut	grupo	alternativoj	prononco
level	okupi	佔據，佔據	to occupy, to take	grupo	alternativoj	prononco
level	levi	舉起, 舉起, 舉起	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	毆打、毆打、擊打、毆打、鞭打	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	需要、想要、要求	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	去理解、去領悟	to understand, to realise	grupo	alternativoj	prononco
level	iri	去	to go	grupo	alternativoj	prononco
level	veni	來	to come	grupo	alternativoj	prononco
level	porti	攜帶、配戴	to carry, to wear	grupo	alternativoj	prononco
level	kovri	覆蓋	to cover	grupo	alternativoj	prononco
level	hela	明亮、清晰、輕盈	bright, clear and light	grupo	alternativoj	prononco
level	sana	健康	healthy	grupo	alternativoj	prononco
level	aperi	出現，出現	to appear, to emerge	grupo	alternativoj	prononco
level	libro	一本書	a book	grupo	alternativoj	prononco
level	atendi	等待、期待、等待	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	一隻手	a hand	grupo	alternativoj	prononco
level	pentri	作畫	to paint	grupo	alternativoj	prononco
level	instrui	教導，指導	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	坐	to sit	grupo	alternativoj	prononco
level	stari	站立	to stand	grupo	alternativoj	prononco
level	afero	一件事情、一件物品、一個案例、一個問題、一件事情	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	完整的，完整的	full, complete	grupo	alternativoj	prononco
level	klara	清除	clear	grupo	alternativoj	prononco
level	komenci	開始，開始	to begin, to commence	grupo	alternativoj	prononco
level	dormi	睡覺，睡覺	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	一部分，一份	a part, a share	grupo	alternativoj	prononco
level	mono	錢	money	grupo	alternativoj	prononco
level	ricevi	受到	to receive	grupo	alternativoj	prononco
level	ami	去愛	to love	grupo	alternativoj	prononco
level	devi	必須、必須、應該、應該	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	能夠，能夠	be able to, can	grupo	alternativoj	prononco
level	labori	去工作，去勞動	to work, to labor	grupo	alternativoj	prononco
level	dio	一個神	a god	grupo	alternativoj	prononco
level	urbo	一座城市，一座城鎮	a city, a town	grupo	alternativoj	prononco
level	ofta	經常，經常	freqent, often	grupo	alternativoj	prononco
level	soni	發出聲音，發出聲音	to sound, to make sound	grupo	alternativoj	prononco
level	tero	地球、土地、土壤	earth, land, soil	grupo	alternativoj	prononco
level	vivi	活著，活著	to live, to be alive	grupo	alternativoj	prononco
level	resti	留下來，留下來	to stay, to remain	grupo	alternativoj	prononco
level	ridi	笑	to laugh	grupo	alternativoj	prononco
level	homo	一個人，一個男人	a human, a man	grupo	alternativoj	prononco
level	akvo	水	water	grupo	alternativoj	prononco
level	vorto	一個字	a word	grupo	alternativoj	prononco
level	certa	確定的，肯定的	certain, sure	grupo	alternativoj	prononco
level	lando	一塊土地，一個國家	a land, a country	grupo	alternativoj	prononco
level	sama	相同的	same	grupo	alternativoj	prononco
level	ĵeti	丟	to throw	grupo	alternativoj	prononco
level	stelo	一個明星	a star	grupo	alternativoj	prononco
level	domo	一個房子，一個家	a house, a home	grupo	alternativoj	prononco
level	nomo	一個名字，一個稱謂	a name, an appellation	grupo	alternativoj	prononco
level	vidi	查看	to see	grupo	alternativoj	prononco
level	mola	柔軟的	soft	grupo	alternativoj	prononco
level	horo	一小時，一點，時間	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	一種形式，一種形狀	a form, a shape	grupo	alternativoj	prononco
level	tago	一天	a day	grupo	alternativoj	prononco
level	fumo	一支煙	a smoke	grupo	alternativoj	prononco
level	ĉevalo	一匹馬	a horse	grupo	alternativoj	prononco
level	jaro	一年	a year	grupo	alternativoj	prononco
level	vojaĝi	去旅行	to travel	grupo	alternativoj	prononco
level	celo	一個目標，一個目標，一個目的，一個目標	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	產生、承擔、產生	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	錯過、缺少、缺失	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	一隻鳥	a bird	grupo	alternativoj	prononco
level	halti	停下來，停下來，停下來	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	一個兄弟	a brother	grupo	alternativoj	prononco
level	monto	一座山	a mountain	grupo	alternativoj	prononco
level	pensi	思考	to think	grupo	alternativoj	prononco
level	permesi	允許，允許	to permit, to allow	grupo	alternativoj	prononco
level	kosti	花費	to cost	grupo	alternativoj	prononco
level	lito	一張床，一張沙發	a bed, a couch	grupo	alternativoj	prononco
level	perdi	失去	to lose	grupo	alternativoj	prononco
level	miri	使驚訝，使驚訝，使驚訝	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	一個人	a person	grupo	alternativoj	prononco
level	diversa	多種多樣的，各種各樣的，各種各樣的	diverse, varied, various	grupo	alternativoj	prononco
level	provi	嘗試，嘗試	to try, to attempt	grupo	alternativoj	prononco
level	pagi	支付	to pay	grupo	alternativoj	prononco
level	prezenti	呈現，介紹	to present, to introduce	grupo	alternativoj	prononco
level	aparta	分開的，特別的，分開的	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	對，一個權利	right, a right	grupo	alternativoj	prononco
level	mateno	早上，一個早晨	morning, a morning	grupo	alternativoj	prononco
level	agrabla	愉快的, 令人愉快的, 好的	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	晚上，一個晚上	evening, an evening	grupo	alternativoj	prononco
level	muro	一堵牆	a wall	grupo	alternativoj	prononco
level	suno	太陽，一個太陽	sun, a sun	grupo	alternativoj	prononco
level	rigardi	看看，看看	to look, to look at	grupo	alternativoj	prononco
level	senti	去感覺，去感知	to feel, to sense	grupo	alternativoj	prononco
level	blanka	白色、空白	white, blank	grupo	alternativoj	prononco
level	simpla	簡單的	simple	grupo	alternativoj	prononco
level	rimarki	通知	to notice	grupo	alternativoj	prononco
level	lingvo	一種語言，舌頭	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	改變、轉向	to change, to turn	grupo	alternativoj	prononco
level	renkonti	遇見，遇見，遇見	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	使用	to use	grupo	alternativoj	prononco
level	timi	害怕，害怕	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	真實的，真實的	real, true	grupo	alternativoj	prononco
level	sola	單獨、唯一、唯一、單獨	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	和平，和平	peace, a peace	grupo	alternativoj	prononco
level	rakonti	敘述、講述、聯繫	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	顏色，一種顏色	color, a color	grupo	alternativoj	prononco
level	pura	乾淨、純粹	clean, pure	grupo	alternativoj	prononco
