#language_name	ko-kr	en-us	ja-jp	vi-vn	zh-cn	zh-tw
name	Esperanto A (Memlingo 에스페란토)	Esperanto A (Memlingo)	Esperanto A (エスペラント)	Esperanto A (Tiếng Tây Ban Nha)	Esperanto A (Memlingo 世界语)	Esperanto A (Memlingo 世界語)
	, 					
						
	스페인어 (스페인) 3, 포르투갈어 (브라질) 688,  이탈리아어 5, 포르투갈어 (포르투갈) 9					
	네덜란드어 53, 덴마크어 17, 그리스어 20, 노르웨이어 27, 스웨덴어 11, 알바니아어 67, 아르메니아어 79, 영어 (미국) 963, 					
	에스토니아어 18, 헝가리어 23, 아이슬란드어 24, 리투아니아어 35, 루마니아어 383, 스코틀랜드어 39, 중국어 (간체) 547, 중국어 (번체) 550, 광동어 548					
	일본어 665, 103 벵갈어, 22 Hindi, 텔루구어 438, 타밀어 436, 인도네시아어 25, 한국어 8, 태국어 441, 베트남어 474, 몽골어 322, 크메르어 122, 말레이 297, 네팔어 336, 					
	아랍어 679, 히브리어 21, 터키어 31, 페르시아어 706,  러시아어 10, 크로아티아어 16, 체코어 13, 폴란드어 14, 세르비아어 51					
	불가리아어 12, 슬로바키아어 29, 슬로베니아어 30, 우크라이나어 43, 					
	스와힐리 41, 라틴어 273, 에스페란토 34, 타갈로그 430					
						
						
ISO 639-2 Code	ISO 639-1 Code					
aar	aa					
abk	ab					
ace						
ach						
ada						
ady						
afa						
afh						
afr	af					
ain						
aka	ak					
akk						
alb (B) sqi (T)	sq					
ale						
alg						
alt						
amh	am					
ang						
anp						
apa						
ara	ar					
arc						
arg	an					
arm (B) hye (T)	hy					
arn						
arp						
art						
arw						
asm	as					
ast						
ath						
aus						
ava	av					
ave	ae					
awa						
aym	ay					
aze	az					
bad						
bai						
bak	ba					
bal						
bam	bm					
ban						
baq (B) eus (T)	eu					
bas						
bat						
bej						
bel	be					
bem						
ben	bn					
ber						
bho						
bih	bh					
bik						
bin						
bis	bi					
bla						
bnt						
tib (B) bod (T)	bo					
bos	bs					
bra						
bre	br					
btk						
bua						
bug						
bul	bg					
bur (B) mya (T)	my					
byn						
cad						
cai						
car						
cat	ca					
cau						
ceb						
cel						
cze (B) ces (T)	cs					
cha	ch					
chb						
che	ce					
chg						
chi (B) zho (T)	zh					
chk						
chm						
chn						
cho						
chp						
chr						
chu	cu					
chv	cv					
chy						
cmc						
cnr						
cop						
cor	kw					
cos	co					
cpe						
cpf						
cpp						
cre	cr					
crh						
crp						
csb						
cus						
wel (B) cym (T)	cy					
cze (B) ces (T)	cs					
dak						
dan	da					
dar						
day						
del						
den						
ger (B) deu (T)	de					
dgr						
din						
div	dv					
doi						
dra						
dsb						
dua						
dum						
dut (B) nld (T)	nl					
dyu						
dzo	dz					
efi						
egy						
eka						
gre (B) ell (T)	el					
elx						
eng	en					
enm						
epo	eo					
est	et					
baq (B) eus (T)	eu					
ewe	ee					
ewo						
fan						
fao	fo					
per (B) fas (T)	fa					
fat						
fij	fj					
fil						
fin	fi					
fiu						
fon						
fre (B) fra (T)	fr					
fre (B) fra (T)	fr					
frm						
fro						
frr						
frs						
fry	fy					
ful	ff					
fur						
gaa						
gay						
gba						
gem						
geo (B) kat (T)	ka					
ger (B) deu (T)	de					
gez						
gil						
gla	gd					
gle	ga					
glg	gl					
glv	gv					
gmh						
goh						
gon						
gor						
got						
grb						
grc						
gre (B) ell (T)	el					
grn	gn					
gsw						
guj	gu					
gwi						
hai						
hat	ht					
hau	ha					
haw						
heb	he					
her	hz					
hil						
him						
hin	hi					
hit						
hmn						
hmo	ho					
hrv	hr					
hsb						
hun	hu					
hup						
arm (B) hye (T)	hy					
iba						
ibo	ig					
ice (B) isl (T)	is					
ido	io					
iii	ii					
ijo						
iku	iu					
ile	ie					
ilo						
ina	ia					
inc						
ind	id					
ine						
inh						
ipk	ik					
ira						
iro						
ice (B) isl (T)	is					
ita	it					
jav	jv					
jbo						
jpn	ja					
jpr						
jrb						
kaa						
kab						
kac						
kal	kl					
kam						
kan	kn					
kar						
kas	ks					
geo (B) kat (T)	ka					
kau	kr					
kaw						
kaz	kk					
kbd						
kha						
khi						
khm	km					
kho						
kik	ki					
kin	rw					
kir	ky					
kmb						
kok						
kom	kv					
kon	kg					
kor	ko					
kos						
kpe						
krc						
krl						
kro						
kru						
kua	kj					
kum						
kur	ku					
kut						
lad						
lah						
lam						
lao	lo					
lat	la					
lav	lv					
lez						
lim	li					
lin	ln					
lit	lt					
lol						
loz						
ltz	lb					
lua						
lub	lu					
lug	lg					
lui						
lun						
luo						
lus						
mac (B) mkd (T)	mk					
mad						
mag						
mah	mh					
mai						
mak						
mal	ml					
man						
mao (B) mri (T)	mi					
map						
mar	mr					
mas						
may (B) msa (T)	ms					
mdf						
mdr						
men						
mga						
mic						
min						
mis						
mac (B) mkd (T)	mk					
mkh						
mlg	mg					
mlt	mt					
mnc						
mni						
mno						
moh						
mon	mn					
mos						
mao (B) mri (T)	mi					
may (B) msa (T)	ms					
mul						
mun						
mus						
mwl						
mwr						
bur (B) mya (T)	my					
myn						
myv						
nah						
nai						
nap						
nau	na					
nav	nv					
nbl	nr					
nde	nd					
ndo	ng					
nds						
nep	ne					
new						
nia						
nic						
niu						
dut (B) nld (T)	nl					
nno	nn					
nob	nb					
nog						
non						
nor	no					
nqo						
nso						
nub						
nwc						
nya	ny					
nym						
nyn						
nyo						
nzi						
oci	oc					
oji	oj					
ori	or					
orm	om					
osa						
oss	os					
ota						
oto						
paa						
pag						
pal						
pam						
pan	pa					
pap						
pau						
peo						
per (B) fas (T)	fa					
phi						
phn						
pli	pi					
pol	pl					
pon						
por	pt					
pra						
pro						
pus	ps					
qaa-qtz						
que	qu					
raj						
rap						
rar						
roa						
roh	rm					
rom						
rum (B) ron (T)	ro					
rum (B) ron (T)	ro					
run	rn					
rup						
rus	ru					
sad						
sag	sg					
sah						
sai						
sal						
sam						
san	sa					
sas						
sat						
scn						
sco						
sel						
sem						
sga						
sgn						
shn						
sid						
sin	si					
sio						
sit						
sla						
slo (B) slk (T)	sk					
slo (B) slk (T)	sk					
slv	sl					
sma						
sme	se					
smi						
smj						
smn						
smo	sm					
sms						
sna	sn					
snd	sd					
snk						
sog						
som	so					
son						
sot	st					
spa	es					
alb (B) sqi (T)	sq					
srd	sc					
srn						
srp	sr					
srr						
ssa						
ssw	ss					
suk						
sun	su					
sus						
sux						
swa	sw					
swe	sv					
syc						
syr						
tah	ty					
tai						
tam	ta					
tat	tt					
tel	te					
tem						
ter						
tet						
tgk	tg					
tgl	tl					
tha	th					
tib (B) bod (T)	bo					
tig						
tir	ti					
tiv						
tkl						
tlh						
tli						
tmh						
tog						
ton	to					
tpi						
tsi						
tsn	tn					
tso	ts					
tuk	tk					
tum						
tup						
tur	tr					
tut						
tvl						
twi	tw					
tyv						
udm						
uga						
uig	ug					
ukr	uk					
umb						
und						
urd	ur					
uzb	uz					
vai						
ven	ve					
vie	vi					
vol	vo					
vot						
wak						
wal						
war						
was						
wel (B) cym (T)	cy					
wen						
wln	wa					
wol	wo					
xal						
xho	xh					
yao						
yap						
yid	yi					
yor	yo					
ypk						
zap						
zbl						
zen						
zgh						
zha	za					
chi (B) zho (T)	zh					
znd						
zul	zu					
zun						
zxx						
zza						
