A.es content.tsv
Level	Esperanto	es	en-us	Grupo	Alternativoj	Pronoco
level	revido, revidon	ver-otra vez, ver-otra vez (objetivo)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	¡hasta luego!	see you again!	grupo	alternativoj	prononco
level	dankon	gracias	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	gracias y nos vemos de nuevo!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	a ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	a ti, a mi	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(presente) gracias, (pasado) agradecido	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	te lo agradezco	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	sí No	yes, no	grupo	alternativoj	prononco
level	jes, dankon	si, gracias	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	come, comerá	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	yo no como	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	no, no como	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	hermoso, bellamente	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	vale la pena (final)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	apreciable, vale la pena agradecer	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	entero, como un todo	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	todos, (objetivo) todos	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	para nada, de nada	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	totalmente no	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	perdonar, perdonar	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	un perdon para mi	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	¡Lo lamento! (Perdóname)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Discúlpame por favor	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	un buen dia	a good morning	grupo	alternativoj	prononco
level	bonan matenon	buen día	good morning	grupo	alternativoj	prononco
level	bonan nokton	buenas noches	good night	grupo	alternativoj	prononco
level	bonan sonĝon	Dulces sueños	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(que tengas) un buen viaje para ti	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	¡buen día!	good day!	grupo	alternativoj	prononco
level	ĉu ~	¿Es ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	¿Estás haciendo bien? (¿Cómo estás?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Si, estoy bién	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	No, en absoluto	no, not at all	grupo	alternativoj	prononco
level	tre, tro	mucho, demasiado	very, too much	grupo	alternativoj	prononco
level	granda, grande	grande, en gran medida	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	Muy bien, demasiado grande	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	Lo estás haciendo muy bien	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	no muy bien	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	aprender, un aprendizaje	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	está mirando, un espectador	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	está aprendiendo, un estudiante (una persona que aprende)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	es -ing, una persona que está haciendo	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	un estudiante, una persona que ha aprendido	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Soy un estudiante.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ es mi amigo	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	el ella	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sentarse, sentarse	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	está sentado, estaba sentado, estará sentado	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	él está sentado y ella está aprendiendo	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	un cuarto	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	aprende en una habitación	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	un estudiante y un deportista	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	deporte y deportista	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	un deportista hace deporte	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	él es estudiante	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	es estudiante y deportista	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	el ahora esta sentado	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	y ahora está aprendiendo	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	está sentado y está aprendiendo	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	ahora en una habitación	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	esta en una mesa	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	un papel y papeles	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	una mesa y mesas	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	un libro y libros	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	los papeles y libros	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	está sobre una mesa.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	está escribiendo en un escritorio	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	los libros son ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	en la mesa	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	un libro de texto y los libros de texto	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	sobre la mesa hay ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	un padre y una madre	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	el padre y la madre	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	la madre de mi amigo	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	en la habitación	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	no está en la habitación	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	ahora estan trabajando	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	su padre es un trabajador	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	el trabaja en un hotel	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	la madre enseña	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ella es una maestra	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	¿es ella madre?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	no, ella es hotelera	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	no, no trabajo	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	¿Cuál es su nombre?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	¿Quién responde ahora?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	el idioma de su madre	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	¿Tu nombre es ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	estamos sentados y respondiendo	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	su silla de trabajo	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	su nombre no es ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	su idioma es su idioma	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	nuestro padre y nuestra madre	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	tu estudiante, tus estudiantes	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	¿Son tus alumnos?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	¿Es usted un estudiante?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	¿estás en la habitación?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Yo no soy ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	un esperantista y una esperantista	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	registrado en la habitación del hotel	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	una lingüista y una trabajadora	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	su novia es ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	estudiantes y deportistas	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	el nombre de mi familia es ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	¿Quién es ella? cual es ella?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	es tu novia	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	¿Es tu amigo ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	está escribiendo ahora en la habitación	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	¿Es amigo de tu padre ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	trabaja en un hotel	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	¿Qué hay sobre la mesa?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	en la mesa de nuestra habitación	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	Qué es el libro de texto de esperanto ~?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	está en tu mesa	is on your table	grupo	alternativoj	prononco
level	havas amikinon	tiene un amigo	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	su nombre es ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	joven y hermoso	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	es joven y hermosa	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	amigos jóvenes y hermosos	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	son amigos masculinos y femeninos	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	una casa de su maestra	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	vino a la casa	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	la casa de ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	Por favor entra	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	¿Hola Qué estás haciendo?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	¿a qué te dedicas? ¿qué estás haciendo?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	pero ahora quiero ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	quiero hablar	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	con tres amigos y amigas	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	hablé contigo	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	quiere hablar contigo	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	¿Tienes amigos hombres y mujeres?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	el tiene un libro	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	tiene un buen libro	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	sí tengo	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	les gusta	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ella lee un libro	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	le gusta leer libros	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	solo un buen libro	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	muchos buenos libros	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	leer solo buenos libros	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	le gusta leer buenos libros	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	¿quieres leer?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	el joven bebió café	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	quiere beber agua	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	un padre y una madre; padres	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	una molestia y una hermana, hermanos	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	tus padres y hermanos	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	esta en tu casa	is in your home	grupo	alternativoj	prononco
level	jen la kafo	aqui esta el cafe	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	no bebí todavía	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	todavía está caliente	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	lo cociné ayer	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	ahora cocino	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	gracias. Asi que el dijo.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	puede beber y comer	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	bebí café frío	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	café todavía caliente	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	bebe café frío también	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	También puedo tomar café frío.	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	mira su ojo	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	el ojo mas hermoso	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	los hermosos ojos	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	miraron los hermosos ojos	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	los hermosos ojos de ella	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	ve y entiende	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Ya veo eso ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	que el la ama	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	ella siente que el la ama	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	pregunta si eso era grande	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	sobre una pregunta fácil	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	dijo sobre un dinero nuevo	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	ojos muy hermosos	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	miro el hermano mayor	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	una hermanita lo olvidó	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	un acusativo (objetivo)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	no olvides el final acusativo	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	¿a quién estás viendo? cual ves?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	veo a un amigo	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	tiene buenos amigos masculinos y femeninos	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	están trabajando en la vieja casa	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	funciona, trabajó, funcionará	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	ve, que como	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	dijo que él irá	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	feo y malo	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	¿Qué dijo ella?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	¿Que estas esperando?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	entró en la habitación	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	un contenido es muy dificil	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	llegó a la reunión	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	bienvenido a la reunión	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	un anciano dio una propina	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	llegó y fue bienvenido	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	odian pero cooperan	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	fue al hotel	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	tiene libros de texto fáciles	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	¿Cómo estuvo tu madre?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	tu antigua casa	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	¿Qué libros leíste?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	¿estaban bien?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	¿Qué hiciste ayer?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	en la pequeña habitación	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	habló mucho tiempo	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	frente a la escuela, antes de la escuela	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	habló ante la escuela	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	Más tarde habló sobre el libro.	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	felizmente fui a la escuela	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	por la calle	through the street	grupo	alternativoj	prononco
level	iris tra la strato	pasó por la calle	went through the street	grupo	alternativoj	prononco
level	estis varma tago	era un día cálido	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	vieron un cafe'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	vi galletas rojas	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	vi galletas en él	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	vi un cafe' y en el galletas	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	¡entra y come!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	entremos y comamos	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	tiene suficiente dinero	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	¿tienes suficiente dinero?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	¿lo entiendes?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	¡por supuesto!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	eso no es suficiente	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	cien dolares es suficiente	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	un dólar, dólares, dólares (objetivo plural)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	tiene cien dolares	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	claro que tengo	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	¡Vaya! ¡tu eres rico!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	un agua, una camarera	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	un camarero trae un menú	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	nos trajo eso, nos trajo eso	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	un camarero trajo muchas galletas	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	comieron un poco (un poco)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	después de comer (comida)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nuevo, otra vez	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	el camarero vino otra vez	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	en algun lugar	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	había buscado en algún lugar	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	buscado en otro lugar	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	su cara estaba alegre	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	Ella estaba triste	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	al final y finalmente al fin	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	tu voz fuerte	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	en voz débil	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	no tiene dinero	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	¿Qué pasó allí?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	un accidente ocurrió después	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	¿sabes cuándo pasó?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	sabe del asunto	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	todavía queda una cosa	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	usted o ella, cualquier persona	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	como un cantante, como un firmante	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	cantaba como un cantante profesional	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	el lugar donde ella vivía	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	¿Cómo sabes sobre el auto?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	Bueno, mira el auto rápido.	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	un jugo sin azúcar	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	él tiene un vehículo rápido	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	demasiado fuerte	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	abrió demasiado fuerte	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	condujo (viajó) demasiado rápido	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	comió con una cuchara	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	dudamos mucho	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	una verdadera carta suya	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	una carta de amor con cinco fotos	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	regresaron, las personas que regresaron	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	También se devolvieron seis cartas.	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	queria ver la foto	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	Regresó de la escuela	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	¿Cuándo volverá la hermana?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	quería leer de nuevo	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	hecho (hizo), se convirtió	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	rápidamente se puso rojo	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	en una habitación, en una habitación	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	se paró y se sentó	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	allí se paró frente a la foto	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	yo tengo eso	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	¿Qué tienes en la mano?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	¿delante o detrás?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	¿antes o después?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	ahí detrás de la puerta	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	otros, otras personas	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	cartas de otros	letters from others	grupo	alternativoj	prononco
level	falis el la mano	se cayó de la mano	fell out of the hand	grupo	alternativoj	prononco
