C.ta content.tsv
Level	Esperanto	ta	en-us	Grupo	Alternativoj	Pronoco
level	kun ~	(முன்மொழிவு) உடன் ~ (ஒன்றாக)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(முன்மொழிவு) ~ தவிர, ~ தவிர	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	ஒரு நண்பர்	a friend	grupo	alternativoj	prononco
level	kies	யாருடையது, எது, எது	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(முன்மொழிவு) மூலம் ~ (ஒரு முறை), உடன் ~ (ஒரு கருவி)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	எதிராக ~	against ~	grupo	alternativoj	prononco
level	el ~	வெளியே ~, இருந்து ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	இன்று	today	grupo	alternativoj	prononco
level	hieraŭ	நேற்று	yesterday	grupo	alternativoj	prononco
level	nur	மட்டுமே, வெறும், பிரத்தியேகமாக	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	உதவ, உதவ, உதவ	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(வினையுரிச்சொல்) தொலைவில், தொலைவில்	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	அல்லது, இல்லை	nor, neither	grupo	alternativoj	prononco
level	malamo	ஒரு வெறுப்பு	a hate	grupo	alternativoj	prononco
level	preskaŭ	கிட்டத்தட்ட, கிட்டத்தட்ட	almost, nearly	grupo	alternativoj	prononco
level	tra ~	~ மூலம்	through ~	grupo	alternativoj	prononco
level	super	மேல், மேலே	over, above	grupo	alternativoj	prononco
level	trans ~	மேல் ~, முழுவதும் ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	சரி, பிறகு, இப்போது	well, well then, now	grupo	alternativoj	prononco
level	pri ~	பற்றி ~	about ~	grupo	alternativoj	prononco
level	por ~	~, பொருட்டு ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	நாளை	tomorrow	grupo	alternativoj	prononco
level	nun	இப்போது, தற்போது	now, at present	grupo	alternativoj	prononco
level	laŭ ~	படி ~, சேர்த்து ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	ஒவ்வொன்றும், ஒவ்வொருவரும், அனைவரும், அனைத்தும்	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	யார், எது, எது	who, which, which one	grupo	alternativoj	prononco
level	tiu	அந்த நபர், அந்த ~, அந்த ஒருவர், அதற்கு அப்பால்	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	யாரோ, யாரோ, சிலர்	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	யாரும் இல்லை, யாரும் இல்லை	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	~	to ~	grupo	alternativoj	prononco
level	-ebl-	(பின்னொட்டு) ~ முடியும்	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	நம்பிக்கை வேண்டும்	to hope	grupo	alternativoj	prononco
level	unu	ஒன்று	one	grupo	alternativoj	prononco
level	du	இரண்டு	two	grupo	alternativoj	prononco
level	tri	மூன்று	three	grupo	alternativoj	prononco
level	kvar	நான்கு	four	grupo	alternativoj	prononco
level	kvin	ஐந்து	five	grupo	alternativoj	prononco
level	ses	ஆறு	six	grupo	alternativoj	prononco
level	sep	ஏழு	seven	grupo	alternativoj	prononco
level	ok	எட்டு	eight	grupo	alternativoj	prononco
level	naŭ	ஒன்பது	nine	grupo	alternativoj	prononco
level	dek	பத்து	ten	grupo	alternativoj	prononco
level	cent	நூறு	a hundred	grupo	alternativoj	prononco
level	mil	ஆயிரம்	a thousand	grupo	alternativoj	prononco
level	-obl-	(பின்னொட்டு) பன்மடங்கு, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(பின்னொட்டு) ~வது, பின்னம்	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	காதல்	of love	grupo	alternativoj	prononco
level	anstataŭ ~	பதிலாக ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(பின்னொட்டு) ஆக	(suffix)  become	grupo	alternativoj	prononco
level	voli	விரும்புவது, விரும்புவது, விரும்புவது	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(பின்னொட்டு) ஆக காரணம்	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	பின்பற்ற வேண்டும்	to follow	grupo	alternativoj	prononco
level	ĝoje	மகிழ்ச்சியுடன்	gladly	grupo	alternativoj	prononco
level	legi	வாசிப்பதற்கு	to read	grupo	alternativoj	prononco
level	silenta	அமைதியாக	silent	grupo	alternativoj	prononco
level	la	தி	the	grupo	alternativoj	prononco
level	ha!	ஹா!	ha!	grupo	alternativoj	prononco
level	-il-	(பின்னொட்டு) கருவி, முறை	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	குடிக்க (ஆல்கஹால் அல்லாத)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(பின்னொட்டு) சிறிய, சிறிய	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(பின்னொட்டு) பெரிய, பெரிய	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) இடையே ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(பின்னொட்டு) தொடர்புடைய நடத்தை	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(பின்னொட்டு) தொகுப்பு, குழு	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(பின்னொட்டு) ஒரு குழுவின் உறுப்பினர்	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	நன்றி சொல்ல	to thank	grupo	alternativoj	prononco
level	-ind-	(பின்னொட்டு) மதிப்புக்குரியது, தகுதியானது	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	இன்னும், மேலும், மேலும், மேலும்	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	எப்படி, எப்படி, எந்த வகையில், போன்றவை	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	அத்தகைய, அந்த வழியில், இவ்வாறு	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) இல் ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(முன்மொழிவு) ~ க்கு அடுத்ததாக, அருகில் ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) கீழ், கீழே ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(முன்மொழிவு) அன்று ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) indefinate prep., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(வினையுரிச்சொல்) இன்னும், இன்னும்	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) சுற்றி ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	ஆனாலும்	but	grupo	alternativoj	prononco
level	ie	எங்கோ	somewhere	grupo	alternativoj	prononco
level	kie	எங்கே, எந்த இடத்தில்	where, at what place	grupo	alternativoj	prononco
level	silente	அமைதியாக	silently	grupo	alternativoj	prononco
level	ĉie	எல்லா இடங்களிலும், பற்றி	everywhere, all about	grupo	alternativoj	prononco
level	nenie	எங்கும், எந்த சந்தர்ப்பத்திலும், எங்கும் இல்லை	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	அங்கே, அங்கே, அங்கே	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	இது ~	this ~	grupo	alternativoj	prononco
level	kanti	பாட	to sing	grupo	alternativoj	prononco
level	morti	இறக்க, கடந்து செல்ல	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) போது ~, while ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	ஒரு தேசம்	a nation	grupo	alternativoj	prononco
level	koni	தெரிந்து கொள்ள (ஒரு நபர்), பழக வேண்டும்	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	அறிய (ஒரு உண்மை, அறிவு), எப்படி என்பதை அறிய	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	எப்போதும், எப்போதும்	always, ever	grupo	alternativoj	prononco
level	iam	சில நேரத்தில், ஒரு முறை	at some time, once	grupo	alternativoj	prononco
level	tiam	பிறகு	then	grupo	alternativoj	prononco
level	-em-	(பின்னொட்டு) போக்கு	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	சில வகையான	some kind of	grupo	alternativoj	prononco
level	sukcesi	வெற்றிக்காக	to succeed	grupo	alternativoj	prononco
level	ĉia	அனைத்து வகையான, ஒவ்வொரு வகையான	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	இல்லை, எந்த வகையிலும் இல்லை	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(பின்னொட்டு) சந்ததி	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	ஒரு அறை, ஒரு அறை	a room, a chamber	grupo	alternativoj	prononco
level	patro	ஒரு தந்தை	a father	grupo	alternativoj	prononco
level	porko	ஒரு பன்றி, பன்றி	a pig, swine	grupo	alternativoj	prononco
level	bo-	(முன்னொட்டு) -in-law, திருமணத்தால்	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	உண்மையில்	indeed	grupo	alternativoj	prononco
level	-ism-	(பின்னொட்டு) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	ஏதோ ஒன்று	something	grupo	alternativoj	prononco
level	veturi	ஓட்டுவதற்கு (ஒரு வாகனம்)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ஒரு சேவல், ஒரு கோழி, கோழி, கோழி	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	இலவசம்	free	grupo	alternativoj	prononco
level	lasta	கடந்த	last	grupo	alternativoj	prononco
level	ĝoji	மகிழ்ச்சி, மகிழ்ச்சி, அனுபவிக்க	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	எடுக்க, பிடி	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	ஒரு மாடு, ஒரு மாடு, மாடு விலங்கு	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	மற்றொன்று, மற்றொன்று, வேறு	another, other, else	grupo	alternativoj	prononco
level	varma	சூடான, சூடான	hot, warm	grupo	alternativoj	prononco
level	loĝi	வசிக்க, வாழ, வாழ, வாழ	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	நம்ப	to believe	grupo	alternativoj	prononco
level	glacio	ஒரு நல்ல	an ice	grupo	alternativoj	prononco
level	loko	ஒரு இடம், ஒரு இடம்	a place, a location	grupo	alternativoj	prononco
level	ovo	ஒரு முட்டை	an egg	grupo	alternativoj	prononco
level	multa	நிறைய, நிறைய, பல	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	ஒரு உடைமை	a possession	grupo	alternativoj	prononco
level	ŝafo	ஒரு ஆடு	a sheep	grupo	alternativoj	prononco
level	sono	ஒரு சத்தம்	a sound	grupo	alternativoj	prononco
level	fiŝo	ஒரு மீன்	a fish	grupo	alternativoj	prononco
level	bela	அழகான, அழகான, அழகான	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	பதிலளிக்க, பதிலளிக்க, பதிலளிக்க	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	ஒரு சந்தர்ப்பம், ஒரு நேரம்	an occasion, a time	grupo	alternativoj	prononco
level	demandi	கேட்க	to ask	grupo	alternativoj	prononco
level	forta	வலுவான	strong	grupo	alternativoj	prononco
level	preter ~	அப்பால் ~, கடந்த ~, நேராக கடந்த	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	ஒரு மௌனம்	a silence	grupo	alternativoj	prononco
level	infano	ஒரு குழந்தை, ஒரு குழந்தை	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	மகிழ்ச்சி, அதிர்ஷ்டம், அதிர்ஷ்டம்	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	பிடிக்க, பிடிக்க, பிடிக்க	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	ஆசை, ஆசை	to desire, to wish	grupo	alternativoj	prononco
level	longa	நீளமானது	long	grupo	alternativoj	prononco
level	mondo	ஒரு உலகம்	a world	grupo	alternativoj	prononco
level	okazi	ஏற்பட, நடக்க, வர	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	வயல், ஒரு வயல்	field, a field	grupo	alternativoj	prononco
level	filo	ஒரு மகன்	a son	grupo	alternativoj	prononco
level	montri	காட்ட, சுட்டிக்காட்ட, சுட்டிக்காட்ட	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	ஒரு இதயம்	a heart	grupo	alternativoj	prononco
level	knabo	ஒரு பையன்	a boy	grupo	alternativoj	prononco
level	meti	போட, வைக்க, கீழே போட	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	கணவன்	a husband	grupo	alternativoj	prononco
level	pako	தொகுப்பு	package	grupo	alternativoj	prononco
level	rapida	வேகமாக, வேகமாக, வேகமாக	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	தோன்றுவது, தோன்றுவது	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	ஒரு வாழ்த்து, வணக்கம், வணக்கம்	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	எழுத வேண்டும்	to write	grupo	alternativoj	prononco
level	peti	கேட்க, கேட்க, கேட்க, கெஞ்ச	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	பறக்க	to fly	grupo	alternativoj	prononco
level	kapo	ஒரு தலை, ஒரு கேப்	a head, a cape	grupo	alternativoj	prononco
level	krii	கத்த, அழ, கத்த, கத்த	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	சிவப்பு	red	grupo	alternativoj	prononco
level	sinjoro	ஒரு மிஸ்டர், ஒரு ஜென்டில்மேன்	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	பிடி, தொங்க	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	நேரம், ஒரு நேரம்	time, a time	grupo	alternativoj	prononco
level	tuta	மொத்த, அனைத்து, முழு, முழுமையான, ஒட்டுமொத்த	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	ஒரு மனிதன்	a man	grupo	alternativoj	prononco
level	vojo	ஒரு வழி, ஒரு பாதை, ஒரு பாதை	a way, a path, a route	grupo	alternativoj	prononco
level	movi	நகர்த்த	to move	grupo	alternativoj	prononco
level	militi	போரை உடைக்க, சண்டையிட, போரை நடத்த	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	சில, பல	a few, several	grupo	alternativoj	prononco
level	dekstra	வலது, வலது (பக்க, திசை), வலது கை	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	மூட, மூட	to close, to shut	grupo	alternativoj	prononco
level	okupi	ஆக்கிரமிக்க, எடுக்க	to occupy, to take	grupo	alternativoj	prononco
level	levi	நெம்புகோல், உயர்த்த, உயர்த்த	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	அடிக்க, அடிக்க, அடிக்க, அடிக்க, வசைபாட	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	தேவை, வேண்டும், தேவை	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	புரிந்து கொள்ள, உணர	to understand, to realise	grupo	alternativoj	prononco
level	iri	போவதற்கு	to go	grupo	alternativoj	prononco
level	veni	வருவதற்கு	to come	grupo	alternativoj	prononco
level	porti	சுமக்க, அணிய	to carry, to wear	grupo	alternativoj	prononco
level	kovri	மூடுவதற்கு	to cover	grupo	alternativoj	prononco
level	hela	பிரகாசமான, தெளிவான மற்றும் ஒளி	bright, clear and light	grupo	alternativoj	prononco
level	sana	ஆரோக்கியமான	healthy	grupo	alternativoj	prononco
level	aperi	தோன்ற, வெளிப்பட	to appear, to emerge	grupo	alternativoj	prononco
level	libro	ஒரு புத்தகம்	a book	grupo	alternativoj	prononco
level	atendi	காத்திருக்க, எதிர்பார்க்க, காத்திருக்க	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	ஒரு கை	a hand	grupo	alternativoj	prononco
level	pentri	வரைவதற்கு	to paint	grupo	alternativoj	prononco
level	instrui	கற்பிக்க, கற்பிக்க	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	உட்கார வேண்டும்	to sit	grupo	alternativoj	prononco
level	stari	நிற்க	to stand	grupo	alternativoj	prononco
level	afero	ஒரு விஷயம், ஒரு பொருள், ஒரு வழக்கு, ஒரு கவலை, ஒரு விஷயம்	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	முழு, முழுமையான	full, complete	grupo	alternativoj	prononco
level	klara	தெளிவானது	clear	grupo	alternativoj	prononco
level	komenci	தொடங்க, தொடங்க	to begin, to commence	grupo	alternativoj	prononco
level	dormi	தூங்க, தூங்க வேண்டும்	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	ஒரு பகுதி, ஒரு பங்கு	a part, a share	grupo	alternativoj	prononco
level	mono	பணம்	money	grupo	alternativoj	prononco
level	ricevi	பெற	to receive	grupo	alternativoj	prononco
level	ami	காதலிக்க	to love	grupo	alternativoj	prononco
level	devi	வேண்டும், வேண்டும், வேண்டும், வேண்டும்	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	முடியும், முடியும்	be able to, can	grupo	alternativoj	prononco
level	labori	வேலை, உழைப்பு	to work, to labor	grupo	alternativoj	prononco
level	dio	ஒரு கடவுள்	a god	grupo	alternativoj	prononco
