A.et content.tsv
Level	Esperanto	et	en-us	Grupo	Alternativoj	Pronoco
level	lia amikino estas ~	tema sõbranna on ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	õpilased ja sportlased	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	minu perekonnanimi on ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	kes ta on? kumb ta on?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	on su sõbranna	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	kas su sõber on ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	kirjutab praegu toas	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	kas su sõber on isa ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	töötab hotellis	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	mis on laual?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	meie toas laua peal	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	kas esperanto õpik on ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	on teie laual	is on your table	grupo	alternativoj	prononco
level	havas amikinon	on sõber	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	tema nimi on ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	noor ja ilus	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	on noor ja ilus	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	noored ja ilusad sõbrad	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	on mees- ja naissoost sõbrad	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	tema õpetaja kodu	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	tuli koju	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ kodu	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	Palun tule sisse	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Tere Mida sa teed?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	mida sa teed? mida sa teed?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	aga nüüd tahan ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Ma tahan rääkida	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	kolme mees- ja naissõbraga	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	rääkis sinuga	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	tahab sinuga rääkida	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	kas sul on mees- ja naissoost sõpru	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	tal on raamat	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	on hea raamat	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	jah mul on	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	neile meeldib	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ta luges raamatut	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	meeldib raamatuid lugeda	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	ainult hea raamat	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	palju häid raamatuid	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	loe ainult häid raamatuid	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	meeldib lugeda häid raamatuid	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	tahad lugeda?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	noormees jõi kohvi	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	tahab vett juua	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	isa ja ema; vanemad	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	tüli ja õde, õed-vennad	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	teie vanemad ja õed-vennad	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	on sinu kodus	is in your home	grupo	alternativoj	prononco
level	jen la kafo	siin on kohv	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ei joonud veel	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	on veel soe	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	küpsetasin seda eile	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Nüüd tegin süüa	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	aitäh. nii ta ütles.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	saab juua ja süüa	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	jõi külma kohvi	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	veel soe kohv	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	joob ka külma kohvi	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	võib juua ka külma kohvi	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	vaatab talle silma	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	kõige ilusam silm	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	ilusad silmad	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	vaatas ilusaid silmi	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	tema ilusad silmad	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	näeb ja mõistab	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Ma näen, et ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	et ta armastab teda	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	ta tunneb, et ta armastab teda	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	küsib, kas see oli suur	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	lihtsa küsimuse kohta	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	ütles uue raha kohta	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	väga ilusad silmad	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	vaatas suur vend	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	väike õde unustas selle	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	akusatiiv (objektiiv)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	ärge unustage akusatiivi lõppu	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	keda sa näed? kumba sa näed?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Ma näen sõpra	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	tal on head mees- ja naissõbrad	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	nad tegelevad vana majaga	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	töötab, töötas, töötab	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	näeb, et ma söön	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	ütles, et ta läheb	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	kole ja halb	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	mida ta ütles?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	mida sa ootad?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	läks tuppa	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	sisu on väga raske	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	saabus koosolekule	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	tere tulemast kohtumisele	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	andis üks vanamees vihje	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	saabus ja võeti vastu	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	nad vihkavad, kuid teevad koostööd	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	läks hotelli	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	on lihtsad õpikud	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	kuidas su emal läks?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	oma vana kodu	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	mis raamatuid sa lugesid?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	kas need olid head?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	mida eile tegid?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	väikeses toas	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	rääkis väga kaua	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	kooli ees, kooli ees	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	rääkis enne kooli	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	hiljem rääkis raamatust	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	läks hea meelega kooli	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	läbi tänava	through the street	grupo	alternativoj	prononco
level	iris tra la strato	läks läbi tänava	went through the street	grupo	alternativoj	prononco
level	estis varma tago	oli soe päev	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	nad nägid kohvikut'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	nägin punaseid küpsiseid	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	nägi selles küpsiseid	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	nägin kohvikut ja selles küpsiseid	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	mine sisse ja söö!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	tuleme sisse ja sööme	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	on piisavalt raha	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	kas sul on piisavalt raha?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	Kas sa saad aru?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	muidugi!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	sellest ei piisa	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	sajast dollarist piisab	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	dollar, dollar, dollar (mitmuse eesmärk)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	tal on sada dollarit	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	muidugi, mul on	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	oh! sa oled rikas!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	vesi, ettekandja	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	kelner toob menüü	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	tõi selle meile, tõi selle	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	kelner tõi palju küpsiseid	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	nad sõid natuke (natuke)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	pärast söömist (sööki)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	uus, jälle	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	kelner tuli uuesti	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	mõnes kohas	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	oli kuskilt otsinud	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	otsiti teisest kohast	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	ta nägu oli rõõmus	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	ta oli kurb	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	lõpuks ja lõpuks	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	su tugev hääl	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	nõrga häälega	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	pole raha	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	mis seal juhtus?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	hiljem juhtus õnnetus	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	kas sa tead millal see juhtus?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	teab asjast	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	üks asi jääb siiski alles	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	sina või ta, ükskõik milline inimene	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	nagu laulja, kui signeerija	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	laulis nagu professionaalne laulja	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	koht, kus ta elas	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	kuidas sa autost tead?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	no vaadake kiiret autot	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	mahl ilma suhkruta	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	tal on kiire sõiduk	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	liiga tugevalt	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	ta avas liiga kõvasti	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	sõitis (reisinud) liiga kiiresti	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	sõi lusikaga	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	kahtleme tugevalt	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	tõeline kiri temalt	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	viie fotoga armastuskiri	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	tagasi pöördunud inimesed	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	ka kuus kirja tuli tagasi	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	tahtis pilti näha	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	tuli koolist tagasi	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	millal õde tagasi tuleb?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	tahtis uuesti lugeda	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	tegi (tegi), sai	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	muutus kiiresti punaseks	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	tuppa, tuppa	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	seisis ja istus	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	seal seisis foto ees	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	Mul on see	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	mis sul käes on?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	ees või taga?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	enne või pärast?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	seal ukse taga	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	teised, teised inimesed	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	kirjad teistelt	letters from others	grupo	alternativoj	prononco
